Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Agrin in Postsynaptic Differentiation Homo sapiens h agrPathway	9/47	2.077680488354054E-6	4.924102757399107E-4	0	0	7.659574468085106	100.21985185268711	CHRNA1;ITGB1;ACTA1;LAMA2;LAMB2;LAMA4;LAMB1;LAMC1;EGFR
Inhibition of Matrix Metalloproteinases Homo sapiens h reckPathway	4/8	2.4943889840822946E-5	0.002955850946137519	0	0	20.0	211.97763323836216	MMP14;MMP2;TIMP3;RECK
Prion Pathway Homo sapiens h prionPathway	5/18	6.262931121971768E-5	0.004947715586357697	0	0	11.11111111111111	107.53641287885462	LAMA2;LAMB2;LAMA4;LAMB1;LAMC1
Hemoglobin's Chaperone Homo sapiens h ahspPathway	4/13	2.3060621259632721E-4	0.013663418096332387	0	0	12.307692307692308	103.07444934750434	ALAS2;HBB;HBA2;HBA1
Regulators of Bone Mineralization Homo sapiens h npp1Pathway	3/11	0.002206288138266319	0.10457805775382352	0	0	10.909090909090908	66.72484091962643	COL4A2;COL4A1;COL4A5
Intrinsic Prothrombin Activation Pathway Homo sapiens h intrinsicPathway	4/23	0.0023425796244436227	0.09253189516552308	0	0	6.956521739130435	42.13219167446808	F10;COL4A2;COL4A1;COL4A5
Cell to Cell Adhesion Signaling Homo sapiens h cell2cellPathway	3/12	0.0028874338160908373	0.09776025920193264	0	0	10.0	58.47387124231253	ACTA1;CDH1;PECAM1
Platelet Amyloid Precursor Protein Pathway Homo sapiens h plateletAppPathway	3/14	0.004603033511907417	0.13636486779025722	0	0	8.571428571428571	46.12319771763762	COL4A2;COL4A1;COL4A5
Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia Homo sapiens h ecmPathway	4/31	0.007112686652484723	0.18730074851543105	0	0	5.161290322580645	25.527097997387994	ITGB1;ACTA1;ACTN2;TNS1
uCalpain and friends in Cell spread Homo sapiens h ucalpainPathway	3/17	0.00813412351983557	0.19277872742010302	0	0	7.0588235294117645	33.96485143053246	ITGB1;ACTA1;ACTN2
Integrin Signaling Pathway Homo sapiens h integrinPathway	4/33	0.008894984595890918	0.19164648629328615	0	0	4.848484848484849	22.89584334369705	ITGB1;ACTA1;ACTN2;TNS1
TSP-1 Induced Apoptosis in Microvascular Endothelial Cell  Homo sapiens h tsp1Pathway	2/7	0.012051662882171474	0.2380203419228866	0	0	11.428571428571427	50.49774434338215	FOS;CD36
TGF beta signaling pathway Homo sapiens h tgfbPathway	3/20	0.012902143644594305	0.23521600336683465	0	0	5.999999999999999	26.10217084452193	TGFB3;CDH1;TGFBR2
Pertussis toxin-insensitive CCR5 Signaling in Macrophage Homo sapiens h Ccr5Pathway	2/9	0.019987498286726836	0.3383597924253043	0	0	8.888888888888888	34.779095880349324	CXCL12;FOS
ALK in cardiac myocytes Homo sapiens h alkPathway	3/27	0.029117852235481113	0.4600620653206016	0	0	4.444444444444444	15.717350284548534	MEF2C;TGFB3;TGFBR2
Multi-step Regulation of Transcription by Pitx2 Homo sapiens h pitx2Pathway	3/27	0.029117852235481113	0.431308186238064	0	0	4.444444444444444	15.717350284548534	CCND2;PITX2;DKK2
mCalpain and friends in Cell motility Homo sapiens h mCalpainPathway	3/30	0.038268755933891604	0.5335114797842535	0	0	4.0	13.052485950718438	ITGB1;ACTA1;EGFR
Stress Induction of HSP Regulation Homo sapiens h hsp27Pathway	2/14	0.04654140207685347	0.6127951273452373	0	0	5.7142857142857135	17.52807425877975	ACTA1;HSPB1
Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy Homo sapiens h cardiacegfPathway	3/33	0.048705626415457094	0.6075386031822806	0	0	3.6363636363636362	10.988948085170936	EDNRA;FOS;EGFR
Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling Homo sapiens h At1rPathway	3/34	0.0524623778440582	0.6216791774520897	0	0	3.5294117647058822	10.403502278005256	MEF2C;FOS;EGFR
Bone Remodeling Homo sapiens h ranklPathway	2/16	0.05940541077305161	0.6704324930101538	0	0	5.0	14.116849831533036	FOS;FOSL2
Actions of Nitric Oxide in the Heart Homo sapiens h no1Pathway	3/42	0.08718222910547488	0.9391903771817066	0	0	2.8571428571428568	6.970727895708977	CHRNA1;TNNI1;PDE3A
Sprouty regulation of tyrosine kinase signals Homo sapiens h spryPathway	2/20	0.08816218183787267	0.9084537867641661	0	0	4.0	9.714308741076266	SPRY1;EGFR
Downregulated of MTA-3 in ER-negative Breast Tumors Homo sapiens h mta3Pathway	2/20	0.08816218183787267	0.8706015456489925	0	0	4.0	9.714308741076266	CDH1;HSPB1
NFAT and Hypertrophy of the heart Homo sapiens h nfatPathway	3/44	0.09705771960273352	0.9201071818339137	0	0	2.727272727272727	6.361225718177528	ACTA1;MEF2C;ATP2A1
Ion Channels and Their Functional Role in Vascular Endothelium Homo sapiens h raccPathway	3/45	0.10215828081331627	0.9312120212598445	0	0	2.6666666666666665	6.0832850553957645	EDNRA;TRPC6;CXCL12
