Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Beta-1 integrin cell surface interactions	29/66	2.941086797803035E-29	4.441041064682583E-26	0	0	17.575757575757574	1154.6602831608166	ITGB1;LAMA2;COL11A1;LAMA4;LAMC1;NID1;THBS2;THBS1;LAMB2;LAMB1;NPNT;COL1A1;COL3A1;COL1A2;COL5A1;COL4A1;COL6A2;COL6A1;COL5A2;ITGA8;COL4A5;COL6A3;ITGA7;ITGA6;CSPG4;ITGA5;TGFBI;ITGA9;FBN1
ECM-receptor interaction	30/84	5.6772828650234725E-27	4.286348563092722E-24	0	0	14.285714285714285	863.3332108770705	ITGB1;TNXB;LAMA2;COL11A1;LAMA4;LAMC1;THBS2;THBS1;CD36;ITGB6;LAMB2;LAMB1;HSPG2;COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;ITGA8;COL6A3;ITGA7;COL6A6;ITGA6;ITGA5;ITGA9
Striated muscle contraction	22/38	5.516529710806485E-26	2.7766532877725976E-23	0	0	23.157894736842106	1346.8507320824733	TMOD1;MYOM1;MYBPC1;ACTN2;TPM2;TNNC2;TPM1;NEB;TTN;ACTA2;MYL4;ACTA1;ACTC1;DES;MYH3;MYL1;TNNT1;TNNT2;TNNT3;TNNI1;TNNI2;TCAP
Collagen biosynthesis and modifying enzymes	25/64	7.958001585454125E-24	3.0041455985089322E-21	0	0	15.625	831.0603800097605	COL15A1;COL16A1;COL14A1;COL11A1;COL12A1;PLOD1;ADAMTS2;ADAMTS14;SERPINH1;COL27A1;COL25A1;COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL8A2;COL4A5;COL6A3;COL6A6
Extracellular matrix organization	28/93	6.70245636151201E-23	2.024141821176627E-20	0	0	12.043010752688172	614.8797959737433	COL15A1;COL16A1;COL14A1;COL11A1;COL12A1;PLOD1;ADAMTS2;ADAMTS14;SERPINH1;COL27A1;COL25A1;MMP2;COL1A1;MMP14;COL3A1;COL1A2;COL4A2;MMP16;COL5A1;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL8A2;COL4A5;COL6A3;COL6A6
Focal adhesion	40/233	3.6672452171297895E-22	9.229233796443303E-20	0	0	6.86695278969957	338.9351504734474	ITGB1;TNXB;LAMA2;COL11A1;LAMA4;LAMC1;THBS2;THBS1;MYL12A;EGFR;CCND2;PDGFD;FLNC;ITGB6;PDGFRB;PDGFRA;CAV3;ACTN2;LAMB2;PARVA;LAMB1;COL1A1;MYLPF;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL5A3;COL6A2;COL5A2;COL6A1;ITGA8;COL6A3;ITGA7;COL6A6;ITGA6;ITGA5;DOCK1;ITGA9
Muscle contraction	21/49	3.0618803557732314E-21	6.604913338882257E-19	0	0	17.142857142857142	809.7472753763126	TMOD1;MYBPC1;ACTN2;TPM2;TNNC2;TPM1;MYL6B;NEB;TTN;ACTA2;MYL4;MYH3;DES;MYL1;TNNT1;TNNT2;TNNT3;TNNI1;TNNI2;TCAP;MYH11
TGF-beta regulation of extracellular matrix	59/565	8.888723035586898E-21	1.677746472967027E-18	0	0	4.176991150442477	192.84960776624865	CDKN1C;SRPX;ELN;AHR;LAMC1;CYR61;CTGF;CDH5;CTSK;LEPR;CYP1B1;TIMP3;CD36;CD34;PDGFRA;POSTN;PTGIS;KRT4;LMO7;TM4SF1;PDGFRL;TGFBR3;ACTA2;SFRP4;INPP4B;ACTA1;ALDH1A3;VCAN;COL4A2;LOX;MYOT;COL8A2;ATF3;COL15A1;CRABP2;ADH1B;LAMA4;LPAR1;LTBP2;AEBP1;PTGS2;THBS2;NID2;FBLN5;SRPX2;GRK5;PDGFD;SVIL;LUM;PLK2;NR2F2;COL1A1;MFAP5;COL1A2;DLC1;OGN;SPRY1;TGFBI;FBN1
BDNF signaling pathway	35/261	4.867937643972286E-16	8.167317602664613E-14	0	0	5.363984674329501	189.12707881658338	BTG2;TAGLN;CRABP2;HSPB1;PTGS2;RND3;ZFP36;PDLIM3;LMNA;SERPINH1;FLNC;PTRF;IER2;TMOD1;EGR1;PDGFRA;IGFBP4;PLK2;IGF2;FOS;GNG11;TGFBR2;NR4A1;VCAN;CLCN5;CXCL12;P4HA1;DLC1;PXDN;MGP;FOSB;CSPG4;TGFBI;ATF3;FBN1
Syndecan 1 pathway	16/46	9.122727446857765E-15	1.3775318444755224E-12	0	0	13.91304347826087	449.7809749339709	COL15A1;COL16A1;COL14A1;COL11A1;COL12A1;COL1A1;COL3A1;COL1A2;COL5A1;COL4A1;COL6A2;COL5A2;COL6A1;COL8A2;COL4A5;COL6A3
Integrin cell surface interactions	20/85	1.9481694436666517E-14	2.6743053272151306E-12	0	0	9.411764705882351	297.122834043081	ITGB1;LAMA2;LAMB2;LAMB1;LAMC1;THBS1;COL1A1;COL1A2;COL4A2;CDH1;COL4A1;ITGA8;PECAM1;COL4A5;ITGA7;ITGA6;ITGB6;ITGA5;ITGA9;FBN1
Beta-3 integrin cell surface interactions	14/43	1.2546456049893917E-12	1.578762386278318E-10	0	0	13.023255813953488	356.8914898377712	PDGFRB;LAMA4;LAMB1;LAMC1;THBS1;CYR61;TGFBR2;COL1A1;COL1A2;COL4A1;PECAM1;COL4A5;TGFBI;FBN1
Axon guidance	34/325	1.9527467029493305E-12	2.2681904011180684E-10	0	0	4.184615384615384	112.82469682958988	ITGB1;SEMA3C;SEMA3B;SEMA3G;LAMC1;EGFR;PLXNA2;SCN7A;MYH11;CACNA1S;EPHB3;CAP2;EPHA4;TRPC6;LAMB1;SPTB;COL1A1;COL3A1;COL1A2;CXCL12;COL4A2;COL5A1;COL4A1;COL6A2;COL5A2;COL6A1;COL4A5;COL6A3;COL6A6;ITGA5;DOCK1;EPHA3;FGFR1;ITGA9
Integrins in angiogenesis	17/74	2.740853897161451E-12	2.9562067033669937E-10	0	0	9.18918918918919	244.64150121472443	COL15A1;COL16A1;COL14A1;COL11A1;COL12A1;TGFBR2;COL1A1;COL3A1;COL1A2;COL5A1;COL4A1;COL6A2;COL6A1;COL5A2;COL8A2;COL4A5;COL6A3
Dilated cardiomyopathy	19/100	5.276953945629768E-12	5.312133638600633E-10	0	0	7.6	197.35430787579537	ITGB1;LAMA2;TGFB3;TPM2;TPM1;TTN;ACTC1;DES;SGCA;TNNT2;LMNA;ITGA8;ITGA7;ITGA6;CACNA1S;ITGB6;ITGA5;ITGA9;MYH7
TSH regulation of gene expression	18/97	2.913038316082916E-11	2.749179910803252E-9	0	0	7.422680412371134	180.0685810507932	PPP1R15A;NOTCH3;EGR1;MEF2C;CKM;PLK2;EMP1;AHR;KRT5;FOS;PTGS2;CXCL14;NR4A1;ID1;KRT14;CYP1B1;TIMP3;PHLDB2
NCAM1 interactions	13/44	3.265967830795467E-11	2.9009478967653852E-9	0	0	11.818181818181818	285.34858037826115	COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL6A2;COL5A2;COL6A1;COL4A5;COL6A3;COL6A6;CACNA1S
Developmental biology	37/420	3.433111062321837E-11	2.879998724503319E-9	0	0	3.5238095238095237	84.90608179342031	ITGB1;LAMC1;EGFR;BOC;PLXNA2;SCN7A;MYH11;CD36;CACNA1S;CAP2;MYOG;MEF2C;TRPC6;EBF1;LAMB1;NR2F2;KLF4;SPTB;COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL6A2;COL5A2;COL6A1;COL4A5;COL6A3;TCF4;COL6A6;ITGA5;CDH15;DOCK1;ITGA9;FGF10;FGFR1
Amoebiasis	18/105	1.1557486803991746E-10	9.185160565277652E-9	0	0	6.857142857142857	156.8989891736574	SERPINB2;LAMA2;ACTN2;TGFB3;LAMB2;COL11A1;LAMA4;HSPB1;LAMB1;LAMC1;COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL5A3;COL5A2
