Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ECM-receptor interaction	26/82	5.282826389609892E-22	1.6271105279998467E-19	0	0	12.682926829268292	621.367161242967	ITGB1;TNXB;LAMA2;LAMA4;LAMC1;THBS2;THBS1;CD36;ITGB6;LAMB2;LAMB1;HSPG2;COL1A1;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;ITGA8;ITGA7;COL4A5;COL6A3;ITGA6;COL6A6;ITGA5;ITGA9
Focal adhesion	36/199	7.5596872781401E-21	1.1641918408335753E-18	0	0	7.236180904522613	335.2628053545972	ITGB1;TNXB;LAMA2;LAMA4;LAMC1;THBS2;THBS1;MYL12A;EGFR;MYLK4;CCND2;PDGFD;FLNC;ITGB6;PDGFRB;PDGFRA;CAV3;LAMB2;PARVA;LAMB1;COL1A1;MYLPF;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;ITGA8;COL4A5;COL6A3;ITGA7;COL6A6;ITGA6;ITGA5;DOCK1;ITGA9
PI3K-Akt signaling pathway	41/354	2.7264862428718647E-16	2.7991925426817812E-14	0	0	4.63276836158192	166.03076381107118	ITGB1;TNXB;LAMA2;LAMA4;LPAR1;LAMC1;THBS2;THBS1;EGFR;GHR;CCND2;ERBB3;PDGFD;CREB3L2;ITGB6;PDGFRB;PDGFRA;LAMB2;IGF2;LAMB1;GNG12;GNG11;COL1A1;NR4A1;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;ITGA8;COL4A5;COL6A3;ITGA7;COL6A6;ITGA6;ITGA5;TEK;FGFR1;FGF10;CREB5;ITGA9
Protein digestion and absorption	20/90	6.301900806038876E-14	4.852463620649935E-12	0	0	8.888888888888888	270.1807999891713	COL15A1;COL27A1;COL14A1;ELN;COL11A1;COL12A1;ATP1B4;COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL4A5;COL6A3;COL6A6
Hypertrophic cardiomyopathy (HCM)	19/85	2.3989245981863296E-13	1.477737552482779E-11	0	0	8.941176470588236	259.81794233669206	ITGB1;LAMA2;TGFB3;TPM2;TPM1;TTN;DES;ACTC1;SGCA;TNNT2;LMNA;ITGA8;ITGA7;ITGA6;ITGB6;ITGA5;CACNA1S;ITGA9;MYH7
Dilated cardiomyopathy (DCM)	19/91	8.909768851163727E-13	4.57368134359738E-11	0	0	8.351648351648352	231.72865947152872	ITGB1;LAMA2;TGFB3;TPM2;TPM1;TTN;DES;ACTC1;SGCA;TNNT2;LMNA;ITGA8;ITGA7;ITGA6;ITGB6;ITGA5;CACNA1S;ITGA9;MYH7
Human papillomavirus infection	33/330	1.428180894410763E-11	6.283995935407357E-10	0	0	4.0	99.88813796112679	ITGB1;NOTCH3;TNXB;LAMA2;LAMA4;LAMC1;PTGS2;THBS2;THBS1;EGFR;CCND2;CREB3L2;ITGB6;PDGFRB;FZD4;LAMB2;WNT5A;LAMB1;COL1A1;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;ITGA8;COL4A5;COL6A3;ITGA7;COL6A6;ITGA6;ITGA5;CREB5;ITGA9
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	15/72	2.3605230086892437E-10	9.088013583453588E-9	0	0	8.333333333333334	184.72473101336908	ITGB1;DSP;LAMA2;ACTN2;GJA1;DES;SGCA;LMNA;ITGA8;ITGA7;ITGA6;ITGB6;ITGA5;CACNA1S;ITGA9
Regulation of actin cytoskeleton	20/214	4.7041055328300587E-7	1.6098494490129532E-5	0	0	3.7383177570093453	54.46601871369487	PDGFRB;ITGB1;PDGFRA;LPAR1;GNG12;MYL12A;EGFR;MYLK4;MYLPF;CXCL12;PDGFD;ITGA8;ITGA7;ITGA6;ITGB6;ITGA5;DOCK1;FGFR1;FGF10;ITGA9
Pathways in cancer	34/530	5.737768812115027E-7	1.767232794131428E-5	0	0	2.5660377358490565	36.87659302989208	ITGB1;NOTCH3;LAMA2;LAMA4;LRP5;LPAR1;LAMC1;PTGS2;EGFR;GLI2;EDNRA;CCND2;CDH1;PDGFRB;PDGFRA;FZD4;TGFB3;LAMB2;MMP2;WNT5A;IGF2;LAMB1;FOS;GNG12;GNG11;TGFBR2;AR;CXCL12;COL4A2;COL4A1;COL4A5;ITGA6;FGF10;FGFR1
