Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Extracellular matrix organization Homo sapiens R-HSA-1474244	72/283	6.888782793862912E-52	1.0539837674610255E-48	0	0	10.17667844522968	1198.8588255671164	ITGB1;SPARC;COL16A1;COL14A1;ELN;COL12A1;PLOD1;LAMC1;LOXL2;ADAMTS5;ADAMTS2;CAPN6;CDH1;CTSK;CAPN3;ITGB6;ADAMTS9;COL27A1;COL25A1;MMP2;BGN;HSPG2;DCN;MMP14;VCAN;MMP16;COL4A2;LOX;COL4A1;COL6A2;COL6A1;COL8A2;ITGA8;PECAM1;COL4A5;COL6A3;ITGA7;COL6A6;ITGA6;ITGA5;ITGA9;FBN2;COL15A1;TNXB;LAMA2;COL11A1;LAMA4;LTBP4;LTBP2;NID1;LTBP1;NID2;THBS1;FBLN5;ADAMTS14;SERPINH1;TGFB3;LUM;LAMB2;LAMB1;COL1A1;MFAP5;MFAP4;COL3A1;COL1A2;P4HA1;COL5A1;COL5A3;COL5A2;MFAP2;FMOD;FBN1
Collagen biosynthesis and modifying enzymes Homo sapiens R-HSA-1650814	26/63	1.7657043839403472E-25	1.3507638537143657E-22	0	0	16.507936507936506	940.8876307123991	COL15A1;COL16A1;COL14A1;COL11A1;COL12A1;PLOD1;ADAMTS2;ADAMTS14;SERPINH1;COL27A1;COL25A1;COL1A1;COL3A1;COL1A2;COL4A2;P4HA1;COL5A1;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL8A2;COL4A5;COL6A3;COL6A6
Collagen formation Homo sapiens R-HSA-1474290	29/85	1.9012447753143174E-25	9.696348354103019E-23	0	0	13.647058823529411	776.8194996425487	COL15A1;COL16A1;COL14A1;COL11A1;COL12A1;PLOD1;LOXL2;ADAMTS2;ADAMTS14;SERPINH1;COL27A1;COL25A1;COL1A1;COL3A1;COL1A2;COL4A2;LOX;P4HA1;COL5A1;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL8A2;COL4A5;COL6A3;ITGA6;COL6A6
Striated Muscle Contraction Homo sapiens R-HSA-390522	18/34	1.636553000962367E-20	6.2598152286810536E-18	0	0	21.176470588235293	964.7811457129725	TMOD1;MYBPC1;ACTN2;TPM2;TNNC2;TPM1;NEB;TTN;MYL4;DES;MYH3;MYL1;TNNT1;TNNT2;TNNT3;TNNI1;TNNI2;TCAP
Muscle contraction Homo sapiens R-HSA-397014	34/196	3.7316031802398947E-19	1.1418705731534078E-16	0	0	6.938775510204081	294.4280571082153	RYR1;MYL6B;ATP2A1;MYL12A;TTN;SLN;ANXA6;TNNI1;SCN7A;TNNI2;MYH11;CACNA1S;TMOD1;MYBPC1;ANXA1;DMPK;ANXA2;CAV3;ACTN2;TPM2;TNNC2;TPM1;NEB;TRDN;MYL4;MYLPF;ACTA2;MYH3;DES;MYL1;TNNT1;TNNT2;TNNT3;TCAP
Assembly of collagen fibrils and other multimeric structures Homo sapiens R-HSA-2022090	20/54	9.13360744368144E-19	2.329069898138767E-16	0	0	14.814814814814813	615.3652745263613	COL15A1;COL27A1;COL11A1;LOXL2;COL1A1;COL3A1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL8A2;COL4A5;COL6A3;ITGA6;COL6A6
Elastic fibre formation Homo sapiens R-HSA-1566948	17/41	3.874557515975234E-17	8.468675713488726E-15	0	0	16.585365853658534	626.7529335987008	FBN2;ITGB1;TGFB3;ELN;LTBP4;LTBP2;LTBP1;FBLN5;LOXL2;MFAP5;MFAP4;LOX;MFAP2;ITGA8;ITGB6;ITGA5;FBN1
Diseases of glycosylation Homo sapiens R-HSA-3781865	22/88	2.3651236355038766E-16	4.523298952901164E-14	0	0	10.0	359.8053119015858	NOTCH3;MUC16;LUM;BGN;ADAMTS12;THBS2;HSPG2;THBS1;DCN;THSD4;ADAMTSL1;ADAMTS5;ADAMTS15;ADAMTS2;VCAN;ADAMTS14;ADAMTSL4;OGN;GPC3;CSPG4;FMOD;ADAMTS9
ECM proteoglycans Homo sapiens R-HSA-3000178	18/55	6.588382745785714E-16	1.1200250667835714E-13	0	0	13.09090909090909	457.6065195908885	ITGB1;SPARC;TNXB;LAMA2;LUM;TGFB3;LAMB2;LAMA4;BGN;LAMB1;LAMC1;DCN;VCAN;ITGA8;ITGA7;ITGB6;FMOD;ITGA9
Laminin interactions Homo sapiens R-HSA-3000157	11/23	2.2037059928079116E-12	3.371670168996105E-10	0	0	19.130434782608695	513.4777164120267	ITGB1;LAMA2;LAMB2;LAMA4;ITGA7;LAMB1;ITGA6;LAMC1;NID1;NID2;HSPG2
Integrin cell surface interactions Homo sapiens R-HSA-216083	16/67	6.3770980357548715E-12	8.869963631549957E-10	0	0	9.552238805970148	246.2405537946647	ITGB1;COL16A1;LUM;HSPG2;THBS1;COL4A2;CDH1;COL4A1;ITGA8;PECAM1;ITGA7;ITGA6;ITGB6;ITGA5;ITGA9;FBN1
Degradation of the extracellular matrix Homo sapiens R-HSA-1474228	19/106	1.5519441115916864E-11	1.9787287422794E-9	0	0	7.169811320754716	178.44891495678885	COL15A1;COL16A1;COL14A1;COL25A1;MMP2;COL12A1;LAMB1;LAMC1;NID1;HSPG2;DCN;ADAMTS5;MMP14;CAPN6;MMP16;CDH1;CTSK;CAPN3;ADAMTS9
Molecules associated with elastic fibres Homo sapiens R-HSA-2129379	11/30	7.599283847821529E-11	8.943772528589954E-9	0	0	14.666666666666664	341.73893615593585	ITGB1;MFAP5;MFAP4;TGFB3;MFAP2;LTBP4;ITGA8;LTBP2;ITGB6;LTBP1;FBLN5
Smooth Muscle Contraction Homo sapiens R-HSA-445355	11/33	2.515702374748748E-10	2.7493033095468462E-8	0	0	13.333333333333332	294.71065188166097	ACTA2;MYLPF;ANXA1;ANXA2;CAV3;TPM2;TPM1;ANXA6;MYL6B;MYH11;MYL12A
Defective B3GALTL causes Peters-plus syndrome (PpS) Homo sapiens R-HSA-5083635	11/37	1.0152746386151534E-9	1.0355801313874565E-7	0	0	11.891891891891891	246.2585659378382	ADAMTSL1;ADAMTS5;ADAMTS15;ADAMTS14;ADAMTS2;ADAMTSL4;ADAMTS12;THBS2;THBS1;ADAMTS9;THSD4
O-glycosylation of TSR domain-containing proteins Homo sapiens R-HSA-5173214	11/38	1.3969715059775963E-9	1.3358540025910765E-7	0	0	11.578947368421053	236.08268493479656	ADAMTSL1;ADAMTS5;ADAMTS15;ADAMTS14;ADAMTS2;ADAMTSL4;ADAMTS12;THBS2;THBS1;ADAMTS9;THSD4
Diseases associated with O-glycosylation of proteins Homo sapiens R-HSA-3906995	13/62	3.4668264653049414E-9	3.120143818774447E-7	0	0	8.387096774193548	163.38086511096185	NOTCH3;MUC16;ADAMTS12;THBS2;THBS1;THSD4;ADAMTSL1;ADAMTS5;ADAMTS15;ADAMTS2;ADAMTS14;ADAMTSL4;ADAMTS9
Diseases associated with glycosaminoglycan metabolism Homo sapiens R-HSA-3560782	9/26	7.598460762843354E-9	6.458691648416851E-7	0	0	13.846153846153845	258.85827888052376	VCAN;LUM;OGN;GPC3;BGN;CSPG4;FMOD;HSPG2;DCN
Developmental Biology Homo sapiens R-HSA-1266738	46/786	8.543224529182749E-8	6.879543962973477E-6	0	0	2.340966921119593	38.100505978769725	ITGB1;RARG;HIF3A;LAMC1;EGFR;MYL12A;ERBB3;BOC;PLXNA2;SCN7A;MYH11;CD36;CACNA1S;EPHB3;CAP2;MYOG;PDGFRB;EPHA4;PDGFRA;MEF2C;TRPC6;ACTN2;MMP2;EBF1;LAMB1;NR2F2;KLF4;IL17RD;GFRA3;SPTB;COL4A2;COL4A1;COL6A2;COL6A1;COL4A5;COL6A3;TCF4;COL6A6;TEK;ITGA5;CDH15;DOCK1;EPHA3;ITGA9;FGF10;FGFR1
Axon guidance Homo sapiens R-HSA-422475	35/515	9.826198273251502E-8	7.5170416790373985E-6	0	0	2.7184466019417473	43.863844824799074	ITGB1;LAMC1;EGFR;MYL12A;ERBB3;PLXNA2;SCN7A;MYH11;CACNA1S;EPHB3;CAP2;PDGFRB;EPHA4;PDGFRA;TRPC6;ACTN2;MMP2;LAMB1;IL17RD;GFRA3;SPTB;COL4A2;COL4A1;COL6A2;COL6A1;COL4A5;COL6A3;COL6A6;TEK;ITGA5;DOCK1;EPHA3;ITGA9;FGF10;FGFR1
