Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Striated Muscle Contraction Pathway WP383	22/38	5.516529710806485E-26	2.603802023500661E-23	0	0	23.157894736842106	1346.8507320824733	TMOD1;MYOM1;MYBPC1;ACTN2;TPM2;TNNC2;TPM1;NEB;TTN;ACTA2;MYL4;ACTA1;DES;MYH3;ACTC1;MYL1;TNNT1;TNNT2;TNNT3;TNNI1;TNNI2;TCAP
miRNA targets in ECM and membrane receptors WP2911	17/22	1.0429872779168411E-23	2.461449975883745E-21	0	0	30.909090909090907	1635.6277431429044	TNXB;LAMB2;LAMA4;LAMC1;THBS2;THBS1;COL3A1;COL1A2;COL5A1;COL4A2;COL4A1;COL5A3;COL6A2;COL5A2;COL6A1;COL6A3;ITGB6
Focal Adhesion WP306	34/198	5.19985214997833E-19	8.181100715965905E-17	0	0	6.8686868686868685	289.1750592989103	ITGB1;TNXB;LAMA2;LAMA4;LAMC1;THBS2;THBS1;MYL12A;EGFR;MYLK4;CCND2;PDGFD;FLNC;ITGB6;PDGFRB;PDGFRA;CAV3;LAMB2;PARVA;LAMB1;COL1A1;MYLPF;COL1A2;COL4A2;COL4A1;COL5A3;COL6A2;COL5A2;ITGA8;ITGA7;ITGA6;ITGA5;DOCK1;ITGA9
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	39/303	4.059495414201492E-17	4.7902045887577606E-15	0	0	5.148514851485149	194.31981887680294	ITGB1;TNXB;LAMA2;COL11A1;LAMA4;LPAR1;HIF3A;LAMC1;THBS2;THBS1;EGFR;GHR;PDGFD;CREB3L2;ITGB6;PDGFRB;PDGFRA;LAMB2;LAMB1;GNG12;GNG11;COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL5A3;COL6A2;COL5A2;ITGA8;ITGA7;ITGA6;ITGA5;TEK;FGFR1;FGF10;CREB5;ITGA9
PI3K-Akt Signaling Pathway WP4172	39/340	2.0721086304647526E-15	1.9560705471587264E-13	0	0	4.588235294117647	155.12919719038035	ITGB1;TNXB;LAMA2;LAMA4;LPAR1;LAMC1;THBS2;THBS1;EGFR;GHR;CCND2;PDGFD;CREB3L2;ITGB6;PDGFRB;PDGFRA;LAMB2;IGF2;LAMB1;GNG12;GNG11;COL1A1;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;ITGA8;COL4A5;COL6A3;ITGA7;COL6A6;ITGA6;ITGA5;TEK;FGFR1;FGF10;CREB5;ITGA9
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	15/74	3.559233595294762E-10	2.7999304282985465E-8	0	0	8.108108108108109	176.40247857140787	ITGB1;DSP;LAMA2;ACTN2;GJA1;DES;SGCA;LMNA;ITGA8;ITGA7;ITGA6;ITGB6;ITGA5;CACNA1S;ITGA9
Hippo-Merlin Signaling Dysregulation WP4541	18/120	1.1090539167323383E-9	7.478192124252338E-8	0	0	5.999999999999999	123.71855107396645	PDGFRB;ITGB1;PDGFRA;EGFR;CTGF;CDH5;CDH3;CDH1;ITGA8;CDH13;ITGA7;ITGA6;ITGB6;CDH15;ITGA5;TEK;FGFR1;ITGA9
Epithelial to mesenchymal transition in colorectal cancer WP4239	19/159	1.8380918758022882E-8	1.08447420672335E-6	0	0	4.779874213836478	85.13889357339241	DSP;NOTCH3;SPARC;TGFB3;FZD4;MMP2;WNT5A;TWIST2;LRP5;DLK1;TGFBR2;CLDN5;CLDN4;COL4A2;CDH1;COL4A1;ID1;COL4A5;ITGA5
miR-509-3p alteration of YAP1/ECM axis WP3967	7/17	9.16091190149266E-8	4.804389352782817E-6	0	0	16.470588235294116	266.9179885261096	YAP1;COL1A1;EDNRA;COL3A1;SPARC;COL5A1;THBS2
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668	8/25	1.0732602440884857E-7	5.065788352097653E-6	0	0	12.799999999999999	205.4066518778682	FBN2;TGFBR3;POSTN;LTBP2;LTBP1;CTGF;TGFBR2;FBN1
Spinal Cord Injury WP2431	15/118	2.576179127764409E-7	1.1054150439134555E-5	0	0	5.084745762711864	77.14468631165178	EPHA4;EGR1;BTG2;ANXA1;FOS;PTGS2;EGFR;AQP1;NR4A1;ZFP36;GJA1;VCAN;COL4A1;PLXNA2;CSPG4
Integrin-mediated Cell Adhesion WP185	13/101	1.4023276217539093E-6	5.5158219788987096E-5	0	0	5.148514851485149	69.38847623535369	ITGB1;CAV3;MYPN;CAPN6;ITGA8;CAPN3;ITGA7;ITGA6;ITGB6;ITGA5;DOCK1;TNS1;ITGA9
Endochondral Ossification WP474	10/64	3.935869224735091E-6	1.4290232877499714E-4	0	0	6.25	77.78361752968274	CDKN1C;GHR;ADAMTS5;MEF2C;MGP;SERPINH1;IGF2;TIMP3;PTH1R;FGFR1
Inflammatory Response Pathway WP453	7/30	7.232790508281545E-6	2.438483657077778E-4	0	0	9.333333333333332	110.47759924917348	COL1A1;COL3A1;COL1A2;LAMB2;LAMB1;LAMC1;THBS1
Myometrial Relaxation and Contraction Pathways WP289	14/156	3.8654025433134514E-5	0.0012163133336292992	0	0	3.5897435897435894	36.47488074975659	RYR1;IGFBP4;IGFBP2;LPAR1;FOS;GNG12;GNG11;MYL4;ACTA2;ACTA1;GJA1;ACTC1;GRK5;ATF3
Hair Follicle Development: Cytodifferentiation (Part 3 of 3) WP2840	10/87	6.226175941760925E-5	0.0018367219028194728	0	0	4.597701149425287	44.52488797311739	PERP;WNT5A;FOSB;TCF4;FOS;CD34;TP63;EGFR;CTGF;GLI2
Prostaglandin Synthesis and Regulation WP98	7/45	1.1661603474237866E-4	0.0032378099057883956	0	0	6.222222222222222	56.35232570657764	EDNRA;PTGIS;ANXA1;ANXA2;ANXA6;PTGFRN;PTGS2
Pathways Regulating Hippo Signaling WP4540	10/98	1.7071542497897426E-4	0.0044765378105597695	0	0	4.081632653061225	35.41025538432343	PDGFRB;CDH5;PDGFRA;CDH3;CDH1;CDH13;CDH15;TEK;EGFR;FGFR1
ncRNAs involved in Wnt signaling in hepatocellular carcinoma WP4336	9/86	2.963406181791934E-4	0.007361724830556804	0	0	4.186046511627907	34.00744616430186	SFRP4;CCND2;SFRP2;SERPINF1;WNT5A;KREMEN1;LRP5;KLF4;DKK2
Osteoblast Signaling WP322	4/14	3.1648999085908113E-4	0.007469163784274315	0	0	11.428571428571427	92.09393075814842	PDGFRB;COL1A1;PDGFRA;PTH1R
Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813	4/15	4.230841235854126E-4	0.009509319349157844	0	0	10.666666666666666	82.85802159964132	ITGB1;CLDN4;CDH1;ITGA6
LncRNA involvement in canonical Wnt signaling and colorectal cancer WP4258	9/94	5.750480991295056E-4	0.012337395581323936	0	0	3.829787234042553	28.574260353212303	SFRP4;CCND2;SFRP2;SERPINF1;WNT5A;KREMEN1;LRP5;DKK2;ATF3
Extracellular vesicle-mediated signaling in recipient cells WP2870	5/30	8.133662728634946E-4	0.01669169046919867	0	0	6.666666666666666	47.4288601982859	TGFBR3;TGFB3;WNT5A;EGFR;TGFBR2
Aryl Hydrocarbon Receptor Pathway WP2873	6/46	9.501429461317071E-4	0.018686144607256906	0	0	5.217391304347825	36.30729451344407	SERPINB2;MYOF;CYP1B1;AHR;EGFR;CAP2
Aryl Hydrocarbon Receptor WP2586	6/46	9.501429461317071E-4	0.01793869882296663	0	0	5.217391304347825	36.30729451344407	PLAGL1;CYP1B1;AHR;CD36;PTGS2;EGFR
Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534	6/47	0.0010665340799661275	0.01936169560553893	0	0	5.106382978723404	34.94472033499001	ITGB1;ACTA2;ACTA1;ACTC1;CDH1;ITGB6
Alpha 6 Beta 4 signaling pathway WP244	5/33	0.0012737417323898032	0.022266892506962486	0	0	6.0606060606060606	40.398766449770015	LAMA2;LAMB2;LAMB1;ITGA6;LAMC1
BMP Signaling Pathway in Eyelid Development WP3927	4/20	0.0013600003915461532	0.022925720886063726	0	0	8.0	52.802162330661076	PITX2;DKK2;EGFR;FGF10
TGF-beta Signaling Pathway WP366	10/132	0.0017942272043924912	0.02920259449907779	0	0	3.0303030303030303	19.161154171351537	ITGB1;TGFBR3;YAP1;MEF2C;COL1A2;FOSB;FOS;THBS1;ATF3;TGFBR2
Primary Focal Segmental Glomerulosclerosis FSGS WP2572	7/72	0.0021227913385874863	0.033398583727109785	0	0	3.888888888888889	23.936202061340634	ITGB1;CDKN1C;TRPC6;LAMB2;LRP5;COL4A5;PARVA
SRF and miRs in Smooth Muscle Differentiation and Proliferation WP1991	3/11	0.002206288138266319	0.033592516169732335	0	0	10.909090909090908	66.72484091962643	MEF2C;CCND2;KLF4
TGF-beta Receptor Signaling WP560	6/54	0.0022150184742657673	0.03267152249542007	0	0	4.444444444444444	27.166642377748946	TGFBR3;ITGB6;FOS;THBS1;LTBP1;TGFBR2
ESC Pluripotency Pathways WP3931	9/116	0.0025478321504701193	0.03644172045520898	0	0	3.103448275862069	18.535383367615246	PDGFRB;PDGFRA;FZD4;WNT5A;LRP5;FOS;EGFR;FGFR1;FGF10
VEGFA-VEGFR2 Signaling Pathway WP3888	14/236	0.0025703830147170105	0.035682964204306736	0	0	2.3728813559322033	14.151153392375763	ITGB1;EGR1;MEF2C;ANXA1;TNXB;MMP2;HSPB1;PTGS2;CTGF;INPP4B;CDH5;NR4A1;GJA1;MMP14
Neural Crest Differentiation WP2064	8/101	0.0038291605673186815	0.051638965364983365	0	0	3.168316831683168	17.632030646607024	ITGB1;NOTCH3;CDH1;MPZ;ID1;PMP22;TCF4;FGFR1
Vitamin A and Carotenoid Metabolism WP716	5/43	0.004211385981886807	0.05521594954029369	0	0	4.651162790697674	25.44169057496083	ALDH1A3;RARG;CRABP2;ALDH1A1;CD36
Pathways in clear cell renal cell carcinoma WP4018	7/85	0.005395923850282639	0.06883448803603799	0	0	3.2941176470588234	17.202249492199844	PDGFRB;PDGFRA;TGFB3;SSPN;CDH13;ENO3;EGFR
Matrix Metalloproteinases WP129	4/30	0.006317508693985948	0.07847010798845704	0	0	5.333333333333333	27.01029516014832	MMP14;MMP16;MMP2;TIMP3
Nuclear Receptors Meta-Pathway WP2882	16/319	0.006792397708150754	0.082205428673004	0	0	2.006269592476489	10.015200052776823	CDKN1C;EGR1;SERPINB2;PLK2;MYOF;AHR;PTGS2;EGFR;TGFBR2;TGFBR3;THBD;SRPX2;CYP1B1;SPRY1;EPHA3;CAP2
RAC1/PAK1/p38/MMP2 Pathway WP3303	6/68	0.00700965914579624	0.08271397792039563	0	0	3.5294117647058822	17.507527775691717	ITGB1;YAP1;MMP2;TIE1;TEK;EGFR
