Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
hsa-miR-29b-3p	31/261	6.663473208688841E-13	2.1589653196151843E-9	0	0	4.75095785440613	133.2024407789248	ITGB1;BTG2;COL15A1;SPARC;LAMA2;LAMC1;NID1;THBS2;LOXL2;CCND2;SERPINH1;PDGFRB;PDGFRA;TGFB3;MMP2;EMP1;FOS;COL1A1;COL3A1;COL4A2;LOX;COL5A1;COL4A1;COL5A3;COL5A2;CALU;ID3;COL4A5;COL6A3;ITGA6;FBN1
hsa-miR-29a-3p	30/264	4.959371258864653E-12	8.034181439360737E-9	0	0	4.545454545454545	118.31700975251093	ITGB1;BTG2;SPARC;LAMA2;ELN;AHR;FSTL1;ZFP36;CCND2;SERPINH1;ADAMTS9;PDGFRB;TRIM63;CD93;TGFB3;MMP2;EMP1;FOS;KLF4;COL3A1;SFRP2;COL1A2;COL4A2;LOX;COL4A1;PXDN;COL5A2;ID3;ITGA6;FBN1
hsa-miR-124-3p	77/1445	1.9371097678104528E-10	2.092078549235289E-7	0	0	2.131487889273356	47.66998888905261	ITGB1;RARG;FKBP14;COL12A1;HSPB7;PLOD1;AHR;LAMC1;MYPN;CYR61;CTGF;TUBB6;LAPTM4A;CCND2;SH3PXD2A;SIX4;CREB3L2;ANXA6;CYP1B1;TIMP3;TP63;CSGALNACT1;SERPINB2;TRPC6;IGFBP4;LIMCH1;TPM1;FNDC3B;EMP1;GPX7;FRMD6;COL4A1;COL6A2;COL8A2;KDELR2;PLPP3;CALCRL;HTRA3;LAMA4;FAM129A;TWIST2;PTGS2;NID1;FSTL1;NID2;ZFP36L1;DSEL;LMNA;SERPINH1;PLXNA2;PACSIN3;MYH7B;EGR1;AFAP1L1;PRRX1;ARPP21;MCAM;CYBRD1;KLF4;PTPN14;LYVE1;COL1A1;MFAP5;MFAP4;NR4A1;FRAS1;STK26;KRT14;ID1;CALU;ID3;CSPG4;LRRN1;FMOD;SEC24D;RECK;FGFR1
hsa-miR-29c-3p	27/254	2.702249818396992E-10	2.1888223529015634E-7	0	0	4.251968503937007	93.67837612935867	ITGB1;BTG2;COL15A1;SPARC;LAMC1;CCND2;SERPINH1;PDGFRB;FZD4;MMP2;EMP1;FOS;KLF4;COL1A1;COL3A1;COL1A2;COL4A2;LOX;COL4A1;COL6A2;COL5A2;ID3;ITGA6;PHLDB2;FREM2;FBN1;CREB5
mmu-miR-29a-3p	12/47	1.233212077461998E-9	7.991214261953747E-7	0	0	10.212765957446807	209.5010412905769	PDGFRB;COL1A1;ZFP36;COL3A1;SPARC;COL1A2;COL4A2;COL4A1;COL4A5;HIF3A;CD36;FBN1
mmu-miR-29b-3p	11/51	4.122432975472067E-8	2.226113806754916E-5	0	0	8.627450980392156	146.70322313366643	COL1A1;COL3A1;SPARC;COL1A2;COL4A2;COL4A1;TGFB3;COL5A3;COL4A5;HIF3A;FBN1
hsa-miR-9-5p	24/351	9.357899028009248E-6	0.004331370407249994	0	0	2.735042735042735	31.669852322707275	PDGFRB;FBN2;DSP;STARD13;TAGLN;RBFOX2;PRRX1;MMP2;COL12A1;FAM46A;TM4SF1;TGFBR2;MN1;ALDH1A3;CDH3;MYO1C;LOX;CDH1;PXDN;LMNA;SERPINH1;KIF1C;TGFBI;CD34
mmu-miR-206-3p	7/34	1.7528181589968986E-5	0.0070989135439374395	0	0	8.235294117647058	90.19047549425616	NOTCH3;GJA1;ID1;TIMP3;ID3;SPRY1;FSTL1
hsa-miR-670-3p	16/197	3.790671780185098E-5	0.013646418408666351	0	0	3.2487309644670046	33.07332291857697	CSGALNACT1;TENM3;MCAM;MMP2;PDE4DIP;TMTC1;GNG12;THBS2;MYPN;TGFBR3;LIMA1;ADAMTS5;PDLIM3;FRMD6;CAPN6;RBMS3
hsa-miR-133a-3p	12/131	1.1219299780896951E-4	0.03635053129010612	0	0	3.66412213740458	33.326253343302035	COL1A1;EGFL7;MMP14;ANXA2;TPM1;SERPINH1;THBS2;MYPN;EGFR;CTGF;FOSL2;FBN1
hsa-miR-1238-3p	12/134	1.3928483978921152E-4	0.04102571644700412	0	0	3.5820895522388057	31.805335574249117	CSGALNACT1;TGFBR3;ADAMTS5;PDLIM3;FRMD6;TENM3;MCAM;MMP2;TMTC1;GNG12;MYPN;RBMS3
mmu-miR-21a-5p	6/35	2.0761786561964194E-4	0.056056823717303327	0	0	6.857142857142857	58.147277845558115	TGFBR3;TIMP3;SPRY1;TGFBI;RECK;TNS1
hsa-miR-6816-3p	6/35	2.0761786561964194E-4	0.05174476035443384	0	0	6.857142857142857	58.147277845558115	BTG2;DMPK;SPRY1;FOS;GNG12;FOSL2
mmu-let-7e-5p	5/25	3.3609730615907573E-4	0.0777825194253861	0	0	8.0	63.98487870610897	COL1A1;COL3A1;COL27A1;COL1A2;THBS1
hsa-miR-198	8/74	5.119558108905786E-4	0.11058245515236496	0	0	4.324324324324325	32.76658267461084	BACE2;CCND2;SIX4;RNF217;LTBP4;THBS1;FSTL1;FGFR1
mmu-miR-29b-1-5p	3/8	7.919445047989284E-4	0.160368762221783	0	0	15.0	107.11528857454749	PDGFRB;ACTA2;COL1A2
