atc_classifications,availability_type,biotherapeutic,black_box_warning,chebi_par_id,chirality,cross_references,dosed_ingredient,first_approval,first_in_class,helm_notation,indication_class,inorganic_flag,max_phase,molecule_chembl_id,molecule_hierarchy,molecule_properties,molecule_structures,molecule_synonyms,molecule_type,natural_product,oral,parenteral,polymer_flag,pref_name,prodrug,structure_type,therapeutic_flag,topical,usan_stem,usan_stem_definition,usan_substem,usan_year,withdrawn_class,withdrawn_country,withdrawn_flag,withdrawn_reason,withdrawn_year,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,confidence_score,pIC50,bin,STATUS,SMILES_desalt,mol
[],-1,,0,,-1,"[{'xref_id': '160874177', 'xref_name': 'SID: 160874177', 'xref_src': 'PubChem'}, {'xref_id': '49644036', 'xref_name': 'SID: 49644036', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL1310568,"{'molecule_chembl_id': 'CHEMBL1310568', 'parent_chembl_id': 'CHEMBL1310568'}","{'acd_logd': '3.3', 'acd_logp': '3.3', 'acd_most_apka': '13.09', 'acd_most_bpka': '0.07', 'alogp': '4.5', 'aromatic_rings': 3, 'full_molformula': 'C21H18N2O2', 'full_mwt': '330.39', 'hba': 2, 'hba_lipinski': 4, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 25, 'molecular_species': 'NEUTRAL', 'mw_freebase': '330.39', 'mw_monoisotopic': '330.1368', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '58.2', 'qed_weighted': '0.74', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2', 'standard_inchi': 'InChI=1S/C21H18N2O2/c1-15-7-5-10-17(13-15)21(25)23-19-12-6-11-18(14-19)22-20(24)16-8-3-2-4-9-16/h2-14H,1H3,(H,22,24)(H,23,25)', 'standard_inchi_key': 'RREKAVMWLSIMRT-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037495,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '22.91', 'le': '0.41', 'lle': '3.07', 'sei': '13'}",,CHEMBL1310568,7.57,False,http://www.openphacts.org/units/Nanomolar,2246575,=,1,True,=,,IC50,nM,,27,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.568636235841012,"(10,11]",active,Cc1cccc(C(=O)Nc2cccc(NC(=O)c3ccccc3)c2)c1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
[],-1,,0,,-1,"[{'xref_id': '104253676', 'xref_name': 'SID: 104253676', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL3186207,"{'molecule_chembl_id': 'CHEMBL3186207', 'parent_chembl_id': 'CHEMBL3186207'}","{'acd_logd': '2.92', 'acd_logp': '2.92', 'acd_most_apka': '13.08', 'acd_most_bpka': '0.05', 'alogp': '4.5', 'aromatic_rings': 3, 'full_molformula': 'C21H18N2O2', 'full_mwt': '330.39', 'hba': 2, 'hba_lipinski': 4, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 25, 'molecular_species': 'NEUTRAL', 'mw_freebase': '330.39', 'mw_monoisotopic': '330.1368', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '58.2', 'qed_weighted': '0.74', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'Cc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2', 'standard_inchi': 'InChI=1S/C21H18N2O2/c1-15-8-5-6-13-19(15)21(25)23-18-12-7-11-17(14-18)22-20(24)16-9-3-2-4-10-16/h2-14H,1H3,(H,22,24)(H,23,25)', 'standard_inchi_key': 'FDDPRMWUPUWHOW-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037496,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,Cc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '21.19', 'le': '0.38', 'lle': '2.5', 'sei': '12.03'}",,CHEMBL3186207,7,False,http://www.openphacts.org/units/Nanomolar,2246576,=,1,True,=,,IC50,nM,,100,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.0,"(9,10]",active,Cc1ccccc1C(=O)Nc1cccc(NC(=O)c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
[],-1,,0,,-1,"[{'xref_id': '104253677', 'xref_name': 'SID: 104253677', 'xref_src': 'PubChem'}, {'xref_id': '49649164', 'xref_name': 'SID: 49649164', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL1532914,"{'molecule_chembl_id': 'CHEMBL1532914', 'parent_chembl_id': 'CHEMBL1532914'}","{'acd_logd': '3.1', 'acd_logp': '3.1', 'acd_most_apka': '12.6', 'acd_most_bpka': '0.01', 'alogp': '4.33', 'aromatic_rings': 3, 'full_molformula': 'C20H15FN2O2', 'full_mwt': '334.35', 'hba': 2, 'hba_lipinski': 4, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 25, 'molecular_species': 'NEUTRAL', 'mw_freebase': '334.35', 'mw_monoisotopic': '334.1118', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '58.2', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'Fc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2', 'standard_inchi': 'InChI=1S/C20H15FN2O2/c21-16-9-4-8-15(12-16)20(25)23-18-11-5-10-17(13-18)22-19(24)14-6-2-1-3-7-14/h1-13H,(H,22,24)(H,23,25)', 'standard_inchi_key': 'JIXAVKHNSWAKPX-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037502,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '21.97', 'le': '0.4', 'lle': '3.02', 'sei': '12.62'}",,CHEMBL1532914,7.35,False,http://www.openphacts.org/units/Nanomolar,2246582,=,1,True,=,,IC50,nM,,45,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.346787486224656,"(10,11]",active,O=C(Nc1cccc(NC(=O)c2cccc(F)c2)c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
[],-1,,0,,-1,"[{'xref_id': '104169928', 'xref_name': 'SID: 104169928', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL3184966,"{'molecule_chembl_id': 'CHEMBL3184966', 'parent_chembl_id': 'CHEMBL3184966'}","{'acd_logd': '3.36', 'acd_logp': '3.36', 'acd_most_apka': '12.6', 'acd_most_bpka': '0.01', 'alogp': '4.84', 'aromatic_rings': 3, 'full_molformula': 'C20H15ClN2O2', 'full_mwt': '350.81', 'hba': 2, 'hba_lipinski': 4, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 25, 'molecular_species': 'NEUTRAL', 'mw_freebase': '350.81', 'mw_monoisotopic': '350.0822', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '58.2', 'qed_weighted': '0.71', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'Clc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2', 'standard_inchi': 'InChI=1S/C20H15ClN2O2/c21-16-9-4-8-15(12-16)20(25)23-18-11-5-10-17(13-18)22-19(24)14-6-2-1-3-7-14/h1-13H,(H,22,24)(H,23,25)', 'standard_inchi_key': 'UXOZLQUSVPBIQN-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037505,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,Clc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '20.76', 'le': '0.4', 'lle': '2.44', 'sei': '12.52'}",,CHEMBL3184966,7.28,False,http://www.openphacts.org/units/Nanomolar,2246585,=,1,True,=,,IC50,nM,,52,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.2839966563652,"(10,11]",active,O=C(Nc1cccc(NC(=O)c2cccc(Cl)c2)c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
[],-1,,0,,-1,"[{'xref_id': '104253683', 'xref_name': 'SID: 104253683', 'xref_src': 'PubChem'}, {'xref_id': '49727021', 'xref_name': 'SID: 49727021', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL1716797,"{'molecule_chembl_id': 'CHEMBL1716797', 'parent_chembl_id': 'CHEMBL1716797'}","{'acd_logd': '1.82', 'acd_logp': '1.82', 'acd_most_apka': '12.47', 'acd_most_bpka': '0.29', 'alogp': '3.78', 'aromatic_rings': 3, 'full_molformula': 'C18H14N2O3', 'full_mwt': '306.32', 'hba': 3, 'hba_lipinski': 5, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 23, 'molecular_species': 'NEUTRAL', 'mw_freebase': '306.32', 'mw_monoisotopic': '306.1004', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '71.34', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'O=C(Nc1cccc(NC(=O)c2ccccc2)c1)c3occc3', 'standard_inchi': 'InChI=1S/C18H14N2O3/c21-17(13-6-2-1-3-7-13)19-14-8-4-9-15(12-14)20-18(22)16-10-5-11-23-16/h1-12H,(H,19,21)(H,20,22)', 'standard_inchi_key': 'RTXREVNFKIEUGS-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037512,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1cccc(NC(=O)c2ccccc2)c1)c3occc3,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '24.26', 'le': '0.44', 'lle': '3.65', 'sei': '10.42'}",,CHEMBL1716797,7.43,False,http://www.openphacts.org/units/Nanomolar,2246592,=,1,True,=,,IC50,nM,,37,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.431798275933005,"(10,11]",active,O=C(Nc1cccc(NC(=O)c2ccco2)c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
[],-1,,0,,-1,"[{'xref_id': '104253670', 'xref_name': 'SID: 104253670', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL3182777,"{'molecule_chembl_id': 'CHEMBL3182777', 'parent_chembl_id': 'CHEMBL3182777'}","{'acd_logd': '2.81', 'acd_logp': '2.81', 'acd_most_apka': '12.22', 'acd_most_bpka': '0.27', 'alogp': '4.25', 'aromatic_rings': 3, 'full_molformula': 'C18H14N2O2S', 'full_mwt': '322.39', 'hba': 3, 'hba_lipinski': 4, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 23, 'molecular_species': 'NEUTRAL', 'mw_freebase': '322.39', 'mw_monoisotopic': '322.0776', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '58.2', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'O=C(Nc1cccc(NC(=O)c2cccs2)c1)c3ccccc3', 'standard_inchi': 'InChI=1S/C18H14N2O2S/c21-17(13-6-2-1-3-7-13)19-14-8-4-9-15(12-14)20-18(22)16-10-5-11-23-16/h1-12H,(H,19,21)(H,20,22)', 'standard_inchi_key': 'MKNLGOXDUQNBOV-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037514,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1cccc(NC(=O)c2cccs2)c1)c3ccccc3,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '23.38', 'le': '0.45', 'lle': '3.29', 'sei': '12.95'}",,CHEMBL3182777,7.54,False,http://www.openphacts.org/units/Nanomolar,2246594,=,1,True,=,,IC50,nM,,29,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.537602002101044,"(10,11]",active,O=C(Nc1cccc(NC(=O)c2cccs2)c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
[],-1,,0,,-1,"[{'xref_id': '104253685', 'xref_name': 'SID: 104253685', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL3182370,"{'molecule_chembl_id': 'CHEMBL3182370', 'parent_chembl_id': 'CHEMBL3182370'}","{'acd_logd': '2.69', 'acd_logp': '2.69', 'acd_most_apka': '11.48', 'acd_most_bpka': '2.43', 'alogp': '3.59', 'aromatic_rings': 3, 'full_molformula': 'C19H15N3O2', 'full_mwt': '317.35', 'hba': 3, 'hba_lipinski': 5, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 24, 'molecular_species': 'NEUTRAL', 'mw_freebase': '317.35', 'mw_monoisotopic': '317.1164', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '71.09', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'O=C(Nc1cccc(NC(=O)c2ccccn2)c1)c3ccccc3', 'standard_inchi': 'InChI=1S/C19H15N3O2/c23-18(14-7-2-1-3-8-14)21-15-9-6-10-16(13-15)22-19(24)17-11-4-5-12-20-17/h1-13H,(H,21,23)(H,22,24)', 'standard_inchi_key': 'LDDNJFAJKYZQHK-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037516,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1cccc(NC(=O)c2ccccn2)c1)c3ccccc3,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '22.26', 'le': '0.4', 'lle': '3.48', 'sei': '9.94'}",,CHEMBL3182370,7.07,False,http://www.openphacts.org/units/Nanomolar,2246596,=,1,True,=,,IC50,nM,,86,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.065501548756432,"(10,11]",active,O=C(Nc1cccc(NC(=O)c2ccccn2)c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
[],-1,,0,,-1,"[{'xref_id': '104253678', 'xref_name': 'SID: 104253678', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL3184095,"{'molecule_chembl_id': 'CHEMBL3184095', 'parent_chembl_id': 'CHEMBL3184095'}","{'acd_logd': '3.8', 'acd_logp': '3.8', 'acd_most_apka': '13.12', 'acd_most_bpka': '0.44', 'alogp': '4.46', 'aromatic_rings': 2, 'full_molformula': 'C20H22N2O2', 'full_mwt': '322.41', 'hba': 2, 'hba_lipinski': 4, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 24, 'molecular_species': 'NEUTRAL', 'mw_freebase': '322.41', 'mw_monoisotopic': '322.1681', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '58.2', 'qed_weighted': '0.87', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'O=C(Nc1cccc(NC(=O)c2ccccc2)c1)C3CCCCC3', 'standard_inchi': 'InChI=1S/C20H22N2O2/c23-19(15-8-3-1-4-9-15)21-17-12-7-13-18(14-17)22-20(24)16-10-5-2-6-11-16/h1,3-4,7-9,12-14,16H,2,5-6,10-11H2,(H,21,23)(H,22,24)', 'standard_inchi_key': 'GDNDWRCRYHNYTQ-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037519,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1cccc(NC(=O)c2ccccc2)c1)C3CCCCC3,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '22.03', 'le': '0.4', 'lle': '2.64', 'sei': '12.2'}",,CHEMBL3184095,7.1,False,http://www.openphacts.org/units/Nanomolar,2246599,=,1,True,=,,IC50,nM,,79,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.102372908709558,"(10,11]",active,O=C(Nc1cccc(NC(=O)C2CCCCC2)c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
[],-1,,0,,-1,"[{'xref_id': '110923107', 'xref_name': 'SID: 110923107', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL3181939,"{'molecule_chembl_id': 'CHEMBL3181939', 'parent_chembl_id': 'CHEMBL3181939'}","{'acd_logd': '3.17', 'acd_logp': '3.17', 'acd_most_apka': '13.11', 'acd_most_bpka': None, 'alogp': '4.81', 'aromatic_rings': 3, 'full_molformula': 'C22H20N2O2', 'full_mwt': '344.41', 'hba': 2, 'hba_lipinski': 4, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 26, 'molecular_species': 'NEUTRAL', 'mw_freebase': '344.41', 'mw_monoisotopic': '344.1525', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '58.2', 'qed_weighted': '0.71', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3C)c2', 'standard_inchi': 'InChI=1S/C22H20N2O2/c1-15-7-5-9-17(13-15)21(25)23-18-10-6-11-19(14-18)24-22(26)20-12-4-3-8-16(20)2/h3-14H,1-2H3,(H,23,25)(H,24,26)', 'standard_inchi_key': 'GNWIURCZAGWVRL-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037520,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3C)c2,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '20.44', 'le': '0.37', 'lle': '2.23', 'sei': '12.1'}",,CHEMBL3181939,7.04,False,http://www.openphacts.org/units/Nanomolar,2246600,=,1,True,=,,IC50,nM,,91,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.040958607678906,"(10,11]",active,Cc1cccc(C(=O)Nc2cccc(NC(=O)c3ccccc3C)c2)c1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
[],-1,,0,,-1,"[{'xref_id': '110923096', 'xref_name': 'SID: 110923096', 'xref_src': 'PubChem'}]",0.0,,-1,,,-1,0.0,CHEMBL3185736,"{'molecule_chembl_id': 'CHEMBL3185736', 'parent_chembl_id': 'CHEMBL3185736'}","{'acd_logd': '3.55', 'acd_logp': '3.55', 'acd_most_apka': '13.29', 'acd_most_bpka': None, 'alogp': '4.81', 'aromatic_rings': 3, 'full_molformula': 'C22H20N2O2', 'full_mwt': '344.41', 'hba': 2, 'hba_lipinski': 4, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 26, 'molecular_species': 'NEUTRAL', 'mw_freebase': '344.41', 'mw_monoisotopic': '344.1525', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '58.2', 'qed_weighted': '0.71', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2', 'standard_inchi': 'InChI=1S/C22H20N2O2/c1-15-6-3-8-17(12-15)21(25)23-19-10-5-11-20(14-19)24-22(26)18-9-4-7-16(2)13-18/h3-14H,1-2H3,(H,23,25)(H,24,26)', 'standard_inchi_key': 'GONFYUVPWPOVIQ-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,15037521,[],CHEMBL3367860,Inhibition of TASK-1 (unknown origin) expressed in CHO cells by thallium flux assay,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,,,CHEMBL3351482,Bioorg. Med. Chem. Lett.,2014.0,"{'bei': '21.84', 'le': '0.4', 'lle': '2.71', 'sei': '12.93'}",,CHEMBL3185736,7.52,False,http://www.openphacts.org/units/Nanomolar,2246601,=,1,True,=,,IC50,nM,,30,CHEMBL2321613,Homo sapiens,Potassium channel subfamily K member 3,9606,,,IC50,uM,UO_0000065,,9,10.522878745280337,"(10,11]",active,Cc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2)c1,<rdkit.Chem.rdchem.Mol object at 0x1a46e2d580>
