gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
SERPINA3,8.02920634632368,5.11146796323106,168.243133163855,1.43882875464678e-13,6.32127332218847e-10,21.1357299312497
CP,6.51901424630672,6.31210675436695,164.144973260042,1.70159652975261e-13,6.32127332218847e-10,21.0802881188704
TF,7.40114664431323,8.2814023920152,139.642358146614,5.1098003743339e-13,8.41269672398988e-10,19.9446833599009
IMPG2,5.381588422212,7.09357959684212,130.736590841897,7.99934917325191e-13,1.03577777780666e-09,19.9287993641727
GFAP,8.7928474887535,7.27151478275629,124.062655250265,1.14239719033318e-12,1.11139668475914e-09,19.639266629461
ELOVL2,4.33277397104692,5.23370422927811,111.21534553369,2.40258679709407e-12,1.44245035342324e-09,19.1606056194668
RBP3,6.4012570557669,5.79799424676487,108.108055249535,2.91316406205367e-12,1.48453453381273e-09,19.019627963404
SLC1A2,4.9570159231951,5.8047422155941,107.030821603932,3.1184522349326e-12,1.55219146940145e-09,18.962554978653
CHRNA3,4.35074141128428,5.06449541946326,99.8152167478893,5.01244666577447e-12,2.10355678407002e-09,18.5311568736387
THRB,4.48765913323433,6.04038969288483,96.4442137287823,6.33137023535259e-12,2.11880697220309e-09,18.3505646734273
ABCA4,4.26487241720308,5.69159487596798,96.4427822800951,6.33200919087686e-12,2.11880697220309e-09,18.3499775218505
ATP1A3,4.99514922901376,5.80670728632193,96.2494745254278,6.41897927346265e-12,2.11880697220309e-09,18.338755399942
RP1,4.22191104330322,5.15738496257445,95.7868886526596,6.6327181767793e-12,2.11880697220309e-09,18.2937898570745
CRX,4.82511720963239,6.1333089933261,92.9619209087594,8.12986377119496e-12,2.21405305875882e-09,18.1264718131489
HLA-DRB5,5.08463018835418,3.16829815557918,92.9498137134646,8.13706603420059e-12,2.21405305875882e-09,17.6879934113057
IMPG1,5.0399287942548,3.68443057335537,92.7191762555636,8.27567372334278e-12,2.21405305875882e-09,17.8435976509
CRYAA,5.75518970065996,5.08094416793137,91.0064057168512,9.39411134849742e-12,2.35681061544625e-09,17.9799586540929
C8ORF46,5.1385359712744,4.51734570092172,89.6046458507919,1.04396724236569e-11,2.42869900960357e-09,17.8327819889675
GPX3,6.03160052510726,6.67579672718612,88.5497371369602,1.13149382215469e-11,2.50274316288283e-09,17.8117542762036
DCT,3.82630167033632,7.95136973966257,88.2189471566038,1.16065203304841e-11,2.5179562910565e-09,17.694726475015
SPP1,4.3691735593255,8.29693731727171,87.2366687828249,1.25244875306554e-11,2.6200791898519e-09,17.5943498090861
MAK,3.8313284340227,4.92898637955831,86.0756393164628,1.37188043853293e-11,2.6440085113789e-09,17.6278710903442
KIF21B,3.85456983611102,5.71628331834601,85.1223949724793,1.4797678905629e-11,2.69839340098468e-09,17.5784307991461
EYS,4.55261204551501,6.16512605173331,85.0543103423018,1.48783879755486e-11,2.69839340098468e-09,17.5726124307641
IGSF21,5.26065325190369,2.83308252161123,84.4723690708607,1.55892211036475e-11,2.72818427943594e-09,17.1004646950176
TBR1,6.09945107612448,2.8602822659459,83.6942877237196,1.66013434366647e-11,2.78688065453413e-09,17.0606005951092
PLEKHB1,4.76253996876863,5.28847539915619,83.6000965273816,1.67289053275865e-11,2.78688065453413e-09,17.4586156685944
CDH20,3.30286154431284,5.01979438012251,82.9413833712229,1.76530812310498e-11,2.90637613529352e-09,17.3999556355419
CACNA1F,5.51336692434621,4.41570825728705,82.1237848425691,1.88827509758819e-11,2.99368532693926e-09,17.2924325197215
CLU,4.08130508141253,9.18643895849396,81.6542597959297,1.9633214127181e-11,3.03604719445699e-09,17.1138932253819
GNB3,4.20484639936443,5.95741675477023,81.1372373468416,2.04994664089026e-11,3.04687555242877e-09,17.2723150607775
AMER2,3.9554547588005,6.67238485470349,80.5965164974556,2.14526634535511e-11,3.09771322261253e-09,17.2196956998539
PAPPA2,3.56383102034942,5.33944374152741,80.5370430260458,2.15605742526614e-11,3.09771322261253e-09,17.2208251031598
CRB1,3.72521440552062,5.25120901611217,79.4520305730335,2.36428361768135e-11,3.24679719412701e-09,17.1318150792727
KIFC1,3.48873794422107,6.21039872412627,79.2029619593732,2.41528138858975e-11,3.27178908607508e-09,17.1150001148967
PDC,4.84324830536999,4.26356117840602,79.100508985327,2.43662439474596e-11,3.2799416302357e-09,17.0439047049255
FAM135B,5.43872751514327,5.10188132846025,78.0337918845111,2.67218470676899e-11,3.39974770302859e-09,17.0121139435485
