Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Visual Signal Transduction Homo sapiens h rhodopsinPathway	6/13	3.502412879362659E-7	8.300718524089502E-5	0	0	18.46153846153846	274.4241881701346	RCVRN;GNGT2;PDE6G;RHO;GUCA1A;GNAT1
Classical Complement Pathway Homo sapiens h classicPathway	5/15	2.3358040633817734E-5	0.0027679278151074016	0	0	13.333333333333332	142.1942570733213	C1QB;C3;C1QA;C4A;C2
CDK Regulation of DNA Replication Homo sapiens h mcmPathway	4/18	8.936428005945616E-4	0.07059778124697037	0	0	8.888888888888888	62.40181701813813	CDT1;MCM4;CDC6;MCM2
Antigen Processing and Presentation Homo sapiens h mhcPathway	3/12	0.0028874338160908373	0.17108045360338212	0	0	10.0	58.47387124231253	CD74;HLA-DRA;HLA-DRB1
Lectin Induced Complement Pathway Homo sapiens h lectinPathway	3/13	0.003684485563252584	0.17464461569817247	0	0	9.23076923076923	51.72576337848703	C3;C4A;C2
IL 4 signaling pathway Homo sapiens h il4Pathway	3/15	0.005648024777015824	0.22309697869212505	0	0	8.0	41.41159513548328	HMGA1;HLA-DRA;HLA-DRB1
Lck and Fyn tyrosine kinases in initiation of TCR Activation Homo sapiens h tcraPathway	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	HLA-DRA;HLA-DRB1
p53 Signaling Pathway Homo sapiens h p53Pathway	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	PCNA;E2F1
RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage Homo sapiens h rbPathway	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	E2F1;MYT1
The Co-Stimulatory Signal During T-cell Activation Homo sapiens h ctla4Pathway	2/20	0.08816218183787267	1.0	0	0	4.0	9.714308741076266	HLA-DRA;HLA-DRB1
Ras-Independent pathway in NK cell-mediated cytotoxicity Homo sapiens h nkcellsPathway	2/22	0.10379556080326813	1.0	0	0	3.6363636363636362	8.237571185428129	FCGR3A;SYK
Cyclins and Cell Cycle Regulation Homo sapiens h cellcyclePathway	2/23	0.11187435504137663	1.0	0	0	3.4782608695652173	7.618709103989623	CDKN2C;E2F1
Basic mechanism of action of PPARa, PPARb(d) and PPARg and effects on gene expression Homo sapiens h pparPathway	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	PTGS1
IFN gamma signaling pathway  Homo sapiens h ifngPathway	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	STAT1
Mechanism of Acetaminophen Activity and Toxicity Homo sapiens h AcetaminophenPathway	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	PTGS1
