Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuronal system	31/283	5.718614135037789E-12	8.635107343907062E-9	0	0	4.381625441696113	113.42842874109921	GABRB3;GRIA1;SNAP25;CHRNA3;CHRNA5;RASGRF2;KCNA2;GRIK3;SLC1A2;SLC1A3;GRIK2;SLC1A7;GABRR3;GRIN2A;KCNV2;GNGT2;GNG4;CHRNB2;GABBR2;CHRNB4;SYT1;KCNH7;KCNB2;GAD2;SLC6A11;GJD2;KCNQ3;GNB3;GNB5;KCNK3;HCN1
Visual signal transduction: cones	10/23	7.451733814465235E-11	5.626059029921252E-8	0	0	17.391304347826086	405.56503114514527	SLC24A2;GNGT2;GNAT2;GUCA1B;GUCA1A;CNGB3;GNB3;PDE6C;CNGA3;GNB5
Transmission across chemical synapses	23/190	4.4864221116704476E-10	2.2581657962074587E-7	0	0	4.842105263157895	104.22532510894675	CHRNB2;GRIA1;GABRB3;SNAP25;GABBR2;CHRNB4;CHRNA3;CHRNA5;SYT1;RASGRF2;SLC1A2;GRIK3;SLC1A3;GAD2;SLC6A11;GRIK2;SLC1A7;GABRR3;GRIN2A;GNGT2;GNG4;GNB3;GNB5
Visual signal transduction	7/14	1.7256278232376556E-8	6.51424503272215E-6	0	0	20.0	357.50179608369376	RCVRN;GNGT2;PDE6G;RHO;SAG;GUCA1A;GNAT1
Type 1 diabetes mellitus	10/43	7.970627872393302E-8	2.4071296174627772E-5	0	0	9.302325581395348	152.04574395145113	HLA-DMA;HLA-DRB5;HLA-B;GAD2;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Allograft rejection	9/37	2.3684587156473747E-7	5.9606211010458935E-5	0	0	9.72972972972973	148.43535799445178	HLA-DMA;HLA-DRB5;HLA-B;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
G-protein activation	8/28	2.8870930761576555E-7	6.227872207140086E-5	0	0	11.428571428571427	172.08966298339905	GNAO1;GNAZ;GNGT2;GNAT2;GNG4;GNB3;GNAT1;GNB5
Phototransduction	8/29	3.9001658285283336E-7	7.361563001347229E-5	0	0	11.034482758620689	162.83670707410982	RCVRN;GNAT2;PDE6G;GUCA1B;RHO;GUCA1A;GNAT1;CNGB1
Systemic lupus erythematosus	16/139	4.108723167542759E-7	6.893524425543962E-5	0	0	4.60431654676259	67.70639809173151	HIST1H2AM;C1QB;C1QA;HLA-DRB5;HIST1H2BO;C2;C3;C4A;GRIN2A;FCGR3A;HLA-DMA;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Graft-versus-host disease	9/41	6.102778452464842E-7	9.21519546322191E-5	0	0	8.780487804878048	125.6430863368078	HLA-DMA;HLA-DRB5;HLA-B;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Visual signal transduction: rods	7/23	1.0137014985179099E-6	1.39153569342004E-4	0	0	12.173913043478262	168.02315571139889	PDE6G;GUCA1B;RHO;SAG;GUCA1A;GNAT1;GNB5
Leishmaniasis	11/72	1.6298949046901917E-6	2.0509510884018247E-4	0	0	6.111111111111112	81.44274734978823	C3;FCGR3A;HLA-DMA;HLA-DRB5;STAT1;ITGB2;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Autoimmune thyroid disease	9/52	5.021013320766969E-6	5.832100087967786E-4	0	0	6.9230769230769225	84.4745454547233	HLA-DMA;HLA-DRB5;HLA-B;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Antigen processing and presentation	11/81	5.340776000708294E-6	5.760408400763946E-4	0	0	5.432098765432098	65.94643731739109	CD74;HLA-DMA;HLA-DRB5;HLA-B;HLA-C;HLA-DRA;IFI30;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Activation of C3 and C5	4/6	5.563200259571867E-6	5.600288261302346E-4	0	0	26.666666666666664	322.6489874409088	C3;C4A;CFB;C2
Cell adhesion molecules (CAMs)	14/133	6.274067024257822E-6	5.921150754143319E-4	0	0	4.2105263157894735	50.43825585428958	CADM3;HLA-DRB5;ITGB2;HLA-B;HLA-C;HLA-DMA;NFASC;CDH2;HLA-DRA;SIGLEC1;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Asthma	7/30	7.232790508281545E-6	6.424419804414783E-4	0	0	9.333333333333332	110.47759924917348	HLA-DMA;HLA-DRB5;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Viral myocarditis	10/71	1.0262203248474077E-5	8.608848280664364E-4	0	0	5.633802816901408	64.71573520962617	HLA-DMA;HLA-DRB5;ITGB2;HLA-B;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Transmembrane transport of small molecules	27/432	1.3518630008582997E-5	0.0010743753322610698	0	0	2.5	28.028604558024675	GABRB3;SLC24A2;SLC24A4;ATP8A2;SLC1A2;SLC1A3;ATP1A3;AQP4;SLC1A7;GABRR3;GNGT2;GNG4;SLC38A3;ATP6V0E2;SLC38A5;SLC12A5;NUP210;ABCA4;SLC6A11;ATP1B2;CP;GCK;SLC4A8;TF;GNB3;GNB5;ABCG4
Complement cascade regulation	5/14	1.5898268192072523E-5	0.0012003192485014755	0	0	14.285714285714285	157.84714819153916	C3;C4A;CFI;CFB;C2
Complement cascade	10/77	2.1328237371907598E-5	0.0015336018300752606	0	0	5.194805194805194	55.87261644155473	C1QB;C3;C4A;C1QA;IGKC;CFI;IGLC2;CFB;IGKV3-20;C2
Interferon signaling	15/168	2.1897677869876297E-5	0.0015029769810687823	0	0	3.571428571428571	38.31832128608118	HLA-DRB5;NUP210;STAT1;HLA-B;IFI6;HLA-C;ISG15;IFI30;IFIT3;IFI27;OAS3;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Association of licensing factors with the pre-replicative complex	5/15	2.3358040633817734E-5	0.0015335061459593382	0	0	13.333333333333332	142.1942570733213	CDT1;GMNN;E2F1;E2F2;CDC6
Phagosome	14/154	3.349329153500571E-5	0.0021072862590774425	0	0	3.6363636363636362	37.469692334083256	HLA-DRB5;ITGB2;HLA-B;HLA-C;C3;FCGR3A;HLA-DMA;TUBB3;HLA-DRA;HLA-DOA;ATP6V0E2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Potassium channels	11/99	3.707916156772857E-5	0.002239581358690806	0	0	4.444444444444444	45.344246350952524	GABBR2;KCNV2;GNGT2;KCNH7;GNG4;KCNB2;KCNA2;KCNQ3;GNB3;KCNK3;HCN1
Complement activation, classical pathway	5/17	4.617825796690615E-5	0.002681891135770318	0	0	11.76470588235294	117.44707620498384	C1QB;C3;C1QA;C4A;C2
MHC class II antigen presentation	11/103	5.364483479982144E-5	0.003000137057323347	0	0	4.271844660194175	42.00558410223906	CD74;HLA-DRB5;HLA-DMA;KIF5C;KIF5A;HLA-DRA;IFI30;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Activation of kainate receptors upon glutamate binding	6/30	8.442588370650356E-5	0.004552967299886442	0	0	8.0	75.03709219513394	GNGT2;GNG4;GRIK3;GNB3;GRIK2;GNB5
Activation of the pre-replicative complex	6/30	8.442588370650356E-5	0.004395968427476565	0	0	8.0	75.03709219513394	CDT1;MCM8;MCM4;CDC7;CDC6;MCM2
