Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Staphylococcus aureus infection	16/68	8.14961893930298E-12	2.5100826333053178E-9	0	0	9.411764705882351	240.3110583123069	C1QB;C1QA;HLA-DRB5;ITGB2;CFI;C2;C3;C4A;FCGR3A;HLA-DMA;HLA-DRA;HLA-DOA;CFB;HLA-DRB1;HLA-DPA1;HLA-DQB1
GABAergic synapse	15/89	5.279568393990187E-9	8.130535326744887E-7	0	0	6.741573033707865	128.49048192897905	GABRB3;GABBR2;SLC12A5;GAD2;SLC6A11;CACNA1F;GABRR3;GNAO1;GNGT2;GNG4;GNB3;HAP1;GNB5;SLC38A3;SLC38A5
Phototransduction	9/28	1.606484903226958E-8	1.6493245006463435E-6	0	0	12.857142857142858	230.74241453652004	RCVRN;GNAT2;PDE6G;GUCA1B;RHO;SAG;GUCA1A;GNAT1;CNGB1
Type I diabetes mellitus	10/43	7.970627872393302E-8	6.137383461742842E-6	0	0	9.302325581395348	152.04574395145113	HLA-DMA;HLA-DRB5;HLA-B;GAD2;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Systemic lupus erythematosus	16/133	2.2310593041099018E-7	1.3743325313316995E-5	0	0	4.81203007518797	73.69921998922139	HIST1H2AM;C1QB;C1QA;HLA-DRB5;HIST1H2BO;C2;C3;C4A;GRIN2A;FCGR3A;HLA-DMA;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Allograft rejection	9/38	3.0352790767473517E-7	1.5581099260636405E-5	0	0	9.473684210526315	142.17908473775813	HLA-DMA;HLA-DRB5;HLA-B;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Graft-versus-host disease	9/41	6.102778452464842E-7	2.6852225190845304E-5	0	0	8.780487804878048	125.6430863368078	HLA-DMA;HLA-DRB5;HLA-B;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Cell adhesion molecules (CAMs)	16/145	7.31797211045774E-7	2.8174192625262297E-5	0	0	4.413793103448276	62.357020228222254	NTNG2;CADM3;HLA-DRB5;ITGB2;HLA-B;HLA-C;IGSF11;HLA-DMA;NFASC;CDH2;HLA-DRA;SIGLEC1;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Glutamatergic synapse	14/114	9.878250271365779E-7	3.380556759534067E-5	0	0	4.912280701754385	67.92583983891583	GRIA1;SLC1A2;GRIK3;SLC1A3;GRIK2;SLC1A7;GNAO1;GRIN2A;GNGT2;GNG4;GRM8;GNB3;GNB5;SLC38A3
Viral myocarditis	10/59	1.8255148134284305E-6	5.622585625359565E-5	0	0	6.779661016949152	89.58405777057472	HLA-DMA;HLA-DRB5;ITGB2;HLA-B;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Leishmaniasis	11/74	2.154986068233631E-6	6.0339609910541674E-5	0	0	5.945945945945946	77.58107529305335	C3;FCGR3A;HLA-DMA;HLA-DRB5;STAT1;ITGB2;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Antigen processing and presentation	11/77	3.2201615537361448E-6	8.265081321256106E-5	0	0	5.7142857142857135	72.26330872970732	CD74;HLA-DMA;HLA-DRB5;HLA-B;HLA-C;HLA-DRA;IFI30;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Complement and coagulation cascades	11/79	4.163830462910349E-6	9.865075250587596E-5	0	0	5.5696202531645564	69.00244372303528	C1QB;C3;C4A;C1QA;ITGB2;CFI;ITGAX;CLU;CFB;SERPINA5;C2
Autoimmune thyroid disease	9/53	5.915514311570699E-6	1.301413148545554E-4	0	0	6.792452830188679	81.7670860568256	HLA-DMA;HLA-DRB5;HLA-B;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Asthma	7/31	9.142295251710501E-6	1.877217958351223E-4	0	0	9.032258064516128	104.79766913128826	HLA-DMA;HLA-DRB5;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Synaptic vesicle cycle	10/78	2.3925713155041235E-5	4.605699782345438E-4	0	0	5.128205128205128	54.56695801603229	SNAP25;UNC13A;SYT1;SLC1A2;SLC1A3;SLC6A11;CPLX2;ATP6V0E2;SLC1A7;CPLX3
Phagosome	14/152	2.894708204128429E-5	5.244530158067977E-4	0	0	3.684210526315789	38.50015161289833	HLA-DRB5;ITGB2;HLA-B;HLA-C;C3;FCGR3A;HLA-DMA;TUBB3;HLA-DRA;HLA-DOA;ATP6V0E2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Epstein-Barr virus infection	16/201	4.8340512312407505E-5	8.271598773456394E-4	0	0	3.1840796019900495	31.640965045619428	HLA-DRB5;SYK;STAT1;HLA-B;HLA-C;ISG15;HLA-DMA;CCNE2;OAS3;E2F1;HLA-DRA;E2F2;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Rheumatoid arthritis	10/91	9.150983155166449E-5	0.001483422532521719	0	0	4.395604395604395	40.87500722111174	HLA-DMA;HLA-DRB5;ITGB2;ACP5;HLA-DRA;HLA-DOA;ATP6V0E2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Tuberculosis	14/179	1.703935696845561E-4	0.002624060973142164	0	0	3.1284916201117317	27.147172185974778	CD74;HLA-DRB5;SYK;STAT1;ITGB2;C3;FCGR3A;HLA-DMA;ITGAX;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Intestinal immune network for IgA production	7/48	1.773793329826584E-4	0.0026015635504123232	0	0	5.833333333333333	50.38378330072178	HLA-DMA;HLA-DRB5;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Inflammatory bowel disease (IBD)	8/65	2.0852463600121897E-4	0.0029193449040170656	0	0	4.923076923076923	41.725308875945004	HLA-DMA;HLA-DRB5;STAT1;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Morphine addiction	9/91	4.525491256536834E-4	0.0060602230739710645	0	0	3.9560439560439558	30.46396840511154	GABRB3;GABRR3;GNAO1;GABBR2;GNGT2;PDE1C;GNG4;GNB3;GNB5
Cholinergic synapse	10/112	5.058924045859212E-4	0.006492285858852655	0	0	3.571428571428571	27.104237680164207	CHRNB2;GNAO1;CHRNB4;CHRNA3;GNGT2;GNG4;KCNQ3;GNB3;GNB5;CACNA1F
