Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction Homo sapiens P00028	12/31	4.791362423911457E-12	5.366325914780832E-10	0	0	15.483870967741934	403.57480744365364	RCVRN;GNGT2;GNG4;PDE6G;RHO;SAG;CNGB3;CNGA3;GNAT1;GNB5;PDC;CNGB1
Metabotropic glutamate receptor group III pathway Homo sapiens P00039	10/54	7.77595040284915E-7	4.354532225595524E-5	0	0	7.4074074074074066	104.20044416336994	GRIA1;SNAP25;GRIN2A;GNGT2;GRM8;GRIK3;SLC1A2;SLC1A3;GRIK2;SLC1A7
Ionotropic glutamate receptor pathway Homo sapiens P00037	8/45	1.3784682637702935E-5	5.146281518075762E-4	0	0	7.111111111111111	79.5872180341025	GRIA1;SNAP25;GRIN2A;SLC1A2;GRIK3;SLC1A3;GRIK2;SLC1A7
Nicotine pharmacodynamics pathway Homo sapiens P06587	6/28	5.58862773266004E-5	0.0015648157651448112	0	0	8.571428571428571	83.93307166326166	CHRNB2;CHRNA3;CHRNB4;CHRNA5;EPB41;KCNK3
Nicotinic acetylcholine receptor signaling pathway Homo sapiens P00044	8/68	2.8608093834103234E-4	0.006408213018839125	0	0	4.705882352941176	38.3964036987731	CHRNB2;SNAP25;CHRNB4;CHRNA3;MYO3B;CHRNA5;MYO3A;CACNA1F
Cortocotropin releasing factor receptor signaling pathway Homo sapiens P04380	5/30	8.133662728634946E-4	0.015182837093451898	0	0	6.666666666666666	47.4288601982859	SNAP25;GNGT2;GNG4;GNB3;GNB5
GABA-B receptor II signaling Homo sapiens P05731	5/35	0.0016723009219112865	0.026756814750580584	0	0	5.7142857142857135	36.53459887596522	GNAO1;GABBR2;GNGT2;GNG4;GNB3
Wnt signaling pathway Homo sapiens P00057	16/278	0.001790761350436638	0.02507065890611293	0	0	2.302158273381295	14.56141447854846	APC2;NLK;CELSR3;PCDHA10;MYCN;CDH2;FRZB;CDH20;GNG4;CDHR1;CDH23;SAG;PCDHB5;GNB3;CTNNA2;PCDHA7
Dopamine receptor mediated signaling pathway Homo sapiens P05912	6/52	0.0018207189216583558	0.022657835469526204	0	0	4.615384615384615	29.116263895337994	SNAP25;GNAZ;EPB41;GNG4;GNB3;KCNK3
Endogenous cannabinoid signaling Homo sapiens P05730	4/23	0.0023425796244436227	0.026236891793768573	0	0	6.956521739130435	42.13219167446808	GNAO1;GNGT2;GNG4;GNB3
Synaptic vesicle trafficking Homo sapiens P05734	4/23	0.0023425796244436227	0.023851719812516884	0	0	6.956521739130435	42.13219167446808	SNAP25;SYT1;SYT11;SYP
Opioid proopiomelanocortin pathway Homo sapiens P05917	3/18	0.009582224106397506	0.08943409165971006	0	0	6.666666666666666	30.985637016835305	GNAO1;SNAP25;KCNK3
Angiotensin II-stimulated signaling through G proteins and beta-arrestin Homo sapiens P05911	4/34	0.009885910454645437	0.08517092084002223	0	0	4.705882352941176	21.72538692674213	GNGT2;GNG4;GNB3;GNB5
Cadherin signaling pathway Homo sapiens P00012	9/150	0.013266308662009398	0.10613046929607518	0	0	2.4	10.37406633839913	CDH2;CDH20;CDHR1;CDH23;PCDHB5;CTNNA2;CELSR3;PCDHA10;PCDHA7
Muscarinic acetylcholine receptor 2 and 4 signaling pathway Homo sapiens P00043	4/39	0.015905781183770465	0.11876316617215281	0	0	4.102564102564102	16.989015956420822	GNAO1;SNAP25;GNAT2;GNAT1
5HT1 type receptor mediated signaling pathway Homo sapiens P04373	3/29	0.035073626746766035	0.24551538722736224	0	0	4.137931034482758	13.863334368288841	GNAO1;SNAP25;KCNK3
Huntington disease Homo sapiens P00029	7/124	0.03629100572845635	0.23909368479924187	0	0	2.258064516129032	7.488160455296562	ARL4C;GRIN2A;TUBB3;GRIK3;GRIK2;HAP1;VAT1L
Metabotropic glutamate receptor group II pathway Homo sapiens P00040	3/30	0.038268755933891604	0.23811670358865886	0	0	4.0	13.052485950718438	GNAO1;SNAP25;GNAT2
5HT3 type receptor mediated signaling pathway Homo sapiens P04375	2/16	0.05940541077305161	0.35017926350430423	0	0	5.0	14.116849831533036	SNAP25;KCNK3
5HT4 type receptor mediated signaling pathway Homo sapiens P04376	2/16	0.05940541077305161	0.332670300329089	0	0	5.0	14.116849831533036	SNAP25;KCNK3
Axon guidance mediated by semaphorins Homo sapiens P00007	2/17	0.0662415915707929	0.35328848837756216	0	0	4.705882352941176	12.773867020503221	DPYSL5;CRMP1
Oxytocin receptor mediated signaling pathway Homo sapiens P04391	3/39	0.07322950908508677	0.3728047735240781	0	0	3.076923076923077	8.04355941437563	SNAP25;OXTR;CACNA1F
Axon guidance mediated by Slit/Robo Homo sapiens P00008	2/18	0.07332402120449992	0.3570561032566953	0	0	4.444444444444444	11.612742279715478	NTNG2;DCC
Opioid prodynorphin pathway Homo sapiens P05916	2/18	0.07332402120449992	0.34217876562099964	0	0	4.444444444444444	11.612742279715478	GNAO1;SNAP25
Opioid proenkephalin pathway Homo sapiens P05915	2/18	0.07332402120449992	0.32849161499615964	0	0	4.444444444444444	11.612742279715478	SNAP25;KCNK3
PI3 kinase pathway Homo sapiens P00048	3/42	0.08718222910547488	0.37555421768512254	0	0	2.8571428571428568	6.970727895708977	GNGT2;GNB3;GNB5
5HT2 type receptor mediated signaling pathway Homo sapiens P04374	3/46	0.10736313441562158	0.4453581872055413	0	0	2.6086956521739126	5.821404549935052	SNAP25;CACNA1F;KCNK3
T cell activation Homo sapiens P00053	4/73	0.10995046855934236	0.43980187423736944	0	0	2.191780821917808	4.838849973529832	CD74;HLA-DRA;HLA-DOA;HLA-DPA1
Beta2 adrenergic receptor signaling pathway Homo sapiens P04378	2/28	0.15436955442437558	0.5961858653631057	0	0	2.8571428571428568	5.338302420588211	SNAP25;CACNA1F
Beta1 adrenergic receptor signaling pathway Homo sapiens P04377	2/28	0.15436955442437558	0.5763130031843355	0	0	2.8571428571428568	5.338302420588211	SNAP25;CACNA1F
Axon guidance mediated by netrin Homo sapiens P00009	2/30	0.17213040735200277	0.6218905039814294	0	0	2.6666666666666665	4.692007752438898	NTNG2;DCC
Pyruvate metabolism Homo sapiens P02772	1/8	0.18337711757031785	0.6418199114961125	0	0	5.0	8.481052474133024	ME1
Vasopressin synthesis Homo sapiens P04395	1/10	0.22371474296156477	0.7592742791422804	0	0	4.0	5.989534030397172	SEC11C
Pyrimidine Metabolism Homo sapiens P02771	1/10	0.22371474296156477	0.7369426826969193	0	0	4.0	5.989534030397172	DPYSL5
Fructose galactose metabolism Homo sapiens P02744	1/10	0.22371474296156477	0.7158871774770073	0	0	4.0	5.989534030397172	ALDOC
Beta3 adrenergic receptor signaling pathway Homo sapiens P04379	1/11	0.2431315551769016	0.7564092827725828	0	0	3.6363636363636362	5.142373101111616	SNAP25
Cytoskeletal regulation by Rho GTPase Homo sapiens P00016	3/70	0.2550357246055415	0.772000031238396	0	0	1.7142857142857142	2.342317109389694	MYO3B;TUBB3;MYO3A
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027	4/106	0.27370424359244905	0.8067072442724814	0	0	1.5094339622641508	1.9557843902131955	GNAO1;GNGT2;GNG4;GRM8
Muscarinic acetylcholine receptor 1 and 3 signaling pathway Homo sapiens P00042	2/42	0.2828519333369492	0.8122927316343156	0	0	1.9047619047619047	2.4053937562173484	SNAP25;GRIN2A
JAK/STAT signaling pathway Homo sapiens P00038	1/14	0.29852170306951037	0.8358607685946291	0	0	2.8571428571428568	3.4540361191199316	STAT1
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	6/188	0.3306142969143183	0.9031414940098452	0	0	1.276595744680851	1.4129398074579596	GNAO1;MYO3B;GNG4;MYO3A;GNB3;PTGS1
Cell cycle Homo sapiens P00013	1/16	0.33318195100730313	0.8884852026861416	0	0	2.5	2.7476663470054308	CCNE2
Enkephalin release Homo sapiens P05913	1/17	0.3498657220916832	0.9112781598667098	0	0	2.352941176470588	2.4710725865370216	GNAO1
Glycolysis Homo sapiens P00024	1/17	0.3498657220916832	0.8905672925970118	0	0	2.352941176470588	2.4710725865370216	ENO2
DNA replication Homo sapiens P00017	1/19	0.3819938041881401	0.9507401348682598	0	0	2.1052631578947367	2.0260018734944683	PCNA
