Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuronal System Homo sapiens R-HSA-112316	33/301	1.1368840926755233E-12	1.7394326617935506E-9	0	0	4.385382059800664	120.60997806971318	GABRB3;GRIA1;SNAP25;CHRNA3;CHRNA5;RASGRF2;KCNA2;GRIK3;SLC1A2;SLC1A3;GRIK2;SLC1A7;GABRR3;GRIN2A;KCNV2;GNGT2;GNG4;PPFIA2;CHRNB2;GABBR2;CHRNB4;SYT1;KCNH7;KCNB2;GAD2;SLC6A11;GJD2;LRFN2;KCNQ3;GNB3;GNB5;KCNK3;HCN1
Transmission across Chemical Synapses Homo sapiens R-HSA-112315	24/211	6.794149427966512E-10	5.197524312394382E-7	0	0	4.549763033175355	96.04453793214668	GABRB3;CHRNB2;GRIA1;GABBR2;SNAP25;CHRNB4;CHRNA3;CHRNA5;SYT1;RASGRF2;GRIK3;SLC1A2;GAD2;SLC1A3;SLC6A11;GRIK2;SLC1A7;GABRR3;GRIN2A;GNGT2;GNG4;GNB3;GNB5;PPFIA2
Inactivation, recovery and regulation of the phototransduction cascade Homo sapiens R-HSA-2514859	9/33	8.025650533857154E-8	4.0930817722671486E-5	0	0	10.909090909090908	178.23314197977552	RCVRN;PDE6G;GUCA1B;RHO;SAG;GUCA1A;GNAT1;GNB5;CNGB1
The phototransduction cascade Homo sapiens R-HSA-2514856	9/34	1.0674773640623306E-7	4.083100917538415E-5	0	0	10.588235294117647	169.97079589081358	RCVRN;PDE6G;GUCA1B;RHO;SAG;GUCA1A;GNAT1;GNB5;CNGB1
Visual phototransduction Homo sapiens R-HSA-2187338	14/97	1.302119069757661E-7	3.984484353458443E-5	0	0	5.773195876288659	91.52884009854527	RCVRN;PDE6G;ABCA4;GUCA1B;GUCA1A;LRP2;RLBP1;RBP3;SAG;RHO;GNAT1;APOE;GNB5;CNGB1
G-protein activation Homo sapiens R-HSA-202040	8/28	2.8870930761576555E-7	7.362087344202021E-5	0	0	11.428571428571427	172.08966298339905	GNAO1;GNAZ;GNGT2;GNAT2;GNG4;GNB3;GNAT1;GNB5
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314	16/142	5.505299363450226E-7	1.2033011465826922E-4	0	0	4.507042253521127	64.95722592441973	CHRNB2;GRIA1;GABRB3;GABBR2;CHRNB4;CHRNA3;CHRNA5;RASGRF2;GRIK3;GRIK2;GABRR3;GRIN2A;GNGT2;GNG4;GNB3;GNB5
Interferon Signaling Homo sapiens R-HSA-913531	18/196	2.2582224734187772E-6	4.3188504804134116E-4	0	0	3.673469387755102	47.75852780938504	HLA-DRB5;NUP210;STAT1;HLA-B;IFI6;HLA-C;ISG15;IFI30;IFIT3;BST2;IFI27;OAS3;HLA-DRA;TRIM26;TRIM22;HLA-DRB1;HLA-DPA1;HLA-DQB1
Interferon gamma signaling Homo sapiens R-HSA-877300	12/93	3.467991400310521E-6	5.895585380527885E-4	0	0	5.161290322580645	64.88740634206435	HLA-DRB5;STAT1;OAS3;HLA-B;HLA-C;HLA-DRA;TRIM26;IFI30;TRIM22;HLA-DRB1;HLA-DPA1;HLA-DQB1
Activation of the phototransduction cascade Homo sapiens R-HSA-2485179	5/11	3.904558047734035E-6	5.973973813033073E-4	0	0	18.18181818181818	226.4248355831621	PDE6G;SAG;RHO;GNAT1;CNGB1
Activation of C3 and C5 Homo sapiens R-HSA-174577	4/6	5.563200259571867E-6	7.737905815586324E-4	0	0	26.666666666666664	322.6489874409088	C3;C4A;CFB;C2
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding Homo sapiens R-HSA-6814122	8/42	8.061054825382381E-6	0.0010277844902362536	0	0	7.619047619047619	89.35974200665258	GNAO1;GNAZ;GNGT2;GNAT2;GNG4;GNB3;GNAT1;GNB5
DNA Replication Homo sapiens R-HSA-69306	12/105	1.2392067965570918E-5	0.0014584510759479618	0	0	4.571428571428571	51.65007529248843	CDT1;FEN1;PCNA;LIG1;MCM8;GMNN;E2F1;MCM4;E2F2;CDC7;CDC6;MCM2
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	6/24	2.1735257460698077E-5	0.0023753531367762897	0	0	10.0	107.3657484815093	SNAP25;SYT1;SLC1A2;SLC1A3;SLC1A7;PPFIA2
Association of licensing factors with the pre-replicative complex Homo sapiens R-HSA-69298	5/15	2.3358040633817734E-5	0.0023825201446494087	0	0	13.333333333333332	142.1942570733213	CDT1;GMNN;E2F1;E2F2;CDC6
Complement cascade Homo sapiens R-HSA-166658	10/80	2.994256633026312E-5	0.002863257905331411	0	0	5.0	52.08114733436264	C1QB;C3;C4A;C1QA;IGKC;CFI;IGLC2;CLU;CFB;C2
Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	8/51	3.570910185180599E-5	0.003213819166662539	0	0	6.2745098039215685	64.25163888841905	SNAP25;SYT1;SLC1A2;SLC1A3;GAD2;SLC6A11;SLC1A7;PPFIA2
Potassium Channels Homo sapiens R-HSA-1296071	11/99	3.707916156772857E-5	0.0031517287332569286	0	0	4.444444444444444	45.344246350952524	GABBR2;KCNV2;GNGT2;KCNH7;GNG4;KCNB2;KCNA2;KCNQ3;GNB3;KCNK3;HCN1
Highly calcium permeable nicotinic acetylcholine receptors Homo sapiens R-HSA-629597	4/9	4.401114538602343E-5	0.00354405539161136	0	0	17.777777777777775	178.3300915892321	CHRNB2;CHRNA3;CHRNB4;CHRNA5
