Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allograft Rejection WP2328	15/89	5.279568393990187E-9	2.491956281963368E-6	0	0	6.741573033707865	128.49048192897905	C1QB;C1QA;HLA-DRB5;STAT1;HLA-B;HLA-C;C2;C3;C4A;HLA-DMA;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706	15/158	1.050308122094825E-5	0.002478727168143787	0	0	3.79746835443038	43.5335768135491	CHRNB2;SNAP25;CHRNB4;TPH1;THRB;SLC1A3;ATP1A3;AQP4;GCK;NEUROD1;C4A;TF;MAP2;NOS1AP;GNB3
Complement Activation WP545	6/22	1.2572051728577316E-5	0.0019780028052961644	0	0	10.909090909090908	123.09855626674089	C1QB;C3;C1QA;C4A;CFB;C2
DNA IR-damage and cellular response via ATR WP4016	10/80	2.994256633026312E-5	0.0035332228269710484	0	0	5.0	52.08114733436264	FANCI;MDC1;FEN1;BRIP1;PCNA;RFWD3;E2F1;FANCA;CLSPN;MCM2
DNA Replication WP466	7/42	7.395833237942806E-5	0.0069816665766180095	0	0	6.666666666666666	63.413391328670514	CDT1;PCNA;GMNN;MCM4;CDC7;CDC6;MCM2
Complement and Coagulation Cascades WP558	8/58	9.224722597183384E-5	0.007256781776450929	0	0	5.517241379310344	51.260901220754754	C1QB;C3;C1QA;CFI;CLU;CFB;SERPINA5;C2
Human Complement System WP2806	10/97	1.567348047614117E-4	0.010568403978198046	0	0	4.123711340206185	36.127650814314634	C3;C4A;FCGR3A;CFI;ITGB2;ITGAX;SPP1;LRP2;CFB;C2
G1 to S cell cycle control WP45	8/64	1.8688724340852448E-4	0.011026347361102945	0	0	5.0	42.92502549699043	PCNA;CDKN2C;CCNE2;E2F1;MCM4;E2F2;MYT1;MCM2
Synaptic Vesicle Pathway WP2267	7/51	2.614908673194426E-4	0.0137137432638641	0	0	5.490196078431373	45.28923795681926	SNAP25;UNC13A;SYT1;SLC1A3;SYP;CPLX2;CPLX3
Ebola Virus Pathway on Host WP4217	11/129	4.003601618845924E-4	0.018896999640952764	0	0	3.4108527131782944	26.683598798116485	BST2;HLA-DRB5;HLA-DMA;STAT1;HLA-B;HLA-C;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Splicing factor NOVA regulated synaptic proteins WP4148	6/42	5.788494517387503E-4	0.02483790374733547	0	0	5.7142857142857135	42.59696073410847	GABBR2;CADM3;CDH2;EPB41;CHL1;GRIK2
Rett syndrome causing genes WP4312	6/48	0.0011935566966289385	0.046946563400738245	0	0	5.0	33.65408804403416	GNAO1;GABBR2;GRIN2A;ACTL6B;SCN8A;HAP1
Nicotine Activity on Dopaminergic Neurons WP1602	4/21	0.0016471077800394765	0.05980268247527946	0	0	7.619047619047619	48.828452493024685	CHRNB2;CHRNA3;CHRNA5;KCNK3
Cell Cycle WP179	9/120	0.0032030697269748824	0.10798920793801033	0	0	2.9999999999999996	17.23093691796331	PCNA;CDKN2C;CCNE2;E2F1;MCM4;E2F2;CDC7;CDC6;MCM2
Ganglio Sphingolipid Metabolism WP1423	3/13	0.003684485563252584	0.11593847905701464	0	0	9.23076923076923	51.72576337848703	ST8SIA1;ST8SIA3;B4GALNT1
MECP2 and Associated Rett Syndrome WP3584	6/62	0.00446069429179549	0.13159048160796696	0	0	3.8709677419354835	20.951422661649456	GRIA1;GPRIN1;E2F1;MYT1;FKBP5;EZH2
Retinoblastoma Gene in Cancer WP2446	7/87	0.006123090843767418	0.17000581636813067	0	0	3.2183908045977008	16.399916271638723	CDT1;PCNA;CCNE2;E2F1;MCM4;E2F2;CDC7
GABA receptor Signaling WP4159	4/31	0.007112686652484723	0.18651044999848831	0	0	5.161290322580645	25.527097997387994	GABRB3;GABBR2;GAD2;SLC6A11
G Protein Signaling Pathways WP35	7/93	0.008744554620997155	0.21723314637424512	0	0	3.010752688172043	14.268932778314063	GNAO1;GNAZ;GNGT2;PDE1C;GNG4;GNB3;GNB5
Phosphodiesterases in neuronal function WP4222	5/53	0.01024902420142917	0.2418769711537284	0	0	3.7735849056603774	17.285180293547484	GRIA1;GRIN2A;PDE1C;PDE6G;PDE6C
