Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mmu-miR-136-5p	20/285	3.569116476669624E-5	0.11563937384409581	0	0	2.807017543859649	28.745564590414013	GABRB3;GRIA1;GALNT13;SLC12A5;DIRAS2;FMN1;LHFPL3;MANEAL;CPLX2;BRI3BP;CORO2B;GDAP1;CELSR3;SCAMP5;BRIP1;MAP2;SPOCK2;KIF21A;TRIM26;MFAP3L
mmu-miR-9-5p	29/510	3.770734738191887E-5	0.061085902758708566	0	0	2.2745098039215685	23.16737350276291	SLC24A2;SNAP25;AMER2;DIRAS2;FMN1;AQP4;CPLX2;JAKMIP2;CHL1;KIF5C;KIF5A;ZIC1;B4GALNT1;KIF21A;NPTX1;PROM1;BSN;ABCA1;SLC12A5;ELOVL2;ST8SIA3;FBXL16;C1QL3;GFAP;EML5;MYCN;SYT11;RCAN2;SCN8A
mmu-miR-17-5p	23/402	2.1624847288118993E-4	0.23354835071168512	0	0	2.288557213930348	19.313323074821994	ABCA1;GABRB3;SLC24A2;DRAXIN;C1QA;GABBR2;SYT1;ST8SIA3;CDC7;NEUROD1;CDH2;DPYSL5;CHL1;SYT11;MAP2;KIF5C;GNG4;SCN8A;KIF5A;KIF21A;B4GALNT1;NPTX1;INSM1
mmu-let-7b-5p	20/333	2.9480579829737713E-4	0.2387926966208755	0	0	2.4024024024024024	19.52959454477487	SLC24A2;SRRM4;GRIK2;FMN2;MANEAL;NR2E1;NLK;PPM1E;MEIS2;UNC80;SLC4A8;FRMD5;CA2;SYT11;SCN8A;ZNF318;IGDCC3;KIF21B;KIF1A;ZSWIM5
mmu-miR-362-5p	17/263	3.573393849979003E-4	0.2315559214786394	0	0	2.585551330798479	20.521067328027684	C8ORF46;SLC24A2;RIC3;CADM3;WWC1;GAD2;CRMP1;MANEAL;CPLX2;PPM1E;GDAP1;CCNE2;MAP2;CHL1;SV2A;KIF21A;HCN1
mmu-miR-425-5p	22/391	3.705667124869315E-4	0.200106024742943	0	0	2.250639386189258	17.781124860599498	ABCA1;C8ORF46;SLC24A2;RAP1GAP2;RIC3;SNAP25;TMEM178B;PAQR4;KCNH7;STMN2;FMN2;GRIK2;KLHL4;GNAO1;OLFM1;DNAJC6;KIF5C;PPP4R4;MAP1B;SCN8A;SCG3;GNB5
mmu-miR-466l-5p	22/391	3.705667124869315E-4	0.17151944977966543	0	0	2.250639386189258	17.781124860599498	SLC24A2;SNAP25;DRAXIN;OXTR;CHRNB4;TMEM151B;ONECUT2;ST8SIA1;FAM107A;GRIK3;SLC1A2;RORB;ST18;STXBP5L;KIAA0556;IGSF11;FRMD5;PCLO;CDH20;KIF1A;MFAP3L;PAPPA2
mmu-miR-466i-5p	22/395	4.254944250344888E-4	0.17232524213896797	0	0	2.2278481012658227	17.293133333482775	SLC24A2;SNAP25;DRAXIN;OXTR;CHRNB4;TMEM151B;ONECUT2;ST8SIA1;FAM107A;GRIK3;SLC1A2;RORB;ST18;STXBP5L;KIAA0556;IGSF11;FRMD5;PCLO;CDH20;KIF1A;MFAP3L;PAPPA2
mmu-miR-466k	22/395	4.254944250344888E-4	0.15317799301241597	0	0	2.2278481012658227	17.293133333482775	SLC24A2;SNAP25;DRAXIN;OXTR;CHRNB4;TMEM151B;ONECUT2;ST8SIA1;FAM107A;GRIK3;SLC1A2;RORB;ST18;STXBP5L;KIAA0556;IGSF11;FRMD5;PCLO;CDH20;KIF1A;MFAP3L;PAPPA2
mmu-miR-466d-5p	22/395	4.254944250344888E-4	0.13786019371117436	0	0	2.2278481012658227	17.293133333482775	SLC24A2;SNAP25;DRAXIN;OXTR;CHRNB4;TMEM151B;ONECUT2;ST8SIA1;FAM107A;GRIK3;SLC1A2;RORB;ST18;STXBP5L;KIAA0556;IGSF11;FRMD5;PCLO;CDH20;KIF1A;MFAP3L;PAPPA2
mmu-miR-7b-5p	23/438	7.166321677662606E-4	0.21108074759660767	0	0	2.100456621004566	15.209296884694792	GRIA1;SLC24A2;CHRNB2;CHGA;DRAXIN;AMER2;SYT1;ST8SIA3;APLP1;STMN2;SLC1A2;ATP1A3;DOC2B;ATP1B2;CPLX2;SNAP91;SCAMP5;SLC4A8;SV2B;CHL1;SYT11;WASF3;POLH
mmu-miR-24-3p	20/359	7.630499701966024E-4	0.20602349195308267	0	0	2.228412256267409	15.995959971221481	RTN1;NUP210;SYT1;SEZ6;SYP;ENO2;CPLX2;SNAP91;NEUROD1;SLC4A8;DPP6;GAP43;PCLO;ATCAY;CHL1;GPRIN1;KIF21B;GNB5;BSN;MCM2
mmu-miR-26a-5p	21/412	0.0017316248019999736	0.43157418142153187	0	0	2.0388349514563107	12.964329854944081	ABCA1;TPD52;SLC24A2;DDX3Y;KCNH7;DIRAS2;TBR1;LHFPL3;FMN2;CPLX2;C1QL3;NOL4;ELAVL2;SCAMP5;GNAO1;SLC4A8;MAP2;SPOCK2;ATP6V0E2;DGKI;EZH2
mmu-miR-15a-5p	24/499	0.0018291952410126133	0.4233280414914905	0	0	1.9238476953907815	12.127703409110685	CADM3;NUP210;TMEM178B;ONECUT2;DCC;CADPS;FAM107A;SLC6A11;CLU;C1QL3;BRI3BP;NEUROD1;OLFM1;SLC4A8;RIMS3;SV2B;RASGEF1B;SV2A;RCAN2;GPRIN1;SCN8A;HAP1;KIF21B;WASF3
hsa-miR-374c-3p	5/36	0.0019026839065610093	0.410979723817178	0	0	5.555555555555555	34.802721150917634	PCNA;HIST1H2BO;MYCN;FMN2;STXBP5L
hsa-miR-3692-5p	7/72	0.0021227913385874863	0.429865246063966	0	0	3.888888888888889	23.936202061340634	NEUROD1;MYCN;SV2B;MYO3A;MSH5;GRIK3;IGF2BP1
mmu-miR-466o-3p	14/234	0.0023783040780497567	0.45327677722830656	0	0	2.393162393162393	14.457973785582633	TMEM178B;ST8SIA1;DIRAS2;GRIK3;FAM107A;LHFPL3;ENO2;SLC1A7;RNF157;ARL4C;OAS3;SPOCK2;E2F1;BSN
mmu-miR-466m-3p	14/234	0.0023783040780497567	0.4280947340489562	0	0	2.393162393162393	14.457973785582633	TMEM178B;ST8SIA1;DIRAS2;GRIK3;FAM107A;LHFPL3;ENO2;SLC1A7;RNF157;ARL4C;OAS3;SPOCK2;E2F1;BSN
mmu-miR-376c-3p	5/38	0.0024318035074588607	0.4146864928508794	0	0	5.263157894736842	31.679590067224634	RS1;ST8SIA1;PTPRO;PNPLA3;PLEKHH1
hsa-miR-604	5/39	0.002733022776620701	0.4427496898125535	0	0	5.128205128205128	30.26844634945942	SRRM4;SV2B;GPRIN1;MSI1;SLC1A7
mmu-miR-301b-3p	19/375	0.003004212229007144	0.4635070296182451	0	0	2.0266666666666664	11.77035286151081	ABCA1;SLC24A2;GABBR2;SYT1;ST8SIA3;SLC1A2;SOGA3;ENO2;CLU;STXBP5L;SCAMP5;FSTL5;STRIP2;DPP6;KIF5C;MAP1B;KIF5A;KIF21A;MFAP3L
mmu-miR-34b-5p	17/335	0.004784372685825113	0.7046076137306075	0	0	2.0298507462686564	10.84427536332117	RAP1GAP2;SYT4;NUP210;SYT1;APLP1;LHFPL3;RORB;CPLX2;GDAP1;CELSR3;SCAMP5;NEUROD1;KIF5C;GPRIN1;TRIM36;PROM1;DTL
mmu-miR-19b-3p	16/310	0.005203421453763337	0.7330037178344876	0	0	2.064516129032258	10.856131918215807	SLC24A2;RIC3;SNAP25;CADM3;SYT1;STAT1;ST8SIA3;DIRAS2;SOGA3;SCAMP5;NEUROD1;TMEM179;DPP6;SYT11;KIF21A;KIF21B
mmu-miR-343	6/64	0.005218196737777777	0.7044565596	0	0	3.75	19.708512709886456	RS1;SLC4A8;GALNT13;LHFPL3;KIF21B;FBXL16
mmu-let-7c-5p	3/16	0.006823799195615574	0.8843643757517785	0	0	7.5	37.40504171568808	MYCN;MEIS2;EZH2
hsa-miR-6817-3p	16/321	0.007193775348542435	0.8964550818952881	0	0	1.9937694704049842	9.83833353133585	SERPINA3;CD84;TMEM151B;HLA-C;PLEKHA6;ATP1A3;SOGA3;FBXL16;CLU;IFI44L;GJD2;PEX5L;EGFLAM;NPVF;GDAP1L1;PROM1
mmu-miR-3097-5p	3/17	0.00813412351983557	0.9760948223802685	0	0	7.0588235294117645	33.96485143053246	RNF157;GPM6A;SLC12A5
hsa-miR-8064	9/140	0.008691535108006791	1.0	0	0	2.571428571428571	12.202471807871827	ATAT1;CADM3;SYT1;SCN8A;MAP1B;CADPS;GRIK3;BRI3BP;MDGA1
hsa-miR-574-5p	19/415	0.008694059808606732	0.9713363372374417	0	0	1.8313253012048192	8.689849645851066	OXTR;TMEM151B;THRB;MCM8;KCNK12;PLEKHA6;NR2E1;NLK;BRI3BP;ST18;JAKMIP2;SV2B;DPYSL5;DNAJC6;MAP2;KCNQ3;MYBL1;CNTNAP5;SOX5
hsa-miR-3922-5p	6/72	0.00920869205168462	0.9945387415819389	0	0	3.333333333333333	15.625358175773448	PSD;SLC24A2;TMEM178B;NR2E1;KIF21B;SRPK1
