	Uniprot	ProteinName	Reviewed	GeneName	CommonPathways_KEGG_2019_Human	Pathways_KEGG_2019_Human	PathwaysDB_KEGG_2019_Human	CommonPathways_WikiPathways_2019_Human	Pathways_WikiPathways_2019_Human	PathwaysDB_WikiPathways_2019_Human	CommonPathways_Reactome_2016	Pathways_Reactome_2016	PathwaysDB_Reactome_2016
0	P26006	Integrin alpha-3	Swiss-Prot	ITGA3	9.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810', 'hsa05200']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	2.0	['R-HSA-1474244', 'R-HSA-3000157']	Reactome_2016
1	P08514	Integrin alpha-IIb	Swiss-Prot	ITGA2B	9.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810', 'hsa05200']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	2.0	['R-HSA-1474244', 'R-HSA-3000178']	Reactome_2016
2	P06756	Integrin alpha-V	Swiss-Prot	ITGAV	9.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810', 'hsa05200']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	4.0	['R-HSA-1474244', 'R-HSA-1566948', 'R-HSA-3000178', 'R-HSA-3000157']	Reactome_2016
3	P17301	Integrin alpha-2	Swiss-Prot	ITGA2	9.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810', 'hsa05200']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	3.0	['R-HSA-1474244', 'R-HSA-3000178', 'R-HSA-3000157']	Reactome_2016
4	P05556	Integrin beta-1	Swiss-Prot	ITGB1	9.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810', 'hsa05200']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	4.0	['R-HSA-1474244', 'R-HSA-1566948', 'R-HSA-3000178', 'R-HSA-3000157']	Reactome_2016
5	P23229	Integrin alpha-6	Swiss-Prot	ITGA6	9.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810', 'hsa05200']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	4.0	['R-HSA-1474244', 'R-HSA-1474290', 'R-HSA-2022090', 'R-HSA-3000157']	Reactome_2016
6	P08648	Integrin alpha-5	Swiss-Prot	ITGA5	8.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810']	KEGG_2019_Human	6.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541', 'WP4239']	WikiPathways_2019_Human	2.0	['R-HSA-1474244', 'R-HSA-1566948']	Reactome_2016
7	O75578	Integrin alpha-10	Swiss-Prot	ITGA10	8.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	1.0	['R-HSA-1474244']	Reactome_2016
8	Q13683	Integrin alpha-7	Swiss-Prot	ITGA7	8.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	3.0	['R-HSA-1474244', 'R-HSA-3000178', 'R-HSA-3000157']	Reactome_2016
9	P05106	Integrin beta-3	Swiss-Prot	ITGB3	8.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	3.0	['R-HSA-1474244', 'R-HSA-1566948', 'R-HSA-3000178']	Reactome_2016
10	Q13797	Integrin alpha-9	Swiss-Prot	ITGA9	8.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	2.0	['R-HSA-1474244', 'R-HSA-3000178']	Reactome_2016
11	P26012	Integrin beta-8	Swiss-Prot	ITGB8	8.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	2.0	['R-HSA-1474244', 'R-HSA-1566948']	Reactome_2016
12	P26010	Integrin beta-7	Swiss-Prot	ITGB7	8.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	1.0	['R-HSA-1474244']	Reactome_2016
13	P25391	Laminin subunit alpha-1	Swiss-Prot	LAMA1	8.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa05200']	KEGG_2019_Human	3.0	['WP306', 'WP3932', 'WP4172']	WikiPathways_2019_Human	3.0	['R-HSA-1474244', 'R-HSA-3000178', 'R-HSA-3000157']	Reactome_2016
14	P53708	Integrin alpha-8	Swiss-Prot	ITGA8	8.0	['hsa04512', 'hsa04510', 'hsa04151', 'hsa05410', 'hsa05414', 'hsa05165', 'hsa05412', 'hsa04810']	KEGG_2019_Human	5.0	['WP306', 'WP3932', 'WP4172', 'WP2118', 'WP4541']	WikiPathways_2019_Human	3.0	['R-HSA-1474244', 'R-HSA-1566948', 'R-HSA-3000178']	Reactome_2016
