Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Visual Signal Transduction Homo sapiens h rhodopsinPathway	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	PDE6G;GUCA1A
PTEN dependent cell cycle arrest and apoptosis Homo sapiens h ptenPathway	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	CDKN1B;FOXO3
Eicosanoid Metabolism Homo sapiens h eicosanoidPathway	2/23	0.11187435504137663	1.0	0	0	3.4782608695652173	7.618709103989623	CYSLTR2;EPHX1
CTCF: First Multivalent Nuclear Factor Homo sapiens h ctcfPathway	2/23	0.11187435504137663	1.0	0	0	3.4782608695652173	7.618709103989623	CD79B;CDKN1B
Basic mechanism of action of PPARa, PPARb(d) and PPARg and effects on gene expression Homo sapiens h pparPathway	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	RXRA
Multi-Drug Resistance Factors Homo sapiens h mrpPathway	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	GSTP1
WNT Signaling Pathway Homo sapiens h wntPathway	2/30	0.17213040735200277	1.0	0	0	2.6666666666666665	4.692007752438898	TLE1;NLK
Inhibition of Matrix Metalloproteinases Homo sapiens h reckPathway	1/8	0.18337711757031785	1.0	0	0	5.0	8.481052474133024	TIMP2
Visceral Fat Deposits and the Metabolic Syndrome Homo sapiens h vobesityPathway	1/8	0.18337711757031785	1.0	0	0	5.0	8.481052474133024	RXRA
SUMOylation as a mechanism to modulate CtBP-dependent gene responses Homo sapiens h ctbp1Pathway	1/8	0.18337711757031785	1.0	0	0	5.0	8.481052474133024	CDH1
Ceramide Signaling Pathway Homo sapiens h ceramidePathway	2/33	0.19933052198776197	1.0	0	0	2.4242424242424243	3.9097961637318743	KSR1;MADD
IFN alpha signaling pathway Homo sapiens h ifnaPathway	1/9	0.20380083047636524	1.0	0	0	4.444444444444444	7.069387036640817	STAT2
SODD/TNFR1 Signaling Pathway Homo sapiens h soddPathway	1/9	0.20380083047636524	1.0	0	0	4.444444444444444	7.069387036640817	MADD
Role of PPAR-gamma Coactivators in Obesity and Thermogenesis Homo sapiens h ppargPathway	1/9	0.20380083047636524	1.0	0	0	4.444444444444444	7.069387036640817	RXRA
Regulation of transcriptional activity by PML Homo sapiens h pmlPathway	1/11	0.2431315551769016	1.0	0	0	3.6363636363636362	5.142373101111616	PAX3
Cell to Cell Adhesion Signaling Homo sapiens h cell2cellPathway	1/12	0.26206365162305645	1.0	0	0	3.333333333333333	4.463892865337529	CDH1
Phospholipase C-epsilon pathway Homo sapiens h plcePathway	1/12	0.26206365162305645	1.0	0	0	3.333333333333333	4.463892865337529	RAP2B
Lck and Fyn tyrosine kinases in initiation of TCR Activation Homo sapiens h tcraPathway	1/13	0.28052310882224873	1.0	0	0	3.076923076923077	3.911074378522308	CD4
Regulation of p27 Phosphorylation during Cell Cycle Progression Homo sapiens h p27Pathway	1/13	0.28052310882224873	1.0	0	0	3.076923076923077	3.911074378522308	CDKN1B
Hemoglobin's Chaperone Homo sapiens h ahspPathway	1/13	0.28052310882224873	1.0	0	0	3.076923076923077	3.911074378522308	ALAD
Melanocyte Development and Pigmentation Pathway Homo sapiens h melanocytepathway	1/13	0.28052310882224873	1.0	0	0	3.076923076923077	3.911074378522308	KIT
Transcription Regulation by Methyltransferase of CARM1 Homo sapiens h carm1Pathway	1/14	0.29852170306951037	1.0	0	0	2.8571428571428568	3.4540361191199316	RXRA
Sumoylation by RanBP2 Regulates Transcriptional Repression Homo sapiens h ranbp2Pathway	1/14	0.29852170306951037	1.0	0	0	2.8571428571428568	3.4540361191199316	HDAC6
Repression of Pain Sensation by the Transcriptional Regulator DREAM Homo sapiens h dreampathway	1/15	0.3160709178495968	1.0	0	0	2.6666666666666665	3.0714364453326795	KCNIP3
Nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells Homo sapiens h rarrxrPathway	1/15	0.3160709178495968	1.0	0	0	2.6666666666666665	3.0714364453326795	RXRA
Gamma-aminobutyric Acid Receptor Life Cycle Homo sapiens h gabaPathway	1/15	0.3160709178495968	1.0	0	0	2.6666666666666665	3.0714364453326795	GABARAP
Endocytotic role of NDK, Phosphins and Dynamin Homo sapiens h ndkDynaminPathway	1/16	0.33318195100730313	1.0	0	0	2.5	2.7476663470054308	EPS15
Bone Remodeling Homo sapiens h ranklPathway	1/16	0.33318195100730313	1.0	0	0	2.5	2.7476663470054308	IRF9
