Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NGF signaling via TRKA from the plasma membrane	10/136	0.002238116783878353	1.0	0	0	2.941176470588235	17.947413200595808	SHC2;RIT1;ADCY9;CDKN1B;DUSP3;RPS6KA2;PIK3R2;FOXO3;ADCY6;ADCY5
PAC1 receptor pathway	5/40	0.0030603438504433	1.0	0	0	5.0	28.946139999524515	PRKCH;ADCY9;PLCD4;ADCY6;ADCY5
Signaling by SCF-KIT	7/78	0.003350695028406084	1.0	0	0	3.5897435897435894	20.456467889481193	PTPRU;CDKN1B;FES;KIT;PIK3R2;FOXO3;SOCS6
Notch signaling pathway	9/121	0.0033859637217307616	1.0	0	0	2.975206611570248	16.923322441562156	HES6;HEYL;TLE1;APH1B;MFAP2;DVL3;PIK3R2;EPS15;HES5
Adenylate cyclase inhibitory pathway	3/13	0.003684485563252584	1.0	0	0	9.23076923076923	51.72576337848703	ADCY9;ADCY6;ADCY5
Signaling by NGF	13/221	0.0038695589542352684	0.9738390034825426	0	0	2.352941176470588	13.06968174999734	SHC2;CDKN1B;DUSP3;MCF2;PIK3R2;FOXO3;ADCY6;ADCY5;RIT1;ADCY9;APH1B;RPS6KA2;SOS2
Statin pathway	4/29	0.005583621105065782	1.0	0	0	5.517241379310344	28.622994590353443	ABCA1;APOC1;PLTP;FDFT1
Regulation of transcription by NOTCH1 intracellular domain	5/47	0.006186730331773237	1.0	0	0	4.25531914893617	21.639781062336326	HEYL;TLE1;HDAC11;HDAC6;HES5
LPA4-mediated signaling events	3/16	0.006823799195615574	1.0	0	0	7.5	37.40504171568808	ADCY9;ADCY6;ADCY5
Neural crest differentiation	7/91	0.007793448162696157	1.0	0	0	3.076923076923077	14.93683654587159	CDH1;HDAC11;PAX3;DVL3;ETS1;HDAC6;HES5
PKA activation in glucagon signaling	3/18	0.009582224106397506	1.0	0	0	6.666666666666666	30.985637016835305	ADCY9;ADCY6;ADCY5
Signaling by NOTCH1	6/73	0.009827521468756376	1.0	0	0	3.287671232876712	15.197485532420906	HEYL;TLE1;APH1B;HDAC11;HDAC6;HES5
PI3K pathway	5/53	0.01024902420142917	1.0	0	0	3.7735849056603774	17.285180293547484	SHC2;PRKCH;RPS6KA2;IRS4;SOS2
Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family	7/97	0.010898290499560565	1.0	0	0	2.8865979381443294	13.044967158205083	HRK;CTSO;PRKCH;KCNIP3;BMF;CTSF;FOXO3
FXR and LXR regulation of cholesterol metabolism	2/7	0.012051662882171474	1.0	0	0	11.428571428571427	50.49774434338215	ABCA1;RXRA
Integration of energy metabolism	8/125	0.013327245294946983	1.0	0	0	2.56	11.053938740966716	DPP4;ADCY9;KCNB1;CACNA1A;VAMP2;ADCY6;SLC25A6;ADCY5
Melanogenesis	7/101	0.013413164283940805	1.0	0	0	2.7722772277227725	11.952724956502475	POMC;ADCY9;KIT;TYRP1;DVL3;ADCY6;ADCY5
Interleukin-4 signaling pathway	7/104	0.015554442504352596	1.0	0	0	2.692307692307692	11.209178048817348	SHC2;FES;IRS4;TFF3;PIK3R2;ETS1;SOS2
Differentiation pathway in PC12 cells	6/84	0.018696947110537213	1.0	0	0	2.8571428571428568	11.369700070200947	SHC2;RIT1;ADCY9;PLCD4;ADCY6;ADCY5
C-Myb transcription factor network	6/85	0.019707152975654504	1.0	0	0	2.8235294117647056	11.087360792274126	CD4;CDKN1B;KIT;NLK;ETS1;SMARCA2
Benzo(a)pyrene metabolism	2/9	0.019987498286726836	1.0	0	0	8.888888888888888	34.779095880349324	EPHX1;CYP1B1
Endothelins	5/64	0.02181970122725916	1.0	0	0	3.125	11.95294372275165	CYSLTR2;PRKCH;ADCY9;ADCY6;ADCY5
Interferon alpha/beta signaling	5/64	0.02181970122725916	1.0	0	0	3.125	11.95294372275165	STAT2;IRF6;HLA-G;IRF9;IFIT2
