Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of lipolysis in adipocytes	6/55	0.0024347423340301366	0.7499006388812821	0	0	4.363636363636363	26.25998987211677	LIPE;ADCY9;IRS4;PIK3R2;ADCY6;ADCY5
Phospholipase D signaling pathway	9/148	0.012233392751043364	1.0	0	0	2.4324324324324325	10.711425297327569	SHC2;ADCY9;KIT;TSC1;PIK3R2;SOS2;ADCY6;CYTH1;ADCY5
Melanogenesis	7/101	0.013413164283940805	1.0	0	0	2.7722772277227725	11.952724956502475	POMC;ADCY9;KIT;TYRP1;DVL3;ADCY6;ADCY5
Longevity regulating pathway	7/102	0.014101859312400756	1.0	0	0	2.7450980392156863	11.698094262410637	ADCY9;IRS4;TSC1;PIK3R2;FOXO3;ADCY6;ADCY5
Relaxin signaling pathway	8/130	0.016544471976192278	1.0	0	0	2.4615384615384617	10.096500313898947	SHC2;ADCY9;RLN2;VEGFB;PIK3R2;SOS2;ADCY6;ADCY5
FoxO signaling pathway	8/132	0.017976225730037213	0.9227795874752437	0	0	2.4242424242424243	9.742315604550935	CDKN1B;IRS4;PIK3R2;FOXO3;NLK;SOS2;GABARAP;RAG1
Insulin signaling pathway	8/137	0.021940705845488007	0.9653910572014723	0	0	2.335766423357664	8.921253496118961	LIPE;SHC2;PPP1R3C;PPP1R3E;IRS4;TSC1;PIK3R2;SOS2
Vasopressin-regulated water reabsorption	4/44	0.02382609847412197	0.9173047912536959	0	0	3.6363636363636362	13.58899536203803	RAB5B;ADCY9;ADCY6;VAMP2
GABAergic synapse	6/89	0.024118332393649237	0.825382930804885	0	0	2.696629213483146	10.044358779564119	ADCY9;CACNA1A;ADCY6;GABARAP;SLC38A5;ADCY5
Prolactin signaling pathway	5/70	0.03071766872573008	0.9461041967524866	0	0	2.8571428571428568	9.951192175476	SHC2;PIK3R2;FOXO3;SOCS6;SOS2
Ovarian steroidogenesis	4/49	0.0337674247955063	0.9454878942741763	0	0	3.265306122448979	11.063701892761872	ADCY9;CYP1B1;ADCY6;ADCY5
