Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Insulin/IGF pathway-protein kinase B signaling cascade Homo sapiens P00033	4/34	0.009885910454645437	1.0	0	0	4.705882352941176	21.72538692674213	IRS4;PIK3R2;TSC1;FOXO3
GABA-B receptor II signaling Homo sapiens P05731	4/35	0.010945733656667284	0.6129610847733679	0	0	4.571428571428571	20.639110944169403	ADCY9;CACNA1A;ADCY6;ADCY5
Thyrotropin-releasing hormone receptor signaling pathway Homo sapiens P04394	4/41	0.01883771080535323	0.7032745367331872	0	0	3.902439024390244	15.500076192637533	PRKCH;CACNA1A;PLCD4;VAMP2
Ionotropic glutamate receptor pathway Homo sapiens P00037	4/45	0.02564991223851159	0.7181975426783245	0	0	3.5555555555555554	13.024764902655056	CACNA1A;GRIA3;VAMP2;GRIN2D
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade Homo sapiens P00032	3/29	0.035073626746766035	0.7856492391275591	0	0	4.137931034482758	13.863334368288841	RPS6KA2;IRS4;SOS2
Endothelin signaling pathway Homo sapiens P00019	5/75	0.03965117281127439	0.7401552258104553	0	0	2.6666666666666665	8.607026005972685	PRKCH;ADCY9;PIK3R2;ADCY6;ADCY5
VEGF signaling pathway Homo sapiens P00056	4/54	0.04578984055205085	0.7326374488328137	0	0	2.962962962962963	9.136868250298553	SHC2;PRKCH;PIK3R2;ETS1
Metabotropic glutamate receptor group III pathway Homo sapiens P00039	4/54	0.04578984055205085	0.6410577677287119	0	0	2.962962962962963	9.136868250298553	CACNA1A;VAMP2;GRIA3;GRIN2D
Wnt signaling pathway Homo sapiens P00057	12/278	0.04767004679801047	0.5932272490419082	0	0	1.7266187050359711	5.254881199524763	PCDHGA11;PCDHGB7;PRKCH;TLE1;CDH1;PCDH20;DVL3;DCHS1;NLK;SMARCA2;CELSR2;NFATC4
PDGF signaling pathway Homo sapiens P00047	6/112	0.062146090059919806	0.6960362086711018	0	0	2.142857142857143	5.9534300878912125	SHC2;RPS6KA2;STAT2;PIK3R2;ETS1;SOS2
Interleukin signaling pathway Homo sapiens P00036	5/86	0.06435408776926937	0.65524162092347	0	0	2.325581395348837	6.379894937115337	CDKN1B;RPS6KA2;STAT2;FOXO3;SOS2
Notch signaling pathway Homo sapiens P00045	3/38	0.06881998761828545	0.6423198844373309	0	0	3.157894736842105	8.451350711138838	HEYL;APH1B;HES5
Oxytocin receptor mediated signaling pathway Homo sapiens P04391	3/39	0.07322950908508677	0.6309003859638245	0	0	3.076923076923077	8.04355941437563	PRKCH;PLCD4;VAMP2
Opioid proopiomelanocortin pathway Homo sapiens P05917	2/18	0.07332402120449992	0.5865921696359994	0	0	4.444444444444444	11.612742279715478	POMC;VAMP2
Cadherin signaling pathway Homo sapiens P00012	7/150	0.08292140597653788	0.6191464979581496	0	0	1.8666666666666667	4.647742466712778	PCDHGA11;PCDHGB7;CDH1;PCDH20;CTNND1;DCHS1;CELSR2
PI3 kinase pathway Homo sapiens P00048	3/42	0.08718222910547488	0.6102756037383241	0	0	2.8571428571428568	6.970727895708977	PIK3R2;FOXO3;SOS2
Muscarinic acetylcholine receptor 1 and 3 signaling pathway Homo sapiens P00042	3/42	0.08718222910547488	0.5743770388125403	0	0	2.8571428571428568	6.970727895708977	PRKCH;VAMP2;GRIN2D
5HT2 type receptor mediated signaling pathway Homo sapiens P04374	3/46	0.10736313441562158	0.668037280808312	0	0	2.6086956521739126	5.821404549935052	PRKCH;PLCD4;VAMP2
