Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adenylate cyclase activating pathway Homo sapiens R-HSA-170660	3/10	0.0016347780174221294	1.0	0	0	11.999999999999998	76.99497903613396	ADCY9;ADCY6;ADCY5
Synthesis of pyrophosphates in the cytosol Homo sapiens R-HSA-1855167	3/10	0.0016347780174221294	1.0	0	0	11.999999999999998	76.99497903613396	NUDT10;IP6K1;IP6K3
Inhibition of adenylate cyclase pathway Homo sapiens R-HSA-997269	3/14	0.004603033511907417	1.0	0	0	8.571428571428571	46.12319771763762	ADCY9;ADCY6;ADCY5
Adenylate cyclase inhibitory pathway Homo sapiens R-HSA-170670	3/14	0.004603033511907417	1.0	0	0	8.571428571428571	46.12319771763762	ADCY9;ADCY6;ADCY5
Signaling by MST1 Homo sapiens R-HSA-8852405	2/5	0.0059328116851476344	1.0	0	0	16.0	82.03611251921258	SPINT1;MST1R
NOTCH1 Intracellular Domain Regulates Transcription Homo sapiens R-HSA-2122947	5/47	0.006186730331773237	1.0	0	0	4.25531914893617	21.639781062336326	HEYL;TLE1;HDAC11;HDAC6;HES5
PKA activation Homo sapiens R-HSA-163615	3/16	0.006823799195615574	1.0	0	0	7.5	37.40504171568808	ADCY9;ADCY6;ADCY5
PKA-mediated phosphorylation of CREB Homo sapiens R-HSA-111931	3/17	0.00813412351983557	1.0	0	0	7.0588235294117645	33.96485143053246	ADCY9;ADCY6;ADCY5
PKA activation in glucagon signalling Homo sapiens R-HSA-164378	3/17	0.00813412351983557	1.0	0	0	7.0588235294117645	33.96485143053246	ADCY9;ADCY6;ADCY5
Signaling by NOTCH1 Homo sapiens R-HSA-1980143	6/72	0.00920869205168462	1.0	0	0	3.333333333333333	15.625358175773448	HEYL;TLE1;APH1B;HDAC11;HDAC6;HES5
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants Homo sapiens R-HSA-2894862	5/57	0.013793849088617314	1.0	0	0	3.508771929824561	15.029938611919315	HEYL;APH1B;HDAC11;HDAC6;HES5
Signaling by NOTCH1 in Cancer Homo sapiens R-HSA-2644603	5/57	0.013793849088617314	1.0	0	0	3.508771929824561	15.029938611919315	HEYL;APH1B;HDAC11;HDAC6;HES5
Signaling by NOTCH1 PEST Domain Mutants in Cancer Homo sapiens R-HSA-2644602	5/57	0.013793849088617314	1.0	0	0	3.508771929824561	15.029938611919315	HEYL;APH1B;HDAC11;HDAC6;HES5
Constitutive Signaling by NOTCH1 PEST Domain Mutants Homo sapiens R-HSA-2644606	5/57	0.013793849088617314	1.0	0	0	3.508771929824561	15.029938611919315	HEYL;APH1B;HDAC11;HDAC6;HES5
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer Homo sapiens R-HSA-2894858	5/57	0.013793849088617314	1.0	0	0	3.508771929824561	15.029938611919315	HEYL;APH1B;HDAC11;HDAC6;HES5
Regulation of insulin secretion Homo sapiens R-HSA-422356	6/80	0.015010081737718086	1.0	0	0	2.9999999999999996	12.597099563402262	KCNB1;CACNA1A;VAMP2;ADCY6;SLC25A6;ADCY5
Metabolism of ingested SeMet, Sec, MeSec into H2Se Homo sapiens R-HSA-2408508	2/8	0.01580491452517871	1.0	0	0	10.0	41.47434341416576	CBS;HNMT
Signalling by NGF Homo sapiens R-HSA-166520	19/450	0.01896429611665833	1.0	0	0	1.6888888888888889	6.696777526082909	SHC2;CDKN1B;DUSP3;KSR1;MCF2;PIK3R2;FOXO3;ADCY6;GRIN2D;ADCY5;RIT1;ADCY9;APH1B;RASGEF1A;RPS6KA2;KIT;KBTBD7;SOS2;MAP3K11
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) Homo sapiens R-HSA-2142816	2/9	0.019987498286726836	1.0	0	0	8.888888888888888	34.779095880349324	CYP2U1;CYP1B1
Integration of energy metabolism Homo sapiens R-HSA-163685	7/110	0.020545457840115355	1.0	0	0	2.545454545454545	9.889384634560166	ADCY9;KCNB1;CACNA1A;VAMP2;ADCY6;SLC25A6;ADCY5
Endogenous sterols Homo sapiens R-HSA-211976	3/24	0.021284306818544364	1.0	0	0	5.0	19.248926234484543	POMC;RXRA;CYP1B1
CaM pathway Homo sapiens R-HSA-111997	3/26	0.026359322007969647	1.0	0	0	4.615384615384615	16.781230569993895	ADCY9;ADCY6;ADCY5
Calmodulin induced events Homo sapiens R-HSA-111933	3/26	0.026359322007969647	1.0	0	0	4.615384615384615	16.781230569993895	ADCY9;ADCY6;ADCY5
NGF signalling via TRKA from the plasma membrane Homo sapiens R-HSA-187037	16/374	0.026714710300598597	1.0	0	0	1.711229946524064	6.199000500883628	SHC2;CDKN1B;DUSP3;KSR1;PIK3R2;FOXO3;ADCY6;GRIN2D;ADCY5;RIT1;ADCY9;RASGEF1A;RPS6KA2;KIT;KBTBD7;MAP3K11
Interferon alpha/beta signaling Homo sapiens R-HSA-909733	5/68	0.02753519263940741	1.0	0	0	2.941176470588235	10.565559882726514	STAT2;IRF6;HLA-G;IRF9;IFIT2
G alpha (z) signalling events Homo sapiens R-HSA-418597	4/46	0.02755542815386633	1.0	0	0	3.4782608695652173	12.492367769086824	PRKCH;ADCY9;ADCY6;ADCY5
Phase 1 - Functionalization of compounds Homo sapiens R-HSA-211945	6/92	0.027829489372417488	1.0	0	0	2.6086956521739126	9.343458395768375	POMC;RXRA;CYP2U1;EPHX1;CYP1B1;BPHL
Apoptotic cleavage of cell adhesion  proteins Homo sapiens R-HSA-351906	2/11	0.02954667996708659	1.0	0	0	7.2727272727272725	25.612973778194785	CDH1;PKP1
Ca-dependent events Homo sapiens R-HSA-111996	3/28	0.03202293203002463	1.0	0	0	4.285714285714286	14.748441458133852	ADCY9;ADCY6;ADCY5
Neuronal System Homo sapiens R-HSA-112316	13/301	0.04027646010319733	1.0	0	0	1.7275747508305646	5.548949536756681	KCNK6;KCNB1;CACFD1;CACNA1A;ADCY6;GRIN2D;ADCY5;PANX1;ADCY9;KCNS1;RPS6KA2;VAMP2;GRIA3
Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels Homo sapiens R-HSA-112308	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	CACFD1;CACNA1A
XBP1(S) activates chaperone genes Homo sapiens R-HSA-381038	4/53	0.04321791047116662	1.0	0	0	3.0188679245283017	9.48377441633977	WFS1;CTDSP2;ATP6V0D1;ADD1
DAG and IP3 signaling Homo sapiens R-HSA-1489509	3/32	0.045086472796717056	1.0	0	0	3.75	11.62189880794663	ADCY9;ADCY6;ADCY5
IRE1alpha activates chaperones Homo sapiens R-HSA-381070	4/55	0.048445342258299454	1.0	0	0	2.9090909090909087	8.806746415378175	WFS1;CTDSP2;ATP6V0D1;ADD1
Glucagon signaling in metabolic regulation Homo sapiens R-HSA-163359	3/33	0.048705626415457094	1.0	0	0	3.6363636363636362	10.988948085170936	ADCY9;ADCY6;ADCY5
EGFR interacts with phospholipase C-gamma Homo sapiens R-HSA-212718	3/34	0.0524623778440582	1.0	0	0	3.5294117647058822	10.403502278005256	ADCY9;ADCY6;ADCY5
PLC-gamma1 signalling Homo sapiens R-HSA-167021	3/34	0.0524623778440582	1.0	0	0	3.5294117647058822	10.403502278005256	ADCY9;ADCY6;ADCY5
Regulation of KIT signaling Homo sapiens R-HSA-1433559	2/16	0.05940541077305161	1.0	0	0	5.0	14.116849831533036	KIT;SOCS6
Metabolism of folate and pterines Homo sapiens R-HSA-196757	2/16	0.05940541077305161	1.0	0	0	5.0	14.116849831533036	DHFRL1;ALDH1L2
Signaling by EGFR Homo sapiens R-HSA-177929	14/355	0.06351872222235967	1.0	0	0	1.5774647887323945	4.348156405351265	SHC2;CDKN1B;KSR1;PIK3R2;FOXO3;ADCY6;GRIN2D;ADCY5;ADCY9;RASGEF1A;KIT;KBTBD7;EPS15;MAP3K11
Apoptotic cleavage of cellular proteins Homo sapiens R-HSA-111465	3/37	0.06453588403923348	1.0	0	0	3.2432432432432434	8.888217950878486	CDH1;PKP1;ADD1
Signaling by SCF-KIT Homo sapiens R-HSA-1433557	13/325	0.06589649084139472	1.0	0	0	1.5999999999999999	4.351472141828339	PTPRU;SHC2;CDKN1B;KSR1;PIK3R2;FOXO3;GRIN2D;RASGEF1A;FES;KIT;KBTBD7;SOCS6;MAP3K11
Unblocking of NMDA receptor, glutamate binding and activation Homo sapiens R-HSA-438066	2/17	0.0662415915707929	1.0	0	0	4.705882352941176	12.773867020503221	GRIA3;GRIN2D
Cytochrome P450 - arranged by substrate type Homo sapiens R-HSA-211897	4/62	0.06934618550712146	1.0	0	0	2.5806451612903225	6.886823579964537	POMC;RXRA;CYP2U1;CYP1B1
Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696	13/329	0.07102278380007357	1.0	0	0	1.5805471124620059	4.180159174799671	SHC2;CDKN1B;KSR1;PIK3R2;FOXO3;ADCY6;GRIN2D;ADCY5;ADCY9;RASGEF1A;KIT;KBTBD7;MAP3K11
Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716	13/329	0.07102278380007357	1.0	0	0	1.5805471124620059	4.180159174799671	SHC2;CDKN1B;KSR1;PIK3R2;FOXO3;ADCY6;GRIN2D;ADCY5;ADCY9;RASGEF1A;KIT;KBTBD7;MAP3K11
Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708	13/329	0.07102278380007357	1.0	0	0	1.5805471124620059	4.180159174799671	SHC2;CDKN1B;KSR1;PIK3R2;FOXO3;ADCY6;GRIN2D;ADCY5;ADCY9;RASGEF1A;KIT;KBTBD7;MAP3K11
GABA B receptor activation Homo sapiens R-HSA-977444	3/39	0.07322950908508677	1.0	0	0	3.076923076923077	8.04355941437563	ADCY9;ADCY6;ADCY5
Activation of GABAB receptors Homo sapiens R-HSA-991365	3/39	0.07322950908508677	1.0	0	0	3.076923076923077	8.04355941437563	ADCY9;ADCY6;ADCY5
