Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Insulin Signaling WP481	12/160	7.108085378581634E-4	0.33550162986905313	0	0	2.9999999999999996	21.74732235041337	LIPE;SHC2;PRKCH;RPS6KA2;IRS4;TSC1;PIK3R2;FOXO3;SOS2;MAP3K11;VAMP2;MAP3K12
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	10/132	0.0017942272043924912	0.42343762023662795	0	0	3.0303030303030303	19.161154171351537	SHC2;RXRA;RPS6KA2;IRS4;TSC1;PIK3R2;FOXO3;SOS2;MAP3K11;MAP3K12
Phosphodiesterases in neuronal function WP4222	6/53	0.002010576111795613	0.31633064158917645	0	0	4.528301886792453	28.1177387556033	ADCY9;PDE6G;PDE9A;ADCY6;ADCY5;GRIN2D
Statin Pathway WP430	4/29	0.005583621105065782	0.6588672903977623	0	0	5.517241379310344	28.622994590353443	ABCA1;APOC1;PLTP;FDFT1
Thermogenesis WP4321	8/108	0.0057383380562570354	0.5416991125106642	0	0	2.962962962962963	15.290624141665512	LIPE;ADCY9;RPS6KA2;TSC1;SMARCA2;SOS2;ADCY6;ADCY5
Imatinib and Chronic Myeloid Leukemia WP3640	3/20	0.012902143644594305	1.0	0	0	5.999999999999999	26.10217084452193	CDKN1B;KIT;FOXO3
Neural Crest Differentiation WP2064	7/101	0.013413164283940805	0.9044305060028657	0	0	2.7722772277227725	11.952724956502475	CDH1;HDAC11;DVL3;PAX3;ETS1;HDAC6;HES5
NAD Biosynthesis II (from tryptophan) WP2485	2/8	0.01580491452517871	0.9324899569855438	0	0	10.0	41.47434341416576	HAAO;NADSYN1
Notch Signaling Pathway WP61	5/61	0.01808225984730525	0.9483140719920087	0	0	3.2786885245901636	13.156799804178378	HES6;TLE1;APH1B;PIK3R2;HES5
Benzo(a)pyrene metabolism WP696	2/9	0.019987498286726836	0.9434099191335067	0	0	8.888888888888888	34.779095880349324	EPHX1;CYP1B1
Pathways Affected in Adenoid Cystic Carcinoma WP3651	5/65	0.023168811652081647	0.994152645434776	0	0	3.076923076923077	11.584456092514266	BRD1;NSD1;MGA;FOXO3;SMARCA2
Type III interferon signaling WP2113	2/10	0.02457569018526242	0.9666438139536552	0	0	8.0	29.64798022792225	STAT2;IRF9
Nuclear Receptors Meta-Pathway WP2882	14/319	0.030479017622172415	1.0	0	0	1.7554858934169277	6.127904063319746	CDKN1B;TSC22D3;GSTP1;SLC39A13;SERPINB9;SLC5A10;CES4A;SLC6A6;RXRA;FTH1;CYP1B1;AHRR;PLTP;IP6K3
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities WP3844	3/30	0.038268755933891604	1.0	0	0	4.0	13.052485950718438	CDKN1B;PIK3R2;FOXO3
Serotonin and anxiety-related events WP3944	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	PLCD4;GRIN2D
Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	ZEB2;CDH1
Chemokine signaling pathway WP3929	8/164	0.05421455955607076	1.0	0	0	1.951219512195122	5.687425912418347	SHC2;ADCY9;STAT2;PIK3R2;FOXO3;SOS2;ADCY6;ADCY5
Signaling Pathways in Glioblastoma WP2261	5/82	0.05456121322238969	1.0	0	0	2.4390243902439024	7.093736656618068	CDKN1B;PRKCH;TSC1;PIK3R2;FOXO3
Ectoderm Differentiation WP2858	7/138	0.058456240913430456	1.0	0	0	2.028985507246377	5.761257322482767	RIT1;PAX3;LDB2;NLK;CELSR2;HDAC6;SERPINB6
Tryptophan catabolism leading to NAD+ production WP4210	2/16	0.05940541077305161	1.0	0	0	5.0	14.116849831533036	HAAO;NADSYN1
Kit receptor signaling pathway WP304	4/59	0.059897577419752636	1.0	0	0	2.711864406779661	7.634221609280811	KIT;PIK3R2;FOXO3;SOCS6
Target Of Rapamycin (TOR) Signaling WP1471	3/36	0.06037988610364689	1.0	0	0	3.333333333333333	9.356997470103483	DDIT4L;ULK2;TSC1
Type II interferon signaling (IFNG) WP619	3/37	0.06453588403923348	1.0	0	0	3.2432432432432434	8.888217950878486	STAT2;IRF9;IFIT2
Serotonin and anxiety WP3947	2/17	0.0662415915707929	1.0	0	0	4.705882352941176	12.773867020503221	POMC;PLCD4
Endometrial cancer WP4155	4/63	0.07265625462332848	1.0	0	0	2.5396825396825395	6.659087746355557	CDH1;PIK3R2;FOXO3;SOS2
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	2/18	0.07332402120449992	1.0	0	0	4.444444444444444	11.612742279715478	TSC1;MAP3K11
NRF2 pathway WP2884	7/146	0.07419886464024615	1.0	0	0	1.917808219178082	4.988231510107349	SLC6A6;RXRA;FTH1;GSTP1;SLC39A13;SLC5A10;CES4A
Farnesoid X Receptor  Pathway WP2879	2/19	0.08063617099611983	1.0	0	0	4.2105263157894735	10.601296667256518	RXRA;IP6K3
Non-small cell lung cancer WP4255	4/66	0.08305732510112497	1.0	0	0	2.4242424242424243	6.03205877749113	RXRA;PIK3R2;FOXO3;SOS2
Breast cancer pathway WP4262	7/154	0.0922082266047438	1.0	0	0	1.8181818181818181	4.33401077591269	HEYL;SHC2;KIT;DVL3;PIK3R2;SOS2;HES5
Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341	4/71	0.10190606046315834	1.0	0	0	2.2535211267605635	5.14637490908864	PRKCH;RXRA;STAT2;ETS1
Notch Signaling WP268	3/45	0.10215828081331627	1.0	0	0	2.6666666666666665	6.0832850553957645	APH1B;DVL3;HES5
NAD+ biosynthetic pathways WP3645	2/22	0.10379556080326813	1.0	0	0	3.6363636363636362	8.237571185428129	NADSYN1;SIRT2
PI3K/AKT/mTOR - VitD3 Signalling WP4141	2/22	0.10379556080326813	1.0	0	0	3.6363636363636362	8.237571185428129	RXRA;TSC1
Aryl Hydrocarbon Receptor Pathway WP2873	3/46	0.10736313441562158	1.0	0	0	2.6086956521739126	5.821404549935052	CDKN1B;CYP1B1;AHRR
Aryl Hydrocarbon Receptor WP2586	3/46	0.10736313441562158	1.0	0	0	2.6086956521739126	5.821404549935052	CDKN1B;CYP1B1;AHRR
Nanoparticle triggered autophagic cell death WP2509	2/23	0.11187435504137663	1.0	0	0	3.4782608695652173	7.618709103989623	ULK2;TSC1
The human immune response to tuberculosis WP4197	2/23	0.11187435504137663	1.0	0	0	3.4782608695652173	7.618709103989623	STAT2;IRF9
Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs) WP688	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	FMO5
Sulindac Metabolic Pathway WP2542	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	CYP1B1
IL1 and megakaryocytes in obesity WP2865	2/24	0.12010982001247623	1.0	0	0	3.333333333333333	7.064495959797489	SELENBP1;TIMP2
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling WP3612	2/24	0.12010982001247623	1.0	0	0	3.333333333333333	7.064495959797489	GSTP1;EPHX1
Differentiation of white and brown adipocyte    WP2895	2/25	0.12848911332067864	1.0	0	0	3.1999999999999997	6.566115518322446	HSPB7;ZNF423
IL-7 Signaling Pathway WP205	2/25	0.12848911332067864	1.0	0	0	3.1999999999999997	6.566115518322446	CDKN1B;PIK3R2
MTHFR deficiency WP4288	2/25	0.12848911332067864	1.0	0	0	3.1999999999999997	6.566115518322446	HNMT;GRIN2D
Synaptic signaling pathways associated with autism spectrum disorder WP4539	3/50	0.12916025190606503	1.0	0	0	2.4	4.912083318606716	TSC1;PIK3R2;GRIN2D
PPAR Alpha Pathway WP2878	2/26	0.1369999344737361	1.0	0	0	3.076923076923077	6.116230250609304	RXRA;PLTP
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	11/303	0.13992019282470833	1.0	0	0	1.4521452145214522	2.855909408821777	LIPE;CDKN1B;PIK3IP1;CAB39L;LAMB2;KIT;VEGFB;IRS4;PIK3R2;TSC1;FOXO3
Wnt Signaling Pathway WP363	3/52	0.14059914501552925	1.0	0	0	2.3076923076923075	4.527328570603137	DVL3;TSC1;NLK
Benzene metabolism WP3891	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	EPHX1
DNA Damage Response (only ATM dependent) WP710	5/110	0.14165333955886242	1.0	0	0	1.8181818181818181	3.553404503369429	CDKN1B;DVL3;PIK3R2;FOXO3;SOS2
Sphingolipid pathway WP1422	2/27	0.1456305058632748	1.0	0	0	2.962962962962963	5.708689324070283	CERS4;COL4A3BP
Interferon type I signaling pathways WP585	3/54	0.15236274042928305	1.0	0	0	2.222222222222222	4.1810914466514895	STAT2;PIK3R2;IRF9
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380	6/144	0.15271071655158933	1.0	0	0	1.6666666666666665	3.1320164813175846	SHC2;KSR1;PIK3R2;FOXO3;GRIA3;NFATC4
Aflatoxin B1 metabolism WP699	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	EPHX1
Arachidonate Epoxygenase / Epoxide Hydrolase WP678	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	GSTP1
Hypothetical Craniofacial Development Pathway WP3655	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	IRF6
MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma WP3593	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	VEGFB
Calcium Regulation in the Cardiac Cell WP536	6/149	0.17044793665898042	1.0	0	0	1.610738255033557	2.8499200843945487	PRKCH;ADCY9;KCNB1;CACNA1A;ADCY6;ADCY5
Metapathway biotransformation Phase I and II WP702	7/183	0.17540955631823524	1.0	0	0	1.530054644808743	2.6632616443051336	CHST9;CYP2U1;GSTP1;EPHX1;CYP1B1;HNMT;FMO5
Integrated Breast Cancer Pathway WP1984	6/151	0.1777736824734573	1.0	0	0	1.5894039735099337	2.7452884520942322	GRN;RASGEF1A;CDH1;MYCBP2;TSC1;PIK3R2
Ras Signaling WP4223	7/184	0.17873041141519813	1.0	0	0	1.5217391304347827	2.6202471368065696	RAB5B;SHC2;KSR1;KIT;PIK3R2;ETS1;SOS2
MET in type 1 papillary renal cell carcinoma WP4205	3/59	0.18301812654553012	1.0	0	0	2.0338983050847457	3.453905245189201	PIK3R2;ETS1;SOS2
Apoptosis Modulation and Signaling WP1772	4/91	0.193365469000841	1.0	0	0	1.7582417582417582	2.889095839916935	HRK;MADD;BMF;TNFRSF10D
ErbB Signaling Pathway WP673	4/91	0.193365469000841	1.0	0	0	1.7582417582417582	2.889095839916935	SHC2;CDKN1B;PIK3R2;SOS2
TYROBP Causal Network WP3945	3/61	0.19571013951815233	1.0	0	0	1.9672131147540983	3.2087618250165857	CD4;KCNE3;NPC2
Alpha 6 Beta 4 signaling pathway WP244	2/33	0.19933052198776197	1.0	0	0	2.4242424242424243	3.9097961637318743	LAMB2;PIK3R2
Prion disease pathway WP3995	2/33	0.19933052198776197	1.0	0	0	2.4242424242424243	3.9097961637318743	RXRA;BATF
G Protein Signaling Pathways WP35	4/93	0.2036425912242253	1.0	0	0	1.7204301075268817	2.737873248162342	PRKCH;ADCY9;ADCY6;ADCY5
Degradation pathway of sphingolipids, including diseases WP4153	1/9	0.20380083047636524	1.0	0	0	4.444444444444444	7.069387036640817	NEU3
Folate-Alcohol and Cancer Pathway Hypotheses WP1589	1/9	0.20380083047636524	1.0	0	0	4.444444444444444	7.069387036640817	CBS
Heme Biosynthesis WP561	1/9	0.20380083047636524	1.0	0	0	4.444444444444444	7.069387036640817	ALAD
Methylation Pathways WP704	1/9	0.20380083047636524	1.0	0	0	4.444444444444444	7.069387036640817	HNMT
Epithelial to mesenchymal transition in colorectal cancer WP4239	6/159	0.20828095366766022	1.0	0	0	1.5094339622641508	2.368101693465638	ZEB2;CDH1;CLDN7;PKP1;PIK3R2;SOS2
Ebola Virus Pathway on Host WP4217	5/129	0.2216043819346316	1.0	0	0	1.5503875968992247	2.336219457722892	NPC2;PIK3R2;HLA-G;EPS15;TPCN2
Gamma-Glutamyl Cycle for the biosynthesis and degradation of glutathione, including diseases WP4518	1/10	0.22371474296156477	1.0	0	0	4.0	5.989534030397172	OPLAH
Liver X Receptor Pathway WP2874	1/10	0.22371474296156477	1.0	0	0	4.0	5.989534030397172	RXRA
Mammary gland development pathway - Involution (Stage 4 of 4) WP2815	1/10	0.22371474296156477	1.0	0	0	4.0	5.989534030397172	CDH1
Trans-sulfuration pathway WP2333	1/10	0.22371474296156477	1.0	0	0	4.0	5.989534030397172	CBS
Vitamin D Metabolism WP1531	1/10	0.22371474296156477	1.0	0	0	4.0	5.989534030397172	RXRA
Human Thyroid Stimulating Hormone (TSH) signaling pathway WP2032	3/66	0.22829261173331122	1.0	0	0	1.8181818181818181	2.685685614666917	CDKN1B;KCNIP3;PIK3R2
PPAR signaling pathway WP3942	3/67	0.23493078009641188	1.0	0	0	1.7910447761194028	2.594264527179215	RXRA;ACOX3;PLTP
VEGFA-VEGFR2 Signaling Pathway WP3888	8/236	0.2395534890653661	1.0	0	0	1.3559322033898304	1.9375980348165265	SHC2;CTNND1;PIK3R2;FOXO3;SMARCA2;EPS15;ETS1;TPCN2
Methionine metabolism leading to Sulphur Amino Acids and related disorders WP4292	1/11	0.2431315551769016	1.0	0	0	3.6363636363636362	5.142373101111616	CBS
NAD metabolism, sirtuins and aging WP3630	1/11	0.2431315551769016	1.0	0	0	3.6363636363636362	5.142373101111616	FOXO3
AMP-activated Protein Kinase (AMPK) Signaling WP1403	3/69	0.24830518328238543	1.0	0	0	1.7391304347826086	2.4227768897492368	LIPE;TSC1;PIK3R2
Wnt Signaling Pathway and Pluripotency WP399	4/102	0.25164686509502815	1.0	0	0	1.5686274509803921	2.164280005079847	PRKCH;CTNND1;DVL3;NLK
