Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CDK Regulation of DNA Replication Homo sapiens h mcmPathway	6/18	3.4058763759439143E-6	8.071927010987077E-4	0	0	13.333333333333332	167.86677696463045	KITLG;MCM7;ORC1;MCM5;CDC6;MCM6
Role of Ran in mitotic spindle regulation Homo sapiens h ranMSpathway	4/11	1.1075885677255863E-4	0.013124924527548197	0	0	14.545454545454545	132.48225718368306	TPX2;RANBP1;RCC1;RAN
Cycling of Ran in nucleocytoplasmic transport Homo sapiens h ranPathway	3/9	0.0011659135205622756	0.09210716812441977	0	0	13.333333333333332	90.05667148557625	RANBP1;RCC1;RAN
Antigen Processing and Presentation Homo sapiens h mhcPathway	3/12	0.0028874338160908373	0.17108045360338212	0	0	10.0	58.47387124231253	CD74;HLA-DRA;HLA-DRB1
Mechanism of Protein Import into the Nucleus Homo sapiens h npcPathway	3/12	0.0028874338160908373	0.1368643628827057	0	0	10.0	58.47387124231253	RANBP1;RCC1;RAN
NFAT and Hypertrophy of the heart Homo sapiens h nfatPathway	4/44	0.02382609847412197	0.9411308897278179	0	0	3.6363636363636362	13.58899536203803	CAMK4;LIF;GATA4;HDAC9
Overview of telomerase protein component gene hTert Transcriptional Regulation  Homo sapiens h tertpathway	2/10	0.02457569018526242	0.8320626534153134	0	0	8.0	29.64798022792225	TERT;WT1
Lck and Fyn tyrosine kinases in initiation of TCR Activation Homo sapiens h tcraPathway	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	HLA-DRA;HLA-DRB1
Sumoylation by RanBP2 Regulates Transcriptional Repression Homo sapiens h ranbp2Pathway	2/14	0.04654140207685347	1.0	0	0	5.7142857142857135	17.52807425877975	HDAC9;RAN
IL 4 signaling pathway Homo sapiens h il4Pathway	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	HLA-DRA;HLA-DRB1
Telomeres, Telomerase, Cellular Aging, and  Immortality Homo sapiens h telPathway	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	XRCC6;TERT
uCalpain and friends in Cell spread Homo sapiens h ucalpainPathway	2/17	0.0662415915707929	1.0	0	0	4.705882352941176	12.773867020503221	ACTN1;ACTN4
ER?associated degradation (ERAD) Pathway Homo sapiens h eradPathway	2/19	0.08063617099611983	1.0	0	0	4.2105263157894735	10.601296667256518	SAE1;UGGT1
The Co-Stimulatory Signal During T-cell Activation Homo sapiens h ctla4Pathway	2/20	0.08816218183787267	1.0	0	0	4.0	9.714308741076266	HLA-DRA;HLA-DRB1
Downregulated of MTA-3 in ER-negative Breast Tumors Homo sapiens h mta3Pathway	2/20	0.08816218183787267	1.0	0	0	4.0	9.714308741076266	TUBA1C;SNAI1
Sprouty regulation of tyrosine kinase signals Homo sapiens h spryPathway	2/20	0.08816218183787267	1.0	0	0	4.0	9.714308741076266	EGF;SPRY2
Phospholipase C Signaling Pathway Homo sapiens h plcPathway	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	PLCB1
Stathmin and breast cancer resistance to antimicrotubule agents Homo sapiens h stathminPathway	2/24	0.12010982001247623	1.0	0	0	3.333333333333333	7.064495959797489	TUBA1C;CAMK4
Proteolysis and Signaling Pathway of Notch  Homo sapiens h notchpathway	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	ADAM17
Basic Mechanisms of SUMOylation Homo sapiens h sumoPathway	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	SAE1
