Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA replication	25/207	8.182706699025708E-11	1.2355887115528817E-7	0	0	4.8309178743961345	112.20489388768694	PSMD12;PSMD11;PSMD14;MCM7;PRIM1;CDC20;PSMD6;PSMB4;RNASEH1;ORC1;PSMB3;POLD1;KNTC1;RFC5;RFC3;RFC4;CDC6;POLA2;CENPH;CENPK;MCM5;MCM6;SSBP1;ITGB3BP;NUP37
S phase	17/112	2.6751214641338674E-9	2.01971670542107E-6	0	0	6.07142857142857	119.84557423503567	RFC5;PSMD12;RFC3;PSMD11;RFC4;PSMD14;MCM7;PRIM1;CDC6;PSMD6;POLA2;PSMB4;ORC1;PSMB3;POLD1;MCM5;MCM6
Licensing factor removal from origins	12/61	2.992370768977804E-8	1.5061599537188279E-5	0	0	7.868852459016393	136.32483754547957	CDC20;PSMD6;PSMD12;PSMB4;PSMD11;MCM7;PSMD14;ORC1;PSMB3;MCM5;MCM6;CDC6
Cell cycle checkpoints	16/117	3.6204790923393965E-8	1.3667308573581222E-5	0	0	5.47008547008547	93.72485131444256	RFC5;PSMD12;RFC3;PSMD11;RFC4;PSMD14;MCM7;CDC6;CDC20;PSMD6;PSMB4;ORC1;PSMB3;MCM5;MCM6;ANAPC1
DNA strand elongation	9/31	4.3861349181713674E-8	1.3246127452877528E-5	0	0	11.612903225806452	196.74850451612284	RFC5;RFC3;POLA2;RFC4;MCM7;PRIM1;POLD1;MCM5;MCM6
DNA replication pre-Initiation	13/88	2.771993276351459E-7	6.976183078817839E-5	0	0	5.909090909090909	89.21858042613597	PSMD12;PSMD11;MCM7;PSMD14;PRIM1;CDC6;PSMD6;PSMB4;POLA2;ORC1;PSMB3;MCM5;MCM6
Extension of telomeres	8/28	2.8870930761576555E-7	6.227872207140086E-5	0	0	11.428571428571427	172.08966298339905	RFC5;RFC3;POLA2;RFC4;TERT;DKC1;PRIM1;POLD1
Leading strand biosynthesis	6/14	5.999838486628661E-7	1.1324695143511597E-4	0	0	17.142857142857142	245.59479601693383	RFC5;RFC3;POLA2;RFC4;PRIM1;POLD1
CDK regulation of DNA replication	6/18	3.4058763759439143E-6	5.714303697417012E-4	0	0	13.333333333333332	167.86677696463045	KITLG;MCM7;ORC1;MCM5;CDC6;MCM6
Cell cycle	29/453	4.089815056627425E-6	6.175620735507411E-4	0	0	2.560706401766004	31.770712001187906	PSMD12;PSMD11;MCM7;PSMD14;PRKDC;PRIM1;CDC20;PSMD6;PSMB4;TERT;ORC1;PSMB3;POLD1;KNTC1;RFC5;RFC3;RFC4;TUBB;CDC6;POLA2;KITLG;CENPH;DKC1;CENPK;MCM5;MCM6;ANAPC1;ITGB3BP;NUP37
