Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA replication	11/36	7.297466663725776E-10	2.2476197324275392E-7	0	0	12.222222222222223	257.13506713133694	RFC5;RFC3;POLA2;RNASEH1;RFC4;MCM7;PRIM1;POLD1;MCM5;MCM6;SSBP1
Proteasome	7/45	1.1661603474237866E-4	0.017958869350326315	0	0	6.222222222222222	56.35232570657764	PSMD12;PSMB4;PSMD6;PSMD11;PSMD14;PSMB3;ADRM1
Mismatch repair	5/23	2.2182233804738793E-4	0.022773760039531826	0	0	8.695652173913043	73.16203283088741	RFC5;RFC3;RFC4;POLD1;SSBP1
Cell adhesion molecules (CAMs)	12/145	2.917791080278022E-4	0.02246699131814077	0	0	3.310344827586207	26.944596484395234	HLA-DMB;CDH2;ITGA4;NRXN3;HLA-DRA;ITGB8;ITGA6;PVR;HLA-DOB;HLA-DRB1;CD22;PTPRF
Gap junction	9/88	3.523607679112438E-4	0.021705423303332617	0	0	4.090909090909091	32.526224993404995	TUBA1C;TUBA1B;PLCB4;EGF;TUBB;ITPR1;ITPR3;ADRB1;PLCB1
Leishmaniasis	8/74	5.119558108905786E-4	0.02628039829238303	0	0	4.324324324324325	32.76658267461084	MAPK11;HLA-DMB;ITGA4;IRAK1;HLA-DRA;IL12A;HLA-DOB;HLA-DRB1
Type I diabetes mellitus	6/43	6.586975280614587E-4	0.02898269123470418	0	0	5.581395348837209	40.88509459578352	HLA-DMB;HLA-DRA;IL12A;HLA-DOB;HLA-DRB1;HSPD1
Hematopoietic cell lineage	9/97	7.23452087262208E-4	0.027852905359595007	0	0	3.711340206185567	26.83846851080933	KITLG;HLA-DMB;ITGA4;HLA-DRA;ITGA6;HLA-DOB;HLA-DRB1;CD22;CD55
Allograft rejection	5/38	0.0024318035074588607	0.08322172003303657	0	0	5.263157894736842	31.679590067224634	HLA-DMB;HLA-DRA;IL12A;HLA-DOB;HLA-DRB1
Viral myocarditis	6/59	0.0034806507103060597	0.10720404187742665	0	0	4.067796610169491	23.025909221512975	CXADR;HLA-DMB;HLA-DRA;HLA-DOB;CD55;HLA-DRB1
Nucleotide excision repair	5/47	0.006186730331773237	0.17322844928965064	0	0	4.25531914893617	21.639781062336326	RFC5;RFC3;RFC4;POLD1;GTF2H3
Intestinal immune network for IgA production	5/48	0.0067673334453859715	0.1736948917649066	0	0	4.166666666666667	20.815200615542235	HLA-DMB;ITGA4;HLA-DRA;HLA-DOB;HLA-DRB1
Asthma	4/31	0.007112686652484723	0.16851596068963806	0	0	5.161290322580645	25.527097997387994	HLA-DMB;HLA-DRA;HLA-DOB;HLA-DRB1
Toxoplasmosis	8/113	0.007493428841261588	0.16485543450775492	0	0	2.831858407079646	13.858347035712622	MAPK11;HLA-DMB;IRAK1;HLA-DRA;IL12A;ITGA6;HLA-DOB;HLA-DRB1
Renin secretion	6/69	0.007519397542553151	0.15439829620709136	0	0	3.4782608695652173	17.00963220261522	PLCB4;PDE1C;ITPR1;ITPR3;ADRB1;PLCB1
Signaling pathways regulating pluripotency of stem cells	9/139	0.008310627265576761	0.15997957486235265	0	0	2.5899280575539567	12.40632567127233	WNT10B;MAPK11;FZD5;DLX5;ID1;LIF;ID3;OTX1;FGFR4
Epstein-Barr virus infection	11/201	0.012571746034179545	0.22777045756042938	0	0	2.189054726368159	9.57996755676654	MAPK11;PSMD6;PSMD12;HLA-DMB;PSMD11;PSMD14;IRAK1;ADRM1;HLA-DRA;HLA-DOB;HLA-DRB1
Antigen processing and presentation	6/77	0.012600003088611844	0.21560005284958042	0	0	3.1168831168831166	13.633428217860189	CD74;HLA-DMB;HLA-DRA;IFI30;HLA-DOB;HLA-DRB1
Cell cycle	8/124	0.012743171259005495	0.20657351304072066	0	0	2.5806451612903225	11.258734808735266	CDC20;ORC1;MCM7;PRKDC;MCM5;CDC6;MCM6;ANAPC1
African trypanosomiasis	4/37	0.013278626831915668	0.2044908532115013	0	0	4.324324324324325	18.687998017259645	PLCB4;IL12A;PLCB1;THOP1
Tuberculosis	10/179	0.014818782078829806	0.21734213715617048	0	0	2.2346368715083798	9.41197730370257	PLK3;CD74;MAPK11;HLA-DMB;IRAK1;HLA-DRA;IL12A;HLA-DOB;HLA-DRB1;HSPD1
Graft-versus-host disease	4/41	0.01883771080535323	0.26372795127494525	0	0	3.902439024390244	15.500076192637533	HLA-DMB;HLA-DRA;HLA-DOB;HLA-DRB1
Homologous recombination	4/41	0.01883771080535323	0.2522615186108172	0	0	3.902439024390244	15.500076192637533	POLD1;XRCC2;RAD54L;SSBP1
Cortisol synthesis and secretion	5/65	0.023168811652081647	0.2973330828683811	0	0	3.076923076923077	11.584456092514266	PLCB4;NCEH1;ITPR1;ITPR3;PLCB1
Inflammatory bowel disease (IBD)	5/65	0.023168811652081647	0.28543975955364587	0	0	3.076923076923077	11.584456092514266	HLA-DMB;HLA-DRA;IL12A;HLA-DOB;HLA-DRB1
RNA transport	9/165	0.023178649070952396	0.274577842840513	0	0	2.1818181818181817	8.213506304095702	NDC1;NUP155;GEMIN6;NUP88;THOC5;EIF2S2;EIF2B1;RAN;NUP37
Salivary secretion	6/90	0.025316242186923396	0.28879268865082985	0	0	2.6666666666666665	9.803490948157773	PLCB4;ITPR1;ITPR3;ADRB1;PLCB1;KCNN4
Long-term potentiation	5/67	0.026025960231530847	0.2862855625468393	0	0	2.9850746268656714	10.891524682558853	PLCB4;CAMK4;ITPR1;ITPR3;PLCB1
Th1 and Th2 cell differentiation	6/92	0.027829489372417488	0.29556836988636503	0	0	2.6086956521739126	9.343458395768375	MAPK11;HLA-DMB;HLA-DRA;IL12A;HLA-DOB;HLA-DRB1
Amoebiasis	6/96	0.033337427807949106	0.3422642588282775	0	0	2.5	8.502686387417974	CXCL8;PLCB4;ACTN1;IL12A;ACTN4;PLCB1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	5/72	0.034121963499969904	0.339018217999701	0	0	2.7777777777777777	9.38281669756106	CDH2;ITGA4;ITGB8;DSG2;ITGA6
Pancreatic secretion	6/98	0.0363381287449294	0.3497544891699455	0	0	2.4489795918367343	8.118092351815841	PLCB4;CTRL;ITPR1;ITPR3;RAB27B;PLCB1
Phagosome	8/152	0.037460548952865345	0.34963179022674323	0	0	2.1052631578947367	6.914667216208758	TUBA1C;TUBA1B;HLA-DMB;SEC61G;TUBB;HLA-DRA;HLA-DOB;HLA-DRB1
Phosphatidylinositol signaling system	6/99	0.03790132072194009	0.3433413759516926	0	0	2.4242424242424243	7.93398623019715	DGKG;PI4K2B;PLCB4;ITPR1;ITPR3;PLCB1
Pentose phosphate pathway	3/30	0.038268755933891604	0.3367650522182461	0	0	4.0	13.052485950718438	PRPS1;RPE;FBP2
Non-homologous end-joining	2/13	0.040550197611673826	0.3469294684554316	0	0	6.153846153846154	19.724397693220933	XRCC6;PRKDC
Ribosome biogenesis in eukaryotes	6/101	0.04115481492961408	0.3425860269816523	0	0	2.376237623762376	7.581182612623305	NOP58;DKC1;WDR75;IMP4;RAN;NOL6
Autoimmune thyroid disease	4/53	0.04321791047116662	0.35029253750313993	0	0	3.0188679245283017	9.48377441633977	HLA-DMB;HLA-DRA;HLA-DOB;HLA-DRB1
Chagas disease (American trypanosomiasis)	6/103	0.0445794522848911	0.3520633667627297	0	0	2.3300970873786406	7.2477256012827525	MAPK11;CXCL8;PLCB4;IRAK1;IL12A;PLCB1
