Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA replication Homo sapiens P00017	6/19	4.872948829010249E-6	5.457702688491478E-4	0	0	12.63157894736842	154.5070900431081	RFC5;RFC3;RFC4;RNASEH1;PRIM1;POLD1
Histamine H1 receptor mediated signaling pathway Homo sapiens P04385	4/26	0.003728002907514726	0.20876816282082467	0	0	6.153846153846154	34.411585244592914	PLCB4;ITPR1;ITPR3;PLCB1
Cell cycle Homo sapiens P00013	3/16	0.006823799195615574	0.25475516996964814	0	0	7.5	37.40504171568808	PSMD12;PSMD11;PSMD14
Alpha adrenergic receptor signaling pathway Homo sapiens P00002	3/23	0.01896828932905573	0.5311121012135605	0	0	5.217391304347825	20.686887009392155	PLCB4;ITPR1;PLCB1
De novo pyrimidine ribonucleotides biosythesis Homo sapiens P02740	2/9	0.019987498286726836	0.44771996162268113	0	0	8.888888888888888	34.779095880349324	CTPS1;NME1
Angiotensin II-stimulated signaling through G proteins and beta-arrestin Homo sapiens P05911	3/34	0.0524623778440582	0.9792977197557531	0	0	3.5294117647058822	10.403502278005256	ITPR1;ITPR3;PLCB1
B cell activation Homo sapiens P00010	4/57	0.05400611450011817	0.8640978320018907	0	0	2.807017543859649	8.192724231142156	MAPK11;ITPR1;ITPR3;CD22
CCKR signaling map ST Homo sapiens P06959	8/165	0.05579600838195077	0.7811441173473108	0	0	1.9393939393939392	5.597193593264909	TPST1;MOB1A;CXCL8;CSNK1A1;CAMK4;AKT1S1;ITPR1;PLCB1
Axon guidance mediated by semaphorins Homo sapiens P00007	2/17	0.0662415915707929	0.8243398062143117	0	0	4.705882352941176	12.773867020503221	DPYSL5;SEMA3A
Blood coagulation Homo sapiens P00011	3/38	0.06881998761828545	0.770783861324797	0	0	3.157894736842105	8.451350711138838	APP;PROCR;F12
Muscarinic acetylcholine receptor 1 and 3 signaling pathway Homo sapiens P00042	3/42	0.08718222910547488	0.8876736054375624	0	0	2.8571428571428568	6.970727895708977	PLCB4;ITPR1;ITPR3
Ubiquitin proteasome pathway Homo sapiens P00060	3/43	0.0920646511043347	0.8592700769737905	0	0	2.7906976744186043	6.656551309777228	PSMD14;UBE2S;SAE1
Alzheimer disease-presenilin pathway Homo sapiens P00004	5/99	0.10244796021859995	0.8826285803448611	0	0	2.02020202020202	4.602828918210063	APP;WNT10B;ADAM17;FZD5;MMP16
T cell activation Homo sapiens P00053	4/73	0.10995046855934236	0.8796037484747389	0	0	2.191780821917808	4.838849973529832	CD74;HLA-DMB;ITPR1;HLA-DRA
Metabotropic glutamate receptor group I pathway Homo sapiens P00041	2/23	0.11187435504137663	0.8353285176422788	0	0	3.4782608695652173	7.618709103989623	PLCB4;ITPR1
Endothelin signaling pathway Homo sapiens P00019	4/75	0.11826909586753341	0.8278836710727339	0	0	2.1333333333333333	4.5542245917778965	PLCB4;ITPR1;ITPR3;PLCB1
5-Hydroxytryptamine degredation Homo sapiens P04372	1/5	0.11891526936765551	0.7834417746574951	0	0	8.0	17.03475249279432	ALDH1A2
Formyltetrahydroformate biosynthesis Homo sapiens P02743	1/5	0.11891526936765551	0.7399172316209676	0	0	8.0	17.03475249279432	MTHFD2
De novo purine biosynthesis Homo sapiens P02738	2/26	0.1369999344737361	0.8075785611083391	0	0	3.076923076923077	6.116230250609304	GMPS;NME1
2-arachidonoylglycerol biosynthesis Homo sapiens P05726	1/6	0.14094786294456849	0.7893080324895835	0	0	6.666666666666666	13.062434822233206	PLCB1
Mannose metabolism Homo sapiens P02752	1/6	0.14094786294456849	0.7517219357043652	0	0	6.666666666666666	13.062434822233206	PMM2
Serine glycine biosynthesis Homo sapiens P02776	1/6	0.14094786294456849	0.7175527568087122	0	0	6.666666666666666	13.062434822233206	SHMT2
Wnt signaling pathway Homo sapiens P00057	10/278	0.160403536053199	0.7810954799112299	0	0	1.4388489208633093	2.633183508738518	WNT10B;SFRP1;PLCB4;FZD5;CDH2;CSNK1A1;TBL1XR1;ITPR1;ITPR3;PLCB1
Alzheimer disease-amyloid secretase pathway Homo sapiens P00003	3/56	0.164424419508895	0.7673139577081766	0	0	2.142857142857143	3.868509150496886	APP;MAPK11;ADAM17
Pyruvate metabolism Homo sapiens P02772	1/8	0.18337711757031785	0.821529486715024	0	0	5.0	8.481052474133024	PKM
De novo pyrimidine deoxyribonucleotide biosynthesis Homo sapiens P02739	1/10	0.22371474296156477	0.9636942773728945	0	0	4.0	5.989534030397172	NME1
Pyrimidine Metabolism Homo sapiens P02771	1/10	0.22371474296156477	0.9280018967294539	0	0	4.0	5.989534030397172	DPYSL5
Oxytocin receptor mediated signaling pathway Homo sapiens P04391	2/39	0.25488887753083794	1.0	0	0	2.051282051282051	2.8039540578253006	PLCB4;PLCB1
Thyrotropin-releasing hormone receptor signaling pathway Homo sapiens P04394	2/41	0.2735343283108339	1.0	0	0	1.951219512195122	2.529420780778097	PLCB4;PLCB1
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027	4/106	0.27370424359244905	1.0	0	0	1.5094339622641508	1.9557843902131955	PLCB4;ITPR1;ITPR3;PLCB1
General transcription by RNA polymerase I Homo sapiens P00022	1/15	0.3160709178495968	1.0	0	0	2.6666666666666665	3.0714364453326795	TAF1B
5HT2 type receptor mediated signaling pathway Homo sapiens P04374	2/46	0.3199619156443703	1.0	0	0	1.7391304347826086	1.981831832838938	PLCB4;PLCB1
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	6/188	0.3306142969143183	1.0	0	0	1.276595744680851	1.4129398074579596	PREX1;CXCL8;PLCB4;ITPR1;ITPR3;PLCB1
Glycolysis Homo sapiens P00024	1/17	0.3498657220916832	1.0	0	0	2.352941176470588	2.4710725865370216	PKM
Integrin signalling pathway Homo sapiens P00034	5/156	0.35127640160744233	1.0	0	0	1.282051282051282	1.341258841590013	ITGA4;ACTN1;ITGB8;ITGA6;ACTN4
Hedgehog signaling pathway Homo sapiens P00025	1/18	0.3661328787804519	1.0	0	0	2.222222222222222	2.232797677094987	CSNK1A1
Endogenous cannabinoid signaling Homo sapiens P05730	1/23	0.4415739476417069	1.0	0	0	1.7391304347826086	1.4215822280628116	PLCB1
FGF signaling pathway Homo sapiens P00021	3/99	0.45159604781162715	1.0	0	0	1.2121212121212122	0.9635966039626941	MAPK11;SPRY2;FGFR4
Oxidative stress response Homo sapiens P00046	1/24	0.455550643812525	1.0	0	0	1.6666666666666665	1.310413975931712	MAPK11
