Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Synthesis of DNA Homo sapiens R-HSA-69239	17/97	2.6568824892553964E-10	4.0650302085607565E-7	0	0	7.0103092783505145	154.5681885966476	RFC5;PSMD12;RFC3;PSMD11;RFC4;PSMD14;MCM7;PRIM1;CDC6;PSMD6;POLA2;PSMB4;ORC1;PSMB3;POLD1;MCM5;MCM6
DNA Replication Homo sapiens R-HSA-69306	17/105	9.586108540538475E-10	7.333373033511933E-7	0	0	6.476190476190476	134.4815658703337	RFC5;PSMD12;RFC3;PSMD11;RFC4;PSMD14;MCM7;PRIM1;CDC6;PSMD6;POLA2;PSMB4;ORC1;PSMB3;POLD1;MCM5;MCM6
S Phase Homo sapiens R-HSA-69242	17/124	1.3039627029513174E-8	6.650209785051719E-6	0	0	5.483870967741935	99.56117387390275	RFC5;PSMD12;RFC3;PSMD11;RFC4;PSMD14;MCM7;PRIM1;CDC6;PSMD6;POLA2;PSMB4;ORC1;PSMB3;POLD1;MCM5;MCM6
DNA strand elongation Homo sapiens R-HSA-69190	9/32	5.968152428154798E-8	2.2828183037692102E-5	0	0	11.25	187.13523758024712	RFC5;RFC3;POLA2;RFC4;MCM7;PRIM1;POLD1;MCM5;MCM6
DNA Replication Pre-Initiation Homo sapiens R-HSA-69002	13/82	1.1805398263144151E-7	3.61245186852211E-5	0	0	6.341463414634146	101.1598096990971	PSMD12;PSMD11;MCM7;PSMD14;PRIM1;CDC6;PSMD6;PSMB4;POLA2;ORC1;PSMB3;MCM5;MCM6
M/G1 Transition Homo sapiens R-HSA-68874	13/82	1.1805398263144151E-7	3.0103765571017584E-5	0	0	6.341463414634146	101.1598096990971	PSMD12;PSMD11;MCM7;PSMD14;PRIM1;CDC6;PSMD6;PSMB4;POLA2;ORC1;PSMB3;MCM5;MCM6
Extension of Telomeres Homo sapiens R-HSA-180786	8/28	2.8870930761576555E-7	6.31036058074459E-5	0	0	11.428571428571427	172.08966298339905	RFC5;RFC3;POLA2;RFC4;TERT;DKC1;PRIM1;POLD1
Polymerase switching on the C-strand of the telomere Homo sapiens R-HSA-174411	6/14	5.999838486628661E-7	1.1474691105677314E-4	0	0	17.142857142857142	245.59479601693383	RFC5;RFC3;POLA2;RFC4;PRIM1;POLD1
Polymerase switching Homo sapiens R-HSA-69091	6/14	5.999838486628661E-7	1.0199725427268724E-4	0	0	17.142857142857142	245.59479601693383	RFC5;RFC3;POLA2;RFC4;PRIM1;POLD1
Leading Strand Synthesis Homo sapiens R-HSA-69109	6/14	5.999838486628661E-7	9.179752884541851E-5	0	0	17.142857142857142	245.59479601693383	RFC5;RFC3;POLA2;RFC4;PRIM1;POLD1
Cell Cycle, Mitotic Homo sapiens R-HSA-69278	31/462	7.064987431031899E-7	9.826755244980732E-5	0	0	2.683982683982684	38.01309756103787	PSMD12;PSMD11;MCM7;PSMD14;PRIM1;NCAPG;CDC20;PSMD6;PSMB4;ORC1;PSMB3;POLD1;NUP88;KNTC1;TMPO;NDC1;RFC5;RFC3;RFC4;NUP155;TUBB;CDC6;TPX2;POLA2;CENPH;CENPK;MCM5;MCM6;ANAPC1;ITGB3BP;NUP37
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867	11/67	7.755643016264256E-7	9.888444845736926E-5	0	0	6.567164179104477	92.39786528694424	PSMD6;PSMD12;PSMB4;PSMD11;MCM7;PSMD14;ORC1;PSMB3;MCM5;MCM6;CDC6
Switching of origins to a post-replicative state Homo sapiens R-HSA-69052	11/70	1.2206556543697723E-6	1.4366178086044245E-4	0	0	6.285714285714286	85.58705522377258	PSMD6;PSMD12;PSMB4;PSMD11;MCM7;PSMD14;ORC1;PSMB3;MCM5;MCM6;CDC6
Orc1 removal from chromatin Homo sapiens R-HSA-68949	11/70	1.2206556543697723E-6	1.3340022508469656E-4	0	0	6.285714285714286	85.58705522377258	PSMD6;PSMD12;PSMB4;PSMD11;MCM7;PSMD14;ORC1;PSMB3;MCM5;MCM6;CDC6
Removal of licensing factors from origins Homo sapiens R-HSA-69300	11/72	1.6298949046901917E-6	1.6624928027839957E-4	0	0	6.111111111111112	81.44274734978823	PSMD6;PSMD12;PSMB4;PSMD11;MCM7;PSMD14;ORC1;PSMB3;MCM5;MCM6;CDC6
Regulation of DNA replication Homo sapiens R-HSA-69304	11/75	2.46921683661184E-6	2.361188600010072E-4	0	0	5.866666666666666	75.74810922975651	PSMD6;PSMD12;PSMB4;PSMD11;MCM7;PSMD14;ORC1;PSMB3;MCM5;MCM6;CDC6
Activation of ATR in response to replication stress Homo sapiens R-HSA-176187	8/37	2.9425392465288463E-6	2.648285321875962E-4	0	0	8.64864864864865	110.15124462774607	RFC5;RFC3;RFC4;MCM7;ORC1;MCM5;CDC6;MCM6
G1/S Transition Homo sapiens R-HSA-69206	13/112	4.548666906364654E-6	3.866366870409956E-4	0	0	4.642857142857142	57.110283079306015	PSMD12;PSMD11;PSMD14;MCM7;PRIM1;CDC6;PSMD6;POLA2;PSMB4;ORC1;PSMB3;MCM5;MCM6
