Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA Replication WP466	11/42	4.539987775604E-9	2.142874230085088E-6	0	0	10.476190476190476	201.2511968499478	RFC5;RFC3;POLA2;RFC4;MCM7;ORC1;PRIM1;POLD1;MCM5;CDC6;MCM6
Retinoblastoma Gene in Cancer WP2446	10/87	6.226175941760925E-5	0.014693775222555782	0	0	4.597701149425287	44.52488797311739	RFC5;ANLN;RFC3;DNMT1;RFC4;MCM7;ORC1;PRKDC;PRIM1;MCM6
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859	4/18	8.936428005945616E-4	0.14059980062687769	0	0	8.888888888888888	62.40181701813813	CDH2;ID1;TNC;SNAI1
Mesodermal Commitment Pathway WP2857	11/147	0.00119266469739293	0.14073443429236573	0	0	2.9931972789115644	20.148902740377117	ADAM19;FOXC1;TRIM28;FZD5;ZIC2;SCHIP1;C1QBP;GATA6;SNAI1;HMGA2;PITX2
Resistin as a regulator of inflammation WP4481	5/33	0.0012737417323898032	0.12024121953759744	0	0	6.0606060606060606	40.398766449770015	CXCL8;PLCB4;ITPR1;IL12A;PLCB1
Ebola Virus Pathway on Host WP4217	10/129	0.0015104380974667088	0.11882113033404774	0	0	3.1007751937984493	20.140637331666486	ADAM17;HLA-DMB;ITGA4;ACTN1;C1QBP;HLA-DRA;ITGA6;ACTN4;HLA-DOB;HLA-DRB1
Allograft Rejection WP2328	8/89	0.0017333911032075885	0.1168800858162831	0	0	3.595505617977528	22.85905838685716	TUBA1B;CXCL8;HLA-DMB;HLA-DRA;IL12A;HLA-DOB;CD55;HLA-DRB1
Parkin-Ubiquitin Proteasomal System pathway WP2359	7/70	0.001802709800962124	0.10635987825676532	0	0	4.0	25.27385720458936	TUBA1C;PSMD6;TUBA1B;PSMD12;PSMD11;PSMD14;TUBB
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	7/74	0.0024850933195517504	0.13032933853649178	0	0	3.7837837837837838	22.693035388645278	CDH2;ITGA4;ACTN1;ITGB8;DSG2;ITGA6;ACTN4
Endoderm Differentiation WP2853	10/141	0.0029128011306778045	0.13748421336799238	0	0	2.8368794326241136	16.563517937383136	APP;SFRP1;WWC1;LHX1;SCHIP1;C1QBP;PAX9;GATA6;GATA4;NME1
Neural Crest Differentiation WP2064	8/101	0.0038291605673186815	0.16430579888858343	0	0	3.168316831683168	17.632030646607024	CDH2;GBX2;DLX5;LHX1;ID1;ZIC1;SNAI1;HDAC9
G1 to S cell cycle control WP45	6/64	0.005218196737777777	0.20524907168592588	0	0	3.75	19.708512709886456	POLA2;MCM7;ORC1;PRIM1;MCM5;MCM6
Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813	3/15	0.005648024777015824	0.205066745750113	0	0	8.0	41.41159513548328	SFRP1;TERT;ITGA6
Ectoderm Differentiation WP2858	9/138	0.007942542515160593	0.26777714765398575	0	0	2.6086956521739126	12.614404797302896	TFAP2C;FZD5;LHX1;SCHIP1;ELOVL2;C1GALT1;GATA6;FHL2;SPRY2
Cell Cycle WP179	8/120	0.010593202126685344	0.33333276025303216	0	0	2.6666666666666665	12.126780779716897	CDC20;ORC1;MCM7;PRKDC;MCM5;CDC6;MCM6;ANAPC1
Nucleotide Metabolism WP404	3/19	0.011170818168534696	0.32953913597177353	0	0	6.31578947368421	28.386002662889787	PRPS1;MTHFD2;POLD1
Non-homologous end joining WP438	2/7	0.012051662882171474	0.3346108753167609	0	0	11.428571428571427	50.49774434338215	XRCC6;PRKDC
BMP Signaling Pathway in Eyelid Development WP3927	3/20	0.012902143644594305	0.338322877791584	0	0	5.999999999999999	26.10217084452193	FOXC1;SFRP1;PITX2
Alzheimers Disease WP2059	6/83	0.01772270748816892	0.44026936496924896	0	0	2.8915662650602405	11.661422321033564	APP;ADAM17;PLCB4;ITPR1;ITPR3;PLCB1
Proteasome Degradation WP183	5/62	0.019277136070105953	0.45494041125450047	0	0	3.225806451612903	12.738179177145623	PSMD6;PSMD12;PSMB4;PSMD11;PSMB3
Pyrimidine metabolism WP4022	6/85	0.019707152975654504	0.44294172402423454	0	0	2.8235294117647056	11.087360792274126	POLA2;PRIM1;POLD1;TWISTNB;CTPS1;NME1
Metabolic reprogramming in colon cancer WP4290	4/42	0.020420811588340845	0.4381192304407672	0	0	3.8095238095238093	14.82362179908072	PKM;SHMT2;PYCR1;SLC1A5
Pathways Affected in Adenoid Cystic Carcinoma WP3651	5/65	0.023168811652081647	0.4754643086861972	0	0	3.076923076923077	11.584456092514266	MAGI1;PRKDC;TLK1;FGFR4;MYBL1
Heart Development WP1591	4/44	0.02382609847412197	0.4685799366577321	0	0	3.6363636363636362	13.58899536203803	FOXC1;GATA6;GATA4;PITX2
Hippo-Merlin Signaling Dysregulation WP4541	7/120	0.03116876470754926	0.58846627767853	0	0	2.333333333333333	8.092790572536876	PLCB4;CDH2;ITGA4;ITGB8;ITGA6;FGFR4;CTGF
Rett syndrome causing genes WP4312	4/48	0.03161375502500175	0.5739112450692626	0	0	3.333333333333333	11.513876558324146	TAF1B;TBL1XR1;SATB2;GABRA3
