	Sample: GSM2344965	Sample: GSM2344966	Sample: GSM2344967	Sample: GSM2344968	Sample: GSM2344969	Sample: GSM2344970	Sample: GSM2344971	Sample: GSM2344972	Sample: GSM2344973	Sample: GSM2344974	Sample: GSM2344975	Sample: GSM2344976
	Normal	Normal	Normal	Perturbation	Perturbation	Perturbation	Perturbation	Perturbation	Perturbation	Perturbation	Perturbation	Perturbation
Gene_name												
Gene: PMEL	1.0812558267636745	1.0817230455332412	1.0852558176244165	0.8893012671618565	0.8985694967004223	0.9267019000723569	-1.1799864098701283	-1.111542676489456	-0.9933424256708494	-0.7789368277271443	-0.9764733022424836	-0.922525711855906
Gene: TYRP1	1.6054587523603523	1.6260075065147979	1.5832620229547532	0.1009721706743687	0.0035248573969517603	0.021178729599743026	-1.0119938185816433	-1.035414662673144	-0.8074555629243024	-0.5068568647941211	-0.7186195244290304	-0.8600636060987243
Gene: SERPINA3	-0.9652813832942513	-1.1474721276835345	-1.1474721276835345	-0.3050979306711086	-0.1714284743676842	-0.05297134428646287	-0.4349614602381339	-0.2877476331289025	-0.3561133425202901	1.7010579317272578	1.5653849499095795	1.6021029422370654
Gene: RPS4Y1	1.074403841689707	1.111301092782218	1.1397440304471291	0.9088987279232638	0.8656864121483685	0.8804276416636533	-0.9967436244423901	-0.9967436244423901	-0.9967436244423901	-0.9967436244423901	-0.9967436244423901	-0.9967436244423901
Gene: OCA2	1.2497199231187046	1.3292297332215988	1.3100138118938802	0.6458981402017212	0.6022241145375068	0.6739307580173509	-1.190439191092039	-0.8761405288363645	-0.8033064016736121	-1.01174126351566	-1.0204210659245114	-0.9089680299485751
Gene: GPR143	1.0823466885970414	1.1279656341029822	1.0602281787298091	0.8947476116331565	0.8803543602488042	0.9084007862739402	-1.06001987668045	-0.7668528617654091	-0.9006328527607121	-0.990239167977385	-1.0010761553327372	-1.2352223450690425
Gene: IL13RA2	-0.7812992895972009	-0.8982736153580981	-0.781932675060352	-0.2962592714420504	-0.45046909483071645	-0.34799426116834686	-0.48410214554149206	-0.3528167605701462	-0.7127280709593405	1.6605399747062068	1.715995349876974	1.729339859944563
Gene: AEBP1	1.7051855504637552	1.6432117986078725	1.8317103296911625	-0.647293018311988	-0.5195338814051126	-0.4264103153145564	-0.5846862472581115	-0.6570377615052013	-0.6529969790963782	-0.6528979850840414	-0.5244078502635253	-0.5148436405238749
Gene: TYR	0.9406916600100117	1.0517044166315328	1.0639183064186737	0.35653090765239137	0.37204393410766246	0.3598098293162482	-1.6480221861462772	-1.6919683951152003	-1.6340492727996605	0.3200677420980777	0.27837134005964637	0.23090171776689442
Gene: KRT81	-0.8396677257716509	-0.9623730303035609	-0.9623730303035609	-0.06697045238211027	-0.32601720097810033	-0.3522369929720643	1.6967873151907131	1.6409819658418123	1.690312858651126	-0.5106145446319031	-0.43271884187031495	-0.5751103204703847
Gene: MAGEA4	-1.6278657261570206	-1.6278657261570206	-1.6278657261570206	0.0419441128393461	0.049007104226744605	0.09617681744567286	0.5135966332256295	0.5031535929006115	0.6024979727575651	1.0137093728436788	1.040502324985153	1.0230092472466592
Gene: QPCT	0.7961590332094376	0.8018634038134145	0.7763327860526222	0.6730212711406265	0.6758359005556357	0.709860845667638	-1.7902006725624013	-1.6792381284204254	-1.5934146710378392	0.28982722645255804	0.19667637859726916	0.14327662653146325
Gene: KIT	1.674785002079097	1.8181597581043742	1.581105990132309	-0.46104729060964045	-0.4257814457755413	-0.31522024452687614	-0.23736670838079155	-0.37986904607176714	-0.644361949058976	-0.9089225638886285	-0.9089225638886285	-0.7925589381149308
Gene: CYSLTR2	1.6384283676588276	1.8279668144478125	1.6935723677608687	-0.5184054481580539	-0.3723317667048063	-0.4141933757640244	-0.7294072797991306	-0.7294072797991306	-0.5274727019276507	-0.5273145365241771	-0.7294072797991306	-0.6120278813914043
