Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Multi-Drug Resistance Factors Homo sapiens h mrpPathway	2/6	0.0087524127649488	1.0	0	0	13.333333333333332	63.17901162743442	ABCB4;GSTP1
mTOR Signaling Pathway Homo sapiens h mTORPathway	3/24	0.021284306818544364	1.0	0	0	5.0	19.248926234484543	RPS6;EIF4EBP1;PDK2
Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway Homo sapiens h igf1mtorpathway	3/25	0.02374801151107834	1.0	0	0	4.8	17.95323109370892	RPS6;EIF4EBP1;PDK2
Insulin Signaling Pathway Homo sapiens h insulinPathway	2/11	0.02954667996708659	1.0	0	0	7.2727272727272725	25.612973778194785	SLC2A14;HRAS
Transcription Regulation by Methyltransferase of CARM1 Homo sapiens h carm1Pathway	2/14	0.04654140207685347	1.0	0	0	5.7142857142857135	17.52807425877975	NCOA3;CARM1
The PRC2 Complex Sets Long-term Gene Silencing Through Modification of Histone Tails Homo sapiens h prc2Pathway	2/14	0.04654140207685347	1.0	0	0	5.7142857142857135	17.52807425877975	CBX4;BMI1
The IGF-1 Receptor and Longevity Homo sapiens h longevityPathway	2/16	0.05940541077305161	1.0	0	0	5.0	14.116849831533036	SOD2;HRAS
Regulation of eIF4e and p70 S6 Kinase Homo sapiens h eif4Pathway	2/24	0.12010982001247623	1.0	0	0	3.333333333333333	7.064495959797489	EIF4EBP1;PDK2
Basic Mechanisms of SUMOylation Homo sapiens h sumoPathway	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	SUMO3
Control of Gene Expression by Vitamin D Receptor Homo sapiens h vdrPathway	2/27	0.1456305058632748	1.0	0	0	2.962962962962963	5.708689324070283	NCOA3;CARM1
Role of ERBB2 in Signal Transduction and Oncology Homo sapiens h her2Pathway	2/28	0.15436955442437558	1.0	0	0	2.8571428571428568	5.338302420588211	CARM1;HRAS
T Cell Receptor Signaling Pathway Homo sapiens h tcrPathway	3/55	0.15835797713897543	1.0	0	0	2.1818181818181817	4.020866466848246	FYN;PTPN7;HRAS
TSP-1 Induced Apoptosis in Microvascular Endothelial Cell  Homo sapiens h tsp1Pathway	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	FYN
Overview of telomerase RNA component gene hTerc Transcriptional Regulation Homo sapiens h tercPathway	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	TERC
Role of MEF2D in T-cell Apoptosis Homo sapiens h mef2dPathway	2/30	0.17213040735200277	1.0	0	0	2.6666666666666665	4.692007752438898	CAPNS1;FYN
mCalpain and friends in Cell motility Homo sapiens h mCalpainPathway	2/30	0.17213040735200277	1.0	0	0	2.6666666666666665	4.692007752438898	CAPNS1;HRAS
SUMOylation as a mechanism to modulate CtBP-dependent gene responses Homo sapiens h ctbp1Pathway	1/8	0.18337711757031785	1.0	0	0	5.0	8.481052474133024	CTBP1
Bioactive Peptide Induced Signaling Pathway Homo sapiens h biopeptidesPathway	2/33	0.19933052198776197	1.0	0	0	2.4242424242424243	3.9097961637318743	FYN;HRAS
Phospholipids as signalling intermediaries Homo sapiens h edg1Pathway	2/33	0.19933052198776197	1.0	0	0	2.4242424242424243	3.9097961637318743	SPHK1;HRAS
Integrin Signaling Pathway Homo sapiens h integrinPathway	2/33	0.19933052198776197	1.0	0	0	2.4242424242424243	3.9097961637318743	FYN;HRAS
CD40L Signaling Pathway Homo sapiens h cd40Pathway	1/9	0.20380083047636524	1.0	0	0	4.444444444444444	7.069387036640817	CD40
Cycling of Ran in nucleocytoplasmic transport Homo sapiens h ranPathway	1/9	0.20380083047636524	1.0	0	0	4.444444444444444	7.069387036640817	RANGAP1
Roles of Beta-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling Homo sapiens h bArrestin-srcPathway	2/34	0.20850978329059616	1.0	0	0	2.352941176470588	3.6888689802047985	ADRBK1;HRAS
Regulation of Splicing through Sam68 Homo sapiens h sam68Pathway	1/10	0.22371474296156477	1.0	0	0	4.0	5.989534030397172	HRAS
EPO Signaling Pathway Homo sapiens h epoPathway	1/11	0.2431315551769016	1.0	0	0	3.6363636363636362	5.142373101111616	HRAS
CXCR4 Signaling Pathway Homo sapiens h cxcr4Pathway	1/11	0.2431315551769016	1.0	0	0	3.6363636363636362	5.142373101111616	HRAS
