Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic ribosomal proteins	55/108	2.8359024206618593E-59	4.282212655199408E-56	0	0	20.37037037037037	2746.1328947138727	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;EIF3K;RPS29;RPL27A;RPS6KB2;EIF3G;RPS20;RPS21;EIF3B
Translation	58/151	1.694679428392194E-53	1.2794829684361065E-50	0	0	15.364238410596027	1866.9011781045845	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;EEF1B2;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;DDOST;EEF1G;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;EIF4EBP1;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;EIF3K;RPS29;RPL27A;EIF3G;RPS20;RPS21;EIF3B
Influenza viral RNA transcription and replication	54/125	3.3366572231063533E-53	1.6794508022968646E-50	0	0	17.279999999999998	2087.977659049738	RPL4;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;POLR2G;RPL18;RPS27A;POLR2L;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21
Influenza infection	53/142	3.962195476638181E-48	1.4957287924309133E-45	0	0	14.929577464788732	1629.5228640776443	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;POLR2G;RPL18;RPS27A;POLR2L;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21
Protein metabolism	70/442	6.232321735673416E-36	1.8821611641733716E-33	0	0	6.334841628959276	513.5232587322229	RPL4;RPL32;RPL31;PRKCSH;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL7;RPS15;EEF1B2;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;SPHK1;RPS5;RPS6;RPL13A;RPSA;RPS3A;DDOST;EEF1G;TUBB2B;RPL24;RPL27;RPL26;RPL29;RPL11;TIMM10;TIMM50;RPS15A;RPL14;RPS3;EIF4EBP1;RPL13;MGAT1;CCT8;CYC1;RPL18;RPS27A;RPL35A;TIMM44;DOHH;GFER;RPS26;RPS27;EIF3K;RPS29;RPL27A;EIF3G;TOMM7;RPS20;RPS21;EIF3B
Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	28/57	5.0273199227904114E-30	1.2652088472355868E-27	0	0	19.64912280701754	1325.582204529602	RPS15;RPS14;RPS17;RPS16;RPS15A;RPS19;RPS18;EIF4EBP1;RPS3;RPS11;RPS27A;RPS10;RPS12;RPS9;RPS7;RPS8;RPS5;RPS6;RPS3A;RPSA;RPS26;RPS27;EIF3K;RPS29;EIF3G;RPS20;RPS21;EIF3B
Cap-dependent translation initiation	30/73	3.769694845220279E-29	8.131770308975173E-27	0	0	16.43835616438356	1075.8571009570824	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL11;RPL10A;RPL8;RPL7;RPL7A;RPL18A;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL18;RPL23;RPL13A;RPL35A;EIF3K;RPL27A;EIF3G;RPL24;RPL27;RPL26;RPL29;EIF3B
Gene expression	86/968	3.2888198530284724E-25	6.207647472591242E-23	0	0	3.5537190082644625	200.33770552591469	RPL4;RPL32;RPL31;RPL34;RPLP1;EHMT2;RPLP0;EIF4A3;RPL8;RPL10A;RPL7;LSM10;RPS15;EEF1B2;RPL7A;RPS14;RPS17;RPS16;SNRPD2;RPS19;RPL18A;RPS18;RPL36;UBTF;RPL35;RPLP2;RPL38;NELFB;NELFCD;TXNL4A;RPS11;RPS10;ZNF641;RPS12;RPS9;WARS;RPS7;RPS8;RPL23;RPS5;NCOA3;RPS6;RPL13A;RPSA;RPS3A;DDOST;EEF1G;RPL24;RPL27;TARS2;RPL26;GEMIN7;RPL29;SNRPB;SF3B5;NFIX;AARS2;RPL11;PSMB10;EXOSC6;RPS15A;EXOSC4;RPL14;RPS3;EIF4EBP1;RPL13;POLR2G;RPL18;RPS27A;VARS2;HNRNPA0;POLR2L;YARS;RPL35A;LSM4;RPS26;LSM7;RPS27;EIF3K;RPS29;RPL27A;CARM1;EIF3G;RPS20;RPS21;EIF3B
Disease	69/674	1.0233818903210934E-23	1.7170073937609455E-21	0	0	4.094955489614243	216.7719741714569	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;MLST8;RPL36;RPL35;RPLP2;RPL38;NELFB;NELFCD;RPS11;RPS10;HRAS;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RANGAP1;PAPPA;RPL24;RPL27;RPL26;RPL29;RPL11;CXXC1;ITPR3;PSMB10;EXOSC6;RPS15A;EXOSC4;ADRBK1;RPL14;RPS3;RPL13;POLR2G;FYN;RPL18;RPS27A;AP1M1;POLR2L;KLHDC3;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS6KB2;RPS20;RPS21
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	14/81	1.2233841692965E-8	1.847310095637715E-6	0	0	6.91358024691358	125.95893206216203	COX8A;NDUFB7;NDUFB10;NDUFA12;NDUFA10;ATP5I;ETFB;COX5B;NDUFS7;UQCRQ;ATP5D;UQCRC1;CYC1;NDUFV1
Tricarboxylic acid (TCA) cycle and respiratory electron transport	15/117	2.3007307916564613E-7	3.158275904910233E-5	0	0	5.128205128205128	78.383942784552	COX8A;NDUFB7;NDUFB10;NDUFA12;NDUFA10;ATP5I;ETFB;COX5B;NDUFS7;UQCRQ;ATP5D;UQCRC1;CYC1;NDUFV1;PDK2
Electron transport chain	12/105	1.2392067965570918E-5	0.001559335219001007	0	0	4.571428571428571	51.65007529248843	COX8A;NDUFB7;NDUFB10;NDUFS7;NDUFA12;UQCRQ;NDUFA10;ATP5D;UQCRC1;ATP5I;COX5B;NDUFV1
Huntington's disease	15/184	6.307399083261884E-5	0.007326286627481112	0	0	3.260869565217391	31.536528466460872	COX8A;NDUFB7;POLR2J2;NDUFB10;NDUFA10;COX5B;SOD2;NDUFS7;UQCRQ;ATP5D;UQCRC1;POLR2G;CYC1;NDUFV1;POLR2L
Oxidative phosphorylation	12/136	1.6030493131171563E-4	0.017290031877192184	0	0	3.5294117647058822	30.841527302838966	COX8A;NDUFB7;NDUFB10;NDUFS7;UQCRQ;NDUFA10;ATP5D;UQCRC1;ATP5I;CYC1;COX5B;NDUFV1
Alzheimer's disease	13/169	3.388509476315506E-4	0.03411099539490943	0	0	3.076923076923077	24.584462245462518	COX8A;NDUFB7;NDUFB10;NDUFA10;ITPR3;COX5B;APH1A;NDUFS7;UQCRQ;ATP5D;UQCRC1;CYC1;NDUFV1
Parkinson's disease	11/131	4.5665813767949604E-4	0.04309711174350244	0	0	3.3587786259541983	25.834299404759545	COX8A;NDUFB7;NDUFB10;NDUFS7;UQCRQ;NDUFA10;ATP5D;UQCRC1;CYC1;COX5B;NDUFV1
Messenger RNA splicing: minor pathway	6/42	5.788494517387503E-4	0.05141545130150077	0	0	5.7142857142857135	42.59696073410847	SF3B5;SNRPD2;POLR2G;TXNL4A;POLR2L;SNRPB
T cell receptor regulation of apoptosis	28/603	0.0013382810262290619	0.11226690831143797	0	0	1.8573797678275288	12.289110483172351	IFITM3;NDUFB7;GSTP1;MGST2;NUDT2;PHB;RPL10A;BMI1;RPL7A;RPS14;PPP2R4;ATP5D;RPL14;RAC2;HRAS;SIVA1;RPL23;SPHK1;IFRD2;RPL13A;RPS3A;SOD2;TBL3;RPS29;RPS20;PTPN7;SNRPB;UBE2M
Mitochondrial protein import	6/52	0.0018207189216583558	0.14469924061600617	0	0	4.615384615384615	29.116263895337994	TOMM7;TIMM44;TIMM10;CYC1;GFER;TIMM50
Metabolism	59/1615	0.0020901037792351944	0.1578028353322572	0	0	1.4613003095975232	9.017014290699752	ST6GALNAC1;PYCRL;NDUFA12;ECI1;NDUFA10;ABAT;ETFB;COMT;PPCDC;IMPA2;CYP1B1;ACADS;PDK2;COX8A;SPHK1;GPT2;NCOA3;DCXR;NME2;DDOST;PISD;APRT;NDUFS7;MTHFD2;DGKQ;PCCB;UQCRC1;B4GALT7;CSNK1G2;DTYMK;NDUFB7;NDUFB10;SHMT2;GSTP1;ABCB4;MGST2;ITPR3;ATP5I;COX5B;ATP5D;POLD2;POLR2G;MGAT1;CYC1;NDUFV1;POLR2L;MPST;POLR2J2;B3GAT3;PYCR1;MTHFS;POLE4;GRHPR;PC;PSAT1;UQCRQ;CARM1;CYP1A1;CHPT1
Mammalian target of rapamycin complex 1 (mTORC1)-mediated signaling	3/11	0.002206288138266319	0.15864262327534007	0	0	10.909090909090908	66.72484091962643	RPS6;EIF4EBP1;MLST8
Pyrimidine metabolism	8/100	0.003602570774643932	0.24726735771419717	0	0	3.1999999999999997	18.003544269770572	POLE4;DTYMK;POLR2J2;POLD2;NME2;NUDT2;POLR2G;POLR2L
Signaling by ERBB2	8/102	0.00406660453159788	0.26698142794403473	0	0	3.1372549019607843	17.270421631821296	ADRBK1;RPS6KB2;MLST8;ITPR3;FYN;STUB1;RPS27A;HRAS
Transfer RNA aminoacylation	5/46	0.0056420272800515175	0.3549775497032413	0	0	4.3478260869565215	22.510921005391545	YARS;AARS2;WARS;TARS2;VARS2
Validated nuclear estrogen receptor beta network	3/15	0.005648024777015824	0.34114069653175577	0	0	8.0	41.41159513548328	SMARCB1;NCOA3;UBE2M
Amino acid biosynthesis and interconversion (transamination)	3/16	0.006823799195615574	0.3963052609761352	0	0	7.5	37.40504171568808	PSAT1;GPT2;PYCR1
Cell death signaling by NRIF in the nucleus	3/16	0.006823799195615574	0.3816272883473895	0	0	7.5	37.40504171568808	APH1A;RPS27A;ITGB3BP
Deadenylation-dependent mRNA decay	5/49	0.0073850048718756625	0.39826276273329464	0	0	4.081632653061225	20.033892666531464	EXOSC6;LSM7;EXOSC4;EIF4A3;LSM4
Translation factors	5/50	0.008040893507605765	0.41868100677533465	0	0	4.0	19.292860276717064	EEF1B2;EEF1G;EIF4EBP1;EIF3G;EIF3B
Estrogen metabolism	3/17	0.00813412351983557	0.4094175504983904	0	0	7.0588235294117645	33.96485143053246	CYP1A1;CYP1B1;COMT
eIF4E release	2/6	0.0087524127649488	0.4263272024216996	0	0	13.333333333333332	63.17901162743442	EIF4EBP1;MLST8
Multi-drug resistance factors	2/6	0.0087524127649488	0.41300447734602147	0	0	13.333333333333332	63.17901162743442	ABCB4;GSTP1
Arachidonate epoxygenase/epoxide hydrolase pathway	2/7	0.012051662882171474	0.5514548773357251	0	0	11.428571428571427	50.49774434338215	COX8A;GSTP1
Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway	3/20	0.012902143644594305	0.5730069677452176	0	0	5.999999999999999	26.10217084452193	RPS6;EIF4EBP1;PDK2
Spliceosome	8/127	0.014553735850747313	0.6278897467036698	0	0	2.5196850393700787	10.658034793877624	SF3B5;LSM7;SNRPD2;EIF4A3;PRPF31;TXNL4A;LSM4;SNRPB
Mitochondrial tRNA aminoacylation	3/21	0.014777987746011578	0.6198544860132634	0	0	5.7142857142857135	24.083522970404665	AARS2;TARS2;VARS2
S6K1 signaling	2/8	0.01580491452517871	0.6450113765681041	0	0	10.0	41.47434341416576	RPS6;MLST8
Shuttle for transfer of acetyl groups from mitochondria to the cytosol	2/8	0.01580491452517871	0.6280373929742066	0	0	10.0	41.47434341416576	PC;SLC25A11
Downregulation of ERBB4 signaling	2/8	0.01580491452517871	0.611933870077432	0	0	10.0	41.47434341416576	NEDD4;RPS27A
RNA degradation	5/59	0.015841491499778683	0.5980163041166453	0	0	3.389830508474576	14.05126351420034	TTC37;EXOSC6;LSM7;EXOSC4;LSM4
Collagen binding in corneal epithelia mediated by Erk and PI-3 Kinase	3/23	0.01896828932905573	0.6985882167530281	0	0	5.217391304347825	20.686887009392155	FYN;PFN1;HRAS
Mitochondrial fatty acid beta-oxidation	3/23	0.01896828932905573	0.6819551639731941	0	0	5.217391304347825	20.686887009392155	ECI1;PCCB;ACADS
Benzo(a)pyrene metabolism	2/9	0.019987498286726836	0.7018865677431981	0	0	8.888888888888888	34.779095880349324	CYP1A1;CYP1B1
Bicarbonate transporters	2/9	0.019987498286726836	0.6859346002944892	0	0	8.888888888888888	34.779095880349324	SLC4A2;SLC4A5
Endosomal/vacuolar pathway	2/9	0.019987498286726836	0.6706916091768338	0	0	8.888888888888888	34.779095880349324	HLA-C;HLA-F
Interferon alpha/beta signaling	5/64	0.02181970122725916	0.7162554098513333	0	0	3.125	11.95294372275165	IFITM3;IFI27;HLA-C;ISG15;HLA-F
Retinoblastoma protein regulation	5/66	0.02457069252754745	0.7893988450339712	0	0	3.0303030303030303	11.230911839233022	SMARCB1;CBX4;CTBP1;SFTPD;UBTF
Zinc influx into cells by the SLC39 gene family	2/10	0.02457569018526242	0.7731102537447136	0	0	8.0	29.64798022792225	SLC39A1;SLC39A3
Interferon signaling	9/168	0.0256658294226503	0.7909265801673868	0	0	2.142857142857143	7.848417356197167	IFITM3;HERC5;IFI27;NEDD4;EIF4A3;HLA-C;ISG15;HLA-F;RPS27A
Estrogen receptor transcription factor targets	3/26	0.026359322007969647	0.7960515246406834	0	0	4.615384615384615	16.781230569993895	CTBP1;NCOA3;CARM1
FSH signaling pathway	3/27	0.029117852235481113	0.8621168014818918	0	0	4.444444444444444	15.717350284548534	RPS6;RPS6KB2;EIF4EBP1
Oxidative stress	3/27	0.029117852235481113	0.8455376322226247	0	0	4.444444444444444	15.717350284548534	NFIX;CYP1A1;SOD2
Signaling by ERBB4	6/93	0.02914569343965597	0.8303773036581229	0	0	2.5806451612903225	9.123737071017121	APH1A;NEDD4;RPS6KB2;MLST8;RPS27A;HRAS
SLBP-dependent processing of replication-dependent histone pre-mRNAs	2/11	0.02954667996708659	0.8262127175981621	0	0	7.2727272727272725	25.612973778194785	LSM10;SNRPB
