Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	56/153	2.878855371348812E-50	8.866874543754341E-48	0	0	14.640522875816991	1670.0717032688335	RPL4;MRPS15;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS18A;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL11;MRPL14;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;MRPL28;RPL35A;MRPL21;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21
Huntington disease	15/193	1.0821125639241346E-4	0.01666453348443167	0	0	3.1088082901554404	28.38785025003534	COX8A;NDUFB7;POLR2J2;NDUFB10;NDUFA12;NDUFA10;COX5B;SOD2;NDUFS7;UQCRQ;UQCRC1;POLR2G;CYC1;NDUFV1;POLR2L
Thermogenesis	16/231	2.4520435902119163E-4	0.025174314192842343	0	0	2.7705627705627704	23.032848004569143	COX8A;SMARCB1;NDUFB7;NDUFB10;NDUFA12;NDUFA10;RPS6;COX5B;NDUFS7;UQCRQ;RPS6KB2;UQCRC1;MLST8;CYC1;HRAS;NDUFV1
Alzheimer disease	13/171	3.7961950627353464E-4	0.029230701983062168	0	0	3.0409356725146197	23.95144663861224	COX8A;NDUFB7;NDUFB10;NDUFA12;NDUFA10;ITPR3;COX5B;APH1A;NDUFS7;UQCRQ;UQCRC1;CYC1;NDUFV1
Oxidative phosphorylation	11/133	5.194372578446371E-4	0.03199733508322965	0	0	3.308270676691729	25.0196721254818	COX8A;NDUFB7;NDUFB10;NDUFS7;NDUFA12;UQCRQ;NDUFA10;UQCRC1;CYC1;COX5B;NDUFV1
Parkinson disease	11/142	8.982723608554924E-4	0.04611131452391528	0	0	3.098591549295774	21.73673510515205	COX8A;NDUFB7;NDUFB10;NDUFS7;NDUFA12;UQCRQ;NDUFA10;UQCRC1;CYC1;COX5B;NDUFV1
Non-alcoholic fatty liver disease (NAFLD)	11/149	0.0013307349578837986	0.058552338146887144	0	0	2.953020134228188	19.55496987492415	COX8A;NDUFB7;NDUFB10;NDUFS7;NDUFA12;UQCRQ;NDUFA10;UQCRC1;CYC1;COX5B;NDUFV1
RNA transport	10/165	0.008706818438237668	0.33521250987215023	0	0	2.4242424242424243	11.499754743620295	POP7;NXT1;SUMO3;EIF4A3;EIF4EBP1;EIF3G;SNORD3A;GEMIN7;RANGAP1;EIF3B
One carbon pool by folate	3/20	0.012902143644594305	0.44154002694833844	0	0	5.999999999999999	26.10217084452193	SHMT2;MTHFD2;MTHFS
Sulfur relay system	2/8	0.01580491452517871	0.48679136737550427	0	0	10.0	41.47434341416576	MPST;URM1
Viral myocarditis	5/59	0.015841491499778683	0.4435617619938031	0	0	3.389830508474576	14.05126351420034	CD40;RAC2;HLA-C;FYN;HLA-F
Spliceosome	8/134	0.01949472625755282	0.5003646406105223	0	0	2.388059701492537	9.403250861661624	SF3B5;LSM7;SNRPD2;EIF4A3;PRPF31;TXNL4A;LSM4;SNRPB
Aminoacyl-tRNA biosynthesis	5/66	0.02457069252754745	0.5821364075757395	0	0	3.0303030303030303	11.230911839233022	YARS;WARS;AARS2;TARS2;VARS2
Fc gamma R-mediated phagocytosis	6/91	0.02655314694507905	0.584169232791739	0	0	2.6373626373626373	9.569952552035172	VASP;SCIN;SPHK1;RPS6KB2;RAC2;ARPC4
Choline metabolism in cancer	6/99	0.03790132072194009	0.77824045215717	0	0	2.4242424242424243	7.93398623019715	DGKQ;RPS6KB2;EIF4EBP1;RAC2;CHPT1;HRAS
Glyoxylate and dicarboxylate metabolism	3/30	0.038268755933891604	0.7366735517274133	0	0	4.0	13.052485950718438	GRHPR;SHMT2;PCCB
RNA polymerase	3/31	0.04160691113161275	0.7538193310903957	0	0	3.8709677419354835	12.307699325969082	POLR2J2;POLR2G;POLR2L
Longevity regulating pathway	6/102	0.04284562636137552	0.7331362732946478	0	0	2.352941176470588	7.41212166524008	EHMT2;SESN2;RPS6KB2;EIF4EBP1;SOD2;HRAS
Cardiac muscle contraction	5/78	0.045694746631016706	0.7407358927554286	0	0	2.564102564102564	7.912235746305283	COX8A;UQCRQ;UQCRC1;CYC1;COX5B
RNA degradation	5/79	0.047824533823498286	0.7364978208818737	0	0	2.5316455696202533	7.696750661396753	TTC37;EXOSC6;LSM7;EXOSC4;LSM4
DNA replication	3/36	0.06037988610364689	0.8855716628534878	0	0	3.333333333333333	9.356997470103483	POLE4;POLD2;MCM2
Allograft rejection	3/38	0.06881998761828545	0.9634798266559964	0	0	3.157894736842105	8.451350711138838	CD40;HLA-C;HLA-F
Glycine, serine and threonine metabolism	3/40	0.07776165816733924	1.0	0	0	2.9999999999999996	7.6623203846665575	GRHPR;SHMT2;PSAT1
Retrograde endocannabinoid signaling	7/148	0.07848932426695826	1.0	0	0	1.8918918918918919	4.81447260007834	NDUFB7;NDUFB10;NDUFS7;NDUFA12;NDUFA10;ITPR3;NDUFV1
mTOR signaling pathway	7/152	0.0874946069389027	1.0	0	0	1.8421052631578945	4.487696541451146	SESN2;RPS6;RPS6KB2;GRB10;EIF4EBP1;MLST8;HRAS
Ribosome biogenesis in eukaryotes	5/101	0.10912554395411007	1.0	0	0	1.9801980198019802	4.386646099300001	TBL3;POP7;NXT1;SNORD3A;RMRP
Metabolism of xenobiotics by cytochrome P450	4/74	0.11407613801901988	1.0	0	0	2.1621621621621623	4.693814434937615	GSTP1;CYP1A1;CYP1B1;MGST2
Valine, leucine and isoleucine degradation	3/48	0.11807273003133849	1.0	0	0	2.5	5.341136220470389	PCCB;ABAT;ACADS
Phosphonate and phosphinate metabolism	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	CHPT1
Vitamin B6 metabolism	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	PSAT1
Autoimmune thyroid disease	3/53	0.14644202157094957	1.0	0	0	2.2641509433962264	4.349718534458366	CD40;HLA-C;HLA-F
Chemical carcinogenesis	4/82	0.14939050479141397	1.0	0	0	1.951219512195122	3.709642075934028	GSTP1;CYP1A1;CYP1B1;MGST2
Butanoate metabolism	2/28	0.15436955442437558	1.0	0	0	2.8571428571428568	5.338302420588211	ABAT;ACADS
