Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Serine glycine biosynthesis Homo sapiens P02776	2/6	0.0087524127649488	0.9802702296742656	0	0	13.333333333333332	63.17901162743442	PSAT1;SHMT2
Parkinson disease Homo sapiens P00049	6/81	0.015879860297055945	0.8892721766351329	0	0	2.962962962962963	12.274677394419134	TOR2A;ADRBK1;FYN;STUB1;CSNK1G2;PSMB10
De novo pyrimidine deoxyribonucleotide biosynthesis Homo sapiens P02739	2/10	0.02457569018526242	0.9174924335831304	0	0	8.0	29.64798022792225	DTYMK;NME2
FAS signaling pathway Homo sapiens P00020	3/31	0.04160691113161275	1.0	0	0	3.8709677419354835	12.307699325969082	SCIN;CYC1;LMNB2
Axon guidance mediated by semaphorins Homo sapiens P00007	2/17	0.0662415915707929	1.0	0	0	4.705882352941176	12.773867020503221	RAC2;FYN
p53 pathway by glucose deprivation Homo sapiens P04397	2/21	0.09588684119947874	1.0	0	0	3.8095238095238093	8.931758172484527	RPS6KB2;EIF4EBP1
Cytoskeletal regulation by Rho GTPase Homo sapiens P00016	4/70	0.09798976602376523	1.0	0	0	2.2857142857142856	5.309467963642306	VASP;TUBB2B;RAC2;PFN1
Formyltetrahydroformate biosynthesis Homo sapiens P02743	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	MTHFD2
Adenine and hypoxanthine salvage pathway Homo sapiens P02723	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	APRT
N-acetylglucosamine metabolism Homo sapiens P02756	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	AMDHD2
VEGF signaling pathway Homo sapiens P00056	3/54	0.15236274042928305	1.0	0	0	2.222222222222222	4.1810914466514895	SPHK1;RAC2;HRAS
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade Homo sapiens P00032	2/29	0.16320629383915272	1.0	0	0	2.758620689655172	5.000662819323756	RPS6KA4;RPS6KB2
B cell activation Homo sapiens P00010	3/57	0.1705587717216263	1.0	0	0	2.1052631578947367	3.723527030473866	RAC2;ITPR3;HRAS
Axon guidance mediated by netrin Homo sapiens P00009	2/30	0.17213040735200277	1.0	0	0	2.6666666666666665	4.692007752438898	VASP;RAC2
Pyruvate metabolism Homo sapiens P02772	1/8	0.18337711757031785	1.0	0	0	5.0	8.481052474133024	PC
p38 MAPK pathway Homo sapiens P05918	2/32	0.1902017379712103	1.0	0	0	2.5	4.149174978285558	RPS6KA4;EIF4EBP1
