Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Eukaryotic Translation Elongation Homo sapiens R-HSA-156842	53/89	3.4972731050859144E-62	5.350827850781449E-59	0	0	23.820224719101123	3370.7593201449945	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;EEF1B2;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;EEF1G;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21
Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689	54/96	2.0235368985461606E-61	1.5480057273878129E-58	0	0	22.5	3144.4389844302955	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;EIF3K;RPS29;RPL27A;EIF3G;RPS20;RPS21;EIF3B
Viral mRNA Translation Homo sapiens R-HSA-192823	51/84	1.7495111350589205E-60	8.922506788800494E-58	0	0	24.28571428571428	3341.6115372802533	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21
Peptide chain elongation Homo sapiens R-HSA-156902	51/84	1.7495111350589205E-60	6.69188009160037E-58	0	0	24.28571428571428	3341.6115372802533	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21
Selenocysteine synthesis Homo sapiens R-HSA-2408557	51/87	2.4295656060326256E-59	7.434470754459835E-57	0	0	23.44827586206896	3164.692049848052	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21
Eukaryotic Translation Termination Homo sapiens R-HSA-72764	51/87	2.4295656060326256E-59	6.195392295383195E-57	0	0	23.44827586206896	3164.692049848052	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956	51/89	1.2944673749870593E-58	2.829335833900287E-56	0	0	22.92134831460674	3055.2286022041535	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21
L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827	54/106	3.2649852486540866E-58	6.24428428805094E-56	0	0	20.377358490566035	2697.283293601443	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;EIF3K;RPS29;RPL27A;EIF3G;RPS20;RPS21;EIF3B
3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279	54/106	3.2649852486540866E-58	5.550474922711947E-56	0	0	20.377358490566035	2697.283293601443	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;EIF3K;RPS29;RPL27A;EIF3G;RPS20;RPS21;EIF3B
GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706	54/107	6.447101169889341E-58	9.86406478993069E-56	0	0	20.186915887850464	2658.3403584764105	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;EIF3K;RPS29;RPL27A;EIF3G;RPS20;RPS21;EIF3B
