Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Ribosomal Proteins WP477	52/89	2.179368683849448E-60	1.0286620187769395E-57	0	0	23.37078651685393	3210.586812425184	RPL4;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPS10;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL35A;RPS26;RPS27;RPS29;RPL27A;RPS6KB2;RPS20;RPS21
Electron Transport Chain (OXPHOS system in mitochondria) WP111	10/103	2.5737891016593795E-4	0.06074142279916136	0	0	3.8834951456310676	32.096936699985605	COX8A;NDUFB7;NDUFB10;NDUFS7;NDUFA12;UQCRQ;NDUFA10;UQCRC1;COX5B;NDUFV1
Nonalcoholic fatty liver disease WP4396	11/155	0.0018256714167345944	0.28723896956624284	0	0	2.8387096774193545	17.90035666071766	COX8A;NDUFB7;NDUFB10;NDUFS7;NDUFA12;UQCRQ;NDUFA10;UQCRC1;CYC1;COX5B;NDUFV1
Pyrimidine metabolism WP4022	7/85	0.005395923850282639	0.6367190143333514	0	0	3.2941176470588234	17.202249492199844	POLE4;DTYMK;POLR2J2;POLD2;NME2;POLR2G;POLR2L
Translation Factors WP107	5/52	0.009471810530852916	0.8941389141125153	0	0	3.8461538461538463	17.920904631222058	EEF1B2;EEF1G;EIF4EBP1;EIF3G;EIF3B
Estrogen metabolism WP697	3/18	0.009582224106397506	0.7538016297032705	0	0	6.666666666666666	30.985637016835305	CYP1A1;CYP1B1;COMT
Interferon type I signaling pathways WP585	5/54	0.011068822496125156	0.7463548883101534	0	0	3.7037037037037033	16.680084840121786	RPS6KA4;RPS6;MLST8;EIF4EBP1;FYN
Arachidonate Epoxygenase / Epoxide Hydrolase WP678	2/7	0.012051662882171474	0.711048110048117	0	0	11.428571428571427	50.49774434338215	COX8A;GSTP1
Mitochondrial complex I assembly model OXPHOS system WP4324	5/56	0.012840251859204538	0.6733998752827268	0	0	3.571428571428571	15.554179877535184	NDUFB7;NDUFB10;NDUFA12;NDUFA10;NDUFV1
Oxidative phosphorylation WP623	5/60	0.016937312232839237	0.799441137390012	0	0	3.333333333333333	13.594120887625653	NDUFB7;NDUFS7;NDUFB10;NDUFA10;NDUFV1
Benzo(a)pyrene metabolism WP696	2/9	0.019987498286726836	0.8576453810304606	0	0	8.888888888888888	34.779095880349324	CYP1A1;CYP1B1
IL-2 Signaling Pathway WP49	4/42	0.020420811588340845	0.8032185891414065	0	0	3.8095238095238093	14.82362179908072	RPS6;RPS6KB2;FYN;HRAS
MTHFR deficiency WP4288	3/25	0.02374801151107834	0.8622354948637674	0	0	4.8	17.95323109370892	EHMT2;CHPT1;COMT
Follicle Stimulating Hormone (FSH) signaling pathway WP2035	3/27	0.029117852235481113	0.9816875896533632	0	0	4.444444444444444	15.717350284548534	RPS6;RPS6KB2;EIF4EBP1
Alanine and aspartate metabolism WP106	2/12	0.03487854042134841	1.0	0	0	6.666666666666666	22.372556843567576	PC;ABAT
RalA downstream regulated genes WP2290	2/12	0.03487854042134841	1.0	0	0	6.666666666666666	22.372556843567576	RAC2;HRAS
One Carbon Metabolism WP241	3/30	0.038268755933891604	1.0	0	0	4.0	13.052485950718438	SHMT2;MTHFD2;MTHFS
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities WP3844	3/30	0.038268755933891604	1.0	0	0	4.0	13.052485950718438	EIF4EBP1;GRB10;HRAS
Disorders of Folate Metabolism and Transport WP4259	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	SHMT2;MTHFS
Estrogen Receptor Pathway WP2881	2/13	0.040550197611673826	0.9569846636355022	0	0	6.153846153846154	19.724397693220933	CYP1A1;CYP1B1
Trans-sulfuration and one carbon metabolism WP2525	3/31	0.04160691113161275	0.9351648597200581	0	0	3.8709677419354835	12.307699325969082	SHMT2;MTHFD2;PSAT1
Oxidative Stress WP408	3/33	0.048705626415457094	1.0	0	0	3.6363636363636362	10.988948085170936	NFIX;CYP1A1;SOD2
GPR40 Pathway WP3958	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	ITPR3;PKD1
Kit receptor signaling pathway WP304	4/59	0.059897577419752636	1.0	0	0	2.711864406779661	7.634221609280811	RPS6;GRB10;FYN;HRAS
Mitochondrial LC-Fatty Acid Beta-Oxidation WP368	2/17	0.0662415915707929	1.0	0	0	4.705882352941176	12.773867020503221	ECI1;ACADS
Proteasome Degradation WP183	4/62	0.06934618550712146	1.0	0	0	2.5806451612903225	6.886823579964537	NEDD4;HLA-C;HLA-F;PSMB10
Amino Acid metabolism WP3925	5/91	0.07788799770256499	1.0	0	0	2.1978021978021975	5.609853650799394	MPST;WARS;PC;GPT2;PYCR1
Nucleotide Metabolism WP404	2/19	0.08063617099611983	1.0	0	0	4.2105263157894735	10.601296667256518	MTHFD2;NME2
Folate Metabolism WP176	4/66	0.08305732510112497	1.0	0	0	2.4242424242424243	6.03205877749113	MTHFD2;SHMT2;MTHFS;SOD2
Human Thyroid Stimulating Hormone (TSH) signaling pathway WP2032	4/66	0.08305732510112497	1.0	0	0	2.4242424242424243	6.03205877749113	RPS6;GNA12;HRAS;RAP1GAP
Metabolic reprogramming in colon cancer WP4290	3/42	0.08718222910547488	1.0	0	0	2.8571428571428568	6.970727895708977	SHMT2;PSAT1;PYCR1
Tamoxifen metabolism WP691	2/21	0.09588684119947874	1.0	0	0	3.8095238095238093	8.931758172484527	CYP1A1;CYP1B1
mRNA Processing WP411	6/126	0.09653354582673598	1.0	0	0	1.9047619047619047	4.453075630280564	SF3B5;LSM7;SNRPD2;TXNL4A;SNRPB;PPM1G
Interleukin-11 Signaling Pathway WP2332	3/44	0.09705771960273352	1.0	0	0	2.727272727272727	6.361225718177528	RPS6;FYN;HRAS
Aryl Hydrocarbon Receptor WP2586	3/46	0.10736313441562158	1.0	0	0	2.6086956521739126	5.821404549935052	CYP1A1;CYP1B1;HRAS
Tryptophan metabolism WP465	3/46	0.10736313441562158	1.0	0	0	2.6086956521739126	5.821404549935052	WARS;CYP1A1;CYP1B1
Integrin-mediated Cell Adhesion WP185	5/101	0.10912554395411007	1.0	0	0	1.9801980198019802	4.386646099300001	VASP;CAPNS1;RAC2;FYN;HRAS
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203	3/47	0.11266904115423244	1.0	0	0	2.553191489361702	5.57438450312141	RPS6;EIF4EBP1;FYN
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	6/132	0.11383527289497382	1.0	0	0	1.8181818181818181	3.950914273046745	RPS6KA4;RPS6KB2;EIF4EBP1;MLST8;TRIP10;HRAS
Sulindac Metabolic Pathway WP2542	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	CYP1B1
miR-517 relationship with ARCN1 and USP1 WP3596	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	ID1
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling WP3612	2/24	0.12010982001247623	1.0	0	0	3.333333333333333	7.064495959797489	NQO2;GSTP1
Leptin signaling pathway WP2034	4/76	0.12252803470737	1.0	0	0	2.1052631578947367	4.419821937740146	RPS6;EIF4EBP1;FYN;HRAS
Prolactin Signaling Pathway WP2037	4/76	0.12252803470737	1.0	0	0	2.1052631578947367	4.419821937740146	RPS6;EIF4EBP1;FYN;HRAS
Senescence and Autophagy in Cancer WP615	5/105	0.12309486929886125	1.0	0	0	1.9047619047619047	3.99009509674713	MLST8;BMI1;SLC39A1;HRAS;SLC39A3
Thermogenesis WP4321	5/108	0.1340886770047024	1.0	0	0	1.8518518518518516	3.720840609651409	SMARCB1;RPS6;RPS6KB2;MLST8;HRAS
One carbon metabolism and related pathways WP3940	3/52	0.14059914501552925	1.0	0	0	2.3076923076923075	4.527328570603137	SHMT2;CHPT1;SOD2
Pathogenic Escherichia coli infection WP2272	3/55	0.15835797713897543	1.0	0	0	2.1818181818181817	4.020866466848246	TUBB2B;FYN;ARPC4
Hfe effect on hepcidin production WP3924	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	ID1
Pathways in clear cell renal cell carcinoma WP4018	4/85	0.16359856361460354	1.0	0	0	1.8823529411764706	3.4076981359319904	SHMT2;PSAT1;GRB10;MLST8
Insulin signalling in human adipocytes (diabetic condition) WP3635	1/8	0.18337711757031785	1.0	0	0	5.0	8.481052474133024	RPS6
Insulin signalling in human adipocytes (normal condition) WP3634	1/8	0.18337711757031785	1.0	0	0	5.0	8.481052474133024	RPS6
