Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Antigen Processing and Presentation Homo sapiens h mhcPathway	3/12	0.0028874338160908373	0.6843218144135285	0	0	10.0	58.47387124231253	CD74;HLA-DRA;HLA-DRB1
IL 4 signaling pathway Homo sapiens h il4Pathway	3/15	0.005648024777015824	0.6692909360763751	0	0	8.0	41.41159513548328	HLA-DRA;JAK3;HLA-DRB1
Roles of Beta-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling Homo sapiens h bArrestin-srcPathway	4/34	0.009885910454645437	0.7809869259169896	0	0	4.705882352941176	21.72538692674213	FGR;HCK;FPR1;CXCR4
The Co-Stimulatory Signal During T-cell Activation Homo sapiens h ctla4Pathway	3/20	0.012902143644594305	0.7644520109422126	0	0	5.999999999999999	26.10217084452193	CD86;HLA-DRA;HLA-DRB1
Inhibition of Matrix Metalloproteinases Homo sapiens h reckPathway	2/8	0.01580491452517871	0.7491529484934708	0	0	10.0	41.47434341416576	MMP2;TIMP2
Eicosanoid Metabolism Homo sapiens h eicosanoidPathway	3/23	0.01896828932905573	0.7492474284977013	0	0	5.217391304347825	20.686887009392155	PTGER2;ALOX5AP;MPO
Pertussis toxin-insensitive CCR5 Signaling in Macrophage Homo sapiens h Ccr5Pathway	2/9	0.019987498286726836	0.6767195848506086	0	0	8.888888888888888	34.779095880349324	CXCR4;CCL2
Activation of Csk by cAMP-dependent Protein Kinase Inhibits Signaling through the T Cell Receptor Homo sapiens h CSKPathway	4/43	0.022083319774357978	0.6542183483153551	0	0	3.7209302325581395	14.187656620559778	FPR1;CXCR4;HLA-DRA;HLA-DRB1
CXCR4 Signaling Pathway Homo sapiens h cxcr4Pathway	2/11	0.02954667996708659	0.7780625724666135	0	0	7.2727272727272725	25.612973778194785	CXCR4;GNAI1
Lck and Fyn tyrosine kinases in initiation of TCR Activation Homo sapiens h tcraPathway	2/13	0.040550197611673826	0.9610396833966697	0	0	6.153846153846154	19.724397693220933	HLA-DRA;HLA-DRB1
Platelet Amyloid Precursor Protein Pathway Homo sapiens h plateletAppPathway	2/14	0.04654140207685347	1.0	0	0	5.7142857142857135	17.52807425877975	PLAU;COL4A3
Toll-Like Receptor Pathway Homo sapiens h tollPathway	3/35	0.056354567885378765	1.0	0	0	3.4285714285714284	9.860886785287258	CD14;TLR4;TLR2
