Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Leptin influence on immune response	18/110	2.563138303741802E-10	3.8703388386501206E-7	0	0	6.545454545454545	144.55386669175581	ABCA1;CCR1;FCER1G;NCF2;MMP2;FPR1;CXCR4;LYZ;CTSS;ALCAM;SELL;ALOX5AP;ITGAX;IRF8;CCL2;MNDA;IL7R;CCR2
Interleukin-2 signaling pathway	53/847	8.191381963387132E-10	6.184493382357284E-7	0	0	2.502951593860685	52.36867628551717	LSP1;CMAHP;LITAF;IKZF3;CTSS;ICAM1;PLAU;RGS1;TIMP2;ITGAX;PDE4B;UPP1;CYTIP;JAK3;CCR2;PPP1R16B;CPA3;SRGN;CD52;CR2;FCER1G;CD300A;PARP8;ADAM19;FGR;RAB31;IRF4;TLR4;RGS18;AHNAK;PTGER2;CXCR4;TNFRSF11A;CBL;SAMHD1;AIF1;FYB;TTN;PLAC8;CYTH4;S1PR1;GBP1;CCR1;GALNT3;PTCH1;SORL1;SORBS3;SELL;VIM;CD69;IL7R;MYO1F;IL18R1
Interleukin-4 regulation of apoptosis	25/267	1.6796079201749165E-8	8.45402653154708E-6	0	0	3.7453183520599254	67.04913991993637	CD86;PTGER2;ALOX15;FGL2;CXCR4;CD1C;LITAF;GNAI1;TIMP2;S1PR1;CCL2;UPP1;PPP1R16B;FCER1G;FN1;ARID5B;RNASE2;ARL4C;VCAN;MAF;ALOX5AP;FAT1;IL7R;TLR4;TLR2
Leishmaniasis	12/72	2.0566773494066937E-7	7.763956994010269E-5	0	0	6.666666666666666	102.64669271681092	C3;FCGR3A;HLA-DMB;NCF2;HLA-DRA;TLR4;FCGR2C;HLA-DQA1;HLA-DRB1;HLA-DPA1;TLR2;MAPK13
Phagosome	17/154	3.284256398125047E-7	9.918454322337643E-5	0	0	4.415584415584415	65.92006274986356	NCF2;MPO;CTSS;C3;EEA1;FCGR3A;HLA-DMB;CLEC7A;HLA-DRA;OLR1;CD14;TLR4;FCGR2C;HLA-DQA1;HLA-DRB1;HLA-DPA1;TLR2
Antigen processing and presentation	12/81	7.722710639333223E-7	1.9435488442321944E-4	0	0	5.925925925925926	83.40106802645867	CD74;CIITA;HLA-DMB;HSPA6;HLA-DRA;CTSS;HLA-DQA1;HLA-DRB1;HSPA1B;HLA-DPA1;HSPA1A;LGMN
PI3K class IB pathway in neutrophils	9/43	9.396470909763613E-7	2.0269530105347224E-4	0	0	8.372093023255815	116.18590995885187	FGR;HCK;CYTH4;C5AR1;FPR1;ARAP3;DOCK2;MYO1F;PIK3R5
Endogenous Toll-like receptor signaling	7/24	1.4003920848210977E-6	2.643240060099822E-4	0	0	11.666666666666666	157.2521801662724	TLR1;VCAN;CD14;S100A9;TLR4;S100A8;TLR2
B lymphocyte cell surface molecules	5/11	3.904558047734035E-6	6.550980724531548E-4	0	0	18.18181818181818	226.4248355831621	CR2;HLA-DRA;ITGAL;HLA-DRB1;ICAM1
Asthma	7/30	7.232790508281545E-6	0.0010921513667505132	0	0	9.333333333333332	110.47759924917348	HLA-DMB;FCER1G;FCER1A;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
TNF-alpha effects on cytokine activity, cell motility, and apoptosis	14/135	7.4690522906796556E-6	0.0010252971780842072	0	0	4.148148148148148	48.967820473540456	CCR1;ANGPT1;FNBP1;TNFAIP2;TNFRSF10B;FLI1;ICAM1;LFNG;KLF7;CCL2;CD14;CD69;IL7R;IL18R1
Signal regulatory protein (SIRP) family interactions	5/13	1.0434557665114588E-5	0.0013130151728602522	0	0	15.384615384615385	176.4674985827227	TYROBP;SIRPA;FYB;SIRPB1;SKAP2
Interleukin-5 regulation of apoptosis	14/144	1.5717683486147662E-5	0.001825669389544844	0	0	3.888888888888889	43.01392722182105	CCR1;EGR1;EGR3;TPM4;HSPA6;ICAM1;C3;TLR1;IL1RL1;PDE4B;CCL2;UPP1;CD69;TLR4
Cell surface interactions at the vascular wall	11/94	2.2717559943882307E-5	0.0024502511082330203	0	0	4.680851063829787	50.04940256760187	FCER1G;ANGPT1;SELL;ITGAX;PECAM1;FN1;OLR1;SIRPA;CD48;ITGAL;AMICA1
Cell adhesion molecules (CAMs)	13/133	2.9707418087483893E-5	0.0029905467541400453	0	0	3.9097744360902253	40.75593356064058	CD86;ITGAL;ICAM1;VCAN;ALCAM;HLA-DMB;SELL;PECAM1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;ITGA9
CXCR4 signaling pathway	12/116	3.408373433343973E-5	0.0032166524277183746	0	0	4.137931034482758	42.56561497859746	FGR;HCK;RGS1;HLA-DRA;CXCR4;PLCB2;PIK3R6;PAG1;HLA-DRB1;GNAI1;PIK3R5;ITGA9
Hemostasis pathway	27/468	5.446206804132821E-5	0.004837513102494447	0	0	2.3076923076923075	22.656937148900017	DOCK4;SERPINA1;ITGAL;SLC8A1;PIK3R6;GNAI1;TTN;PIK3R5;DOCK10;PLAU;ITGAX;OLR1;SIRPA;AMICA1;SRGN;FCER1G;TRPC3;ANGPT1;FN1;IGF1;FGR;SELL;PECAM1;CD48;DOCK2;DOCK1;DGKH
Viral myocarditis	9/71	6.677506986403678E-5	0.005601686416371975	0	0	5.070422535211267	48.74795874612718	CD86;MYH3;HLA-DMB;HLA-DRA;ITGAL;HLA-DQA1;HLA-DRB1;ICAM1;HLA-DPA1
Integrin beta-2 pathway	6/29	6.89871781572505E-5	0.005482665211444645	0	0	8.275862068965516	79.29591636779884	C3;PLAU;ITGAX;TGFBI;ITGAL;ICAM1
Monocyte and its surface molecules	4/11	1.1075885677255863E-4	0.008362293686328178	0	0	14.545454545454545	132.48225718368306	SELL;PECAM1;ITGAL;ICAM1
RAGE pathway	8/60	1.1787723634814289E-4	0.00847593461360456	0	0	5.333333333333333	48.244623173280246	GJA1;FN1;CCL2;IGF1;TLR4;RUNX2;ICAM1;TLR2
Interferon-gamma signaling pathway	10/97	1.567348047614117E-4	0.010757707054078712	0	0	4.123711340206185	36.127650814314634	CIITA;IRF4;HLA-DRA;IRF8;CBL;GBP1;HLA-DQA1;HLA-DRB1;ICAM1;HLA-DPA1
Ephrin receptor A forward pathway	6/34	1.757017897903012E-4	0.011535204460145861	0	0	7.0588235294117645	61.03568736138679	FGR;HCK;CBL;PIK3R6;NGEF;PIK3R5
Intestinal immune network for IgA production	7/48	1.773793329826584E-4	0.01116011636682559	0	0	5.833333333333333	50.38378330072178	CD86;HLA-DMB;CXCR4;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Immune system	44/998	1.9734767177929274E-4	0.011919799375469282	0	0	1.7635270541082164	15.043844342571202	CD86;CIITA;NCF2;ASB14;NOD2;ITGAL;CBL;FYB;CTSS;ICAM1;C3;EEA1;FCGR3A;HLA-DMB;NLRP3;CD14;AMICA1;GBP1;JAK3;HLA-DQA1;PAG1;HLA-DPA1;CCR2;RAP1GAP2;EGR1;CD74;TRPC1;CD180;S100B;LILRB4;MAPK13;P2RX7;TLR1;HCK;TYROBP;SELL;IRF4;HLA-DRA;IRF8;IL7R;TLR4;HLA-DRB1;LGMN;TLR2
Beta-1 integrin cell surface interactions	8/66	2.3217499072805808E-4	0.013484009076898758	0	0	4.848484848484849	40.57221430418108	PLAU;COL4A3;FN1;LAMC1;CD14;TGFBI;NID1;ITGA9
Integrin cell surface interactions	9/85	2.712246403694358E-4	0.015168489146586963	0	0	4.235294117647059	34.78262039663638	COL4A3;ITGAX;PECAM1;FN1;LAMC1;ITGAL;AMICA1;ICAM1;ITGA9
Allograft rejection	6/37	2.850597931229215E-4	0.015372867414843268	0	0	6.486486486486487	52.9479671303958	CD86;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Autoimmune thyroid disease	7/52	2.9574469764987864E-4	0.015399120463838508	0	0	5.384615384615384	43.75545991252048	CD86;HLA-DMB;HLA-DRA;HLA-DQA1;TSHR;HLA-DRB1;HLA-DPA1
Chemokine signaling pathway	14/189	2.992541859629305E-4	0.015062460693467502	0	0	2.962962962962963	24.04212511242609	CCR1;CXCR4;GNAI1;PIK3R5;FGR;TIAM1;HCK;ADCY9;PARD3;CCL2;DOCK2;JAK3;PLCB2;CCR2
Adhesion and diapedesis of lymphocytes	4/14	3.1648999085908113E-4	0.015416125361200404	0	0	11.428571428571427	92.09393075814842	SELL;PECAM1;ITGAL;ICAM1
Hematopoietic cell lineage	9/88	3.523607679112438E-4	0.016627023735811815	0	0	4.090909090909091	32.526224993404995	CSF1R;CR2;FLT3;ANPEP;HLA-DRA;CD14;CD1C;IL7R;HLA-DRB1
Adhesion and diapedesis of granulocytes	4/15	4.230841235854126E-4	0.01935930383678706	0	0	10.666666666666666	82.85802159964132	SELL;PECAM1;ITGAL;ICAM1
G alpha (i) signaling events	14/199	5.040154693597922E-4	0.022384216433331945	0	0	2.8140703517587937	21.366964896614345	CCR1;RGS18;C5AR1;FPR1;CXCR4;FPR3;SSTR2;GNAI1;C3;ADCY9;RGS1;ADORA3;S1PR1;CCR2
Graft-versus-host disease	6/41	5.067218538698838E-4	0.02186142855267213	0	0	5.853658536585365	44.414916975289934	CD86;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
RANKL regulation of apoptosis and immune response	8/74	5.119558108905786E-4	0.02147370206791038	0	0	4.324324324324325	32.76658267461084	CD86;EGR1;BAG3;CCL2;TNFRSF11A;ITGAL;ICAM1;CCR2
Beta-3 integrin cell surface interactions	6/43	6.586975280614587E-4	0.026881980199264934	0	0	5.581395348837209	40.88509459578352	PLAU;COL4A3;FN1;PECAM1;LAMC1;TGFBI
