Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Tuberculosis	22/179	8.039900160618894E-10	2.4762892494706194E-7	0	0	4.916201117318435	102.95230253017282	CD74;CIITA;FCER1G;LSP1;NOD2;CTSS;MAPK13;C3;EEA1;TLR1;FCGR3A;HLA-DMB;CLEC7A;ITGAX;HLA-DRA;CD14;TLR4;FCGR2C;HLA-DQA1;HLA-DRB1;HLA-DPA1;TLR2
Staphylococcus aureus infection	13/68	1.1416839862143329E-8	1.7581933387700727E-6	0	0	7.647058823529411	139.85076063411196	C5AR1;FPR1;FPR3;ITGAL;ICAM1;C3;FCGR3A;HLA-DMB;HLA-DRA;FCGR2C;HLA-DQA1;HLA-DRB1;HLA-DPA1
Toxoplasmosis	16/113	2.185627638995893E-8	2.24391104270245E-6	0	0	5.663716814159292	99.90104188423093	CIITA;HSPA6;LAMC1;PIK3R6;GNAI1;PIK3R5;MAPK13;HLA-DMB;HLA-DRA;TLR4;HLA-DQA1;HLA-DRB1;HSPA1B;HLA-DPA1;TLR2;HSPA1A
Phagosome	17/152	2.7191612233282855E-7	2.09375414196278E-5	0	0	4.473684210526316	67.63213875361151	NCF2;MPO;CTSS;C3;EEA1;FCGR3A;HLA-DMB;CLEC7A;HLA-DRA;OLR1;CD14;TLR4;FCGR2C;HLA-DQA1;HLA-DRB1;HLA-DPA1;TLR2
Leishmaniasis	12/74	2.807556380734985E-7	1.7294547305327507E-5	0	0	6.486486486486487	97.85371564115215	C3;FCGR3A;HLA-DMB;NCF2;HLA-DRA;TLR4;FCGR2C;HLA-DQA1;HLA-DRB1;HLA-DPA1;TLR2;MAPK13
Rheumatoid arthritis	13/91	4.1347604170771694E-7	2.122510347432947E-5	0	0	5.7142857142857135	83.99237865376357	CD86;ANGPT1;TNFRSF11A;ITGAL;ICAM1;HLA-DMB;CCL2;HLA-DRA;TLR4;HLA-DQA1;HLA-DRB1;HLA-DPA1;TLR2
Antigen processing and presentation	12/77	4.3930169464899657E-7	1.932927456455585E-5	0	0	6.233766233766233	91.25036526769878	CD74;CIITA;HLA-DMB;HSPA6;HLA-DRA;CTSS;HLA-DQA1;HSPA1B;HLA-DRB1;HLA-DPA1;HSPA1A;LGMN
Inflammatory bowel disease (IBD)	10/65	4.548745677538376E-6	1.7512670858522747E-4	0	0	6.153846153846154	75.69636331244996	MAF;HLA-DMB;HLA-DRA;NOD2;TLR4;HLA-DQA1;IL18R1;HLA-DRB1;HLA-DPA1;TLR2
Hematopoietic cell lineage	12/97	5.421870752832182E-6	1.8554846576359025E-4	0	0	4.948453608247423	60.00034463364967	CSF1R;CR2;HLA-DMB;FLT3;ANPEP;HLA-DRA;CD14;CD1C;IL7R;HLA-DQA1;HLA-DRB1;HLA-DPA1
Asthma	7/31	9.142295251710501E-6	2.8158269375268345E-4	0	0	9.032258064516128	104.79766913128826	HLA-DMB;FCER1G;FCER1A;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Influenza A	15/171	2.69822681098587E-5	7.555035070760436E-4	0	0	3.508771929824561	36.91344085746609	CIITA;HSPA6;TNFRSF10B;ICAM1;MAPK13;HLA-DMB;NLRP3;HLA-DRA;CCL2;TLR4;HLA-DQA1;HLA-DRB1;HSPA1B;HLA-DPA1;HSPA1A
Legionellosis	8/55	6.256342665408752E-5	0.0016057946174549132	0	0	5.8181818181818175	56.31610001073326	C3;HSPA6;CD14;TLR4;NAIP;HSPA1B;TLR2;HSPA1A
Transcriptional misregulation in cancer	15/186	7.134063816478205E-5	0.0016902243503656054	0	0	3.225806451612903	30.8001433312074	CD86;CSF1R;SPI1;HPGD;FLT3;IGF1;MPO;RUNX2;FLI1;MAF;PLAU;NUPR1;ERG;CD14;PROM1
Cell adhesion molecules (CAMs)	13/145	7.331967117092798E-5	0.0016130327657604155	0	0	3.5862068965517238	34.14313408498309	CD86;ITGAL;ICAM1;VCAN;ALCAM;HLA-DMB;SELL;PECAM1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;ITGA9
Chemokine signaling pathway	15/190	9.076034838034664E-5	0.0018636124867431178	0	0	3.157894736842105	29.391435977624464	CCR1;CXCR4;PIK3R6;GNAI1;PIK3R5;FGR;TIAM1;HCK;ADCY9;PARD3;CCL2;DOCK2;JAK3;PLCB2;CCR2
Viral myocarditis	8/59	1.0441362629208512E-4	0.0020099623061226386	0	0	5.423728813559322	49.72013760538904	CD86;HLA-DMB;HLA-DRA;ITGAL;HLA-DQA1;HLA-DRB1;ICAM1;HLA-DPA1
Intestinal immune network for IgA production	7/48	1.773793329826584E-4	0.00321369615050934	0	0	5.833333333333333	50.38378330072178	CD86;HLA-DMB;CXCR4;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Rap1 signaling pathway	15/206	2.2202263877480141E-4	0.0037990540412577135	0	0	2.9126213592233006	24.503100596586904	CSF1R;DOCK4;ANGPT1;FPR1;ARAP3;IGF1;SIPA1L2;ITGAL;GNAI1;GRIN1;MAPK13;TIAM1;ADCY9;PARD3;PLCB2
Parathyroid hormone synthesis, secretion and action	10/106	3.2517318752455074E-4	0.005271228513555875	0	0	3.7735849056603774	30.306236350476368	ARHGEF11;EGR1;AKAP13;ADCY9;PDE4D;PDE4B;PLCB2;RUNX2;GNAI1;PLD2
Allograft rejection	6/38	3.3143708836472034E-4	0.005104131160816693	0	0	6.31578947368421	50.60256344234043	CD86;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Autoimmune thyroid disease	7/53	3.335094712232119E-4	0.004891472244607108	0	0	5.283018867924528	42.2950000413537	CD86;HLA-DMB;HLA-DRA;HLA-DQA1;TSHR;HLA-DRB1;HLA-DPA1
Osteoclast differentiation	11/127	3.5000374914933045E-4	0.004900052488090626	0	0	3.464566929133858	27.569522396381892	CSF1R;FCGR3A;SPI1;TYROBP;NCF2;SIRPA;TNFRSF11A;LILRB4;FCGR2C;SIRPB1;MAPK13
Graft-versus-host disease	6/41	5.067218538698838E-4	0.00678566656486627	0	0	5.853658536585365	44.414916975289934	CD86;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Type I diabetes mellitus	6/43	6.586975280614587E-4	0.008453284943455387	0	0	5.581395348837209	40.88509459578352	CD86;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Malaria	6/49	0.00133183876322073	0.016408253562879394	0	0	4.897959183673469	32.4303416954645	PECAM1;CCL2;ITGAL;TLR4;ICAM1;TLR2
