Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	15/188	8.054024509065048E-5	0.009020507450152853	0	0	3.1914893617021276	30.085383700382994	CCR1;C5AR1;ALOX15;FPR1;CXCR4;FPR3;ITGAL;GNAI1;MYH3;MYO3B;ALOX5AP;COL20A1;CCL2;PLCB2;CCR2
Integrin signalling pathway Homo sapiens P00034	10/156	0.005950114500251026	0.33320641201405743	0	0	2.564102564102564	13.139345681718174	ARHGAP10;COL4A3;FN1;COL20A1;ITGAX;LAMC1;PIK3C2A;ITGAL;DOCK1;ITGA9
Pyruvate metabolism Homo sapiens P02772	2/8	0.01580491452517871	0.5900501422733385	0	0	10.0	41.47434341416576	PKM;ME1
T cell activation Homo sapiens P00053	5/73	0.03590832173141458	1.0	0	0	2.73972602739726	9.114482759579785	CD86;CD74;HLA-DMB;HLA-DRA;HLA-DPA1
Metabotropic glutamate receptor group III pathway Homo sapiens P00039	4/54	0.04578984055205085	1.0	0	0	2.962962962962963	9.136868250298553	SLC1A3;GNAI1;GRIA4;GRIN1
Parkinson disease Homo sapiens P00049	5/81	0.05225771474036599	0.9754773418201651	0	0	2.4691358024691357	7.287821601242378	FGR;HCK;HSPA6;PLD2;HSPA1A
Insulin/IGF pathway-protein kinase B signaling cascade Homo sapiens P00033	3/34	0.0524623778440582	0.8393980455049312	0	0	3.5294117647058822	10.403502278005256	IGF1;PIK3C2A;PIK3R5
Opioid prodynorphin pathway Homo sapiens P05916	2/18	0.07332402120449992	1.0	0	0	4.444444444444444	11.612742279715478	STX3;GNAI1
Opioid proenkephalin pathway Homo sapiens P05915	2/18	0.07332402120449992	0.9124767083226657	0	0	4.444444444444444	11.612742279715478	STX3;GNAI1
Opioid proopiomelanocortin pathway Homo sapiens P05917	2/18	0.07332402120449992	0.8212290374903992	0	0	4.444444444444444	11.612742279715478	STX3;GNAI1
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway Homo sapiens P00026	6/127	0.09931318145472103	1.0	0	0	1.889763779527559	4.364365933204153	RGS18;ADCY9;RGS1;ADORA3;SSTR2;GNAI1
p53 pathway feedback loops 2 Homo sapiens P04398	3/45	0.10215828081331627	0.9534772875909518	0	0	2.6666666666666665	6.0832850553957645	PIK3C2A;PIK3R5;MAPK13
Ionotropic glutamate receptor pathway Homo sapiens P00037	3/45	0.10215828081331627	0.8801328808531863	0	0	2.6666666666666665	6.0832850553957645	SLC1A3;GRIA4;GRIN1
Endogenous cannabinoid signaling Homo sapiens P05730	2/23	0.11187435504137663	0.8949948403310131	0	0	3.4782608695652173	7.618709103989623	PLCB2;GNAI1
Endothelin signaling pathway Homo sapiens P00019	4/75	0.11826909586753341	0.8830759158109162	0	0	2.1333333333333333	4.5542245917778965	ADCY9;PIK3C2A;PLCB2;PIK3R5
Hypoxia response via HIF activation Homo sapiens P00030	2/24	0.12010982001247623	0.8407687400873336	0	0	3.333333333333333	7.064495959797489	EGLN1;PIK3C2A
Toll receptor signaling pathway Homo sapiens P00054	3/49	0.12357090514220292	0.8141141985839252	0	0	2.4489795918367343	5.120669772142008	CD14;TLR4;TLR2
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027	5/106	0.1267114019022413	0.788426500725057	0	0	1.8867924528301887	3.8978173667325606	RGS18;RGS1;ADORA3;SSTR2;PLCB2
Dopamine receptor mediated signaling pathway Homo sapiens P05912	3/52	0.14059914501552925	0.8287949600915409	0	0	2.3076923076923075	4.527328570603137	EPB41L3;STX3;GNAI1
