Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune System Homo sapiens R-HSA-168256	77/1547	4.244392285941093E-9	6.4939201974898714E-6	0	0	1.9909502262443437	38.38087584821366	FCN1;CD86;CIITA;NCF2;FLT3;ITGAL;CTSS;SIRPB1;ICAM1;EEA1;TRIM6;FCGR3A;CLEC5A;FCER1A;AMICA1;JAK3;HLA-DPA1;CCR2;FCER1G;CD300A;TRPC1;CD180;TLR1;FGR;HCK;ADCY9;TYROBP;IRF4;IRF8;PRTN3;TLR4;DOCK1;TLR2;CSF1R;PDE1C;C5AR1;ASB14;RASAL1;NOD2;TNFRSF11A;CD1C;DTX4;CBL;SAMHD1;FYB;PLD2;C3;IL1RL1;HLA-DMB;CLEC7A;SLAMF7;NLRP3;STX3;CD14;CD300LF;GBP1;HLA-DQA1;PAG1;LAIR1;RAP1GAP2;EGR1;CD74;ANGPT1;FN1;MYO5A;S100B;LILRB4;MAPK13;GRIN1;P2RX7;SELL;HLA-DRA;IL7R;HLA-DRB1;SIGLEC6;IL18R1;LGMN
Hemostasis Homo sapiens R-HSA-109582	35/552	5.12767015411169E-7	3.922667667895443E-4	0	0	2.536231884057971	36.73337311286557	DOCK4;SERPINA1;A1BG;ITGAL;SLC8A1;GNAI1;PIK3R6;TTN;PIK3R5;DOCK10;PLAU;ITGAX;OLR1;SIRPA;AMICA1;JAK3;SRGN;CD74;FCER1G;TRPC3;ANGPT1;FN1;IGF1;SERPINB8;P2RX7;FGR;SELL;CEACAM6;KIF16B;PECAM1;CD48;PRTN3;DOCK2;DOCK1;DGKH
Cell surface interactions at the vascular wall Homo sapiens R-HSA-202733	13/101	1.4023276217539093E-6	7.151870870944938E-4	0	0	5.148514851485149	69.38847623535369	CD74;FCER1G;ANGPT1;FN1;ITGAL;SELL;CEACAM6;ITGAX;PECAM1;SIRPA;OLR1;CD48;AMICA1
Signal regulatory protein (SIRP) family interactions Homo sapiens R-HSA-391160	5/13	1.0434557665114588E-5	0.00399121830690633	0	0	15.384615384615385	176.4674985827227	TYROBP;SIRPA;FYB;SIRPB1;SKAP2
Extracellular matrix organization Homo sapiens R-HSA-1474244	20/283	3.230106568488784E-5	0.00988412609957568	0	0	2.8268551236749118	29.230841936225445	FBN2;PTPRS;COL24A1;MMP2;FN1;LRP4;LAMC1;NID1;ITGAL;CTSS;ICAM1;VCAN;CEACAM6;COL4A3;TIMP2;COL20A1;ITGAX;PECAM1;COL6A5;ITGA9
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	14/157	4.148623383196468E-5	0.010578989627150993	0	0	3.5668789808917194	35.99034002779472	CD300A;CD1C;ITGAL;LILRB4;ICAM1;C3;FCGR3A;TYROBP;SELL;SLAMF7;CD300LF;AMICA1;LAIR1;SIGLEC6
Interferon gamma signaling Homo sapiens R-HSA-877300	10/93	1.1004032959065916E-4	0.02405167203910122	0	0	4.301075268817204	39.20285430848527	CIITA;TRIM6;IRF4;IRF8;HLA-DRA;GBP1;HLA-DQA1;HLA-DRB1;ICAM1;HLA-DPA1
MyD88 deficiency (TLR2/4) Homo sapiens R-HSA-5602498	4/11	1.1075885677255863E-4	0.02118263135775184	0	0	14.545454545454545	132.48225718368306	TLR1;CD14;TLR4;TLR2
IRAK4 deficiency (TLR2/4) Homo sapiens R-HSA-5603041	4/11	1.1075885677255863E-4	0.018829005651334968	0	0	14.545454545454545	132.48225718368306	TLR1;CD14;TLR4;TLR2
Innate Immune System Homo sapiens R-HSA-168249	38/807	1.4856277499759245E-4	0.022730104574631642	0	0	1.883519206939281	16.60228562815276	FCN1;CD86;PDE1C;C5AR1;RASAL1;NOD2;DTX4;CTSS;SIRPB1;PLD2;C3;EEA1;FCGR3A;CLEC7A;CLEC5A;FCER1A;NLRP3;CD14;JAK3;CCR2;FCER1G;ANGPT1;CD180;FN1;MYO5A;S100B;MAPK13;GRIN1;P2RX7;TLR1;FGR;HCK;ADCY9;TYROBP;TLR4;DOCK1;LGMN;TLR2
Phosphorylation of CD3 and TCR zeta chains Homo sapiens R-HSA-202427	5/24	2.7447716067582136E-4	0.03817727780309152	0	0	8.333333333333334	68.33868753202543	HLA-DRA;PAG1;HLA-DQA1;HLA-DRB1;HLA-DPA1
NRAGE signals death through JNK Homo sapiens R-HSA-193648	6/45	8.437696124754264E-4	0.10758062559061686	0	0	5.333333333333333	37.747365715372595	ARHGEF11;AKAP13;FGD4;TIAM1;PLEKHG2;NGEF
Rho GTPase cycle Homo sapiens R-HSA-194840	10/122	9.877944012398278E-4	0.11625580260745665	0	0	3.2786885245901636	22.688642550106458	ARHGEF11;TIAM1;AKAP13;ARHGAP10;FGD4;ARHGAP31;PLEKHG2;DLC1;ARAP3;NGEF
G alpha (i) signalling events Homo sapiens R-HSA-418594	15/240	0.0010963922425953091	0.11982000936934449	0	0	2.5	17.03932567225605	CCR1;RGS18;TAS2R20;C5AR1;FPR1;CXCR4;FPR3;SSTR2;GNAI1;C3;ADCY9;RGS1;ADORA3;S1PR1;CCR2
Integrin cell surface interactions Homo sapiens R-HSA-216083	7/67	0.00139423121795429	0.14221158423133756	0	0	4.17910447761194	27.47933420717574	COL4A3;ITGAX;PECAM1;FN1;ITGAL;ICAM1;ITGA9
Translocation of ZAP-70 to Immunological synapse Homo sapiens R-HSA-202430	4/21	0.0016471077800394765	0.15750468146627494	0	0	7.619047619047619	48.828452493024685	HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Generation of second messenger molecules Homo sapiens R-HSA-202433	5/35	0.0016723009219112865	0.1505070829720158	0	0	5.7142857142857135	36.53459887596522	HLA-DRA;FYB;HLA-DQA1;HLA-DRB1;HLA-DPA1
Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	28/620	0.0020047995455235766	0.170407961369504	0	0	1.8064516129032255	11.22205894286877	CSF1R;CIITA;FLT3;RASAL1;NOD2;TNFRSF11A;CBL;SAMHD1;ICAM1;IL1RL1;TRIM6;STX3;GBP1;JAK3;HLA-DQA1;HLA-DPA1;EGR1;ANGPT1;FN1;GRIN1;HCK;IRF4;HLA-DRA;IRF8;PRTN3;IL7R;HLA-DRB1;IL18R1
ECM proteoglycans Homo sapiens R-HSA-3000178	6/55	0.0024347423340301366	0.196060830056111	0	0	4.363636363636363	26.25998987211677	VCAN;PTPRS;ITGAX;LRP4;LAMC1;ITGA9
Diseases associated with the TLR signaling cascade Homo sapiens R-HSA-5602358	4/24	0.002756201764014986	0.21084943494714645	0	0	6.666666666666666	39.29267813004258	TLR1;CD14;TLR4;TLR2
Diseases of Immune System Homo sapiens R-HSA-5260271	4/24	0.002756201764014986	0.200808985663949	0	0	6.666666666666666	39.29267813004258	TLR1;CD14;TLR4;TLR2
Toll-Like Receptors Cascades Homo sapiens R-HSA-168898	10/140	0.0027663119739621605	0.1923844236437321	0	0	2.8571428571428568	16.829257894996136	EEA1;TLR1;CD180;CD14;NOD2;S100B;TLR4;CTSS;LGMN;TLR2
TRP channels Homo sapiens R-HSA-3295583	4/25	0.0032171757921806987	0.2140121287841943	0	0	6.3999999999999995	36.731208879756906	TRPM2;TRPC3;TRPC1;MCOLN2
PD-1 signaling Homo sapiens R-HSA-389948	4/26	0.003728002907514726	0.23766018535406377	0	0	6.153846153846154	34.411585244592914	HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Attenuation phase Homo sapiens R-HSA-3371568	4/26	0.003728002907514726	0.22815377793990124	0	0	6.153846153846154	34.411585244592914	HSPH1;HSPA6;HSPA1B;HSPA1A
Interferon Signaling Homo sapiens R-HSA-913531	12/196	0.003939050521194904	0.23179797297800778	0	0	2.4489795918367343	13.55954833269065	EGR1;TRIM6;CIITA;IRF4;HLA-DRA;IRF8;SAMHD1;GBP1;HLA-DQA1;HLA-DRB1;ICAM1;HLA-DPA1
Cell death signalling via NRAGE, NRIF and NADE Homo sapiens R-HSA-204998	6/61	0.004113921622787887	0.2331222252913136	0	0	3.9344262295081966	21.61329261353191	ARHGEF11;AKAP13;TIAM1;FGD4;PLEKHG2;NGEF
Caspase activation via extrinsic apoptotic signalig pathway Homo sapiens R-HSA-5357769	4/27	0.004291120421567734	0.2344790801785226	0	0	5.925925925925926	32.30345131622333	TNFRSF10B;CD14;TLR4;APPL1
MHC class II antigen presentation Homo sapiens R-HSA-2132295	8/103	0.004315240764702302	0.2276661506894663	0	0	3.106796116504854	16.918375639155997	CD74;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1;CTSS;LGMN;HLA-DPA1
Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	14/253	0.004776058253558819	0.24357897093149977	0	0	2.2134387351778653	11.828925831069373	SRGN;SERPINA1;FCER1G;TRPC3;FN1;A1BG;IGF1;PIK3R6;GNAI1;PIK3R5;TTN;PECAM1;JAK3;DGKH
