Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IL1 and megakaryocytes in obesity WP2865	8/24	7.460701269621003E-8	3.5214509992611135E-5	0	0	13.333333333333332	218.81375106912196	TLR1;TIMP2;NLRP3;FCER1A;CCL2;S100A9;ICAM1;TLR2
TYROBP Causal Network WP3945	11/61	2.88839981581397E-7	6.816623565320968E-5	0	0	7.213114754098361	108.61070360028864	C3;TYROBP;MAF;ADAP2;NCF2;RGS1;ITGAX;RNASE6;CAPG;SAMSN1;GAPT
Macrophage markers WP4146	5/9	1.1100790378760407E-6	1.7465243529249708E-4	0	0	22.22222222222222	304.69065199736167	CD86;CD74;CD163;CD14;LYZ
Human Complement System WP2806	12/97	5.421870752832182E-6	6.397807488341975E-4	0	0	4.948453608247423	60.00034463364967	FCN1;C3;FCGR3A;CR2;CD93;SELL;C5AR1;FPR1;ITGAX;LAMC1;ICAM1;TLR2
Spinal Cord Injury WP2431	12/118	4.04169333567655E-5	0.0038153585088786636	0	0	4.067796610169491	41.15089512536401	EGR1;GJA1;VCAN;XYLT1;CCL2;VIM;TLR4;AIF1;FCGR2C;ICAM1;CCR2;GRIN1
Development of pulmonary dendritic cells and macrophage subsets WP3892	4/13	2.3060621259632721E-4	0.01814102205757774	0	0	12.307692307692308	103.07444934750434	SPI1;IRF4;IRF8;RUNX2
Chemokine signaling pathway WP3929	13/164	2.528788522538691E-4	0.017051259751975172	0	0	3.170731707317073	26.261902530233424	CCR1;CXCR4;GNAI1;PIK3R5;FGR;TIAM1;HCK;ADCY9;PARD3;DOCK2;JAK3;PLCB2;CCR2
Type II interferon signaling (IFNG) WP619	6/37	2.850597931229215E-4	0.01681852779425237	0	0	6.486486486486487	52.9479671303958	CIITA;SPI1;IRF4;IRF8;GBP1;ICAM1
Allograft Rejection WP2328	9/89	3.8348590811803897E-4	0.02011170540352382	0	0	4.044943820224718	31.818368157115998	CD86;C3;HLA-DMB;LRRK2;HLA-DRA;VIM;HLA-DQA1;HLA-DRB1;HLA-DPA1
Microglia Pathogen Phagocytosis Pathway WP3937	6/40	4.417830746821164E-4	0.020852161124995893	0	0	5.999999999999999	46.348149465727786	HCK;FCER1G;TYROBP;NCF2;PIK3C2A;PIK3R6
Peptide GPCRs WP24	8/74	5.119558108905786E-4	0.02196755843094119	0	0	4.324324324324325	32.76658267461084	CCR1;C5AR1;FPR1;CXCR4;FPR3;SSTR2;TSHR;CCR2
Platelet-mediated interactions with vascular and circulating cells WP4462	4/17	7.089723556156057E-4	0.02788624598754716	0	0	9.411764705882351	68.25123786222498	CCL2;TLR4;ICAM1;TLR2
ApoE and miR-146 in inflammation and atherosclerosis WP3926	3/8	7.919445047989284E-4	0.028753677405007245	0	0	15.0	107.11528857454749	SPI1;TLR4;TLR2
VEGFA-VEGFR2 Signaling Pathway WP3888	15/236	9.255245745283154E-4	0.03120339994124035	0	0	2.542372881355932	17.758855610843423	EGR1;EGR3;NCF2;MMP2;TRPC1;CBL;HDAC9;SLC8A1;ICAM1;EEA1;GJA1;PLAU;CCL2;ERG;HSPA1A
Vitamin D Receptor Pathway WP2877	12/182	0.0021510472856910057	0.06768628792307699	0	0	2.6373626373626373	16.198155021938167	IL1RL1;SLC37A2;IRF4;CLMN;TIMP2;IRF8;CD14;S100A9;SLC8A1;S100A8;HLA-DQA1;HLA-DRB1
Striated Muscle Contraction Pathway WP383	5/38	0.0024318035074588607	0.07173820347003639	0	0	5.263157894736842	31.679590067224634	MYOM1;MYH3;TPM4;VIM;TTN
Nuclear Receptors Meta-Pathway WP2882	17/319	0.0029283454552166974	0.08130465028601654	0	0	2.1316614420062696	12.434658433926003	SRGN;EGR1;SLC6A19;SERPINA1;SLC2A10;MYOF;SLC2A5;AKAP13;FGD4;SCD;ENC1;CDC42EP3;ALOX5AP;PDE4B;ME1;CCL2;HSPA1A
Genes targeted by miRNAs in adipocytes WP1992	3/13	0.003684485563252584	0.09661539921417887	0	0	9.23076923076923	51.72576337848703	GJA1;IGF1;ERG
Lung fibrosis WP3624	6/63	0.004828540144522439	0.11995110253761006	0	0	3.8095238095238093	20.31699468386485	SERPINA1;PLAU;MMP2;CCL2;IGF1;CCR2
Ebola Virus Pathway on Host WP4217	9/129	0.0051619269188560085	0.1218214752850018	0	0	2.7906976744186043	14.697056749704897	TIAM1;HLA-DMB;CD300A;CLEC10A;HLA-DRA;TLR4;HLA-DQA1;HLA-DRB1;HLA-DPA1
PI3K-Akt Signaling Pathway WP4172	17/340	0.00553098151377423	0.12431539402387794	0	0	2.0	10.394779980537516	CSF1R;ANGPT1;FLT3;FN1;IGF1;LAMC1;PIK3R6;PIK3R5;RELN;COL4A3;COL6A5;IL7R;JAK3;TLR4;FGF11;TLR2;ITGA9
Selective expression of chemokine receptors during T-cell polarization WP4494	4/29	0.005583621105065782	0.11979405279959314	0	0	5.517241379310344	28.622994590353443	CCR1;CXCR4;IL18R1;CCR2
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	3/17	0.00813412351983557	0.16692636092879953	0	0	7.0588235294117645	33.96485143053246	TCF7L1;CXCR4;CYTIP
Cells and Molecules involved in local acute inflammatory response  WP4493	3/17	0.00813412351983557	0.15997109589009956	0	0	7.0588235294117645	33.96485143053246	C3;ITGAL;ICAM1
Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341	6/71	0.008618199165128973	0.162711600237635	0	0	3.380281690140845	16.069450579234264	CCL2;NOD2;TLR4;PLCB2;TLR2;MAPK13
Simplified Depiction of MYD88 Distinct Input-Output Pathway WP3877	3/18	0.009582224106397506	0.17395422223921625	0	0	6.666666666666666	30.985637016835305	TLR1;TLR4;TLR2
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859	3/18	0.009582224106397506	0.16751147326739343	0	0	6.666666666666666	30.985637016835305	FN1;VIM;RUNX2
Cardiac Progenitor Differentiation WP2406	5/53	0.01024902420142917	0.172769265109806	0	0	3.7735849056603774	17.285180293547484	ANPEP;SIRPA;CXCR4;SCN5A;IGF1
Phosphodiesterases in neuronal function WP4222	5/53	0.01024902420142917	0.16681170424395061	0	0	3.7735849056603774	17.285180293547484	ADCY9;PDE1C;PDE4D;PDE4B;GRIN1
Fibrin Complement Receptor 3 Signaling Pathway WP4136	4/37	0.013278626831915668	0.20891706215547318	0	0	4.324324324324325	18.687998017259645	TYROBP;CCL2;CD14;TLR4
Complement and Coagulation Cascades WP558	5/58	0.014793960819046157	0.2252499840835415	0	0	3.4482758620689657	14.52943529053588	C3;CR2;SERPINA1;PLAU;C5AR1
Toll-like Receptor Signaling Pathway WP75	7/103	0.014815468083520505	0.21852815423192745	0	0	2.7184466019417473	11.450324086404363	CD86;TLR1;CD14;TLR4;PIK3R5;TLR2;MAPK13
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	14/303	0.020808961068013887	0.29763120073038046	0	0	1.848184818481848	7.156858336981304	CSF1R;ANGPT1;FN1;IGF1;LAMC1;PIK3C2A;ITGAL;PIK3R5;RELN;ITGAX;IL7R;JAK3;FGF11;ITGA9
Regulation of toll-like receptor signaling pathway WP1449	8/139	0.023687110870579106	0.328832833262157	0	0	2.302158273381295	8.61657375286721	CD86;TLR1;CD180;CD14;TLR4;PIK3R5;TLR2;MAPK13
Signal Transduction of S1P Receptor WP26	3/25	0.02374801151107834	0.3202588980922565	0	0	4.8	17.95323109370892	S1PR1;PLCB2;GNAI1
Prostaglandin Synthesis and Regulation WP98	4/45	0.02564991223851159	0.33629884934937415	0	0	3.5555555555555554	13.024764902655056	HPGD;PTGER2;ANXA6;PTGFRN
RAC1/PAK1/p38/MMP2 Pathway WP3303	5/68	0.02753519263940741	0.3512597547513594	0	0	2.941176470588235	10.565559882726514	ANGPT1;MMP2;TIE1;FN1;MAPK13
G Protein Signaling Pathways WP35	6/93	0.02914569343965597	0.36202019219783205	0	0	2.5806451612903225	9.123737071017121	AKAP13;ADCY9;PDE1C;PDE4D;PDE4B;GNAI1
IL-3 Signaling Pathway WP286	4/49	0.0337674247955063	0.4086724231661275	0	0	3.265306122448979	11.063701892761872	CD86;HCK;CD69;CBL
Vitamin B12 Metabolism WP1533	4/50	0.036004517553649654	0.4248533071330659	0	0	3.1999999999999997	10.637154754552185	ABCA1;CCL2;MPO;ICAM1
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	5/74	0.037751290429200716	0.43460022152640826	0	0	2.7027027027027026	8.856042217071249	GJA1;TCF7L1;SLC8A1;DSC2;ITGA9
Inflammatory Response Pathway WP453	3/30	0.038268755933891604	0.4300679238284961	0	0	4.0	13.052485950718438	CD86;FN1;LAMC1
Cell-type Dependent Selectivity of CCK2R Signaling WP3679	2/13	0.040550197611673826	0.44510914587697775	0	0	6.153846153846154	19.724397693220933	TRPC1;GNAI1
Mammary gland development pathway - Puberty (Stage 2 of 4) WP2814	2/13	0.040550197611673826	0.4349930289252283	0	0	6.153846153846154	19.724397693220933	FN1;VIM
Toll-like Receptor Signaling WP3858	3/31	0.04160691113161275	0.43641026786936044	0	0	3.8709677419354835	12.307699325969082	TLR1;TLR4;TLR2
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	4/53	0.04321791047116662	0.4434533422258835	0	0	3.0188679245283017	9.48377441633977	BCL3;TNFRSF10B;VIM;IL7R
Hematopoietic Stem Cell Differentiation WP2849	4/55	0.048445342258299454	0.4865149265088796	0	0	2.9090909090909087	8.806746415378175	CIITA;SPI1;CXCR4;FLI1
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	4/55	0.048445342258299454	0.47637919887327795	0	0	2.9090909090909087	8.806746415378175	SPI1;TNFRSF11A;CBL;ICAM1
Viral Acute Myocarditis WP4298	5/84	0.05934200894672073	0.5716209841398405	0	0	2.3809523809523805	6.724851928199624	CXCR4;NOD2;ITGAL;TLR4;AIF1
SREBF and miR33 in cholesterol and lipid homeostasis WP2011	2/16	0.05940541077305161	0.5607870776976072	0	0	5.0	14.116849831533036	ABCA1;SCD
Focal Adhesion WP306	9/198	0.061489677512052095	0.5690809369742861	0	0	1.8181818181818181	5.070701751981373	FGR;HCK;RELN;PARVG;FN1;IGF1;LAMC1;DOCK1;ITGA9
Selenium Micronutrient Network WP15	5/86	0.06435408776926937	0.5841371043672143	0	0	2.325581395348837	6.379894937115337	ABCA1;ALOX5AP;CCL2;MPO;ICAM1
Photodynamic therapy-induced HIF-1 survival signaling WP3614	3/37	0.06453588403923348	0.5747346654060038	0	0	3.2432432432432434	8.888217950878486	EGLN1;PKM;ANGPT1
NRF2 pathway WP2884	7/146	0.07419886464024615	0.6485530390777071	0	0	1.917808219178082	4.988231510107349	EGR1;SLC6A19;SERPINA1;SLC2A10;ME1;SLC2A5;HSPA1A
Endochondral Ossification WP474	4/64	0.07604536088191723	0.6526074606593624	0	0	2.5	6.441063157581755	PLAU;PTCH1;IGF1;RUNX2
Oxidative Damage WP3941	3/40	0.07776165816733924	0.6554196902675736	0	0	2.9999999999999996	7.6623203846665575	CR2;C5AR1;MAPK13
Extracellular vesicles in the crosstalk of cardiac cells WP4300	2/19	0.08063617099611983	0.6677240826345362	0	0	4.2105263157894735	10.601296667256518	IGF1;TLR4
Small Ligand GPCRs WP247	2/19	0.08063617099611983	0.656211598451182	0	0	4.2105263157894735	10.601296667256518	PTGER2;S1PR1
Calcium Regulation in the Cardiac Cell WP536	7/149	0.0806876891210328	0.6455015129682624	0	0	1.8791946308724832	4.730250970618586	RGS18;GJA1;ADCY9;RGS1;ANXA6;SLC8A1;GNAI1
Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433	3/41	0.08241355278955437	0.6483199486111609	0	0	2.9268292682926824	7.305381599970589	NLRP3;NOD2;NAIP
Folate Metabolism WP176	4/66	0.08305732510112497	0.6426730729136227	0	0	2.4242424242424243	6.03205877749113	ABCA1;CCL2;MPO;ICAM1
Human Thyroid Stimulating Hormone (TSH) signaling pathway WP2032	4/66	0.08305732510112497	0.6323073781892095	0	0	2.4242424242424243	6.03205877749113	EGR1;PDE4D;GNAI1;TSHR
Common Pathways Underlying Drug Addiction WP2636	3/42	0.08718222910547488	0.6531747958378435	0	0	2.8571428571428568	6.970727895708977	GNAI1;GRIA4;GRIN1
Hedgehog Signaling Pathway WP4249	3/44	0.09705771960273352	0.7158006820701597	0	0	2.727272727272727	6.361225718177528	EVC;PTCH1;CDON
Myometrial Relaxation and Contraction Pathways WP289	7/156	0.09706137003322408	0.7048148716258734	0	0	1.7948717948717947	4.186380189352231	RGS18;GJA1;ADCY9;RGS1;PDE4D;PDE4B;SLC8A1
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706	7/158	0.10205295161578054	0.7298332297370972	0	0	1.7721518987341771	4.044517536301507	EGR1;GJA1;SLC1A3;SCN5A;SSTR2;HDAC9;GRIN1
PI3K/AKT/mTOR - VitD3 Signalling WP4141	2/22	0.10379556080326813	0.7312164880469038	0	0	3.6363636363636362	8.237571185428129	CD86;HLA-DRA
miRNA targets in ECM and membrane receptors WP2911	2/22	0.10379556080326813	0.7204633043991552	0	0	3.6363636363636362	8.237571185428129	FN1;LAMC1
