	Sample: AA-043_Thalassimia_D08-N3	Sample: AA-043_Thalassimia_D10-N1	Sample: AA-043_Thalassimia_D08-N1	Sample: AA-043_Thalassimia_D10-N3	Sample: AA-043_Thalassimia_D10-H4	Sample: AA-043_Thalassimia_D08-H4
	Normal	Normal	Normal	Normal	Perturbation	Perturbation
GeneID						
Gene: APOBEC3B	-1.4565763400831098	0.5378772853266773	0.701872753736257	-1.360237406041053	0.7522189071874887	0.8248447998737394
Gene: SLC10A4	-1.0513071787822241	0.2528354830873886	1.0058751800973522	-1.589123428171852	0.2790625186825989	1.1026574250867365
Gene: GSTM1	0.6612888616848991	-1.3647682639708658	-1.3647682639708658	0.23149100227195923	0.6980528826588547	1.1387037813260188
Gene: CEACAM22P	-0.6416031494574441	-0.8883406033468858	-0.5544419356852798	-0.7267119642212062	1.4847486544005677	1.326348998310248
Gene: USP32P1	-0.6392586076118651	-0.6609196966235842	-0.8512732023844392	-0.6660441390025854	1.5012461213382267	1.316249524284247
Gene: C1orf105	0.8879143575857705	-1.4341047632782007	-1.358610987555647	0.8908926083661504	0.533718681681282	0.4801901032006446
Gene: C10orf10	-0.701210968912083	0.683309577801783	-1.3100480809894672	0.9833138460894175	1.2444354012828331	-0.8997997752724834
Gene: MUC3A	0.1025532441369174	-0.37246883781316825	0.4031139372370192	-1.0175673862273027	1.9019364288938367	-1.0175673862273027
Gene: KCNJ12	-0.5078932744163007	-0.6933627805666491	-0.6760826083446383	-0.8853445065510239	1.0618413977905818	1.7008417720880302
Gene: ANKRD20A4	1.0132704549323386	-1.2492440336083155	-1.5231079858068592	0.42860307934864167	0.7748460258813213	0.555632459252873
Gene: MT1H	0.5780804397240997	-0.12149979190898745	0.40578815888077996	-1.1226597207716107	-1.3176384093020779	1.5779293233777965
Gene: TRPC3	-0.7366963734940932	-0.7366963734940932	-0.7366963734940932	-0.5301333474055715	1.7802236618535328	0.9599988060343183
Gene: ZAR1	-0.8814981153979792	-0.0038019213548650386	1.073361849197195	-1.5753505566941999	0.13381111471968937	1.2534776295301595
Gene: FAM196A	-0.8709446062239479	-1.0182542903266585	0.06965207013992712	-0.8254939335591934	1.4230234569327465	1.222017303037127
Gene: IFIT1B	-0.6093812714586004	0.7890873605824957	-1.3192948813496947	1.3010236956501842	0.8023916436842535	-0.9638265471086405
Gene: MOCS1	-0.8160054376062326	1.059330158339988	1.6731179173333697	-0.8160054376062326	-0.28443176285465893	-0.8160054376062326
Gene: TMCC2	-0.6706370764320895	0.8521951784483788	-1.3387227703498161	1.2246980871248878	0.840780272691812	-0.9083136914831745
Gene: THEM5	-0.40524326172696146	1.0730724865645318	-0.832299544703056	1.4753141818806579	0.03590398878009642	-1.3467478507952688
Gene: TMEM233	-1.8598020791405432	0.9924966905258946	0.17771536634604557	-0.633028619371649	1.014238864591556	0.3083797770486959
Gene: MUC16	-0.16611858266797508	-0.725099625944766	0.5202221525428927	-0.6843875383596651	1.9682993934381874	-0.9129157990086729
Gene: BMS1P21	0.746846150909789	0.8393278306138395	0.4684293194027464	0.7411764787828182	-1.2235500904169916	-1.5722296892922014
Gene: HERC2P4	1.5727375293059669	-1.3199156759864525	-1.151790910398195	0.5714800248118047	-0.03308411368884877	0.3605731459557248
Gene: MT1G	0.541222594808209	-0.0956988072665326	0.7652413830483406	-1.2882458446567981	-1.2746039596239382	1.3520846336907193
Gene: OSR2	-1.003670511723966	-0.07783123372895182	-0.5810120364496328	1.259546642427072	1.422418419403109	-1.01945127992763
Gene: ST6GALNAC3	1.2808348630792292	-0.9376593800087015	-0.6347274721891194	1.331636523949392	0.09770939180446765	-1.137793926635268
Gene: TCP11L2	-0.6205366530910136	0.7294718697938166	-1.3698237415735675	1.1503120860507885	1.024064896628721	-0.9134884578087457
Gene: MUC2	-0.8042701394496864	-0.31009654273248566	0.2765658437465158	-0.8042701394496864	2.083067977754001	-0.4409969998686582
Gene: ZNF90	-0.7483517179721263	-0.5213828694182695	-0.3134260055221159	-1.1302887139358555	1.1212064996874975	1.59224280716087
Gene: TNFSF18	-0.7991024368960326	0.1331467104472303	-1.2488340064094967	0.9036704934444082	1.6137833007390252	-0.6026640613251346
Gene: ELF3	-1.0871966411093184	-0.38176400697095475	-0.752776744017873	0.35609886631149756	1.9907599330563357	-0.12512140726968773
Gene: C5	-0.39031712389630213	0.14219870321236433	-1.6586780628754896	0.966463068309553	1.3921360202947222	-0.4518026050448484
Gene: C15orf26	-0.5633962664737955	0.35419120493589173	-1.3847990982205116	0.779685124035324	1.5690541034898278	-0.7547350677667367
Gene: CSMD1	1.3219355051239343	-1.4383747162365532	-1.174955250337924	0.0321467529212946	0.6972960281842845	0.561951680344964
Gene: RELN	-0.4503625239175302	-0.7228440685525882	-0.982955579485457	-0.427494628354755	1.9195526589664307	0.6641041413438997
Gene: CCDC144A	-0.3852593692953261	-0.6224488058845901	-1.3016499514042974	-0.37093433482777693	1.482033485819179	1.1982589755928115
Gene: AK4	-0.13530766222096904	0.19186671564995508	1.0925371347450177	-1.8620344346513034	-0.36114111278815014	1.07407935926545
Gene: FAM106CP	-0.9191612435193447	-0.5377939406084195	-0.6948033732046426	-0.6584555221830795	1.426939325407192	1.3832747541082957
Gene: DGKH	-0.05044485617377243	-0.9687558250982762	-0.9005202291381966	-0.757543498406993	1.5511013496958714	1.1261630591213667
Gene: MUC4	-0.1790090446459008	-0.5175994324078226	0.615748200467179	-0.7791453709949568	1.9037783116193048	-1.0437726640378038
