"GeneID"	"AA.043_Thalassimia_D08.N3"	"AA.043_Thalassimia_D10.N1"	"AA.043_Thalassimia_D08.N1"	"AA.043_Thalassimia_D10.N3"	"AA.043_Thalassimia_D10.H4"	"AA.043_Thalassimia_D08.H4"
"DDX11L1"	1	2	1	0	3	5
"WASH7P"	120	266	225	165	161	182
"MIR6859-3"	0	0	0	0	0	0
"MIR6859-2"	0	0	0	0	0	0
"MIR6859-1"	0	0	0	0	0	0
"MIR6859-4"	0	0	0	0	0	0
"MIR1302-2"	0	0	0	0	0	0
"MIR1302-11"	0	0	0	0	0	0
"MIR1302-9"	0	0	0	0	0	0
"MIR1302-10"	0	0	0	0	0	0
"FAM138A"	0	0	0	0	0	0
"FAM138C"	0	0	0	0	0	0
"FAM138F"	0	0	0	0	0	0
"OR4F5"	0	0	0	0	0	0
"LOC729737"	1	5	8	2	22	23
"FAM138D"	0	0	0	2	1	0
"OR4F29"	0	0	0	0	0	0
"OR4F3"	0	0	0	0	0	0
"OR4F16"	0	0	0	0	0	0
"LOC100132287"	0	0	0	0	0	0
"LOC100132062"	0	0	0	0	0	0
"LOC101928626"	0	0	2	1	0	0
"MIR6723"	18	5	9	9	11	21
"LOC100133331"	10	23	19	8	3	6
"LOC100288069"	150	158	154	73	141	155
"FAM87B"	38	55	32	24	43	48
"LINC00115"	68	77	106	66	62	50
"LINC01128"	1328	2743	2227	1803	1559	1456
"FAM41C"	0	2	0	0	4	0
"LOC100130417"	0	0	0	0	1	0
"SAMD11"	6	6	14	2	11	15
"NOC2L"	2583	4157	8623	2450	1308	2852
"KLHL17"	132	204	225	132	127	129
"PLEKHN1"	1	1	2	0	9	2
"PERM1"	1	1	0	0	8	0
"HES4"	6	15	37	2	9	5
"ISG15"	150	403	499	256	111	138
"AGRN"	850	1813	2997	449	547	1383
"RNF223"	1	2	3	0	6	0
"C1orf159"	272	503	748	268	196	261
"LINC01342"	1	0	0	0	3	0
"MIR200B"	0	0	1	0	2	0
"MIR200A"	0	0	0	0	1	0
"MIR429"	0	0	0	0	0	0
"TTLL10"	1	0	2	0	21	1
"TNFRSF18"	0	11	2	1	1	2
"TNFRSF4"	6	9	3	9	9	6
"SDF4"	1902	4767	6553	2542	1366	2246
"B3GALT6"	324	353	1025	211	113	381
"FAM132A"	21	38	73	15	24	19
"UBE2J2"	1426	3128	4131	1864	1182	1653
"SCNN1D"	18	23	47	14	22	27
"ACAP3"	583	1312	1565	624	478	674
"MIR6726"	0	0	0	0	0	0
"PUSL1"	256	441	834	277	141	232
"CPSF3L"	1402	3009	3849	1599	1077	1505
"MIR6727"	0	1	2	0	0	3
"CPTP"	250	807	821	350	268	279
"TAS1R3"	34	52	71	17	26	31
"DVL1"	669	1129	1885	658	365	835
"MIR6808"	0	0	0	0	0	0
"MXRA8"	26	29	36	12	25	28
"AURKAIP1"	1593	4347	5842	2646	1208	1778
"CCNL2"	2432	2784	4256	1563	1529	2516
"LOC148413"	306	466	640	297	209	394
"MRPL20"	1915	2843	5482	2182	1293	2225
"ANKRD65"	0	1	6	0	16	1
"TMEM88B"	0	0	1	0	4	0
"LOC102724312"	0	0	1	0	5	0
"VWA1"	3	1	4	0	14	2
"ATAD3C"	31	16	81	13	8	40
"ATAD3B"	1029	1283	3098	625	428	1235
"ATAD3A"	1429	2254	5326	1072	620	1608
"TMEM240"	6	5	10	2	12	7
"SSU72"	1340	2371	3731	1469	836	1626
"C1orf233"	25	11	66	6	15	34
"MIB2"	298	1016	775	414	240	429
"MMP23B"	0	1	0	0	3	0
"MMP23A"	0	0	3	1	1	2
"CDK11B"	824	1872	1744	909	855	1092
"SLC35E2B"	705	1226	1367	646	687	1041
"CDK11A"	939	1387	1112	972	555	654
"SLC35E2"	350	814	847	289	262	314
"NADK"	1783	2421	4275	1665	990	1832
