GeneID,SRX3270441,SRX3270442,SRX3270443,SRR7947406,SRR7947407,SRR7947408
TSPAN6,3021,1218,1903,1276,353,654
TNMD,0,1,0,0,0,0
DPM1,766,396,649,817,590,601
SCYL3,589,330,621,395,293,265
C1orf112,779,365,686,908,788,517
FGR,0,0,3,38,7,9
CFH,1,0,0,17,5,4
FUCA2,1213,594,856,1081,1363,746
GCLC,1095,525,780,1803,1001,829
NFYA,2024,1057,1505,1123,1670,1422
STPG1,58,20,66,363,383,237
NIPAL3,425,226,658,1997,3082,1270
LAS1L,1218,594,1110,3717,2618,2788
ENPP4,416,221,371,225,58,16
SEMA3F,210,136,245,4850,3578,3851
CFTR,21,6,19,3,0,0
ANKIB1,2167,1405,2236,1017,968,1025
CYP51A1,59,35,42,144,218,215
KRIT1,1557,725,1224,1202,819,731
RAD52,425,316,444,411,401,275
MYH16,3,0,4,0,0,0
BAD,48,24,52,1668,904,990
LAP3,622,363,633,1055,848,815
CD99,530,138,300,647,444,205
HS3ST1,24,26,24,20,0,2
AOC1,0,0,0,2,1,1
WNT16,58,30,40,0,0,1
HECW1,527,373,676,161,191,182
MAD1L1,112,56,127,1237,971,989
LASP1,2916,1844,3497,3836,3996,3862
SNX11,329,198,352,931,702,730
TMEM176A,124,110,190,894,1100,812
M6PR,1284,691,1069,1680,1684,1347
KLHL13,618,558,891,205,323,70
CYP26B1,2,6,24,203,845,555
ICA1,122,37,65,633,390,234
DBNDD1,258,180,433,3318,3167,3586
ALS2,1754,1099,1814,1953,1862,1780
CASP10,13,4,10,18,1,4
CFLAR,2374,1393,2450,1088,823,846
TFPI,9,20,22,21,0,0
NDUFAF7,674,355,632,918,861,925
RBM5,7927,4280,7895,6612,3737,3094
MTMR7,735,366,711,1287,1304,785
SLC7A2,653,196,309,380,538,387
ARF5,480,262,586,2369,1777,1963
SARM1,1533,954,1720,4232,4085,3312
POLDIP2,1043,592,1056,2519,2548,2119
PLXND1,50,33,89,4808,9084,5663
AK2,2468,1178,1852,2933,3044,1930
CD38,9,1,3,16,4,2
FKBP4,3304,1731,3616,3985,4819,3602
KDM1A,7327,4369,7058,8438,9791,9413
RBM6,4212,2597,4800,7515,6984,6737
CAMKK1,175,95,177,3180,1689,1536
RECQL,1207,658,1039,1791,1539,1388
VPS50,1017,610,997,737,585,496
HSPB6,14,8,13,48,39,27
ARHGAP33,479,415,646,7899,6383,6165
NDUFAB1,733,401,699,1740,1193,1146
PDK4,177,117,150,35,9,0
SLC22A16,1,0,1,2,3,1
ZMYND10,81,52,82,1166,240,176
ABCB5,0,0,0,0,0,0
ARX,0,0,1,0,0,0
SLC25A13,1337,775,1145,1530,1622,1585
ST7,637,468,790,89,109,65
CDC27,2668,1461,2258,2160,2087,2381
SLC4A1,6,1,1,5,2,6
CALCR,70,57,106,0,0,0
HCCS,405,207,352,559,510,518
DVL2,422,185,390,2241,1643,1561
PRSS22,0,0,0,0,0,2
UPF1,569,283,571,3310,3211,3185
SKAP2,194,108,139,36,11,6
SLC25A5,2264,1281,2515,5716,5697,4392
MCUB,427,225,312,1325,2077,1304
HOXA11,0,0,0,1,0,0
POLR2J,148,56,163,755,504,576
DHX33,1428,699,1085,2179,2297,2172
MEOX1,0,0,0,0,0,0
THSD7A,2156,1975,2559,2364,1633,1390
LIG3,2744,1249,2071,1726,2146,1820
RPAP3,1738,877,1268,1135,932,805
ACSM3,14,5,5,8,1,1
REXO5,334,170,239,2263,2900,1302
CIAPIN1,1331,722,1405,1312,1359,1654
SPPL2B,272,169,233,3145,1871,1848
FAM214B,722,398,655,681,334,330
COPZ2,13,2,13,35,42,42
PRKAR2B,2234,1509,2620,3461,2297,1641
MSL3,958,561,938,1488,719,716
CREBBP,3457,1699,2972,3827,3254,3236
TSPOAP1,609,309,487,4396,3167,2023
MPO,34,7,24,6,4,0
PON1,3,1,3,0,0,0
GCFC2,885,403,579,615,675,877
WDR54,503,226,444,2152,1640,1170
CROT,505,203,363,465,319,182
ABCB4,149,84,137,24,8,2
KMT2E,5213,2892,4535,2511,2760,2309
RHBDD2,341,202,462,3254,2089,2258
SOX8,76,51,97,50,95,59
IBTK,2832,1524,2490,1207,1154,1070
ZNF195,1969,1235,2267,1698,1359,2322
MYCBP2,4218,2782,4565,2118,2192,1787
FBXL3,1342,633,1279,995,672,764
ITGAL,4,1,2,40,4,8
PDK2,268,113,258,888,804,731
ITGA3,89,51,90,3159,2429,1202
ZFX,1823,967,1624,1250,836,939
LAMP2,1983,932,1585,841,1089,690
ITGA2B,63,24,45,856,664,355
ASB4,2,0,0,0,0,0
GDE1,1412,675,1150,1314,1293,1274
REX1BD,84,35,91,974,388,485
CRLF1,0,0,0,358,1780,2414
OSBPL7,123,73,136,753,698,532
TMEM98,4016,2012,4020,2413,2007,2462
YBX2,35,9,9,178,917,323
KRT33A,0,0,0,0,0,0
MAP3K14,128,76,128,689,280,354
ABCC8,66,49,102,1661,1035,526
CACNG3,44,38,131,3,0,0
TMEM132A,626,418,612,4527,5413,8257
AP2B1,7894,5151,9322,8571,12647,8789
TAC1,127,124,282,18,11,0
ZNF263,792,452,706,1474,879,879
CX3CL1,31,9,21,86,65,24
SPATA20,45,64,68,839,806,461
CACNA1G,22,7,16,3676,5217,4107
TNFRSF12A,1,4,0,37,80,44
DLX6,0,0,0,10,0,411
MAP3K9,780,437,961,2267,3623,2163
RALA,2141,1339,2283,3604,4058,3991
BAIAP2L1,352,86,124,2028,2173,1226
KDM7A,1784,1171,1663,358,694,691
ETV1,1008,450,801,314,67,249
AGK,752,476,777,800,917,788
ALDH3B1,0,0,1,26,9,1
TTC22,22,5,10,0,0,0
PHTF2,1272,617,994,2473,2647,1895
CCL26,1,0,0,11,2,6
FARP2,950,487,800,1618,1295,1140
USH1C,1,0,2,5,3,1
GGCT,525,212,374,2034,1860,1853
DBF4,1310,668,881,1338,1161,923
TBXA2R,0,0,0,37,131,94
IFRD1,2356,1375,2087,1098,1291,1408
LGALS14,0,0,0,0,0,0
COX10,306,167,262,399,355,219
GTF2IRD1,449,226,516,3594,3389,2775
PAF1,862,497,993,2914,1939,1599
VPS41,3221,2174,3944,1584,1657,1602
ARHGAP44,343,172,327,1139,1122,725
ELAC2,950,481,957,1925,2111,1951
SCIN,7,1,2,10,1,0
ARSD,934,490,906,201,36,38
PNPLA4,312,179,283,577,547,465
MYH13,0,0,0,10,7,1
ADIPOR2,2306,1075,1931,2599,2911,1895
CDKL3,39,22,25,33,36,21
UPP2,7,1,3,0,0,0
PRSS21,0,0,0,0,0,0
MARK4,458,241,572,1351,2010,1583
PROM1,2221,773,1206,5454,2584,2863
CCDC124,30,16,48,1302,1465,1602
CEACAM21,1,0,1,10,1,0
PAFAH1B1,9908,5761,10115,9400,8174,6652
NOS2,9,1,1,148,784,480
DNAH9,134,57,64,46,7,20
KIAA0100,5317,2574,4803,5006,5206,4886
SLC13A2,1,0,0,15,55,8
GAS7,649,246,402,6784,6568,3936
TRAPPC6A,15,8,17,291,345,244
MATK,2,0,1,4270,2490,2468
CEACAM7,1,1,0,0,0,0
CD79B,0,0,0,6,0,1
SCN4A,10,2,3,2,22,3
ST7L,609,328,447,840,613,472
TKTL1,23,14,29,8,1,2
PAX6,24544,13891,21182,161,590,374
RPUSD1,7,8,15,890,406,514
RHBDF1,65,26,64,383,537,370
LUC7L,3253,1838,2907,4035,3010,3122
CACNA2D2,329,174,301,546,958,691
BAIAP3,46,15,25,357,129,87
TSR3,67,43,99,1045,828,840
PIGQ,88,33,94,1849,1024,1585
CRAMP1,732,371,629,1108,1058,1257
