Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcription Regulation by Methyltransferase of CARM1 Homo sapiens h carm1Pathway	3/14	0.004603033511907417	1.0	0	0	8.571428571428571	46.12319771763762	CREB1;PRKAR1A;NCOA3
Human Cytomegalovirus and Map Kinase Pathways Homo sapiens h hcmvPathway	3/16	0.006823799195615574	0.8086202046804456	0	0	7.5	37.40504171568808	RB1;CREB1;PIK3CA
FAS signaling pathway ( CD95 ) Homo sapiens h fasPathway	3/20	0.012902143644594305	1.0	0	0	5.999999999999999	26.10217084452193	RB1;CFLAR;MAP3K7
Inactivation of Gsk3 by AKT causes accumulation of b-catenin in Alveolar Macrophages Homo sapiens h gsk3Pathway	4/39	0.015905781183770465	0.9424175351384001	0	0	4.102564102564102	16.989015956420822	PIK3CA;LEF1;CTNNB1;DKK1
Regulation of BAD phosphorylation Homo sapiens h badPathway	3/23	0.01896828932905573	0.8990969141972416	0	0	5.217391304347825	20.686887009392155	KITLG;PIK3CA;PRKAR1A
mTOR Signaling Pathway Homo sapiens h mTORPathway	3/24	0.021284306818544364	0.8407301193325023	0	0	5.0	19.248926234484543	PIK3CA;IRS1;EIF3A
Signaling Pathway from G-Protein Families Homo sapiens h gpcrPathway	3/26	0.026359322007969647	0.892451330841258	0	0	4.615384615384615	16.781230569993895	CREB1;PRKAR1A;GNAI1
ALK in cardiac myocytes Homo sapiens h alkPathway	3/27	0.029117852235481113	0.862616372476128	0	0	4.444444444444444	15.717350284548534	ATF2;BMPR2;MAP3K7
Control of Gene Expression by Vitamin D Receptor Homo sapiens h vdrPathway	3/27	0.029117852235481113	0.7667701088676693	0	0	4.444444444444444	15.717350284548534	SMARCE1;NCOA2;NCOA3
Transcription factor CREB and its extracellular signals Homo sapiens h crebPathway	3/27	0.029117852235481113	0.6900930979809023	0	0	4.444444444444444	15.717350284548534	CREB1;PIK3CA;PRKAR1A
Thrombin signaling and protease-activated receptors Homo sapiens h Par1Pathway	3/27	0.029117852235481113	0.6273573618008204	0	0	4.444444444444444	15.717350284548534	PIK3CA;MAP3K7;GNAI1
Multi-step Regulation of Transcription by Pitx2 Homo sapiens h pitx2Pathway	3/27	0.029117852235481113	0.575077581650752	0	0	4.444444444444444	15.717350284548534	LEF1;CTNNB1;DKK1
Insulin Signaling Pathway Homo sapiens h insulinPathway	2/11	0.02954667996708659	0.5386587040153479	0	0	7.2727272727272725	25.612973778194785	PIK3CA;IRS1
CXCR4 Signaling Pathway Homo sapiens h cxcr4Pathway	2/11	0.02954667996708659	0.5001830822999659	0	0	7.2727272727272725	25.612973778194785	PIK3CA;GNAI1
WNT Signaling Pathway Homo sapiens h wntPathway	3/30	0.038268755933891604	0.6046463437554873	0	0	4.0	13.052485950718438	CTNNB1;MAP3K7;DKK1
Erythropoietin mediated neuroprotection through NF-kB Homo sapiens h eponfkbPathway	2/13	0.040550197611673826	0.6006498021229185	0	0	6.153846153846154	19.724397693220933	CREB1;HIF1A
Multiple antiapoptotic pathways from IGF-1R signaling lead to BAD phosphorylation Homo sapiens h igf1rPathway	2/13	0.040550197611673826	0.5653174608215704	0	0	6.153846153846154	19.724397693220933	PIK3CA;IRS1
Melanocyte Development and Pigmentation Pathway Homo sapiens h melanocytepathway	2/13	0.040550197611673826	0.533910935220372	0	0	6.153846153846154	19.724397693220933	KITLG;CREB1
B Cell Survival Pathway Homo sapiens h bcellsurvivalPathway	2/13	0.040550197611673826	0.5058103596824577	0	0	6.153846153846154	19.724397693220933	ITGB1;PIK3CA
Nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells Homo sapiens h rarrxrPathway	2/15	0.05283270093282616	0.62606750605399	0	0	5.333333333333333	15.683333035361262	NCOA2;NCOA3
PTEN dependent cell cycle arrest and apoptosis Homo sapiens h ptenPathway	2/15	0.05283270093282616	0.5962547676704667	0	0	5.333333333333333	15.683333035361262	ITGB1;PIK3CA
Repression of Pain Sensation by the Transcriptional Regulator DREAM Homo sapiens h dreampathway	2/15	0.05283270093282616	0.5691522782309	0	0	5.333333333333333	15.683333035361262	CREB1;PRKAR1A
Hypoxia-Inducible Factor in the Cardiovascular System Homo sapiens h hifPathway	2/16	0.05940541077305161	0.612134015357097	0	0	5.0	14.116849831533036	CREB1;HIF1A
The IGF-1 Receptor and Longevity Homo sapiens h longevityPathway	2/16	0.05940541077305161	0.5866284313838847	0	0	5.0	14.116849831533036	PIK3CA;IRS1
Actions of Nitric Oxide in the Heart Homo sapiens h no1Pathway	3/42	0.08718222910547488	0.8264875319199018	0	0	2.8571428571428568	6.970727895708977	PIK3CA;PRKAR1A;PDE3B
IGF-1 Signaling Pathway Homo sapiens h igf1Pathway	2/20	0.08816218183787267	0.8036321959836854	0	0	4.0	9.714308741076266	PIK3CA;IRS1
Growth Hormone Signaling Pathway Homo sapiens h ghPathway	2/22	0.10379556080326813	0.9110943670509092	0	0	3.6363636363636362	8.237571185428129	PIK3CA;IRS1
Eicosanoid Metabolism Homo sapiens h eicosanoidPathway	2/23	0.11187435504137663	0.9469365051716522	0	0	3.4782608695652173	7.618709103989623	CYSLTR2;PTGER3
How Progesterone Initiates the Oocyte Maturation Homo sapiens h mPRPathway	2/23	0.11187435504137663	0.9142835222346987	0	0	3.4782608695652173	7.618709103989623	PRKAR1A;GNAI1
Tumor Suppressor Arf Inhibits Ribosomal Biogenesis Homo sapiens h arfPathway	2/23	0.11187435504137663	0.8838074048268754	0	0	3.4782608695652173	7.618709103989623	RB1;PIK3CA
Phospholipase C Signaling Pathway Homo sapiens h plcPathway	1/5	0.11891526936765551	0.9091264141978824	0	0	8.0	17.03475249279432	PIK3CA
FOSB gene expression and drug abuse Homo sapiens h fosbPathway	1/5	0.11891526936765551	0.8807162137541986	0	0	8.0	17.03475249279432	GRIA2
Regulation of eIF4e and p70 S6 Kinase Homo sapiens h eif4Pathway	2/24	0.12010982001247623	0.8626068891805111	0	0	3.333333333333333	7.064495959797489	PIK3CA;IRS1
Regulation of ck1/cdk5 by type 1 glutamate receptors Homo sapiens h ck1Pathway	2/24	0.12010982001247623	0.8372360983222608	0	0	3.333333333333333	7.064495959797489	PRKAR1A;DRD1
Segmentation Clock Homo sapiens h hesPathway	2/24	0.12010982001247623	0.8133150669416248	0	0	3.333333333333333	7.064495959797489	CTNNB1;DKK1
