Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AP-1 transcription factor network	8/70	3.4979964281304013E-4	0.5281974606476906	0	0	4.571428571428571	36.380114361133536	ATF2;TCF7L2;ELF1;CREB1;DMTF1;MYB;CTNNB1;HIF1A
Signaling events regulated by Ret tyrosine kinase	6/39	3.835197036171375E-4	0.2895573762309388	0	0	6.153846153846154	48.40688960046071	CREB1;PIK3CA;IRS1;GRB10;GAB1;FRS2
Basal cell carcinoma	7/55	4.2061290439478725E-4	0.21170849521204294	0	0	5.09090909090909	39.575696945256	TCF7L2;FZD3;FZD5;HHIP;LEF1;CTNNB1;GLI3
Adipogenesis	11/133	5.194372578446371E-4	0.1960875648363505	0	0	3.308270676691729	25.0196721254818	RB1;NCOA2;CREB1;IRS1;IRS4;EBF1;SPOCK1;CTNNB1;LIFR;PRLR;HIF1A
Transcriptional regulation of white adipocyte differentiation	8/77	6.697013354290692E-4	0.2022498032995789	0	0	4.1558441558441555	30.373729716279165	MED23;NCOA2;MED13;CHD9;NCOA3;EBF1;NR2F2;MED4
Adherens junction actin cytoskeletal organization	5/29	6.918757149828902E-4	0.1741220549373607	0	0	6.8965517241379315	50.180029111054964	CDH6;CTNND1;CDH11;CTNNB1;CDH7
Wnt signaling pathway and pluripotency	9/98	7.793470088722412E-4	0.16811628334244058	0	0	3.673469387755102	26.29121935229659	TCF7L2;FZD3;FZD5;CTNND1;ESRRB;LEF1;CTNNB1;ZBTB33;MAP3K7
FGF signaling pathway	7/61	7.951619790035321E-4	0.15008682353691669	0	0	4.590163934426229	32.75983804473788	PIK3CA;FGF19;CTNND1;GAB1;SPRY2;FRS2;IL17RD
Circadian rhythm	7/62	8.773856486431346E-4	0.14720581438345925	0	0	4.516129032258064	31.787062891850365	ATF2;NCOA2;CREB1;CHD9;NCOA3;RORB;HIF1A
Cell junction organization	8/84	0.0011921825256332765	0.18001956137062475	0	0	3.8095238095238093	25.645598462972284	ITGB1;CDH6;CTNND1;CDH11;CTNNB1;PARVA;CLDN2;CDH7
N-cadherin signaling events	5/34	0.0014630597586829306	0.20083820323738408	0	0	5.88235294117647	38.39544300650074	GRIA2;FER;PIK3CA;CTNND1;CTNNB1
E-cadherin keratinocyte pathway	4/21	0.0016471077800394765	0.2072610623216341	0	0	7.619047619047619	48.828452493024685	PIK3CA;CTNND1;CTNNB1;AJUBA
Neural crest differentiation	8/91	0.001997670561670906	0.23203711908638985	0	0	3.5164835164835164	21.857665042283042	ITGB1;CDH6;FZD3;FGF19;MYB;CTNNB1;ISL1;CDH7
Incretin biosynthesis, secretion, and inactivation	4/23	0.0023425796244436227	0.2526639452078479	0	0	6.956521739130435	42.13219167446808	TCF7L2;CTNNB1;PAX6;ISL1
Adherens junction cell adhesion	7/74	0.0024850933195517504	0.2501660608348762	0	0	3.7837837837837838	22.693035388645278	TJP1;TCF7L2;FER;CTNND1;LEF1;CTNNB1;MAP3K7
Neuroactive ligand-receptor interaction	15/272	0.0036743564543548837	0.34676739037974214	0	0	2.205882352941176	12.367008697307911	GABRA2;GRIA2;LHCGR;CHRNB3;PTGER3;LPAR4;PRLR;GRM3;GLRA2;CYSLTR2;CALCR;S1PR3;DRD1;F2RL2;GRIA4
BMP receptor signaling	5/42	0.0037982815454921017	0.3373767725701808	0	0	4.761904761904761	26.539078759070478	BMPR2;BAMBI;SOSTDC1;SMAD9;MAP3K7
Melanogenesis	8/101	0.0038291605673186815	0.3212240253695116	0	0	3.168316831683168	17.632030646607024	TCF7L2;FZD3;KITLG;CREB1;FZD5;LEF1;CTNNB1;GNAI1
CARM1 transcriptional regulation by protein methylation	3/14	0.004603033511907417	0.36582003173579997	0	0	8.571428571428571	46.12319771763762	CREB1;PRKAR1A;NCOA3
Developmental biology	20/420	0.004736217280429411	0.3575844046724205	0	0	1.9047619047619047	10.195269531397654	ITGB1;NCOA2;CNTN6;CHD9;SEMA3A;NCOA3;EBF1;PAX6;NR2F2;ANK3;LAMC1;MED4;MED23;MED13;CREB1;CTNNB1;SCN7A;COL6A6;PTF1A;SRGAP1
Cell-cell communication	9/129	0.0051619269188560085	0.37116712607012253	0	0	2.7906976744186043	14.697056749704897	CDH6;ITGB1;PIK3CA;CTNND1;CDH11;CTNNB1;PARVA;CLDN2;CDH7
Neuronal system	15/283	0.005282032059535408	0.362539473177203	0	0	2.1201413427561837	11.116843241433912	GABRA2;GRIA2;CHRNB3;KCND2;KCNH7;STX7;CACNA1A;SLC6A1;GNAI1;NCALD;CREB1;GNG2;KCNK1;SLC18A2;GRIA4
Validated nuclear estrogen receptor beta network	3/15	0.005648024777015824	0.37080510492582147	0	0	8.0	41.41159513548328	SMARCE1;NCOA2;NCOA3
Inactivation of GSK3 by Akt causes accumulation of beta-catenin in alveolar macrophages	4/30	0.006317508693985948	0.39747658866328256	0	0	5.333333333333333	27.01029516014832	PIK3CA;LEF1;CTNNB1;DKK1
HES/HEY pathway	5/48	0.0067673334453859715	0.40874694010131263	0	0	4.166666666666667	20.815200615542235	RB1;HEY1;MYB;PTF1A;HIF1A
Post-translational regulation of adherens junction stability and disassembly	5/48	0.0067673334453859715	0.39302590394356984	0	0	4.166666666666667	20.815200615542235	CTNND1;IGF2;ADAM10;CTNNB1;ZBTB33
Hypothetical network for drug addiction	4/32	0.007971195406910945	0.44579648386798243	0	0	5.0	24.159604045535342	GRIA2;CREB1;DRD1;GRIA4
Pathways in cancer	16/325	0.008053713159505085	0.4343252453875957	0	0	1.9692307692307691	9.494886462719963	RB1;ITGB1;TCF7L2;FZD3;FZD5;HHIP;LEF1;CBLB;LAMC1;HIF1A;GLI3;KITLG;PIK3CA;FGF19;COL4A6;CTNNB1
Transmission across chemical synapses	11/190	0.008476604918739727	0.4413680492171375	0	0	2.31578947368421	11.047346947308263	GABRA2;GRIA2;CHRNB3;CREB1;GNG2;CACNA1A;SLC6A1;SLC18A2;GNAI1;NCALD;GRIA4
Bacterial invasion of epithelial cells	6/71	0.008618199165128973	0.4337826913114916	0	0	3.380281690140845	16.069450579234264	ITGB1;PIK3CA;GAB1;CTNNB1;CBLB;DNM1L
Apoptotic execution  phase	5/52	0.009471810530852916	0.46136883553509367	0	0	3.8461538461538463	17.920904631222058	TJP1;H1F0;SATB1;CTNNB1;DNM1L
Signaling events mediated by PTP1B	5/52	0.009471810530852916	0.446951059424622	0	0	3.8461538461538463	17.920904631222058	FER;PIK3CA;IRS1;SPRY2;PRLR
Signaling events mediated by stem cell factor receptor (c-Kit)	5/52	0.009471810530852916	0.4334070879269062	0	0	3.8461538461538463	17.920904631222058	FER;KITLG;PIK3CA;GRB10;GAB1
Human cytomegalovirus and MAP kinase pathways	3/18	0.009582224106397506	0.4255634823723598	0	0	6.666666666666666	30.985637016835305	RB1;CREB1;PIK3CA
Thrombin signaling through protease-activated receptors	5/53	0.01024902420142917	0.4421721869759442	0	0	3.7735849056603774	17.285180293547484	GNG2;PIK3CA;MAP3K7;GNAI1;F2RL2
Signaling by Hippo	3/20	0.012902143644594305	0.5411732473149278	0	0	5.999999999999999	26.10217084452193	MOB1B;TJP1;LATS2
ALK in cardiac myocytes	4/37	0.013278626831915668	0.5419115274646664	0	0	4.324324324324325	18.687998017259645	ATF2;BMPR2;CTNNB1;MAP3K7
Integration of energy metabolism	8/125	0.013327245294946983	0.5295826419834196	0	0	2.56	11.053938740966716	TCF7L2;GNG2;PRKAR1A;CACNA1A;CTNNB1;PAX6;ISL1;GNAI1
PI3K cascade	5/57	0.013793849088617314	0.5340695416362088	0	0	3.508771929824561	15.029938611919315	CREB1;PIK3CA;FGF19;GAB1;FRS2
SHP2 signaling	5/57	0.013793849088617314	0.5207178030953036	0	0	3.508771929824561	15.029938611919315	PIK3CA;IRS1;GAB1;FRS2;GNAI1
Integrated breast cancer pathway	9/152	0.014362570809804716	0.5289629737269542	0	0	2.3684210526315788	10.049517723867249	RB1;FER;BMPR2;CREB1;IRS1;NCOA3;MYCBP2;CTNNB1;FILIP1
BDNF signaling pathway	13/261	0.014623567277574467	0.5257520616461296	0	0	1.9923371647509576	8.417865304163042	DDX17;PNISR;TFAP2B;SEMA3A;IGF2;ANK3;FNDC3A;RORB;DKK1;CDH11;RBMS1;KCNK1;FBN1
Nicotine activity on dopaminergic neurons	3/21	0.014777987746011578	0.5189479417785461	0	0	5.7142857142857135	24.083522970404665	GNG2;GNAI1;SLC18A2
Signaling by FGFR in disease	8/128	0.015196841126295138	0.5215279568342196	0	0	2.5	10.466669233415214	CREB1;PIK3CA;PRKAR1A;FGF19;GAB1;SPRY2;FRS2;IL17RD
Signal transduction	37/1020	0.015229187092316429	0.5110238335421735	0	0	1.4509803921568627	6.0716876505927235	ITGB1;BMPR2;CALCB;IRS1;LPAR4;LAMC1;DTX4;HIF1A;GNAI1;GRM3;FGD4;GNG2;CYSLTR2;CALCR;HEY1;GRB10;DRD1;E2F5;FZD3;LHCGR;OPN3;FZD5;GAB1;ADAM10;FRS2;IL17RD;MOB1B;KITLG;FER;LATS2;CREB1;AGO3;FGF19;CTNNB1;COL6A6;F2RL2;FBN1
CHL1 interactions	2/8	0.01580491452517871	0.5188134985439098	0	0	10.0	41.47434341416576	ITGB1;CNTN6
E-cadherin nascent AJ-like junctions pathway	4/39	0.015905781183770465	0.5110155231381575	0	0	4.102564102564102	16.989015956420822	TJP1;PIK3CA;CTNND1;CTNNB1
Fibroblast growth factor receptor pathway	7/105	0.016319228364725734	0.5133757256403304	0	0	2.6666666666666665	10.974429899032433	CREB1;PIK3CA;FGF19;GAB1;SPRY2;CBLB;FRS2
SMAD2/3 nuclear pathway	6/82	0.016783871259473622	0.5172172571796974	0	0	2.9268292682926824	11.962937261822507	TGIF1;ATF2;NCOA2;CREB1;LAMC1;E2F5
TGF-beta signaling pathway	10/185	0.01824388577094862	0.5509653502826484	0	0	2.1621621621621623	8.657135743431049	ITGB1;TGIF1;ATF2;ZEB2;BAMBI;LEF1;SMAD9;CTNNB1;E2F5;MAP3K7
BAD phosphorylation mediated by IGF1R signaling	3/23	0.01896828932905573	0.5616101350367481	0	0	5.217391304347825	20.686887009392155	PIK3CA;IRS1;PRKAR1A
CREB transcription factor and its extracellular signals	3/23	0.01896828932905573	0.5508099401321952	0	0	5.217391304347825	20.686887009392155	CREB1;PIK3CA;PRKAR1A
Signaling by insulin receptor	7/109	0.019645167408776597	0.5597019393821258	0	0	2.5688073394495414	10.095217368867251	PIK3CA;IRS1;FGF19;PDE3B;GRB10;GAB1;FRS2
Collagen biosynthesis and modifying enzymes	5/64	0.02181970122725916	0.6101434972807653	0	0	3.125	11.95294372275165	COL25A1;COL11A1;COL4A6;COL6A6;TLL1
Androgen receptor signaling, proteolysis, and transcription regulation	6/88	0.0229589564722733	0.6303277140569579	0	0	2.727272727272727	10.292855886484162	RB1;SMARCE1;NCOA2;CREB1;NCOA3;CTNNB1
Heart development	4/44	0.02382609847412197	0.6424537267129317	0	0	3.6363636363636362	13.58899536203803	BMPR2;HEY1;CTNNB1;ISL1
Prostate cancer	6/89	0.024118332393649237	0.6389242441124623	0	0	2.696629213483146	10.044358779564119	RB1;TCF7L2;CREB1;PIK3CA;LEF1;CTNNB1
Beta-1 integrin cell surface interactions	5/66	0.02457069252754745	0.6396852709758043	0	0	3.0303030303030303	11.230911839233022	ITGB1;COL11A1;COL4A6;LAMC1;FBN1
Thyroid-stimulating hormone signaling pathway	5/66	0.02457069252754745	0.6288431477389262	0	0	3.0303030303030303	11.230911839233022	RB1;CREB1;GNG2;PIK3CA;GNAI1
Calcitonin-like ligand receptors	2/10	0.02457569018526242	0.6184882029957709	0	0	8.0	29.64798022792225	CALCB;CALCR
RhoA signaling pathway	4/45	0.02564991223851159	0.6349404504943033	0	0	3.5555555555555554	13.024764902655056	ITGB1;ATF2;PIP5K1B;F2RL2
Fibroblast growth factor 1	3/26	0.026359322007969647	0.6419770360005511	0	0	4.615384615384615	16.781230569993895	BAMBI;IGF2;S1PR3
YAP1- and WWTR1 (TAZ)-stimulated gene expression	3/26	0.026359322007969647	0.6317869243180027	0	0	4.615384615384615	16.781230569993895	NCOA2;CHD9;NCOA3
