Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signaling pathways regulating pluripotency of stem cells	12/139	1.9689490439549445E-4	0.06064363055381229	0	0	3.4532374100719423	29.4659238623427	FZD3;REST;BMPR2;FZD5;PIK3CA;ESRRB;ID4;SMAD9;CTNNB1;LIFR;PAX6;ISL1
Hippo signaling pathway	13/160	1.9824340760227164E-4	0.030529484770749835	0	0	3.25	27.709548590601084	CRB1;TCF7L2;FZD3;BMPR2;FZD5;LEF1;GDF6;MOB1B;DLG2;LATS2;DCHS2;CTNNB1;AJUBA
Cocaine addiction	7/49	2.0253908941845664E-4	0.02079401318029488	0	0	5.7142857142857135	48.5975866050352	GRM3;ATF2;GRIA2;CREB1;DRD1;SLC18A2;GNAI1
Nicotine addiction	6/40	4.417830746821164E-4	0.034017296750522966	0	0	5.999999999999999	46.348149465727786	GABRA2;GRIA2;CACNA1A;SLC17A6;SLC17A8;GRIA4
Wnt signaling pathway	12/158	6.356808021644386E-4	0.039157937413329416	0	0	3.0379746835443036	22.36196659442741	TCF7L2;SFRP1;FZD3;FZD5;BAMBI;RYK;LEF1;CTNNB1;GPC4;MAP3K7;DKK1;LGR5
Basal cell carcinoma	7/63	9.661680968754588E-4	0.049596628972940225	0	0	4.444444444444444	30.854101002496378	TCF7L2;FZD3;FZD5;HHIP;LEF1;CTNNB1;GLI3
Autophagy	10/128	0.001424385311398148	0.06267295370151851	0	0	3.125	20.481296621082954	PIK3CA;IRS1;RB1CC1;IRS4;RRAS2;SUPT20H;CFLAR;MAP3K7;HIF1A;ATG2B
Adherens junction	7/72	0.0021227913385874863	0.08172746653561823	0	0	3.888888888888889	23.936202061340634	TJP1;TCF7L2;FER;CTNND1;LEF1;CTNNB1;MAP3K7
Glutamatergic synapse	9/114	0.002262762839799458	0.07743677273980368	0	0	3.157894736842105	19.23526963215984	GRM3;GRIA2;GNG2;HOMER2;CACNA1A;SLC17A6;SLC17A8;GNAI1;GRIA4
Regulation of lipolysis in adipocytes	6/55	0.0024347423340301366	0.0749900638881282	0	0	4.363636363636363	26.25998987211677	PIK3CA;IRS1;PDE3B;PTGER3;IRS4;GNAI1
Hepatocellular carcinoma	11/168	0.00341764698684452	0.09569411563164656	0	0	2.619047619047619	14.873055424441949	RB1;SMARCE1;TCF7L2;FZD3;FZD5;PIK3CA;GSTA4;LEF1;IGF2;GAB1;CTNNB1
Melanogenesis	8/101	0.0038291605673186815	0.09828178789451282	0	0	3.168316831683168	17.632030646607024	TCF7L2;FZD3;KITLG;CREB1;FZD5;LEF1;CTNNB1;GNAI1
Breast cancer	10/147	0.003926777294054108	0.09303441588989732	0	0	2.7210884353741496	15.074656371333974	RB1;TCF7L2;FZD3;FZD5;HEY1;PIK3CA;FGF19;NCOA3;LEF1;CTNNB1
Proteoglycans in cancer	12/201	0.004811309721838535	0.10584881388044777	0	0	2.388059701492537	12.744563439967834	ITGB1;FZD3;FZD5;PIK3CA;IGF2;GAB1;GPC3;RRAS2;CTNNB1;FRS2;ANK3;HIF1A
Neuroactive ligand-receptor interaction	17/338	0.0052216954020299754	0.10721881225501549	0	0	2.0118343195266273	10.572054838190548	GABRA2;GRIA2;LHCGR;CHRNB3;CALCB;PTGER3;LPAR4;TRH;PRLR;GRM3;GLRA2;CYSLTR2;CALCR;S1PR3;DRD1;F2RL2;GRIA4
Dopaminergic synapse	9/131	0.005702097729166467	0.1097653812864545	0	0	2.7480916030534353	14.199172623713345	ATF2;GRIA2;CREB1;GNG2;CACNA1A;DRD1;SLC18A2;GNAI1;GRIA4
