Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cadherin signaling pathway Homo sapiens P00012	14/150	2.4951949750963024E-5	0.002794618372107859	0	0	3.7333333333333334	39.56795207862496	TCF7L2;FZD3;FZD5;PCDH7;CTNND1;PCDH11X;LEF1;PCDH19;CDH7;CDH6;FER;CDH11;FAT1;CTNNB1
Ionotropic glutamate receptor pathway Homo sapiens P00037	6/45	8.437696124754264E-4	0.047251098298623874	0	0	5.333333333333333	37.747365715372595	GRM3;GRIA2;CACNA1A;SLC17A6;SLC17A8;GRIA4
Wnt signaling pathway Homo sapiens P00057	16/278	0.001790761350436638	0.06685509041630115	0	0	2.302158273381295	14.56141447854846	SMARCE1;TCF7L2;FZD3;FZD5;PCDH7;PCDH11X;LEF1;PCDH19;CDH7;CDH6;SFRP1;GNG2;CDH11;FAT1;CTNNB1;MAP3K7
Nicotine pharmacodynamics pathway Homo sapiens P06587	4/28	0.00490889575807688	0.13744908122615263	0	0	5.7142857142857135	30.381178622804246	GNG2;CHRNB3;GNAI1;SLC18A2
Metabotropic glutamate receptor group II pathway Homo sapiens P00040	4/30	0.006317508693985948	0.14151219474528523	0	0	5.333333333333333	27.01029516014832	GRM3;PRKAR1A;CACNA1A;GNAI1
TGF-beta signaling pathway Homo sapiens P00052	7/88	0.006512934675132359	0.12157478060247069	0	0	3.1818181818181817	16.01716177532536	ATF2;BMPR2;BAMBI;SMAD9;TLL1;GDF6;MAP3K7
Insulin/IGF pathway-protein kinase B signaling cascade Homo sapiens P00033	4/34	0.009885910454645437	0.15817456727432702	0	0	4.705882352941176	21.72538692674213	PIK3CA;IRS1;IRS4;IGF2
Metabotropic glutamate receptor group III pathway Homo sapiens P00039	5/54	0.011068822496125156	0.15496351494575217	0	0	3.7037037037037033	16.680084840121786	GRIA2;PRKAR1A;CACNA1A;GNAI1;GRIA4
Angiogenesis Homo sapiens P00005	8/142	0.02648626460319868	0.32960684839536136	0	0	2.2535211267605635	8.182825909234943	TCF7L2;SFRP1;FZD3;FZD5;PIK3CA;CTNNB1;FRS2;HIF1A
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade Homo sapiens P00032	3/29	0.035073626746766035	0.39282461956377956	0	0	4.137931034482758	13.863334368288841	IRS1;IRS4;IGF2
Alzheimer disease-presenilin pathway Homo sapiens P00004	6/99	0.03790132072194009	0.3859043564415719	0	0	2.4242424242424243	7.93398623019715	TCF7L2;FZD3;FZD5;MMP16;LEF1;CTNNB1
CCKR signaling map ST Homo sapiens P06959	8/165	0.05579600838195077	0.5207627448982072	0	0	1.9393939393939392	5.597193593264909	ITGB1;ATF2;CREB1;GNG2;IRS1;CTNNB1;RYR3;SLC18A2
GABA-B receptor II signaling Homo sapiens P05731	3/35	0.056354567885378765	0.48551627716634016	0	0	3.4285714285714284	9.860886785287258	PRKAR1A;CACNA1A;GNAI1
Enkephalin release Homo sapiens P05913	2/17	0.0662415915707929	0.5299327325663432	0	0	4.705882352941176	12.773867020503221	CREB1;GNAI1
Hedgehog signaling pathway Homo sapiens P00025	2/18	0.07332402120449992	0.5474860249935994	0	0	4.444444444444444	11.612742279715478	PRKAR1A;GLI3
p53 pathway feedback loops 2 Homo sapiens P04398	3/45	0.10215828081331627	0.7151079656932139	0	0	2.6666666666666665	6.0832850553957645	RB1;PIK3CA;CTNNB1
Endogenous cannabinoid signaling Homo sapiens P05730	2/23	0.11187435504137663	0.737054574390246	0	0	3.4782608695652173	7.618709103989623	CACNA1A;GNAI1
Hypoxia response via HIF activation Homo sapiens P00030	2/24	0.12010982001247623	0.747349991188741	0	0	3.333333333333333	7.064495959797489	PIK3CA;HIF1A
Adrenaline and noradrenaline biosynthesis Homo sapiens P00001	2/25	0.12848911332067864	0.7574095101008425	0	0	3.1999999999999997	6.566115518322446	STX7;SLC18A2
EGF receptor signaling pathway Homo sapiens P00018	5/109	0.13784796080850112	0.7719485805276063	0	0	1.834862385321101	3.6359705219282574	PIK3CA;GAB1;RRAS2;SPRY2;CBLB
Dopamine receptor mediated signaling pathway Homo sapiens P05912	3/52	0.14059914501552925	0.7498621067494893	0	0	2.3076923076923075	4.527328570603137	DRD1;SLC18A2;GNAI1
5HT1 type receptor mediated signaling pathway Homo sapiens P04373	2/29	0.16320629383915272	0.8308684049993229	0	0	2.758620689655172	5.000662819323756	GNAI1;SLC18A2
Androgen/estrogene/progesterone biosynthesis Homo sapiens P02727	1/8	0.18337711757031785	0.8929668333858957	0	0	5.0	8.481052474133024	HSD17B2
Integrin signalling pathway Homo sapiens P00034	6/156	0.1966253743541195	0.9175850803192244	0	0	1.5384615384615385	2.5022384826255637	ITGB1;PIK3CA;COL11A1;COL4A6;PARVA;LAMC1
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway Homo sapiens P00026	5/127	0.21259452708646814	0.9524234813473772	0	0	1.574803149606299	2.4383756790214215	GRM3;CREB1;GNG2;PRKAR1A;GNAI1
Vasopressin synthesis Homo sapiens P04395	1/10	0.22371474296156477	0.9636942773728945	0	0	4.0	5.989534030397172	PAM
Cholesterol biosynthesis Homo sapiens P00014	1/11	0.2431315551769016	1.0	0	0	3.6363636363636362	5.142373101111616	SQLE
Muscarinic acetylcholine receptor 2 and 4 signaling pathway Homo sapiens P00043	2/39	0.25488887753083794	1.0	0	0	2.051282051282051	2.8039540578253006	PRKAR1A;GNAI1
Thyrotropin-releasing hormone receptor signaling pathway Homo sapiens P04394	2/41	0.2735343283108339	1.0	0	0	1.951219512195122	2.529420780778097	CACNA1A;TRH
PI3 kinase pathway Homo sapiens P00048	2/42	0.2828519333369492	1.0	0	0	1.9047619047619047	2.4053937562173484	PIK3CA;IRS1
Transcription regulation by bZIP transcription factor Homo sapiens P00055	2/42	0.2828519333369492	1.0	0	0	1.9047619047619047	2.4053937562173484	PRKAR1A;GTF2F2
Parkinson disease Homo sapiens P00049	3/81	0.3301606795473307	1.0	0	0	1.4814814814814814	1.6417419782274463	STX7;SNCAIP;SNCA
5HT3 type receptor mediated signaling pathway Homo sapiens P04375	1/16	0.33318195100730313	1.0	0	0	2.5	2.7476663470054308	SLC18A2
5HT4 type receptor mediated signaling pathway Homo sapiens P04376	1/16	0.33318195100730313	1.0	0	0	2.5	2.7476663470054308	SLC18A2
Axon guidance mediated by semaphorins Homo sapiens P00007	1/17	0.3498657220916832	1.0	0	0	2.352941176470588	2.4710725865370216	SEMA3A
Axon guidance mediated by Slit/Robo Homo sapiens P00008	1/18	0.3661328787804519	1.0	0	0	2.222222222222222	2.232797677094987	SRGAP1
Opioid prodynorphin pathway Homo sapiens P05916	1/18	0.3661328787804519	1.0	0	0	2.222222222222222	2.232797677094987	GNAI1
Opioid proenkephalin pathway Homo sapiens P05915	1/18	0.3661328787804519	1.0	0	0	2.222222222222222	2.232797677094987	GNAI1
Opioid proopiomelanocortin pathway Homo sapiens P05917	1/18	0.3661328787804519	1.0	0	0	2.222222222222222	2.232797677094987	GNAI1
VEGF signaling pathway Homo sapiens P00056	2/54	0.3924854550749619	1.0	0	0	1.4814814814814814	1.385564147526165	PIK3CA;HIF1A
Alzheimer disease-amyloid secretase pathway Homo sapiens P00003	2/56	0.41009437639646396	1.0	0	0	1.4285714285714284	1.273382799199648	ADAM10;APBA1
Metabotropic glutamate receptor group I pathway Homo sapiens P00041	1/23	0.4415739476417069	1.0	0	0	1.7391304347826086	1.4215822280628116	PRKAR1A
FGF signaling pathway Homo sapiens P00021	3/99	0.45159604781162715	1.0	0	0	1.2121212121212122	0.9635966039626941	PIK3CA;SPRY2;FRS2
Oxidative stress response Homo sapiens P00046	1/24	0.455550643812525	1.0	0	0	1.6666666666666665	1.310413975931712	ATF2
Apoptosis signaling pathway Homo sapiens P00006	3/102	0.4710573837797299	1.0	0	0	1.176470588235294	0.8856180687760349	ATF2;PIK3CA;CFLAR
