Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ca2+ pathway Homo sapiens R-HSA-4086398	8/61	1.327429955797439E-4	0.20309678323700817	0	0	5.245901639344262	46.83066577431444	TCF7L2;FZD3;GNG2;FZD5;AGO3;LEF1;CTNNB1;MAP3K7
Binding of TCF/LEF:CTNNB1 to target gene promoters Homo sapiens R-HSA-4411364	3/7	5.043180139745782E-4	0.38580328069055236	0	0	17.142857142857142	130.15377443603768	TCF7L2;LEF1;CTNNB1
Transcriptional regulation of white adipocyte differentiation Homo sapiens R-HSA-381340	8/79	7.950707053501808E-4	0.40548605972859214	0	0	4.0506329113924044	28.909689153285075	MED23;NCOA2;MED13;CHD9;NCOA3;EBF1;NR2F2;MED4
Adherens junctions interactions Homo sapiens R-HSA-418990	5/31	9.500731070812654E-4	0.363402963458584	0	0	6.451612903225806	44.896591106504346	CDH6;CTNND1;CDH11;CTNNB1;CDH7
Cell junction organization Homo sapiens R-HSA-446728	8/86	0.001389562119236427	0.42520600848634665	0	0	3.7209302325581395	24.479131548284645	ITGB1;CDH6;CTNND1;CDH11;CTNNB1;PARVA;CLDN2;CDH7
Signaling by FGFR3 fusions in cancer Homo sapiens R-HSA-8853334	3/10	0.0016347780174221294	0.416868394442643	0	0	11.999999999999998	76.99497903613396	PIK3CA;GAB1;FRS2
Signaling by FGFR4 in disease Homo sapiens R-HSA-5655291	3/11	0.002206288138266319	0.48223155022106684	0	0	10.909090909090908	66.72484091962643	PIK3CA;GAB1;FRS2
Incretin synthesis, secretion, and inactivation Homo sapiens R-HSA-400508	4/23	0.0023425796244436227	0.44801835317484284	0	0	6.956521739130435	42.13219167446808	TCF7L2;CTNNB1;PAX6;ISL1
Developmental Biology Homo sapiens R-HSA-1266738	33/786	0.002688142270709979	0.4569841860206964	0	0	1.6793893129770991	9.940145683348705	ITGB1;IRS1;CHD9;SEMA3A;LAMC1;MED13;EFNB3;SCN7A;SRGAP1;EPHA5;NCOA2;EPHA6;TSC22D1;CNTN6;NCOA3;EBF1;ADAM10;FRS2;PAX6;NR2F2;ANK3;MED4;IL17RD;DKK1;MED23;KITLG;CREB1;FGF19;RAPGEF2;CTNNB1;COL6A6;PTF1A;AJUBA
PI-3K cascade:FGFR1 Homo sapiens R-HSA-5654689	9/122	0.0035769688210371075	0.5472762296186774	0	0	2.9508196721311473	16.62267403845766	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
PI-3K cascade:FGFR3 Homo sapiens R-HSA-5654710	9/122	0.0035769688210371075	0.49752384510788855	0	0	2.9508196721311473	16.62267403845766	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
PI3K events in ERBB4 signaling Homo sapiens R-HSA-1250342	9/122	0.0035769688210371075	0.45606352468223116	0	0	2.9508196721311473	16.62267403845766	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
PIP3 activates AKT signaling Homo sapiens R-HSA-1257604	9/122	0.0035769688210371075	0.42098171509129034	0	0	2.9508196721311473	16.62267403845766	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
PI-3K cascade:FGFR4 Homo sapiens R-HSA-5654720	9/122	0.0035769688210371075	0.3909115925847696	0	0	2.9508196721311473	16.62267403845766	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
PI-3K cascade:FGFR2 Homo sapiens R-HSA-5654695	9/122	0.0035769688210371075	0.3648508197457849	0	0	2.9508196721311473	16.62267403845766	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
Neuronal System Homo sapiens R-HSA-112316	16/301	0.003931041023373744	0.37590579786011424	0	0	2.1262458471760795	11.776958929934478	GABRA2;GRIA2;CHRNB3;KCND2;KCNH7;CACNA1A;SLC6A1;GNAI1;NCALD;PTPRD;CREB1;GNG2;APBA1;KCNK1;SLC18A2;GRIA4
Cell-cell junction organization Homo sapiens R-HSA-421270	6/61	0.004113921622787887	0.37025294605090986	0	0	3.9344262295081966	21.61329261353191	CDH6;CTNND1;CDH11;CTNNB1;CLDN2;CDH7
Constitutive Signaling by Aberrant PI3K in Cancer Homo sapiens R-HSA-2219530	6/61	0.004113921622787887	0.3496833379369704	0	0	3.9344262295081966	21.61329261353191	KITLG;PIK3CA;IRS1;FGF19;GAB1;FRS2
GAB1 signalosome Homo sapiens R-HSA-180292	9/125	0.004201102208270687	0.3382992830870606	0	0	2.8799999999999994	15.760536069833408	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
PI3K/AKT activation Homo sapiens R-HSA-198203	9/125	0.004201102208270687	0.3213843189327076	0	0	2.8799999999999994	15.760536069833408	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
Repression of WNT target genes Homo sapiens R-HSA-4641265	3/14	0.004603033511907417	0.3353638701532547	0	0	8.571428571428571	46.12319771763762	TCF7L2;LEF1;CTNNB1
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling Homo sapiens R-HSA-6811558	7/83	0.004735492631497215	0.32933198755412446	0	0	3.373493975903614	18.05719837165834	KITLG;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
Cell-Cell communication Homo sapiens R-HSA-1500931	9/131	0.005702097729166467	0.37931345763585633	0	0	2.7480916030534353	14.199172623713345	CDH6;ITGB1;PIK3CA;CTNND1;CDH11;CTNNB1;PARVA;CLDN2;CDH7
PI3K/AKT Signaling in Cancer Homo sapiens R-HSA-2219528	7/86	0.005750918762761652	0.36662107112605535	0	0	3.255813953488372	16.794776541750235	KITLG;CREB1;PIK3CA;IRS1;FGF19;GAB1;FRS2
IRS activation Homo sapiens R-HSA-74713	2/5	0.0059328116851476344	0.36308807513103525	0	0	16.0	82.03611251921258	IRS1;GRB10
Transmission across Chemical Synapses Homo sapiens R-HSA-112315	12/211	0.007016003383443555	0.41286481448725537	0	0	2.2748815165876777	11.282414881514093	GABRA2;GRIA2;CHRNB3;CREB1;GNG2;CACNA1A;APBA1;SLC6A1;SLC18A2;GNAI1;NCALD;GRIA4
Negative regulation of the PI3K/AKT network Homo sapiens R-HSA-199418	7/90	0.0073476182467771475	0.41636503398403835	0	0	3.111111111111111	15.2860682063595	KITLG;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
Apoptotic execution  phase Homo sapiens R-HSA-75153	5/51	0.008736127099488568	0.47736694507919675	0	0	3.9215686274509802	18.589365926083495	TJP1;H1F0;SATB1;CTNNB1;DNM1L
Signaling by WNT in cancer Homo sapiens R-HSA-4791275	4/34	0.009885910454645437	0.5215669998485352	0	0	4.705882352941176	21.72538692674213	TCF7L2;FZD5;CTNNB1;DKK1
Beta-catenin independent WNT signaling Homo sapiens R-HSA-3858494	9/144	0.010348889192465793	0.5277933488157555	0	0	2.5	11.427190223574685	TCF7L2;FZD3;GNG2;FZD5;AGO3;RYK;LEF1;CTNNB1;MAP3K7
GLI proteins bind promoters of Hh responsive genes to promote transcription Homo sapiens R-HSA-5635851	2/7	0.012051662882171474	0.5948078777329792	0	0	11.428571428571427	50.49774434338215	HHIP;GLI3
Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) Homo sapiens R-HSA-381771	3/20	0.012902143644594305	0.6168837430071652	0	0	5.999999999999999	26.10217084452193	TCF7L2;CTNNB1;PAX6
Signaling by Hippo Homo sapiens R-HSA-2028269	3/20	0.012902143644594305	0.5981902962493724	0	0	5.999999999999999	26.10217084452193	TJP1;MOB1B;LATS2
Diseases of signal transduction Homo sapiens R-HSA-5663202	14/288	0.014036249077484197	0.6316312084867889	0	0	1.9444444444444444	8.295217925169265	TCF7L2;FZD5;IRS1;GAB1;ADAM10;FRS2;DKK1;GTF2F2;KITLG;CREB1;HEY1;PIK3CA;FGF19;CTNNB1
PI3K Cascade Homo sapiens R-HSA-109704	6/79	0.014173928558836691	0.619603162714861	0	0	3.0379746835443036	12.930686639706304	PIK3CA;IRS1;FGF19;PDE3B;GAB1;FRS2
Organic anion transporters Homo sapiens R-HSA-428643	2/8	0.01580491452517871	0.671708867320095	0	0	10.0	41.47434341416576	SLC17A6;SLC17A8
Signaling by FGFR3 point mutants in cancer Homo sapiens R-HSA-8853338	3/22	0.01679971420817187	0.6946908848244043	0	0	5.454545454545454	22.289418568014327	PIK3CA;GAB1;FRS2
Signaling by FGFR3 in disease Homo sapiens R-HSA-5655332	3/22	0.01679971420817187	0.676409545750078	0	0	5.454545454545454	22.289418568014327	PIK3CA;GAB1;FRS2
Degradation of the extracellular matrix Homo sapiens R-HSA-1474228	7/106	0.017110264964498956	0.6712488562995745	0	0	2.641509433962264	10.745862995010855	CAPN6;MMP16;COL25A1;ADAMTS18;ADAM10;TLL1;LAMC1
Transcriptional activation of mitochondrial biogenesis Homo sapiens R-HSA-2151201	4/40	0.017333054887491272	0.6629893494465412	0	0	4.0	16.220559653524184	ATF2;NCOA2;CREB1;CHD9
CHL1 interactions Homo sapiens R-HSA-447041	2/9	0.019987498286726836	0.74587493606566	0	0	8.888888888888888	34.779095880349324	ITGB1;CNTN6
BMAL1:CLOCK,NPAS2 activates circadian gene expression Homo sapiens R-HSA-1368108	4/42	0.020420811588340845	0.7439009935752736	0	0	3.8095238095238093	14.82362179908072	NCOA2;CREB1;CHD9;HIF1A
Collagen biosynthesis and modifying enzymes Homo sapiens R-HSA-1650814	5/63	0.02052270675923605	0.7302265428286315	0	0	3.1746031746031744	12.337217012805942	COL25A1;COL11A1;COL4A6;COL6A6;TLL1
Circadian Clock Homo sapiens R-HSA-400253	5/63	0.02052270675923605	0.7136304850370717	0	0	3.1746031746031744	12.337217012805942	ATF2;NCOA2;CREB1;CHD9;HIF1A
Role of LAT2/NTAL/LAB on calcium mobilization Homo sapiens R-HSA-2730905	9/162	0.020868631238546903	0.7095334621105946	0	0	2.222222222222222	8.598906989252805	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B
Signaling by FGFR2 in disease Homo sapiens R-HSA-5655253	4/43	0.022083319774357978	0.7345104185819066	0	0	3.7209302325581395	14.187656620559778	PIK3CA;GAB1;FRS2;GTF2F2
Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372	10/192	0.022938137388465975	0.74670957881602	0	0	2.0833333333333335	7.8644882614592015	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;FRS2;PIP5K1B;MAP3K7
POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation Homo sapiens R-HSA-2892245	2/10	0.02457569018526242	0.7833501246552396	0	0	8.0	29.64798022792225	TSC22D1;DKK1
Calcitonin-like ligand receptors Homo sapiens R-HSA-419812	2/10	0.02457569018526242	0.7673633874173775	0	0	8.0	29.64798022792225	CALCR;CALCB
Signal attenuation Homo sapiens R-HSA-74749	2/10	0.02457569018526242	0.75201611966903	0	0	8.0	29.64798022792225	IRS1;GRB10
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314	8/142	0.02648626460319868	0.7945879380959604	0	0	2.2535211267605635	8.182825909234943	GABRA2;GRIA2;CHRNB3;CREB1;GNG2;NCALD;GNAI1;GRIA4
Apoptotic cleavage of cell adhesion  proteins Homo sapiens R-HSA-351906	2/11	0.02954667996708659	0.8693542374931247	0	0	7.2727272727272725	25.612973778194785	TJP1;CTNNB1
EPH-ephrin mediated repulsion of cells Homo sapiens R-HSA-3928665	4/48	0.03161375502500175	0.912623494117975	0	0	3.333333333333333	11.513876558324146	EPHA5;EFNB3;EPHA6;ADAM10
Signaling by the B Cell Receptor (BCR) Homo sapiens R-HSA-983705	11/233	0.0330268350129832	0.9357603253678575	0	0	1.888412017167382	6.440306184263214	KITLG;CREB1;AGO3;PIK3CA;IRS1;FGF19;GAB1;CBLB;FRS2;PIP5K1B;MAP3K7
Mitochondrial biogenesis Homo sapiens R-HSA-1592230	4/49	0.0337674247955063	0.9393483624931752	0	0	3.265306122448979	11.063701892761872	ATF2;NCOA2;CREB1;CHD9
Defective EXT2 causes exostoses 2 Homo sapiens R-HSA-3656237	2/12	0.03487854042134841	0.9529315507975546	0	0	6.666666666666666	22.372556843567576	GPC3;GPC4
Defective EXT1 causes exostoses 1, TRPS2 and CHDS Homo sapiens R-HSA-3656253	2/12	0.03487854042134841	0.9362134534151414	0	0	6.666666666666666	22.372556843567576	GPC3;GPC4
Signaling by Wnt Homo sapiens R-HSA-195721	13/295	0.03517267488082019	0.9278309063388773	0	0	1.7627118644067796	5.900652899696832	TCF7L2;FZD3;FZD5;RYK;LEF1;DKK1;SFRP1;GNG2;AGO3;CTNNB1;PIP5K1B;LGR5;MAP3K7
Signaling by FGFR2 Homo sapiens R-HSA-5654738	15/361	0.038789688126486435	1.0	0	0	1.6620498614958448	5.400998622069663	IRS1;GAB1;FRS2;IL17RD;GTF2F2;TIAL1;KITLG;CREB1;AGO3;PIK3CA;PRKAR1A;FGF19;RAPGEF2;SPRY2;PIP5K1B
Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP) Homo sapiens R-HSA-400511	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	PAX6;ISL1
HS-GAG biosynthesis Homo sapiens R-HSA-2022928	3/31	0.04160691113161275	1.0	0	0	3.8709677419354835	12.307699325969082	NDST3;GPC3;GPC4
Negative regulation of FGFR4 signaling Homo sapiens R-HSA-5654733	3/31	0.04160691113161275	1.0	0	0	3.8709677419354835	12.307699325969082	FGF19;SPRY2;FRS2
Signaling by FGFR Homo sapiens R-HSA-190236	15/366	0.042858284115919146	1.0	0	0	1.6393442622950818	5.163698892400586	IRS1;GAB1;FRS2;IL17RD;GTF2F2;TIAL1;KITLG;CREB1;AGO3;PIK3CA;PRKAR1A;FGF19;RAPGEF2;SPRY2;PIP5K1B
RNA polymerase II transcribes snRNA genes Homo sapiens R-HSA-6807505	5/77	0.0436226954523553	1.0	0	0	2.597402597402597	8.1355265614596	ICE1;ICE2;INTS6;GTF2F2;ELL2
Assembly of collagen fibrils and other multimeric structures Homo sapiens R-HSA-2022090	4/54	0.04578984055205085	1.0	0	0	2.962962962962963	9.136868250298553	COL11A1;COL4A6;COL6A6;TLL1
Negative regulation of TCF-dependent signaling by WNT ligand antagonists Homo sapiens R-HSA-3772470	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	SFRP1;DKK1
Eicosanoid ligand-binding receptors Homo sapiens R-HSA-391903	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	CYSLTR2;PTGER3
Recycling of bile acids and salts Homo sapiens R-HSA-159418	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	NCOA2;ABCB11
Signaling by EGFRvIII in Cancer Homo sapiens R-HSA-5637812	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	PIK3CA;GAB1
Constitutive Signaling by EGFRvIII Homo sapiens R-HSA-5637810	2/15	0.05283270093282616	1.0	0	0	5.333333333333333	15.683333035361262	PIK3CA;GAB1
Extracellular matrix organization Homo sapiens R-HSA-1474244	12/283	0.0531871237057431	1.0	0	0	1.696113074204947	4.976292207835278	ITGB1;MMP16;CAPN6;COL25A1;ADAMTS18;COL11A1;COL4A6;ADAM10;COL6A6;TLL1;LAMC1;FBN1
Class B/2 (Secretin family receptors) Homo sapiens R-HSA-373080	5/84	0.05934200894672073	1.0	0	0	2.3809523809523805	6.724851928199624	FZD3;CALCB;GNG2;CALCR;FZD5
Cell-extracellular matrix interactions Homo sapiens R-HSA-446353	2/16	0.05940541077305161	1.0	0	0	5.0	14.116849831533036	ITGB1;PARVA
PI3K events in ERBB2 signaling Homo sapiens R-HSA-1963642	2/16	0.05940541077305161	1.0	0	0	5.0	14.116849831533036	PIK3CA;GAB1
Axon guidance Homo sapiens R-HSA-422475	19/515	0.06006837090320576	1.0	0	0	1.4757281553398056	4.150148750195004	ITGB1;EPHA5;EPHA6;IRS1;CNTN6;SEMA3A;ADAM10;FRS2;ANK3;LAMC1;IL17RD;KITLG;EFNB3;CREB1;FGF19;RAPGEF2;SCN7A;COL6A6;SRGAP1
Collagen formation Homo sapiens R-HSA-1474290	5/85	0.0618191895456952	1.0	0	0	2.352941176470588	6.5495092994558615	COL25A1;COL11A1;COL4A6;COL6A6;TLL1
TCF dependent signaling in response to WNT Homo sapiens R-HSA-201681	9/199	0.06305469701085042	1.0	0	0	1.8090452261306533	4.999753669282818	TCF7L2;SFRP1;FZD5;RYK;LEF1;CTNNB1;PIP5K1B;DKK1;LGR5
