Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways Affected in Adenoid Cystic Carcinoma WP3651	10/65	4.548745677538376E-6	0.002147007959798113	0	0	6.153846153846154	75.69636331244996	SMARCE1;MORF4L1;PIK3CA;CNTN6;MYB;ERBIN;IL17RD;DTX4;CMTR2;FOXP2
BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation WP3876	4/13	2.3060621259632721E-4	0.05442306617273322	0	0	12.307692307692308	103.07444934750434	SFRP1;SMAD9;CTNNB1;DKK1
Adipogenesis WP236	11/130	4.277334856096765E-4	0.06729673506925578	0	0	3.3846153846153846	26.25449624265782	RB1;NCOA2;CREB1;IRS1;IRS4;EBF1;SPOCK1;CTNNB1;LIFR;PRLR;HIF1A
LncRNA involvement in canonical Wnt signaling and colorectal cancer WP4258	9/94	5.750480991295056E-4	0.06785567569728165	0	0	3.829787234042553	28.574260353212303	TCF7L2;SFRP1;FZD3;FZD5;RYK;LEF1;CTNNB1;MAP3K7;DKK1
Wnt Signaling WP428	10/115	6.23554250292247E-4	0.058863521227588124	0	0	3.4782608695652173	25.669825347267412	TCF7L2;SFRP1;FZD3;FZD5;RYK;LEF1;CTNNB1;GPC4;MAP3K7;DKK1
Ectoderm Differentiation WP2858	11/138	7.085764764228557E-4	0.05574134947859798	0	0	3.188405797101449	23.12312411500386	CDH6;TTC14;TFAP2C;FZD5;TSC22D1;SPRY2;CTNNB1;PAX6;NR2F2;GLI3;SNCA
Endoderm Differentiation WP2853	11/141	8.47308727542614E-4	0.05713281705715911	0	0	3.120567375886525	22.073163057691964	SFRP1;SP4;SLC2A12;LEF1;CTNNB1;PLCH1;LAMC1;ELP4;DKK1;PHF6;BPTF
Neural Crest Differentiation WP2064	9/101	9.684710571861477E-4	0.057139792373982715	0	0	3.564356435643564	24.735892133686864	CDH6;ITGB1;TFAP2B;FZD3;FGF19;MYB;CTNNB1;ISL1;CDH7
Wnt Signaling Pathway and Pluripotency WP399	9/102	0.0010392008678024199	0.05450031217808246	0	0	3.5294117647058822	24.244599732495775	TCF7L2;FZD3;FZD5;CTNND1;ESRRB;LEF1;CTNNB1;ZBTB33;MAP3K7
ncRNAs involved in Wnt signaling in hepatocellular carcinoma WP4336	8/86	0.001389562119236427	0.06558733202795936	0	0	3.7209302325581395	24.479131548284645	TCF7L2;SFRP1;FZD3;FZD5;RYK;LEF1;CTNNB1;DKK1
Wnt Signaling Pathway WP363	6/52	0.0018207189216583558	0.07812539372934035	0	0	4.615384615384615	29.116263895337994	TCF7L2;RYK;LEF1;CTNNB1;PIP5K1B;MAP3K7
TGF-beta Receptor Signaling WP560	6/54	0.0022150184742657673	0.08712405998778684	0	0	4.444444444444444	27.166642377748946	TGIF1;ZEB2;BAMBI;LEF1;SMAD9;CTNNB1
Pathways Regulating Hippo Signaling WP4540	8/98	0.003180617651819894	0.11548088705069152	0	0	3.265306122448979	18.777730190753434	CDH6;TCF7L2;LATS2;PRKAR1A;CDH11;LEF1;CTNNB1;CDH7
Common Pathways Underlying Drug Addiction WP2636	5/42	0.0037982815454921017	0.12805634924801942	0	0	4.761904761904761	26.539078759070478	GRIA2;CREB1;DRD1;GNAI1;GRIA4
Mesodermal Commitment Pathway WP2857	10/147	0.003926777294054108	0.12356259218623593	0	0	2.7210884353741496	15.074656371333974	BMPR2;FZD5;PRKAR1A;SLC2A12;LEF1;PLCH1;PAX6;ELP4;DKK1;PHF6
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	16/303	0.004189016196919564	0.12357597780912714	0	0	2.112211221122112	11.564967647236756	ITGB1;ATF2;ANGPT4;IRS1;COL11A1;IRS4;LPAR4;LAMC1;HIF1A;PRLR;KITLG;CREB1;GNG2;PIK3CA;FGF19;COL4A6
Canonical  and Non-canonical Notch signaling WP3845	4/27	0.004291120421567734	0.1191416964105865	0	0	5.925925925925926	32.30345131622333	HEY1;CNTN6;LEF1;ADAM10
Breast cancer pathway WP4262	10/154	0.005442414850285614	0.14271221162971165	0	0	2.597402597402597	13.541642624179318	RB1;TCF7L2;FZD3;FZD5;HEY1;PIK3CA;FGF19;NCOA3;LEF1;CTNNB1
Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813	3/15	0.005648024777015824	0.140308826039551	0	0	8.0	41.41159513548328	ITGB1;SFRP1;ZEB2
Hair Follicle Development: Cytodifferentiation (Part 3 of 3) WP2840	7/87	0.006123090843767418	0.14450494391291108	0	0	3.2183908045977008	16.399916271638723	SFRP1;KITLG;LEF1;SOSTDC1;CTNNB1;DKK1;LGR5
Epithelial to mesenchymal transition in colorectal cancer WP4239	10/159	0.006780023529849274	0.1523891002899456	0	0	2.5157232704402515	12.562955236620404	TJP1;FZD3;ZEB2;LATS2;FZD5;PIK3CA;COL4A6;CTNNB1;CLDN2;HIF1A
Androgen receptor signaling pathway WP138	7/90	0.0073476182467771475	0.1576398096581279	0	0	3.111111111111111	15.2860682063595	RB1;TGIF1;SMARCE1;NCOA2;CREB1;NCOA3;CTNNB1
ESC Pluripotency Pathways WP3931	8/116	0.008724352678521232	0.17903888975052268	0	0	2.758620689655172	13.080377945433032	FZD3;BMPR2;FZD5;FGF19;GAB1;SMAD9;CTNNB1;LIFR
Synaptic Vesicle Pathway WP2267	5/51	0.008736127099488568	0.1718104996232752	0	0	3.9215686274509802	18.589365926083495	CACNA1A;SLC17A6;SLC17A8;DNM1L;SLC18A2
Cardiac Progenitor Differentiation WP2406	5/53	0.01024902420142917	0.19350157692298273	0	0	3.7735849056603774	17.285180293547484	ZFP42;IGF2;PAX6;ISL1;DKK1
Hippo-Merlin Signaling Dysregulation WP4541	8/120	0.010593202126685344	0.19230736168444162	0	0	2.6666666666666665	12.126780779716897	CDH6;ITGB1;LATS2;PRKAR1A;CDH11;CTNNB1;AJUBA;CDH7
PI3K-Akt Signaling Pathway WP4172	16/340	0.012036294262091546	0.21041225524841517	0	0	1.8823529411764706	8.319677500268654	ITGB1;ATF2;ANGPT4;IRS1;IGF2;LPAR4;LAMC1;PRLR;KITLG;CREB1;GNG2;PIK3CA;FGF19;MYB;COL4A6;COL6A6
MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma WP3593	2/7	0.012051662882171474	0.20315660287089057	0	0	11.428571428571427	50.49774434338215	HEY1;HIF1A
Integrated Breast Cancer Pathway WP1984	9/151	0.01380638621809256	0.22471083775654097	0	0	2.3841059602649004	10.210229462233258	RB1;FER;BMPR2;CREB1;IRS1;NCOA3;MYCBP2;CTNNB1;FILIP1
Nicotine Activity on Dopaminergic Neurons WP1602	3/21	0.014777987746011578	0.2325070072039155	0	0	5.7142857142857135	24.083522970404665	GNG2;GNAI1;SLC18A2
VEGFA-VEGFR2 Signaling Pathway WP3888	12/236	0.016029540354135452	0.24406267894038494	0	0	2.0338983050847457	8.40675658347331	ITGB1;ATF2;CREB1;PIK3CA;PTPRZ1;CTNND1;GAB1;GRB10;CTNNB1;FRS2;DKK1;RAB11A
NLR Proteins WP288	2/9	0.019987498286726836	0.29481559972922083	0	0	8.888888888888888	34.779095880349324	ERBIN;MAP3K7
Tgif disruption of Shh signaling WP3674	2/9	0.019987498286726836	0.2858817936768202	0	0	8.888888888888888	34.779095880349324	TGIF1;GLI3
Heart Development WP1591	4/44	0.02382609847412197	0.3307623082289874	0	0	3.6363636363636362	13.58899536203803	BMPR2;HEY1;CTNNB1;ISL1
Human Thyroid Stimulating Hormone (TSH) signaling pathway WP2032	5/66	0.02457069252754745	0.33135333922863985	0	0	3.0303030303030303	11.230911839233022	RB1;CREB1;GNG2;PIK3CA;GNAI1
Wnt/beta-catenin Signaling Pathway in Leukemia WP3658	3/26	0.026359322007969647	0.3455999996600465	0	0	4.615384615384615	16.781230569993895	LEF1;CTNNB1;DKK1
PTF1A related regulatory pathway WP4147	2/11	0.02954667996708659	0.3769198093098614	0	0	7.2727272727272725	25.612973778194785	CTNNB1;PTF1A
Primary Focal Segmental Glomerulosclerosis FSGS WP2572	5/72	0.034121963499969904	0.423830704525942	0	0	2.7777777777777777	9.38281669756106	ITGB1;FAT1;CTNNB1;PARVA;DKK1
Bile Acids synthesis and enterohepatic circulation  WP4389	2/12	0.03487854042134841	0.42211977125324224	0	0	6.666666666666666	22.372556843567576	FGF19;ABCB11
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities WP3844	3/30	0.038268755933891604	0.4515713200199209	0	0	4.0	13.052485950718438	PIK3CA;RB1CC1;GRB10
Cell-type Dependent Selectivity of CCK2R Signaling WP3679	2/13	0.040550197611673826	0.46682178713926936	0	0	6.153846153846154	19.724397693220933	RYR3;GNAI1
EDA Signalling in Hair Follicle Development WP3930	2/13	0.040550197611673826	0.45570698268357246	0	0	6.153846153846154	19.724397693220933	SOSTDC1;DKK1
MFAP5-mediated ovarian cancer cell motility and invasiveness WP3301	2/13	0.040550197611673826	0.44510914587697775	0	0	6.153846153846154	19.724397693220933	CREB1;RYR3
