['YWUWVJIKGDPRGG-HXUWFJFHSA-N', 'active', 1.0]
['TUOYPHBELCPBEP-MHWRWJLKSA-N', 'active', 1.0]
['IHOMWAXTZMKLAT-YRNVUSSQSA-N', 'active', 1.0]
['ZLUYWPBOVFZNTG-JOCHJYFZSA-N', 'active', 1.0]
['YXQYYLNZEWUXMD-YRNVUSSQSA-N', 'active', 1.0]
['LLHVBBNWHPGSMK-OAQYLSRUSA-N', 'active', 1.0]
['CUUIZWDRZDSZDF-XYOKQWHBSA-N', 'active', 1.0]
['WHRFEMBJCGIWOS-YRNVUSSQSA-N', 'active', 1.0]
['FYAQLKIYMBLKPU-RIYZIHGNSA-N', 'active', 1.0]
['ZTBKGGLGDMLJCS-WUTDNEBXSA-N', 'active', 1.0]
['KIEXMVITNVJBEJ-NBILRRPASA-N', 'active', 1.0]
['MWUUNVOAGXGSPR-OAQYLSRUSA-N', 'active', 1.0]
['DJPOWQSJECOBBO-JOCHJYFZSA-N', 'active', 1.0]
['QIBVMINKMHMDAD-GOSISDBHSA-N', 'active', 1.0]
['DSULVSKPGRWASO-YRNVUSSQSA-N', 'active', 1.0]
['WMSYQNNTHDNIEI-LJQANCHMSA-N', 'active', 1.0]
['MQCDWGMMDAPGKB-FTUXVVSKSA-N', 'active', 1.0]
['RCQBYARZCJDYHW-HSZRJFAPSA-N', 'active', 1.0]
['GJBHMDHRKGITMA-RIYZIHGNSA-N', 'active', 1.0]
['CXICEXOWGOQDAE-GOSISDBHSA-N', 'active', 1.0]
['XZXQHLJRMWPJTP-RIYZIHGNSA-N', 'active', 1.0]
['GXWPARSFAAUDFY-HSZRJFAPSA-N', 'active', 1.0]
['OJURJQCEQQSVOQ-FTUXVVSKSA-N', 'active', 1.0]
['GRZNRRRHXHPCCN-BQHJZSHBSA-N', 'active', 1.0]
['RKOYEQKCONUVPY-OAQYLSRUSA-N', 'active', 1.0]
['SVDMUEPXEKHWQC-YRNVUSSQSA-N', 'active', 1.0]
['DACFGOIDGQNAAI-OQLLNIDSSA-N', 'active', 1.0]
['DAQJJQWUGLJIJG-GOSISDBHSA-N', 'active', 1.0]
['OZSIWYCHYSXIQJ-XMMPIXPASA-N', 'active', 1.0]
['MKMLLHCYCWEQHJ-YRNVUSSQSA-N', 'active', 1.0]
['IXTGHDWXMXJODY-QWDXWUACSA-N', 'active', 1.0]
['ORDHNWHVCPQQRX-XYOKQWHBSA-N', 'active', 1.0]
['XBOWFZGBAMQXDI-BEBFYNPSSA-N', 'active', 1.0]
['OXGZRQPSOZDAAD-UHFFFAOYSA-N', 'active', 1.0]
['MFQPXLMEVXYXBV-UHFFFAOYSA-N', 'active', 1.0]
['ROICSKVBYUQUKQ-UHFFFAOYSA-N', 'active', 1.0]
['RZBXGNUKPJTWLR-UHFFFAOYSA-N', 'active', 1.0]
['NEKPYDLDRWRPQD-UHFFFAOYSA-N', 'active', 1.0]
['DYHMPDNNAVEBLR-UHFFFAOYSA-N', 'active', 1.0]
['ANEGWORULZVTSS-UHFFFAOYSA-N', 'active', 1.0]
['DLSKSUGYFJKOKE-UHFFFAOYSA-N', 'active', 1.0]
['UBUXTVUXHUSYOK-JOCHJYFZSA-N', 'active', 1.0]
['PDHQNWOQLXPVIY-UHFFFAOYSA-N', 'active', 1.0]
['ZVLVTMXIQDIJGQ-UHFFFAOYSA-N', 'active', 1.0]
['LZAATKSDNUKJQP-UHFFFAOYSA-N', 'active', 1.0]
['NHMMPWOMKZSUPW-UHFFFAOYSA-N', 'active', 1.0]
['SBLBZSAYCVTPSZ-UHFFFAOYSA-N', 'active', 1.0]
['MKGRRFIORRADNI-UHFFFAOYSA-N', 'active', 1.0]
['PGGRIZSLSBLUHE-UHFFFAOYSA-N', 'active', 1.0]
['REQALXMIDZVBPU-UHFFFAOYSA-N', 'active', 1.0]
['GTANKHPWHGGOPQ-UHFFFAOYSA-N', 'active', 1.0]
['XKAOWQQNTJBGKS-UHFFFAOYSA-N', 'active', 1.0]
['LUSPWENNQWRYHE-UHFFFAOYSA-N', 'active', 1.0]
['HYRUFOKWRMIUPV-UHFFFAOYSA-N', 'active', 1.0]
['QUQDQPXQDBQPDF-UHFFFAOYSA-N', 'active', 1.0]
