activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,confidence_score,pIC50,bin,STATUS,atc_classifications,availability_type,biotherapeutic,black_box_warning,chebi_par_id,chirality,cross_references,dosed_ingredient,first_approval,first_in_class,helm_notation,indication_class,inorganic_flag,max_phase,molecule_hierarchy,molecule_properties,molecule_structures,molecule_synonyms,molecule_type,natural_product,oral,parenteral,polymer_flag,pref_name,prodrug,structure_type,therapeutic_flag,topical,usan_stem,usan_stem_definition,usan_substem,usan_year,withdrawn_class,withdrawn_country,withdrawn_flag,withdrawn_reason,withdrawn_year,activity_comment_y,activity_id_y,activity_properties_y,assay_chembl_id_y,assay_description_y,assay_type_y,bao_endpoint_y,bao_format_y,bao_label_y,canonical_smiles_y,data_validity_comment_y,data_validity_description_y,document_chembl_id_y,document_journal_y,document_year_y,ligand_efficiency_y,molecule_pref_name_y,parent_molecule_chembl_id_y,pchembl_value_y,potential_duplicate_y,qudt_units_y,record_id_y,relation_y,src_id_y,standard_flag_y,standard_relation_y,standard_text_value_y,standard_type_y,standard_units_y,standard_upper_value_y,standard_value_y,target_chembl_id_y,target_organism_y,target_pref_name_y,target_tax_id_y,text_value_y,toid_y,type_y,units_y,uo_units_y,upper_value_y,confidence_score_y,pIC50_y,bin_y,STATUS_y,SMILES_desalt,mol
,1400111.0,[],CHEMBL877317,Inhibition of insulin-Receptor kinase,B,BAO_0000190,BAO_0000357,single protein format,OCCCNc1cncc(c1)c2cncc(Nc3cccc(Cl)c3)n2,,,CHEMBL1142725,J. Med. Chem.,2005.0,"{'bei': '16.22', 'le': '0.32', 'lle': '2.04', 'sei': '6.96'}",CHEMBL177688,,CHEMBL177688,5.77,False,http://www.openphacts.org/units/Nanomolar,360026.0,=,1.0,True,=,,IC50,nM,,1690,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9.0,8.772113295386326,"(8,9]",active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400111,[],CHEMBL877317,Inhibition of insulin-Receptor kinase,B,BAO_0000190,BAO_0000357,single protein format,OCCCNc1cncc(c1)c2cncc(Nc3cccc(Cl)c3)n2,,,CHEMBL1142725,J. Med. Chem.,2005.0,"{'bei': '16.22', 'le': '0.32', 'lle': '2.04', 'sei': '6.96'}",,CHEMBL177688,5.77,False,http://www.openphacts.org/units/Nanomolar,360026,=,1,True,=,,IC50,nM,,1690,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9,8.772113295386326,"(8,9]",active,OCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
,1661761.0,[],CHEMBL868735,Inhibitory activity against IR,B,BAO_0000190,BAO_0000357,single protein format,FC(F)(F)c1cc(NC(=O)Nc2ccc3Oc4ncnc(Cl)c4N=Cc3c2)ccc1Cl,,,CHEMBL1141862,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '10.73', 'le': '0.22', 'lle': '-1.28', 'sei': '5.67'}",CHEMBL199886,,CHEMBL199886,5.02,False,http://www.openphacts.org/units/Nanomolar,410484.0,=,1.0,True,=,,IC50,nM,,9500,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9.0,8.022276394711152,"(8,9]",active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661761,[],CHEMBL868735,Inhibitory activity against IR,B,BAO_0000190,BAO_0000357,single protein format,FC(F)(F)c1cc(NC(=O)Nc2ccc3Oc4ncnc(Cl)c4N=Cc3c2)ccc1Cl,,,CHEMBL1141862,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '10.73', 'le': '0.22', 'lle': '-1.28', 'sei': '5.67'}",,CHEMBL199886,5.02,False,http://www.openphacts.org/units/Nanomolar,410484,=,1,True,=,,IC50,nM,,9500,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9,8.022276394711152,"(8,9]",active,O=C(Nc1ccc2c(c1)C=Nc1c(Cl)ncnc1O2)Nc1ccc(Cl)c(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
,1734735.0,[],CHEMBL865408,Inhibition of Insulin receptor,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N4CCN(CC4)C(=O)C,,,CHEMBL1138957,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '9.55', 'le': '0.19', 'lle': '0.27', 'sei': '5.74'}",CHEMBL209148,,CHEMBL209148,5.96,False,http://www.openphacts.org/units/Nanomolar,523262.0,=,1.0,True,=,,IC50,nM,,1100,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9.0,8.958607314841775,"(8,9]",active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734735,[],CHEMBL865408,Inhibition of Insulin receptor,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N4CCN(CC4)C(=O)C,,,CHEMBL1138957,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '9.55', 'le': '0.19', 'lle': '0.27', 'sei': '5.74'}",,CHEMBL209148,5.96,False,http://www.openphacts.org/units/Nanomolar,523262,=,1,True,=,,IC50,nM,,1100,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9,8.958607314841775,"(8,9]",active,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
,1790310.0,[],CHEMBL873755,Inhibition of IRK,B,BAO_0000190,BAO_0000357,single protein format,CN1CCN(CC1)c2ccc(Nc3ncc4ccn(C5CCCCC5)c4n3)cc2,,,CHEMBL1137238,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '15.36', 'le': '0.28', 'lle': '1.57', 'sei': '12.19'}",CHEMBL214329,,CHEMBL214329,6,False,http://www.openphacts.org/units/Nanomolar,614563.0,=,1.0,True,=,,IC50,nM,,1000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9.0,9.0,"(8,9]",active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790310,[],CHEMBL873755,Inhibition of IRK,B,BAO_0000190,BAO_0000357,single protein format,CN1CCN(CC1)c2ccc(Nc3ncc4ccn(C5CCCCC5)c4n3)cc2,,,CHEMBL1137238,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '15.36', 'le': '0.28', 'lle': '1.57', 'sei': '12.19'}",,CHEMBL214329,6,False,http://www.openphacts.org/units/Nanomolar,614563,=,1,True,=,,IC50,nM,,1000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9,9.0,"(8,9]",active,CN1CCN(c2ccc(Nc3ncc4ccn(C5CCCCC5)c4n3)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
,1790430.0,[],CHEMBL912718,Inhibition of human Ins-R,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34,,,CHEMBL1137241,J. Med. Chem.,2006.0,"{'bei': '12.26', 'le': '0.23', 'lle': '1.88', 'sei': '5.17'}",CHEMBL201511,MALEIMIDE,CHEMBL201511,4.64,False,http://www.openphacts.org/units/Nanomolar,614588.0,=,1.0,True,=,,IC50,nM,,23000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,M,UO_0000065,,9.0,13.638272163982407,,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790430,[],CHEMBL912718,Inhibition of human Ins-R,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34,,,CHEMBL1137241,J. Med. Chem.,2006.0,"{'bei': '12.26', 'le': '0.23', 'lle': '1.88', 'sei': '5.17'}",MALEIMIDE,CHEMBL201511,4.64,False,http://www.openphacts.org/units/Nanomolar,614588,=,1,True,=,,IC50,nM,,23000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,M,UO_0000065,,9,13.638272163982407,,active,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
,2132651.0,[],CHEMBL921275,Inhibition of human purified insulin receptor expressed in HepG2 cells,B,BAO_0000190,BAO_0000219,cell-based format,Nc1nccn2c(nc(c3ccc4ccc(nc4c3)c5ccccc5)c12)[C@@H]6C[C@H](CN7CCC7)C6,,,CHEMBL1143953,Bioorg. Med. Chem.,2008.0,"{'bei': '15.46', 'le': '0.28', 'lle': '1.73', 'sei': '9.84'}",CHEMBL410659,,CHEMBL410659,7.12,False,http://www.openphacts.org/units/Nanomolar,703189.0,=,1.0,True,=,,IC50,nM,,76,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9.0,10.119186407719209,"(10,11]",active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132651,[],CHEMBL921275,Inhibition of human purified insulin receptor expressed in HepG2 cells,B,BAO_0000190,BAO_0000219,cell-based format,Nc1nccn2c(nc(c3ccc4ccc(nc4c3)c5ccccc5)c12)[C@@H]6C[C@H](CN7CCC7)C6,,,CHEMBL1143953,Bioorg. Med. Chem.,2008.0,"{'bei': '15.46', 'le': '0.28', 'lle': '1.73', 'sei': '9.84'}",,CHEMBL410659,7.12,False,http://www.openphacts.org/units/Nanomolar,703189,=,1,True,=,,IC50,nM,,76,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9,10.119186407719209,"(10,11]",active,Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
,2408037.0,[],CHEMBL955915,Inhibition of human IR,B,BAO_0000190,BAO_0000357,single protein format,CCCN1CCC=C(C1)c2ccc(Nc3nc(Nc4ccccc4C(=O)N)c5cc[nH]c5n3)c(C)c2,,,CHEMBL1153895,Bioorg. Med. Chem. Lett.,2009.0,"{'bei': '17.03', 'le': '0.31', 'lle': '2.85', 'sei': '7.32'}",CHEMBL513897,GSK-994854A,CHEMBL513897,8.2,False,http://www.openphacts.org/units/Nanomolar,781269.0,=,1.0,True,=,,IC50,nM,,6.3,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,nM,UO_0000065,,9.0,8.200659450546418,"(8,9]",active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408037,[],CHEMBL955915,Inhibition of human IR,B,BAO_0000190,BAO_0000357,single protein format,CCCN1CCC=C(C1)c2ccc(Nc3nc(Nc4ccccc4C(=O)N)c5cc[nH]c5n3)c(C)c2,,,CHEMBL1153895,Bioorg. Med. Chem. Lett.,2009.0,"{'bei': '17.03', 'le': '0.31', 'lle': '2.85', 'sei': '7.32'}",GSK-994854A,CHEMBL513897,8.2,False,http://www.openphacts.org/units/Nanomolar,781269,=,1,True,=,,IC50,nM,,6.3,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,nM,UO_0000065,,9,8.200659450546418,"(8,9]",active,CCCN1CCC=C(c2ccc(Nc3nc(Nc4ccccc4C(N)=O)c4cc[nH]c4n3)c(C)c2)C1,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
,2465111.0,[],CHEMBL957980,Inhibition of human recombinant INS-R,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2)c3cn(C)c4ccccc34,,,CHEMBL1157465,J. Med. Chem.,2008.0,"{'bei': '11.44', 'le': '0.21', 'lle': '1.09', 'sei': '7.01'}",CHEMBL509435,,CHEMBL509435,4.33,False,http://www.openphacts.org/units/Nanomolar,720687.0,=,1.0,True,=,,IC50,nM,,47000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9.0,7.327902142064283,"(7,8]",active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465111,[],CHEMBL957980,Inhibition of human recombinant INS-R,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2)c3cn(C)c4ccccc34,,,CHEMBL1157465,J. Med. Chem.,2008.0,"{'bei': '11.44', 'le': '0.21', 'lle': '1.09', 'sei': '7.01'}",,CHEMBL509435,4.33,False,http://www.openphacts.org/units/Nanomolar,720687,=,1,True,=,,IC50,nM,,47000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9,7.327902142064283,"(7,8]",active,COc1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2)cc(OC)c1OC,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
,2465112.0,[],CHEMBL957980,Inhibition of human recombinant INS-R,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(cc(OC)c1OC)C2=C(CNC2=O)c3cn(COc4ccccc4)c5ccccc35,,,CHEMBL1157465,J. Med. Chem.,2008.0,"{'bei': '9.26', 'le': '0.17', 'lle': '-0.38', 'sei': '6.14'}",CHEMBL488811,,CHEMBL488811,4.36,False,http://www.openphacts.org/units/Nanomolar,720599.0,=,1.0,True,=,,IC50,nM,,44000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9.0,7.356547323513812,"(7,8]",active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465112,[],CHEMBL957980,Inhibition of human recombinant INS-R,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(cc(OC)c1OC)C2=C(CNC2=O)c3cn(COc4ccccc4)c5ccccc35,,,CHEMBL1157465,J. Med. Chem.,2008.0,"{'bei': '9.26', 'le': '0.17', 'lle': '-0.38', 'sei': '6.14'}",,CHEMBL488811,4.36,False,http://www.openphacts.org/units/Nanomolar,720599,=,1,True,=,,IC50,nM,,44000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9,7.356547323513812,"(7,8]",active,COc1cc(C2=C(c3cn(COc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
,2465113.0,[],CHEMBL957980,Inhibition of human recombinant INS-R,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(cc(OC)c1OC)C2=C(CNC2=O)c3cn(COC(C)(C)C)c4ccccc34,,,CHEMBL1157465,J. Med. Chem.,2008.0,"{'bei': '10.14', 'le': '0.19', 'lle': '0.09', 'sei': '6.44'}",CHEMBL488646,,CHEMBL488646,4.57,False,http://www.openphacts.org/units/Nanomolar,720598.0,=,1.0,True,=,,IC50,nM,,27000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9.0,7.568636235841013,"(7,8]",active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465113,[],CHEMBL957980,Inhibition of human recombinant INS-R,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(cc(OC)c1OC)C2=C(CNC2=O)c3cn(COC(C)(C)C)c4ccccc34,,,CHEMBL1157465,J. Med. Chem.,2008.0,"{'bei': '10.14', 'le': '0.19', 'lle': '0.09', 'sei': '6.44'}",,CHEMBL488646,4.57,False,http://www.openphacts.org/units/Nanomolar,720598,=,1,True,=,,IC50,nM,,27000,CHEMBL1981,Homo sapiens,Insulin receptor,9606,,,IC50,uM,UO_0000065,,9,7.568636235841013,"(7,8]",active,COc1cc(C2=C(c3cn(COC(C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,<rdkit.Chem.rdchem.Mol object at 0x14544ba80>
