molecule_chembl_id,stdInChiKey,formula,STATUS,pIC50,MW,LogP,nHAcc,nHDon,smiles,preferredCompoundName
CHEMBL177688,-,-,active,8.772113295386326,355.829,3.7299000000000015,6,3,OCCCNc1cncc(c1)c2cncc(Nc3cccc(Cl)c3)n2,-
CHEMBL199886,-,-,active,8.022276394711152,468.22200000000015,6.302500000000003,5,2,FC(F)(F)c1cc(NC(=O)Nc2ccc3Oc4ncnc(Cl)c4N=Cc3c2)ccc1Cl,-
CHEMBL209148,-,-,active,8.958607314841776,623.8449999999999,5.692120000000005,8,2,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N4CCN(CC4)C(=O)C,-
CHEMBL214329,-,-,active,9.0,390.53500000000025,4.431900000000004,6,1,CN1CCN(CC1)c2ccc(Nc3ncc4ccn(C5CCCCC5)c4n3)cc2,-
CHEMBL201511,-,-,active,13.638272163982409,378.3840000000002,2.7609000000000004,5,2,COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34,MALEIMIDE
CHEMBL410659,-,-,active,10.119186407719207,460.5850000000004,5.393000000000005,6,1,Nc1nccn2c(nc(c3ccc4ccc(nc4c3)c5ccccc5)c12)[C@@H]6C[C@H](CN7CCC7)C6,-
CHEMBL513897,-,-,active,8.200659450546418,481.60400000000027,5.351520000000003,6,4,CCCN1CCC=C(C1)c2ccc(Nc3nc(Nc4ccccc4C(=O)N)c5cc[nH]c5n3)c(C)c2,GSK-994854A
CHEMBL509435,-,-,active,7.327902142064282,378.42800000000017,3.244700000000001,5,1,COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2)c3cn(C)c4ccccc34,-
CHEMBL488811,-,-,active,7.356547323513813,470.52500000000026,4.744200000000004,6,1,COc1cc(cc(OC)c1OC)C2=C(CNC2=O)c3cn(COc4ccccc4)c5ccccc35,-
CHEMBL488646,-,-,active,7.568636235841013,450.5350000000002,4.480300000000003,6,1,COc1cc(cc(OC)c1OC)C2=C(CNC2=O)c3cn(COC(C)(C)C)c4ccccc34,-
CHEMBL529663,-,-,active,7.366531544420414,364.4010000000002,3.234300000000001,4,2,COc1cc(cc(OC)c1OC)C2=C(CNC2=O)c3c[nH]c4ccccc34,-
CHEMBL466397,-,-,active,7.721246399047171,851.9809999999993,6.8580000000000085,12,2,CCc1cc(Nc2nccc(n2)c3c(nc4ccccn34)c5ccc(OC)c(c5)C(=O)Nc6c(F)cccc6F)c(OC)cc1N7CCC(CC7)N8CCN(CC8)S(=O)(=O)C,-
CHEMBL447317,-,-,active,8.292429823902062,457.5590000000002,3.573570000000002,6,2,CNC(=N)SCCCN1C(=O)C2=C(C1=O)n3ccc4cccc(C5Cc6ccccc6N25)c34,-
CHEMBL489083,-,-,active,8.585026652029184,441.51600000000025,3.199650000000002,7,2,NC(=N)SCCCN1C(=O)C2=C(C1=O)n3c(cc4ccccc34)c5cccc6ccn2c56,-
CHEMBL488271,-,-,active,8.200659450546418,455.54300000000023,3.460350000000002,7,2,CNC(=N)SCCCN1C(=O)C2=C(C1=O)n3c(cc4ccccc34)c5cccc6ccn2c56,-
CHEMBL551570,-,-,active,8.455931955649724,481.64400000000035,4.903920000000005,5,1,COc1nc(C)cc2N(CCc3ccccc3)CCc4c([nH]c5cc(ccc45)N6CCN(C)CC6)c12,-
