molecule_chembl_id,stdInChiKey,STATUS,pIC50,MW,LogP,nHAcc,nHDon,smiles
CHEMBL504547,CUISPPCDYZFGCY-ZDLGFXPLSA-N,active,9.214670164989233,486.2650000000002,3.6575000000000015,5,3,Oc1cc(CN\C=C\2/C(=O)NC(=O)c3ccc(I)cc23)ccc1c4cocc4
CHEMBL490451,WYFUXDSMNLVNEA-YVLHZVERSA-N,active,9.431798275933003,487.2530000000002,2.4358000000000004,6,2,Ic1ccc2C(=O)NC(=O)\C(=C/NCC3=CC(=O)N(C=C3)c4cocc4)\c2c1
CHEMBL515631,CFJGSVKNNIFWEA-PDGQHHTCSA-N,active,9.69897000433602,409.48600000000016,3.2742000000000027,6,3,CCCOc1cnc(CN\C=C\2/C(=O)NC(=O)c3ccc(cc23)C(C)(C)C)cc1O
CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,active,10.18045606445813,466.5410000000003,4.354000000000003,6,2,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35
CHEMBL4061653,KMOKEVFNTNVAQP-UHFFFAOYSA-N,active,8.159893905543242,276.383,3.815000000000002,1,2,C(NC1CCc2c(C1)[nH]c3ccccc23)c4ccccc4
CHEMBL4077816,CPAIEIJZVFXFPO-UHFFFAOYSA-N,active,8.387216143280265,290.4100000000001,4.123420000000002,1,2,Cc1ccc(CNC2CCc3c(C2)[nH]c4ccccc34)cc1
CHEMBL4092194,CIIXPQMLJXFNRU-UHFFFAOYSA-N,active,8.698970004336019,282.43100000000004,4.1118200000000025,1,2,CC1CCC(C1)NC2CCc3c(C2)[nH]c4ccc(C)cc34
CHEMBL4070561,VPVAOLPEUJWHSH-UHFFFAOYSA-N,active,8.657577319177793,290.41,4.123420000000003,1,2,Cl.Cc1ccc2[nH]c3CC(CCc3c2c1)NCc4ccccc4
CHEMBL4070208,LBARGTGOXNNZDT-UHFFFAOYSA-N,active,8.537602002101043,304.43700000000007,4.431840000000003,1,2,Cl.Cc1ccc(CNC2CCc3c(C2)[nH]c4ccc(C)cc34)cc1
CHEMBL4068744,JSGDWGPUTMTPQH-UHFFFAOYSA-N,active,8.317854923626168,313.4010000000001,4.231700000000003,3,2,CC1CCC(C1)NC2CCCc3c2[nH]c4ccc(cc34)[N+](=O)[O-]
CHEMBL4068198,SHRJKINVHLWHRC-UHFFFAOYSA-N,active,8.455931955649724,304.43700000000007,4.133820000000004,2,1,Cc1ccc(CNC2CCc3c(C2)n(C)c4ccccc34)cc1
CHEMBL4071674,TUGTYRARRQHCNF-UHFFFAOYSA-N,inactive,7.823908740944319,268.40399999999994,4.467600000000004,1,2,Cl.C1CCC(CC1)NC2CCCc3c2[nH]c4ccccc34
CHEMBL4092469,WDUQGEOKYLJZMH-UHFFFAOYSA-N,inactive,8.0,254.3769999999999,4.077500000000003,1,2,C1CCC(C1)NC2CCCc3c2[nH]c4ccccc34
CHEMBL4065808,TXSWVOYQWJLBLG-UHFFFAOYSA-N,inactive,8.045757490560675,268.40400000000005,4.323500000000003,1,2,CC1CCC(C1)NC2CCCc3c2[nH]c4ccccc34
CHEMBL4076325,HBNNGZXIFUUAMQ-UHFFFAOYSA-N,inactive,8.036212172654443,344.41100000000006,3.6629000000000023,2,2,Fc1ccc(cc1)S(=O)(=O)NC2CCCc3c2[nH]c4ccccc34
CHEMBL4064772,OSTOFTVIDPITKE-UHFFFAOYSA-N,inactive,7.9586073148417755,268.40399999999994,3.9475000000000025,1,2,C1CCC(CC1)NC2CCc3c(C2)[nH]c4ccccc34
CHEMBL4075814,JNWSPWONWPCWLI-UHFFFAOYSA-N,inactive,8.0,254.37699999999992,3.557400000000002,1,2,C1CCC(C1)NC2CCc3c(C2)[nH]c4ccccc34
CHEMBL4088842,BAXYEFIHPLRMFW-UHFFFAOYSA-N,inactive,7.761953896871206,268.40400000000005,3.8034000000000026,1,2,Cl.CC1CCC(C1)NC2CCc3c(C2)[nH]c4ccccc34
CHEMBL4075949,CCTCKYNXDULHSP-UHFFFAOYSA-N,inactive,8.022276394711152,344.41100000000006,3.142800000000002,2,2,Fc1ccc(cc1)S(=O)(=O)NC2CCc3c(C2)[nH]c4ccccc34
CHEMBL4060594,DPOIOGOEBMEHPV-UHFFFAOYSA-N,inactive,7.0,308.35600000000005,3.5943000000000023,1,2,Fc1cccc(c1)C(=O)NC2CCc3c(C2)[nH]c4ccccc34
CHEMBL4082537,WRULKKZJFCLCPR-UHFFFAOYSA-N,inactive,7.0,327.40900000000005,2.918800000000001,3,2,O=S(=O)(NC1CCCc2c1[nH]c3ccccc23)c4cccnc4
CHEMBL4094137,GIOYVKOLSMDLRF-UHFFFAOYSA-N,inactive,7.0,351.43100000000004,3.395480000000002,3,2,O=S(=O)(NC1CCCc2c1[nH]c3ccccc23)c4ccc(cc4)C#N
CHEMBL4067615,KSYCZGHTSFRBDQ-UHFFFAOYSA-N,inactive,7.0,270.376,2.793800000000001,2,2,Cl.C1CC(CCO1)NC2CCc3c(C2)[nH]c4ccccc34
CHEMBL4063962,OVNACAUHHHTCAU-UHFFFAOYSA-N,inactive,7.0,327.40900000000005,2.3987000000000007,3,2,O=S(=O)(NC1CCc2c(C1)[nH]c3ccccc23)c4cccnc4
CHEMBL4083343,HLSJTCJWYHPDEL-UHFFFAOYSA-N,inactive,7.0,351.43100000000004,2.8753800000000016,3,2,O=S(=O)(NC1CCc2c(C1)[nH]c3ccccc23)c4ccc(cc4)C#N
CHEMBL4077480,MRFKUARFQWLMOS-UHFFFAOYSA-N,inactive,7.0,320.39200000000005,3.4638000000000018,2,2,COc1cccc(c1)C(=O)NC2CCc3c(C2)[nH]c4ccccc34
CHEMBL4082197,MVSQDFWAOOVAOD-UHFFFAOYSA-N,inactive,7.0,308.35600000000005,3.5943000000000023,1,2,Fc1ccccc1C(=O)NC2CCc3c(C2)[nH]c4ccccc34
