atc_classifications,availability_type,biotherapeutic,black_box_warning,chebi_par_id,chirality,cross_references,dosed_ingredient,first_approval,first_in_class,helm_notation,indication_class,inorganic_flag,max_phase,molecule_chembl_id,molecule_hierarchy,molecule_properties,molecule_structures,molecule_synonyms,molecule_type,natural_product,oral,parenteral,polymer_flag,pref_name,prodrug,structure_type,therapeutic_flag,topical,usan_stem,usan_stem_definition,usan_substem,usan_year,withdrawn_class,withdrawn_country,withdrawn_flag,withdrawn_reason,withdrawn_year,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,confidence_score,pIC50,bin,STATUS,SMILES_desalt,mol
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL231306,"{'molecule_chembl_id': 'CHEMBL231306', 'parent_chembl_id': 'CHEMBL231306'}","{'acd_logd': '2.95', 'acd_logp': '2.96', 'acd_most_apka': '9.7', 'acd_most_bpka': '5.54', 'alogp': '4.21', 'aromatic_rings': 5, 'full_molformula': 'C24H21ClN6O2', 'full_mwt': '460.93', 'hba': 6, 'hba_lipinski': 8, 'hbd': 4, 'hbd_lipinski': 4, 'heavy_atoms': 33, 'molecular_species': 'NEUTRAL', 'mw_freebase': '460.93', 'mw_monoisotopic': '460.1415', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '111.62', 'qed_weighted': '0.3', 'ro3_pass': 'N', 'rtb': 6}","{'canonical_smiles': 'Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4cccc(Cl)c4)C=CNC3=O)n5ccnc5', 'standard_inchi': 'InChI=1S/C24H21ClN6O2/c1-14-9-17(31-8-7-26-13-31)11-19-22(14)30-23(29-19)21-18(5-6-27-24(21)33)28-12-20(32)15-3-2-4-16(25)10-15/h2-11,13,20,32H,12H2,1H3,(H,29,30)(H2,27,28,33)', 'standard_inchi_key': 'WASNZPFVELUKFM-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1605353,[],CHEMBL881279,In vitro inhibitory concentration against IGF-1R kinase,B,BAO_0000190,BAO_0000357,single protein format,Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4cccc(Cl)c4)C=CNC3=O)n5ccnc5,,,CHEMBL1143653,J. Med. Chem.,2005.0,"{'bei': '14.63', 'le': '0.28', 'lle': '2.53', 'sei': '6.04'}",,CHEMBL231306,6.75,True,http://www.openphacts.org/units/Nanomolar,401605,=,1,True,=,,IC50,nM,,180,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,9,9.744727494896694,"(9,10]",active,Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL199723,"{'molecule_chembl_id': 'CHEMBL199723', 'parent_chembl_id': 'CHEMBL199723'}","{'acd_logd': '3.12', 'acd_logp': '5.14', 'acd_most_apka': '-0.51', 'acd_most_bpka': '8.37', 'alogp': '3.23', 'aromatic_rings': 3, 'full_molformula': 'C26H28N4O4', 'full_mwt': '460.53', 'hba': 7, 'hba_lipinski': 8, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 34, 'molecular_species': 'ACID', 'mw_freebase': '460.53', 'mw_monoisotopic': '460.2111', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '87.16', 'qed_weighted': '0.58', 'ro3_pass': 'N', 'rtb': 6}","{'canonical_smiles': 'CN1CCN(CCc2ccc(NC(=O)c3cc(cnc3O)c4ccc5OCOc5c4)cc2)CC1', 'standard_inchi': 'InChI=1S/C26H28N4O4/c1-29-10-12-30(13-11-29)9-8-18-2-5-21(6-3-18)28-26(32)22-14-20(16-27-25(22)31)19-4-7-23-24(15-19)34-17-33-23/h2-7,14-16H,8-13,17H2,1H3,(H,27,31)(H,28,32)', 'standard_inchi_key': 'JNAZGEGXKHNDBG-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1675259,[],CHEMBL865218,Inhibitory activity against IGF1R,B,BAO_0000190,BAO_0000357,single protein format,CN1CCN(CCc2ccc(NC(=O)c3cc(cnc3O)c4ccc5OCOc5c4)cc2)CC1,,,CHEMBL1149386,J. Med. Chem.,2006.0,"{'bei': '11.19', 'le': '0.21', 'lle': '1.92', 'sei': '5.91'}",,CHEMBL199723,5.16,False,http://www.openphacts.org/units/Nanomolar,422295,=,1,True,=,,IC50,nM,,7000,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,9,8.154901959985743,"(8,9]",active,CN1CCN(CCc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL436509,"{'molecule_chembl_id': 'CHEMBL436509', 'parent_chembl_id': 'CHEMBL436509'}","{'acd_logd': '2.56', 'acd_logp': '4.35', 'acd_most_apka': '1.03', 'acd_most_bpka': '8.51', 'alogp': '3.19', 'aromatic_rings': 3, 'full_molformula': 'C24H24N4O4', 'full_mwt': '432.48', 'hba': 7, 'hba_lipinski': 8, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 32, 'molecular_species': 'ZWITTERION', 'mw_freebase': '432.48', 'mw_monoisotopic': '432.1798', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '87.16', 'qed_weighted': '0.65', 'ro3_pass': 'N', 'rtb': 4}","{'canonical_smiles': 'CN1CCN(CC1)c2ccc(NC(=O)c3cc(cnc3O)c4ccc5OCOc5c4)cc2', 'standard_inchi': 'InChI=1S/C24H24N4O4/c1-27-8-10-28(11-9-27)19-5-3-18(4-6-19)26-24(30)20-12-17(14-25-23(20)29)16-2-7-21-22(13-16)32-15-31-21/h2-7,12-14H,8-11,15H2,1H3,(H,25,29)(H,26,30)', 'standard_inchi_key': 'OLQJOCFRZLUUEL-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1675325,[],CHEMBL865218,Inhibitory activity against IGF1R,B,BAO_0000190,BAO_0000357,single protein format,CN1CCN(CC1)c2ccc(NC(=O)c3cc(cnc3O)c4ccc5OCOc5c4)cc2,,,CHEMBL1149386,J. Med. Chem.,2006.0,"{'bei': '11.15', 'le': '0.21', 'lle': '1.63', 'sei': '5.53'}",,CHEMBL436509,4.82,False,http://www.openphacts.org/units/Nanomolar,422296,=,1,True,=,,IC50,nM,,15000,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,9,7.823908740944319,"(7,8]",active,CN1CCN(c2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL201511,"{'molecule_chembl_id': 'CHEMBL201511', 'parent_chembl_id': 'CHEMBL201511'}","{'acd_logd': '3.98', 'acd_logp': '4.13', 'acd_most_apka': '7.77', 'acd_most_bpka': None, 'alogp': '2.76', 'aromatic_rings': 3, 'full_molformula': 'C21H18N2O5', 'full_mwt': '378.38', 'hba': 5, 'hba_lipinski': 7, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 28, 'molecular_species': 'NEUTRAL', 'mw_freebase': '378.38', 'mw_monoisotopic': '378.1216', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '89.65', 'qed_weighted': '0.67', 'ro3_pass': 'N', 'rtb': 5}","{'canonical_smiles': 'COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34', 'standard_inchi': 'InChI=1S/C21H18N2O5/c1-26-15-8-11(9-16(27-2)19(15)28-3)17-18(21(25)23-20(17)24)13-10-22-14-7-5-4-6-12(13)14/h4-10,22H,1-3H3,(H,23,24,25)', 'standard_inchi_key': 'CZGMEOAMQWAJOY-UHFFFAOYSA-N'}","[{'molecule_synonym': 'Maleimide', 'syn_type': 'OTHER', 'synonyms': 'Maleimide'}]",Small molecule,-1,0.0,0.0,0.0,MALEIMIDE,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1790433,[],CHEMBL912721,Inhibition of human IGF1-R,B,BAO_0000190,BAO_0000357,single protein format,COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34,,,CHEMBL1137241,J. Med. Chem.,2006.0,"{'bei': '13.23', 'le': '0.24', 'lle': '2.24', 'sei': '5.58'}",MALEIMIDE,CHEMBL201511,5,False,http://www.openphacts.org/units/Nanomolar,614588,=,1,True,=,,IC50,nM,,9900,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,M,UO_0000065,,9,14.00436480540245,,active,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL396482,"{'molecule_chembl_id': 'CHEMBL396482', 'parent_chembl_id': 'CHEMBL396482'}","{'acd_logd': '0.68', 'acd_logp': '0.69', 'acd_most_apka': '9.7', 'acd_most_bpka': '5.54', 'alogp': '2.41', 'aromatic_rings': 4, 'full_molformula': 'C16H13N5O', 'full_mwt': '291.31', 'hba': 4, 'hba_lipinski': 6, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 22, 'molecular_species': 'NEUTRAL', 'mw_freebase': '291.31', 'mw_monoisotopic': '291.112', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '79.36', 'qed_weighted': '0.59', 'ro3_pass': 'N', 'rtb': 2}","{'canonical_smiles': 'Cc1cc(cc2[nH]c(nc12)C3=CC=CNC3=O)n4ccnc4', 'standard_inchi': 'InChI=1S/C16H13N5O/c1-10-7-11(21-6-5-17-9-21)8-13-14(10)20-15(19-13)12-3-2-4-18-16(12)22/h2-9H,1H3,(H,18,22)(H,19,20)', 'standard_inchi_key': 'DJWLLMYKBMVZOM-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1894555,[],CHEMBL887272,Inhibition of IGF1R,B,BAO_0000190,BAO_0000357,single protein format,Cc1cc(cc2[nH]c(nc12)C3=CC=CNC3=O)n4ccnc4,,,CHEMBL1144586,Bioorg. Med. Chem. Lett.,2007.0,"{'bei': '18.73', 'le': '0.34', 'lle': '3.05', 'sei': '6.87'}",,CHEMBL396482,5.46,True,http://www.openphacts.org/units/Nanomolar,641093,=,1,True,=,,IC50,nM,,3500,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,9,8.455931955649724,"(8,9]",active,Cc1cc(-n2ccnc2)cc2[nH]c(-c3ccc[nH]c3=O)nc12,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL389605,"{'molecule_chembl_id': 'CHEMBL389605', 'parent_chembl_id': 'CHEMBL389605'}","{'acd_logd': '2.95', 'acd_logp': '2.96', 'acd_most_apka': '9.7', 'acd_most_bpka': '5.54', 'alogp': '4.21', 'aromatic_rings': 5, 'full_molformula': 'C24H21ClN6O2', 'full_mwt': '460.93', 'hba': 6, 'hba_lipinski': 8, 'hbd': 4, 'hbd_lipinski': 4, 'heavy_atoms': 33, 'molecular_species': 'NEUTRAL', 'mw_freebase': '460.93', 'mw_monoisotopic': '460.1415', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '111.62', 'qed_weighted': '0.3', 'ro3_pass': 'N', 'rtb': 6}","{'canonical_smiles': 'Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)n5ccnc5', 'standard_inchi': 'InChI=1S/C24H21ClN6O2/c1-14-9-17(31-8-7-26-13-31)11-19-22(14)30-23(29-19)21-18(5-6-27-24(21)33)28-12-20(32)15-3-2-4-16(25)10-15/h2-11,13,20,32H,12H2,1H3,(H,29,30)(H2,27,28,33)/t20-/m1/s1', 'standard_inchi_key': 'WASNZPFVELUKFM-HXUWFJFHSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1894556,[],CHEMBL887272,Inhibition of IGF1R,B,BAO_0000190,BAO_0000357,single protein format,Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)n5ccnc5,,,CHEMBL1144586,Bioorg. Med. Chem. Lett.,2007.0,"{'bei': '14.87', 'le': '0.28', 'lle': '2.64', 'sei': '6.14'}",,CHEMBL389605,6.85,False,http://www.openphacts.org/units/Nanomolar,641118,=,1,True,=,,IC50,nM,,140,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,9,9.853871964321762,"(9,10]",active,Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL231311,"{'molecule_chembl_id': 'CHEMBL231311', 'parent_chembl_id': 'CHEMBL231311'}","{'acd_logd': '5.01', 'acd_logp': '5.03', 'acd_most_apka': '9.7', 'acd_most_bpka': '5.6', 'alogp': '5.39', 'aromatic_rings': 5, 'full_molformula': 'C25H23BrN6O', 'full_mwt': '503.4', 'hba': 5, 'hba_lipinski': 7, 'hbd': 3, 'hbd_lipinski': 3, 'heavy_atoms': 33, 'molecular_species': 'NEUTRAL', 'mw_freebase': '503.4', 'mw_monoisotopic': '502.1117', 'num_lipinski_ro5_violations': 2, 'num_ro5_violations': 2, 'psa': '91.39', 'qed_weighted': '0.29', 'ro3_pass': 'N', 'rtb': 6}","{'canonical_smiles': 'CC(CNC1=C(C(=O)NC=C1)c2nc3c(C)cc(cc3[nH]2)n4ccnc4)c5cccc(Br)c5', 'standard_inchi': 'InChI=1S/C25H23BrN6O/c1-15-10-19(32-9-8-27-14-32)12-21-23(15)31-24(30-21)22-20(6-7-28-25(22)33)29-13-16(2)17-4-3-5-18(26)11-17/h3-12,14,16H,13H2,1-2H3,(H,30,31)(H2,28,29,33)', 'standard_inchi_key': 'NCWNPKMGACZKLI-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1894557,[],CHEMBL887272,Inhibition of IGF1R,B,BAO_0000190,BAO_0000357,single protein format,CC(CNC1=C(C(=O)NC=C1)c2nc3c(C)cc(cc3[nH]2)n4ccnc4)c5cccc(Br)c5,,,CHEMBL1144586,Bioorg. Med. Chem. Lett.,2007.0,"{'bei': '12.12', 'le': '0.25', 'lle': '0.71', 'sei': '6.68'}",,CHEMBL231311,6.1,False,http://www.openphacts.org/units/Nanomolar,641117,=,1,True,=,,IC50,nM,,790,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,9,9.102372908709558,"(9,10]",active,Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(NCC(C)c4cccc(Br)c4)cc[nH]c3=O)nc12,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL231213,"{'molecule_chembl_id': 'CHEMBL231213', 'parent_chembl_id': 'CHEMBL231213'}","{'acd_logd': '3.66', 'acd_logp': '3.67', 'acd_most_apka': '9.7', 'acd_most_bpka': '5.54', 'alogp': '4.87', 'aromatic_rings': 5, 'full_molformula': 'C25H23ClN6O2', 'full_mwt': '474.95', 'hba': 6, 'hba_lipinski': 8, 'hbd': 3, 'hbd_lipinski': 3, 'heavy_atoms': 34, 'molecular_species': 'NEUTRAL', 'mw_freebase': '474.95', 'mw_monoisotopic': '474.1571', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '100.62', 'qed_weighted': '0.31', 'ro3_pass': 'N', 'rtb': 7}","{'canonical_smiles': 'COC(CNC1=C(C(=O)NC=C1)c2nc3c(C)cc(cc3[nH]2)n4ccnc4)c5cccc(Cl)c5', 'standard_inchi': 'InChI=1S/C25H23ClN6O2/c1-15-10-18(32-9-8-27-14-32)12-20-23(15)31-24(30-20)22-19(6-7-28-25(22)33)29-13-21(34-2)16-4-3-5-17(26)11-16/h3-12,14,21H,13H2,1-2H3,(H,30,31)(H2,28,29,33)', 'standard_inchi_key': 'UDEUTOREOCQEBQ-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1894558,[],CHEMBL887272,Inhibition of IGF1R,B,BAO_0000190,BAO_0000357,single protein format,COC(CNC1=C(C(=O)NC=C1)c2nc3c(C)cc(cc3[nH]2)n4ccnc4)c5cccc(Cl)c5,,,CHEMBL1144586,Bioorg. Med. Chem. Lett.,2007.0,"{'bei': '11.45', 'le': '0.22', 'lle': '0.57', 'sei': '5.41'}",,CHEMBL231213,5.44,False,http://www.openphacts.org/units/Nanomolar,641116,=,1,True,=,,IC50,nM,,3630,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,9,8.440093374963887,"(8,9]",active,COC(CNc1cc[nH]c(=O)c1-c1nc2c(C)cc(-n3ccnc3)cc2[nH]1)c1cccc(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL390198,"{'molecule_chembl_id': 'CHEMBL390198', 'parent_chembl_id': 'CHEMBL390198'}","{'acd_logd': '3', 'acd_logp': '3.01', 'acd_most_apka': '9.7', 'acd_most_bpka': '5.54', 'alogp': '4.22', 'aromatic_rings': 5, 'full_molformula': 'C25H23ClN6O3', 'full_mwt': '490.95', 'hba': 7, 'hba_lipinski': 9, 'hbd': 4, 'hbd_lipinski': 4, 'heavy_atoms': 35, 'molecular_species': 'NEUTRAL', 'mw_freebase': '490.95', 'mw_monoisotopic': '490.152', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '120.85', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 7}","{'canonical_smiles': 'COc1ccc(cc1Cl)C(O)CNC2=C(C(=O)NC=C2)c3nc4c(C)cc(cc4[nH]3)n5ccnc5', 'standard_inchi': 'InChI=1S/C25H23ClN6O3/c1-14-9-16(32-8-7-27-13-32)11-19-23(14)31-24(30-19)22-18(5-6-28-25(22)34)29-12-20(33)15-3-4-21(35-2)17(26)10-15/h3-11,13,20,33H,12H2,1-2H3,(H,30,31)(H2,28,29,34)', 'standard_inchi_key': 'ZFWLXTPDKRBCNN-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1894560,[],CHEMBL887272,Inhibition of IGF1R,B,BAO_0000190,BAO_0000357,single protein format,COc1ccc(cc1Cl)C(O)CNC2=C(C(=O)NC=C2)c3nc4c(C)cc(cc4[nH]3)n5ccnc5,,,CHEMBL1144586,Bioorg. Med. Chem. Lett.,2007.0,"{'bei': '13.9', 'le': '0.27', 'lle': '2.6', 'sei': '5.65'}",,CHEMBL390198,6.82,False,http://www.openphacts.org/units/Nanomolar,641114,=,1,True,=,,IC50,nM,,150,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,9,9.823908740944319,"(9,10]",active,COc1ccc(C(O)CNc2cc[nH]c(=O)c2-c2nc3c(C)cc(-n4ccnc4)cc3[nH]2)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
[],-1,,0,,-1,[],0.0,,-1,,,-1,0.0,CHEMBL231212,"{'molecule_chembl_id': 'CHEMBL231212', 'parent_chembl_id': 'CHEMBL231212'}","{'acd_logd': '3.33', 'acd_logp': '3.34', 'acd_most_apka': '9.7', 'acd_most_bpka': '5.54', 'alogp': '4.35', 'aromatic_rings': 5, 'full_molformula': 'C24H20ClFN6O2', 'full_mwt': '478.92', 'hba': 6, 'hba_lipinski': 8, 'hbd': 4, 'hbd_lipinski': 4, 'heavy_atoms': 34, 'molecular_species': 'NEUTRAL', 'mw_freebase': '478.92', 'mw_monoisotopic': '478.132', 'num_lipinski_ro5_violations': 0, 'num_ro5_violations': 0, 'psa': '111.62', 'qed_weighted': '0.29', 'ro3_pass': 'N', 'rtb': 6}","{'canonical_smiles': 'Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4ccc(F)c(Cl)c4)C=CNC3=O)n5ccnc5', 'standard_inchi': 'InChI=1S/C24H20ClFN6O2/c1-13-8-15(32-7-6-27-12-32)10-19-22(13)31-23(30-19)21-18(4-5-28-24(21)34)29-11-20(33)14-2-3-17(26)16(25)9-14/h2-10,12,20,33H,11H2,1H3,(H,30,31)(H2,28,29,34)', 'standard_inchi_key': 'DJEARTUSVWKEAS-UHFFFAOYSA-N'}",[],Small molecule,-1,0.0,0.0,0.0,,-1,MOL,0.0,0.0,,,,,,,0.0,,,,1894561,[],CHEMBL887272,Inhibition of IGF1R,B,BAO_0000190,BAO_0000357,single protein format,Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4ccc(F)c(Cl)c4)C=CNC3=O)n5ccnc5,,,CHEMBL1144586,Bioorg. Med. Chem. Lett.,2007.0,"{'bei': '14.19', 'le': '0.27', 'lle': '2.45', 'sei': '6.09'}",,CHEMBL231212,6.8,False,http://www.openphacts.org/units/Nanomolar,641113,=,1,True,=,,IC50,nM,,160,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,9,9.795880017344075,"(9,10]",active,Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(NCC(O)c4ccc(F)c(Cl)c4)cc[nH]c3=O)nc12,<rdkit.Chem.rdchem.Mol object at 0x14abb7940>
