['LJGZGWLYDULDPC-UHFFFAOYSA-N', 'active', 1.0]
['KGBUGQNGTLMMHA-UHFFFAOYSA-N', 'active', 1.0]
['VGPHIQUDJHNEBL-UHFFFAOYSA-N', 'active', 1.0]
['IDGTWPMYRNVQFX-UHFFFAOYSA-N', 'active', 1.0]
['ILZRJSQVNFFNAD-UHFFFAOYSA-N', 'active', 1.0]
['AWNGBFIYCSKJHJ-UHFFFAOYSA-N', 'active', 1.0]
['AUQYBWZUDLHRGG-UHFFFAOYSA-N', 'active', 1.0]
['ZXQSPQKIWZXEJE-UHFFFAOYSA-N', 'active', 1.0]
['VGDXYENFWAGSGV-UHFFFAOYSA-N', 'active', 1.0]
['KEENOBGHKHQPRD-UHFFFAOYSA-N', 'active', 1.0]
['DXQQWOYEXYHBRS-UHFFFAOYSA-N', 'active', 1.0]
['JYSYJECATRAXOH-UHFFFAOYSA-N', 'active', 1.0]
['UCKXWYAPJJITRZ-KHVHVRLGSA-N', 'active', 1.0]
['LVTPSHSANMIXKM-PUHLOBNQSA-N', 'active', 1.0]
['PTUHYTBYSPMGDJ-HIWRWHBISA-N', 'active', 1.0]
['YZROILXZGCBGFS-ZHSUKTGHSA-N', 'active', 1.0]
['WNCDXEJVRIUNOE-IIHBXENTSA-N', 'active', 1.0]
['XITGIVAWZDGGHV-ROPCREHHSA-N', 'active', 1.0]
['SAHRQAKLKBFTMS-ZHSUKTGHSA-N', 'active', 1.0]
['TXQSJDFUDKIJRQ-HBHSWBPBSA-N', 'active', 1.0]
['NUUMZPCVCVBESC-JJKQSNDFSA-N', 'active', 1.0]
['HMGZXLRACPRIOA-UHFFFAOYSA-N', 'active', 1.0]
['MPEOGYXCTPJLOK-UHFFFAOYSA-N', 'active', 1.0]
['OBEKZYJINZBKTA-UHFFFAOYSA-N', 'active', 1.0]
['UPNKEWMCUVAIRN-UHFFFAOYSA-N', 'active', 1.0]
['JVFUVANOBVEHRZ-UHFFFAOYSA-N', 'active', 1.0]
['GBXUHEYXYWRWJR-UHFFFAOYSA-N', 'active', 1.0]
['HXWBXEOAKNQECC-UHFFFAOYSA-N', 'active', 1.0]
['YEWHJESRFISBIA-UHFFFAOYSA-N', 'active', 1.0]
['AQEQCEAEXNSHDP-UHFFFAOYSA-N', 'active', 1.0]
['GAYSYNBBTMJSRX-UHFFFAOYSA-M', 'active', 1.0]
['BWPKBKMQWGZVKA-UHFFFAOYSA-N', 'active', 1.0]
['WINVYSFYWBXUQM-UHFFFAOYSA-N', 'active', 1.0]
['VOAQKVJHNGVMRH-UHFFFAOYSA-N', 'active', 1.0]
['QKRALXLCXOZQPV-UHFFFAOYSA-N', 'active', 1.0]
['HRWJKXJXRWYDOU-UHFFFAOYSA-N', 'active', 1.0]
['GUXMRTOOPXLCGJ-UHFFFAOYSA-N', 'active', 1.0]
['GBIUJRREVDQQPK-UHFFFAOYSA-N', 'active', 1.0]
['FNKMIXDVAFXHRN-UHFFFAOYSA-N', 'active', 1.0]
['FDCZSTMKGSCCIA-UHFFFAOYSA-N', 'active', 1.0]
['DUWQAJYAZHUBNG-UHFFFAOYSA-N', 'active', 1.0]
['CSYWOLFZEFXUOA-UHFFFAOYSA-N', 'active', 1.0]
['AVXOUQFXOOLSNM-UHFFFAOYSA-N', 'active', 1.0]
['CZCUSNQZHNYXNJ-WEVVVXLNSA-N', 'active', 1.0]
['AYVCCFDODOYXRO-UHFFFAOYSA-N', 'active', 1.0]
['ANCUEEOEKXHAFS-UHFFFAOYSA-N', 'active', 1.0]
['XCHZYPHEPOSPPD-UHFFFAOYSA-N', 'active', 1.0]
['GQUWDIOBISABKQ-UHFFFAOYSA-N', 'active', 1.0]
['ORMGLUKCDQMGKV-UHFFFAOYSA-N', 'active', 1.0]
['XLBIJSYYYPBOEZ-UHFFFAOYSA-N', 'active', 1.0]
['GRMWJYLSFHIYNJ-UHFFFAOYSA-N', 'active', 1.0]
['QTWUYDYYOUDZHZ-UNXLUWIOSA-N', 'active', 1.0]
['YAERXMIGDADHGY-UHFFFAOYSA-N', 'active', 1.0]
['LVYAGZPLTVBEOL-UHFFFAOYSA-N', 'active', 1.0]
['VTFALXAGTMTFBS-UHFFFAOYSA-N', 'active', 1.0]
['XAXSXQGSQBEHMM-UHFFFAOYSA-N', 'active', 1.0]
['LNODPFGTNSVVGA-UHFFFAOYSA-N', 'active', 1.0]
['OZFVBQBPYYTSCY-UHFFFAOYSA-N', 'active', 1.0]
['KVUALMYLFXFXNP-UHFFFAOYSA-N', 'active', 1.0]
['UKGTUEKRGMPQFB-UHFFFAOYSA-N', 'active', 1.0]
['DXYGTBNKASHGAP-UHFFFAOYSA-N', 'active', 1.0]
['CHZKLRSYBBOYKL-UHFFFAOYSA-N', 'active', 1.0]
['ZTKPCZHOFXSRFZ-UHFFFAOYSA-N', 'active', 1.0]
['RNFAZFXNRKFCAN-UHFFFAOYSA-N', 'active', 1.0]
['ARLGVHZTNAZDOT-UHFFFAOYSA-N', 'active', 1.0]
['ZLLMWSHYEYSHLF-UHFFFAOYSA-N', 'active', 1.0]
['NPJHSZJJFYOOAX-UHFFFAOYSA-N', 'active', 1.0]
['GRKOFEXHGMNFDD-UHFFFAOYSA-N', 'active', 1.0]
['GDGGQINIIOLFPJ-UHFFFAOYSA-N', 'active', 1.0]
['FKQILYPYEKHAMZ-UHFFFAOYSA-N', 'active', 1.0]
['DCSFMDZWRGAOFI-UHFFFAOYSA-N', 'active', 1.0]
['SKADCPXGHWAWHQ-UHFFFAOYSA-N', 'active', 1.0]
['WXSDINOCICCIDD-UHFFFAOYSA-N', 'active', 1.0]
['UEPWMFFDWAZVAJ-UHFFFAOYSA-N', 'active', 1.0]
['ZEEUZJXVRNWGAN-UHFFFAOYSA-N', 'active', 1.0]
['UEKBGEPSWXLUNC-UHFFFAOYSA-N', 'active', 1.0]
['LNEFMMIGVHUULU-UHFFFAOYSA-N', 'active', 1.0]
['TXTVZIRLHOTUQW-UHFFFAOYSA-N', 'active', 1.0]
['JPVMALKHCWYPPA-UHFFFAOYSA-N', 'active', 1.0]
['MBPXDKSBLQGWCM-UHFFFAOYSA-N', 'active', 1.0]
['WRFPQHWYZMAVDA-UHFFFAOYSA-N', 'active', 1.0]
['YPFWNWROERADRG-UHFFFAOYSA-N', 'active', 1.0]
['BQNHEMYTEYZIQI-UHFFFAOYSA-N', 'active', 1.0]
['BREFJAHJRLJMBT-UHFFFAOYSA-N', 'active', 1.0]
['QUGCRUKAXDCQRE-UHFFFAOYSA-N', 'active', 1.0]
['DQZJRTTUKXCGRT-UHFFFAOYSA-N', 'active', 1.0]
['SGNCHGFAOQWGPB-UHFFFAOYSA-N', 'active', 1.0]
['JXXXGPDMPWYNCE-UHFFFAOYSA-N', 'active', 1.0]
['BCHBWNCKTVXBGQ-UHFFFAOYSA-N', 'active', 1.0]
['ILPRZFKJQXXUEL-UHFFFAOYSA-N', 'active', 1.0]
