atc_classifications,availability_type,biotherapeutic,black_box_warning,chebi_par_id,chirality,cross_references,dosed_ingredient,first_approval,first_in_class,helm_notation,indication_class,inorganic_flag,max_phase,molecule_chembl_id,molecule_hierarchy,molecule_properties,molecule_structures,molecule_synonyms,molecule_type,natural_product,oral,parenteral,polymer_flag,pref_name,prodrug,structure_type,therapeutic_flag,topical,usan_stem,usan_stem_definition,usan_substem,usan_year,withdrawn_class,withdrawn_country,withdrawn_flag,withdrawn_reason,withdrawn_year,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,confidence_score,pIC50,bin,STATUS,SMILES_desalt,mol
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL422741,"{'molecule_chembl_id': 'CHEMBL422741', 'parent_chembl_id': 'CHEMBL422741'}","{'acd_logd': '6.34', 'acd_logp': '6.61', 'acd_most_apka': '13.79', 'acd_most_bpka': '7.68', 'alogp': '5.53', 'aromatic_rings': 2, 'full_molformula': 'C33H47N3O4', 'full_mwt': '549.76', 'hba': 5, 'hba_lipinski': 7, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 40, 'molecular_species': 'NEUTRAL', 'mw_freebase': '549.76', 'mw_monoisotopic': '549.3567', 'num_lipinski_ro5_violations': 2, 'num_ro5_violations': 2, 'psa': '87.74', 'qed_weighted': '0.28', 'ro3_pass': 'N', 'rtb': 11}","{'canonical_smiles': 'CC(C)C[C@H](N(C)C1CCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C', 'standard_inchi': 'InChI=1S/C33H47N3O4/c1-23(2)21-29(36(6)26-15-11-8-12-16-26)31(38)34-28(30(37)35-33(3,4)5)22-24-17-19-27(20-18-24)40-32(39)25-13-9-7-10-14-25/h7,9-10,13-14,17-20,23,26,28-29H,8,11-12,15-16,21-22H2,1-6H3,(H,34,38)(H,35,37)/t28-,29-/m0/s1', 'standard_inchi_key': 'SXGHLCHUQYYTLS-VMPREFPWSA-N'}",[],Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,226769,[],CHEMBL752911,In vitro inhibitory activity against N-type calcium channel in the IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](N(C)C1CCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,,,CHEMBL1132508,Bioorg. Med. Chem. Lett.,1999,"{'bei': '12.19', 'le': '0.23', 'lle': '1.17', 'sei': '7.64'}",,CHEMBL422741,6.7,False,http://www.openphacts.org/units/Nanomolar,339961,=,1,True,=,,IC50,nM,,200,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,9.698970004336019,"(9,10]",active,CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C)N(C)C1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL369244,"{'molecule_chembl_id': 'CHEMBL369244', 'parent_chembl_id': 'CHEMBL369244'}","{'acd_logd': '5.81', 'acd_logp': '6.01', 'acd_most_apka': '13.76', 'acd_most_bpka': '7.45', 'alogp': '4.85', 'aromatic_rings': 2, 'full_molformula': 'C31H45N3O4', 'full_mwt': '523.72', 'hba': 5, 'hba_lipinski': 7, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 38, 'molecular_species': 'NEUTRAL', 'mw_freebase': '523.72', 'mw_monoisotopic': '523.341', 'num_lipinski_ro5_violations': 1, 'num_ro5_violations': 1, 'psa': '87.74', 'qed_weighted': '0.31', 'ro3_pass': 'N', 'rtb': 12}","{'canonical_smiles': 'CC(C)C[C@H](N(C)CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C', 'standard_inchi': 'InChI=1S/C31H45N3O4/c1-21(2)18-27(34(8)20-22(3)4)29(36)32-26(28(35)33-31(5,6)7)19-23-14-16-25(17-15-23)38-30(37)24-12-10-9-11-13-24/h9-17,21-22,26-27H,18-20H2,1-8H3,(H,32,36)(H,33,35)/t26-,27-/m0/s1', 'standard_inchi_key': 'CHMMYAJJHWJWON-SVBPBHIXSA-N'}",[],Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,235721,[],CHEMBL752911,In vitro inhibitory activity against N-type calcium channel in the IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](N(C)CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,,,CHEMBL1132508,Bioorg. Med. Chem. Lett.,1999,"{'bei': '12.26', 'le': '0.23', 'lle': '1.57', 'sei': '7.32'}",,CHEMBL369244,6.42,False,http://www.openphacts.org/units/Nanomolar,339963,=,1,True,=,,IC50,nM,,380,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,9.42021640338319,"(9,10]",active,CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C)N(C)CC(C)C,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL334438,"{'molecule_chembl_id': 'CHEMBL334438', 'parent_chembl_id': 'CHEMBL334438'}","{'acd_logd': '4.92', 'acd_logp': '4.92', 'acd_most_apka': '13.93', 'acd_most_bpka': None, 'alogp': '4.85', 'aromatic_rings': 2, 'full_molformula': 'C33H46N4O5', 'full_mwt': '578.75', 'hba': 5, 'hba_lipinski': 9, 'hbd': 3, 'hbd_lipinski': 3, 'heavy_atoms': 42, 'molecular_species': 'NEUTRAL', 'mw_freebase': '578.75', 'mw_monoisotopic': '578.3468', 'num_lipinski_ro5_violations': 1, 'num_ro5_violations': 1, 'psa': '116.84', 'qed_weighted': '0.28', 'ro3_pass': 'N', 'rtb': 10}","{'canonical_smiles': 'CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C', 'standard_inchi': 'InChI=1S/C33H46N4O5/c1-23(2)21-27(35-32(41)37-19-11-6-7-12-20-37)29(38)34-28(30(39)36-33(3,4)5)22-24-15-17-26(18-16-24)42-31(40)25-13-9-8-10-14-25/h8-10,13-18,23,27-28H,6-7,11-12,19-22H2,1-5H3,(H,34,38)(H,35,41)(H,36,39)/t27-,28-/m0/s1', 'standard_inchi_key': 'RASCVEWVRJPMSU-NSOVKSMOSA-N'}","[{'molecule_synonym': 'PD-167341', 'syn_type': 'RESEARCH_CODE', 'synonyms': 'PD-167341'}]",Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,246565,[],CHEMBL752911,In vitro inhibitory activity against N-type calcium channel in the IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,,,CHEMBL1132508,Bioorg. Med. Chem. Lett.,1999,"{'bei': '10.76', 'le': '0.2', 'lle': '1.38', 'sei': '5.33'}",,CHEMBL334438,6.23,False,http://www.openphacts.org/units/Nanomolar,339966,=,1,True,=,,IC50,nM,,590,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,9.229147988357855,"(9,10]",active,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL135329,"{'molecule_chembl_id': 'CHEMBL135329', 'parent_chembl_id': 'CHEMBL135329'}","{'acd_logd': '4.79', 'acd_logp': '4.79', 'acd_most_apka': '13.91', 'acd_most_bpka': None, 'alogp': '5.28', 'aromatic_rings': 2, 'full_molformula': 'C33H45N3O6', 'full_mwt': '579.74', 'hba': 6, 'hba_lipinski': 9, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 42, 'molecular_species': 'NEUTRAL', 'mw_freebase': '579.74', 'mw_monoisotopic': '579.3308', 'num_lipinski_ro5_violations': 2, 'num_ro5_violations': 2, 'psa': '114.04', 'qed_weighted': '0.29', 'ro3_pass': 'N', 'rtb': 10}","{'canonical_smiles': 'CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)OC(C)(C)C', 'standard_inchi': 'InChI=1S/C33H45N3O6/c1-23(2)21-27(35-32(40)36-19-11-6-7-12-20-36)29(37)34-28(31(39)42-33(3,4)5)22-24-15-17-26(18-16-24)41-30(38)25-13-9-8-10-14-25/h8-10,13-18,23,27-28H,6-7,11-12,19-22H2,1-5H3,(H,34,37)(H,35,40)/t27-,28-/m0/s1', 'standard_inchi_key': 'IFZDICMQBAJLQQ-NSOVKSMOSA-N'}","[{'molecule_synonym': 'PD-151307', 'syn_type': 'RESEARCH_CODE', 'synonyms': 'PD-151307'}]",Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,247714,[],CHEMBL752911,In vitro inhibitory activity against N-type calcium channel in the IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)OC(C)(C)C,,,CHEMBL1132508,Bioorg. Med. Chem. Lett.,1999,"{'bei': '11.2', 'le': '0.21', 'lle': '1.21', 'sei': '5.7'}",,CHEMBL135329,6.5,False,http://www.openphacts.org/units/Nanomolar,339952,=,1,True,=,,IC50,nM,,320,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,9.494850021680094,"(9,10]",active,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)OC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL277085,"{'molecule_chembl_id': 'CHEMBL277085', 'parent_chembl_id': 'CHEMBL277085'}","{'acd_logd': '6.26', 'acd_logp': '6.51', 'acd_most_apka': '13.8', 'acd_most_bpka': '7.6', 'alogp': '5.24', 'aromatic_rings': 2, 'full_molformula': 'C32H47N3O4', 'full_mwt': '537.75', 'hba': 5, 'hba_lipinski': 7, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 39, 'molecular_species': 'NEUTRAL', 'mw_freebase': '537.75', 'mw_monoisotopic': '537.3567', 'num_lipinski_ro5_violations': 2, 'num_ro5_violations': 2, 'psa': '87.74', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 13}","{'canonical_smiles': 'CC(C)CCN(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C', 'standard_inchi': 'InChI=1S/C32H47N3O4/c1-22(2)18-19-35(8)28(20-23(3)4)30(37)33-27(29(36)34-32(5,6)7)21-24-14-16-26(17-15-24)39-31(38)25-12-10-9-11-13-25/h9-17,22-23,27-28H,18-21H2,1-8H3,(H,33,37)(H,34,36)/t27-,28-/m0/s1', 'standard_inchi_key': 'VULRFDUFJCQCEM-NSOVKSMOSA-N'}",[],Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,249178,[],CHEMBL752911,In vitro inhibitory activity against N-type calcium channel in the IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CC(C)CCN(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,,,CHEMBL1132508,Bioorg. Med. Chem. Lett.,1999,"{'bei': '12.08', 'le': '0.23', 'lle': '1.25', 'sei': '7.4'}",,CHEMBL277085,6.5,True,http://www.openphacts.org/units/Nanomolar,339956,=,1,True,=,,IC50,nM,,320,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,9.494850021680094,"(9,10]",active,CC(C)CCN(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL420920,"{'molecule_chembl_id': 'CHEMBL420920', 'parent_chembl_id': 'CHEMBL420920'}","{'acd_logd': '6.89', 'acd_logp': '7.12', 'acd_most_apka': '13.8', 'acd_most_bpka': '7.52', 'alogp': '5.77', 'aromatic_rings': 2, 'full_molformula': 'C34H49N3O4', 'full_mwt': '563.78', 'hba': 5, 'hba_lipinski': 7, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 41, 'molecular_species': 'NEUTRAL', 'mw_freebase': '563.78', 'mw_monoisotopic': '563.3723', 'num_lipinski_ro5_violations': 2, 'num_ro5_violations': 2, 'psa': '87.74', 'qed_weighted': '0.25', 'ro3_pass': 'N', 'rtb': 12}","{'canonical_smiles': 'CC(C)C[C@H](N(C)CC1CCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C', 'standard_inchi': 'InChI=1S/C34H49N3O4/c1-24(2)21-30(37(6)23-26-13-9-7-10-14-26)32(39)35-29(31(38)36-34(3,4)5)22-25-17-19-28(20-18-25)41-33(40)27-15-11-8-12-16-27/h8,11-12,15-20,24,26,29-30H,7,9-10,13-14,21-23H2,1-6H3,(H,35,39)(H,36,38)/t29-,30-/m0/s1', 'standard_inchi_key': 'NVEXGIMBAFMDOW-KYJUHHDHSA-N'}",[],Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,250559,[],CHEMBL752911,In vitro inhibitory activity against N-type calcium channel in the IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](N(C)CC1CCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,,,CHEMBL1132508,Bioorg. Med. Chem. Lett.,1999,"{'bei': '10.92', 'le': '0.21', 'lle': '0.38', 'sei': '7.01'}",,CHEMBL420920,6.16,False,http://www.openphacts.org/units/Nanomolar,339960,=,1,True,=,,IC50,nM,,700,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,9.154901959985743,"(9,10]",active,CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C)N(C)CC1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL173060,"{'molecule_chembl_id': 'CHEMBL173060', 'parent_chembl_id': 'CHEMBL173060'}","{'acd_logd': '5.91', 'acd_logp': '6.16', 'acd_most_apka': '13.8', 'acd_most_bpka': '7.6', 'alogp': '4.99', 'aromatic_rings': 2, 'full_molformula': 'C31H45N3O4', 'full_mwt': '523.72', 'hba': 5, 'hba_lipinski': 7, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 38, 'molecular_species': 'NEUTRAL', 'mw_freebase': '523.72', 'mw_monoisotopic': '523.341', 'num_lipinski_ro5_violations': 1, 'num_ro5_violations': 1, 'psa': '87.74', 'qed_weighted': '0.29', 'ro3_pass': 'N', 'rtb': 13}","{'canonical_smiles': 'CCCCN(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C', 'standard_inchi': 'InChI=1S/C31H45N3O4/c1-8-9-19-34(7)27(20-22(2)3)29(36)32-26(28(35)33-31(4,5)6)21-23-15-17-25(18-16-23)38-30(37)24-13-11-10-12-14-24/h10-18,22,26-27H,8-9,19-21H2,1-7H3,(H,32,36)(H,33,35)/t26-,27-/m0/s1', 'standard_inchi_key': 'LYTYYIKVZZVDKE-SVBPBHIXSA-N'}",[],Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,253404,[],CHEMBL752911,In vitro inhibitory activity against N-type calcium channel in the IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CCCCN(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,,,CHEMBL1132508,Bioorg. Med. Chem. Lett.,1999,"{'bei': '12.51', 'le': '0.24', 'lle': '1.56', 'sei': '7.47'}",,CHEMBL173060,6.55,False,http://www.openphacts.org/units/Nanomolar,339955,=,1,True,=,,IC50,nM,,280,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,9.55284196865778,"(9,10]",active,CCCCN(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL170471,"{'molecule_chembl_id': 'CHEMBL170471', 'parent_chembl_id': 'CHEMBL170471'}","{'acd_logd': '6.71', 'acd_logp': '6.93', 'acd_most_apka': '13.8', 'acd_most_bpka': '7.52', 'alogp': '5.63', 'aromatic_rings': 2, 'full_molformula': 'C33H49N3O4', 'full_mwt': '551.77', 'hba': 5, 'hba_lipinski': 7, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 40, 'molecular_species': 'NEUTRAL', 'mw_freebase': '551.77', 'mw_monoisotopic': '551.3723', 'num_lipinski_ro5_violations': 2, 'num_ro5_violations': 2, 'psa': '87.74', 'qed_weighted': '0.26', 'ro3_pass': 'N', 'rtb': 12}","{'canonical_smiles': 'CC(C)C[C@H](N(C)CCC(C)(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C', 'standard_inchi': 'InChI=1S/C33H49N3O4/c1-23(2)21-28(36(9)20-19-32(3,4)5)30(38)34-27(29(37)35-33(6,7)8)22-24-15-17-26(18-16-24)40-31(39)25-13-11-10-12-14-25/h10-18,23,27-28H,19-22H2,1-9H3,(H,34,38)(H,35,37)/t27-,28-/m0/s1', 'standard_inchi_key': 'GZRNNHCCNOMIAZ-NSOVKSMOSA-N'}",[],Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,253405,[],CHEMBL752911,In vitro inhibitory activity against N-type calcium channel in the IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](N(C)CCC(C)(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,,,CHEMBL1132508,Bioorg. Med. Chem. Lett.,1999,"{'bei': '11.6', 'le': '0.22', 'lle': '0.77', 'sei': '7.29'}",,CHEMBL170471,6.4,False,http://www.openphacts.org/units/Nanomolar,339962,=,1,True,=,,IC50,nM,,400,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,9.397940008672037,"(9,10]",active,CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C)N(C)CCC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL304309,"{'molecule_chembl_id': 'CHEMBL304309', 'parent_chembl_id': 'CHEMBL304309'}","{'acd_logd': '7.88', 'acd_logp': '7.93', 'acd_most_apka': '13.75', 'acd_most_bpka': '6.75', 'alogp': '6.69', 'aromatic_rings': 3, 'full_molformula': 'C38H51N3O4', 'full_mwt': '613.84', 'hba': 5, 'hba_lipinski': 7, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 45, 'molecular_species': 'NEUTRAL', 'mw_freebase': '613.84', 'mw_monoisotopic': '613.388', 'num_lipinski_ro5_violations': 2, 'num_ro5_violations': 2, 'psa': '87.74', 'qed_weighted': '0.18', 'ro3_pass': 'N', 'rtb': 12}","{'canonical_smiles': 'CC(C)C[C@H](N(C)Cc1ccc(cc1)C(C)(C)C)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C', 'standard_inchi': 'InChI=1S/C38H51N3O4/c1-26(2)23-33(41(9)25-28-15-19-30(20-16-28)37(3,4)5)35(43)39-32(34(42)40-38(6,7)8)24-27-17-21-31(22-18-27)45-36(44)29-13-11-10-12-14-29/h10-22,26,32-33H,23-25H2,1-9H3,(H,39,43)(H,40,42)/t32-,33-/m0/s1', 'standard_inchi_key': 'HEPQIDBMXXAHTJ-LQJZCPKCSA-N'}",[],Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,485911,[],CHEMBL751984,Inhibition of N-type calcium channels in IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](N(C)Cc1ccc(cc1)C(C)(C)C)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,,,CHEMBL1131814,Bioorg. Med. Chem. Lett.,1999,"{'bei': '12.13', 'le': '0.23', 'lle': '0.75', 'sei': '8.48'}",,CHEMBL304309,7.44,False,http://www.openphacts.org/units/Nanomolar,119407,=,1,True,=,,IC50,nM,,36,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,10.443697499232712,,active,CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C)N(C)Cc1ccc(C(C)(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
[],-1,,0,,-1,[],False,,-1,,,-1,0,CHEMBL303609,"{'molecule_chembl_id': 'CHEMBL303609', 'parent_chembl_id': 'CHEMBL303609'}","{'acd_logd': '6.2', 'acd_logp': '6.23', 'acd_most_apka': '13.77', 'acd_most_bpka': '6.57', 'alogp': '5.39', 'aromatic_rings': 3, 'full_molformula': 'C34H43N3O4', 'full_mwt': '557.74', 'hba': 5, 'hba_lipinski': 7, 'hbd': 2, 'hbd_lipinski': 2, 'heavy_atoms': 41, 'molecular_species': 'NEUTRAL', 'mw_freebase': '557.74', 'mw_monoisotopic': '557.3254', 'num_lipinski_ro5_violations': 2, 'num_ro5_violations': 2, 'psa': '87.74', 'qed_weighted': '0.23', 'ro3_pass': 'N', 'rtb': 12}","{'canonical_smiles': 'CC(C)C[C@H](N(C)Cc1ccccc1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C', 'standard_inchi': 'InChI=1S/C34H43N3O4/c1-24(2)21-30(37(6)23-26-13-9-7-10-14-26)32(39)35-29(31(38)36-34(3,4)5)22-25-17-19-28(20-18-25)41-33(40)27-15-11-8-12-16-27/h7-20,24,29-30H,21-23H2,1-6H3,(H,35,39)(H,36,38)/t29-,30-/m0/s1', 'standard_inchi_key': 'BRNNVTNSNUZGHW-KYJUHHDHSA-N'}",[],Small molecule,-1,False,False,False,,-1,MOL,False,False,,,,,,,False,,,,494152,[],CHEMBL751984,Inhibition of N-type calcium channels in IMR-32 human neuroblastoma cells,B,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](N(C)Cc1ccccc1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,,,CHEMBL1131814,Bioorg. Med. Chem. Lett.,1999,"{'bei': '11.55', 'le': '0.21', 'lle': '1.05', 'sei': '7.34'}",,CHEMBL303609,6.44,False,http://www.openphacts.org/units/Nanomolar,119415,=,1,True,=,,IC50,nM,,360,CHEMBL4478,Homo sapiens,Voltage-gated N-type calcium channel alpha-1B subunit,9606,,,IC50,uM,UO_0000065,,9,9.443697499232712,"(9,10]",active,CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C)N(C)Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x13f7b63f0>
