molecule_chembl_id,stdInChiKey,formula,STATUS,pIC50,MW,LogP,nHAcc,nHDon,smiles,preferredCompoundName
CHEMBL422741,SXGHLCHUQYYTLS-VMPREFPWSA-N,C33H47N3O4,active,9.69897000433602,549.7560000000001,5.5270000000000055,5,2,CC(C)C[C@H](N(C)C1CCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,-
CHEMBL369244,CHMMYAJJHWJWON-SVBPBHIXSA-N,C31H45N3O4,active,9.42021640338319,523.7180000000002,4.850300000000004,5,2,CC(C)C[C@H](N(C)CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,-
CHEMBL334438,RASCVEWVRJPMSU-NSOVKSMOSA-N,C33H46N4O5,active,9.229147988357855,578.7540000000001,4.848100000000004,5,3,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,-
CHEMBL135329,IFZDICMQBAJLQQ-NSOVKSMOSA-N,C33H45N3O6,active,9.494850021680094,579.738,5.2751000000000055,6,2,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)OC(C)(C)C,-
CHEMBL277085,VULRFDUFJCQCEM-NSOVKSMOSA-N,C32H47N3O4,active,9.494850021680094,537.7450000000002,5.240400000000005,5,2,CC(C)CCN(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,-
CHEMBL420920,NVEXGIMBAFMDOW-KYJUHHDHSA-N,C34H49N3O4,active,9.154901959985743,563.783,5.774600000000006,5,2,CC(C)C[C@H](N(C)CC1CCCCC1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,-
CHEMBL173060,LYTYYIKVZZVDKE-SVBPBHIXSA-N,C31H45N3O4,active,9.55284196865778,523.7180000000002,4.994400000000004,5,2,CCCCN(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,-
CHEMBL170471,GZRNNHCCNOMIAZ-NSOVKSMOSA-N,C33H49N3O4,active,9.397940008672037,551.7720000000002,5.630500000000006,5,2,CC(C)C[C@H](N(C)CCC(C)(C)C)C(=O)N[C@@H](Cc1ccc(OC(=O)c2ccccc2)cc1)C(=O)NC(C)(C)C,-
CHEMBL304309,HEPQIDBMXXAHTJ-LQJZCPKCSA-N,C38H51N3O4,active,10.443697499232712,613.8430000000001,6.692000000000007,5,2,CC(C)C[C@H](N(C)Cc1ccc(cc1)C(C)(C)C)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,-
CHEMBL303609,BRNNVTNSNUZGHW-KYJUHHDHSA-N,C34H43N3O4,active,9.443697499232712,557.7350000000002,5.394500000000005,5,2,CC(C)C[C@H](N(C)Cc1ccccc1)C(=O)N[C@@H](Cc2ccc(OC(=O)c3ccccc3)cc2)C(=O)NC(C)(C)C,-
