GeneID,logFC,AveExpr,t,P.Value,adj.P.Val,B
LHX3,12.9922981060446,1.44652351673002,38.8066429564662,1.8853999055389e-09,9.20854891963118e-06,10.2652480904825
TP73,7.72223217150244,3.42479876177385,34.9886552090908,3.88709297811641e-09,9.20854891963118e-06,10.9079117794747
CDKN2A,8.85850042630926,1.64485065686685,34.777366083045,4.05501470749008e-09,9.20854891963118e-06,10.0443420372494
ROBO3,8.37911886855196,5.78402128788947,34.2098894386315,4.54857760902321e-09,9.20854891963118e-06,11.6294617645751
H1FX,5.21202381432661,6.22225875745529,32.3086989310006,6.77911461395674e-09,9.20854891963118e-06,11.336593011955
GNB3,7.21761204942606,6.85735266822598,32.053783941799,7.16427077413201e-09,9.20854891963118e-06,11.3324171849611
POLD1,4.41543112804679,5.16650961067533,31.8166279737938,7.54516945417819e-09,9.20854891963118e-06,11.1037792336797
RAX2,11.3589035455654,1.72072755663972,31.1816333723648,8.68422253447008e-09,9.20854891963118e-06,9.70643062914794
TNK2,5.62970209527083,4.44205478165706,31.0927145965642,8.85889084484986e-09,9.20854891963118e-06,10.7841356673241
PPDPF,5.02813760357262,4.65949480209902,30.806050130785,9.4499181221321e-09,9.20854891963118e-06,10.7991766506577
CDT1,5.74663312642593,4.68734098158736,30.6740488475394,9.73711837173987e-09,9.20854891963118e-06,10.7830051959342
TULP1,9.61459327991852,3.94752712856898,30.6350181890593,9.82393839586029e-09,9.20854891963118e-06,10.5303472750058
DNM1,3.90993263002561,7.1563046713867,30.117239356874,1.10634849312963e-08,9.20854891963118e-06,10.9462069553137
EMX1,10.7890755092,0.328618804828195,29.8781986903175,1.16953386570604e-08,9.20854891963118e-06,8.81866567169718
THBS4,6.91284049495304,5.16535209371633,29.6857332935153,1.22341159833491e-08,9.20854891963118e-06,10.6972020869658
MZT2B,6.16169256408841,3.7178818565141,29.5975483864495,1.24904020612156e-08,9.20854891963118e-06,10.2696133180138
PAQR4,4.62918761465325,5.51817050979307,28.9836497292917,1.44543684133441e-08,9.48328715601669e-06,10.5997106870254
GUK1,5.38429686263699,5.65382716080491,28.3430694798537,1.68890525578285e-08,9.48328715601669e-06,10.4734491616143
