Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAPK signaling pathway	19/314	3.779506776680692E-4	0.5707055232787844	0	0	2.4203821656050954	19.074419135176974	MINK1;HSPB1;TRAF2;CACNA2D4;ARRB2;CACNA1F;MAPK8IP3;MAPK12;GADD45G;CACNA1G;FGF17;PPP5C;EEF2K;TAOK2;EIF4EBP1;MAP3K6;FGF12;SIPA1;MAP3K5
Endocytotic role of NDK, phosphins and dynamin	4/17	7.089723556156057E-4	0.5352741284897823	0	0	9.411764705882351	68.25123786222498	BIN1;NME2;DNM1;EPN1
Downregulation of MTA-3 in ER-negative breast tumors	4/18	8.936428005945616E-4	0.449800209632596	0	0	8.888888888888888	62.40181701813813	MTA1;HSPB1;ALDOA;TUBA4A
Neuronal system	16/283	0.002143948617453744	0.8093406030887884	0	0	2.261484098939929	13.897059509372431	CAMK2B;KCNJ4;KCNH3;AKAP5;COMT;CPLX1;PANX2;KCNV2;GNGT2;GNB2;DNAJC5;GNB3;SLC17A7;STX3;HCN2;KCNK3
Mammalian target of rapamycin complex 1 (mTORC1)-mediated signaling	3/11	0.002206288138266319	0.6662990177564283	0	0	10.909090909090908	66.72484091962643	EEF2K;EIF4EBP1;MLST8
p38 gamma/delta MAPK pathway	3/11	0.002206288138266319	0.5552491814636903	0	0	10.909090909090908	66.72484091962643	EEF2K;PKN1;MAPK12
Visual signal transduction: cones	4/23	0.0023425796244436227	0.5053278904156958	0	0	6.956521739130435	42.13219167446808	GUCY2D;GNGT2;GNB3;PDE6C
p53 activity regulation	9/118	0.0028606544429483588	0.5399485261065027	0	0	3.0508474576271185	17.86791311426861	PIDD1;CDKN2A;E2F1;PIN1;BAX;E4F1;CSNK1G2;GADD45G;TP73
EGF/EGFR signaling pathway	10/141	0.0029128011306778045	0.4887033008137205	0	0	2.8368794326241136	16.563517937383136	NDUFA13;IQSEC1;TNK2;E2F1;MYBL2;ARHGEF1;SH3GL2;DNM1;EPN1;BCAR1
Inositol phosphate metabolism	6/57	0.002922860473264887	0.441351931462998	0	0	4.2105263157894735	24.569231697174438	ISYNA1;IMPA2;ITPKA;INPP5J;PIP5K1C;PLCD3
Phosphatidylinositol signaling system	7/78	0.003350695028406084	0.4599590448084715	0	0	3.5897435897435894	20.456467889481193	IMPA2;ITPKA;INPP5J;ITPR3;PIP5K1C;PLCD3;DGKZ
Potassium channels	8/99	0.0033865002825074135	0.42613461888218285	0	0	3.2323232323232323	18.38531961499045	KCNJ4;KCNH3;KCNV2;GNGT2;GNB2;GNB3;HCN2;KCNK3
p73 transcription factor network	7/79	0.003599159183618213	0.4180561820971924	0	0	3.5443037974683542	19.94399247915885	JAG2;BIN1;HSF1;BAX;PIN1;AEN;TP73
Insulin secretion regulation by glucagon-like peptide-1	5/43	0.004211385981886807	0.4542280594749342	0	0	4.651162790697674	25.44169057496083	GNGT2;GNB2;GNB3;ITPR3;AKAP5
Endocytosis	12/201	0.004811309721838535	0.48433851199841255	0	0	2.388059701492537	12.744563439967834	PSD;IQSEC1;CLTB;PIP5K1C;ARRB2;ARAP1;GIT1;SH3GL2;DNM1;EPN1;RAB11B;SH3GL1
PKB-mediated events	4/28	0.00490889575807688	0.46327703716850555	0	0	5.7142857142857135	30.381178622804246	STK11;EEF2K;EIF4EBP1;MLST8
Angiotensin II-stimulated signaling through G-proteins and beta-arrestin	6/64	0.005218196737777777	0.463498651414379	0	0	3.75	19.708512709886456	ITPR3;ARRB2;PLCH2;PLCD3;MAPK12;MAP3K5
Platelet activation, signaling and aggregation	12/205	0.005614766164860565	0.47101649494108067	0	0	2.341463414634146	12.134295421780498	GNGT2;GNB2;VEGFB;GNB3;ITPR3;ACTN4;ARRB2;ALDOA;GAS6;DGKZ;TUBA4A;BCAR1
HES/HEY pathway	5/48	0.0067673334453859715	0.5378249211859377	0	0	4.166666666666667	20.815200615542235	NCOR2;CTBP1;GAA;E2F1;GATA4
Inwardly rectifying potassium channels	4/31	0.007112686652484723	0.5370078422625967	0	0	5.161290322580645	25.527097997387994	KCNJ4;GNGT2;GNB2;GNB3
Axon guidance	16/325	0.008053713159505085	0.5791003271834609	0	0	1.9692307692307691	9.494886462719963	SPTBN4;ROBO3;SEMA5B;UNC5A;PLXND1;SEMA3F;CACNA1F;SPTB;DNM1;CACNA1G;COL5A1;PLXNB2;PIP5K1C;SCN1B;SH3GL2;PAK4
Nucleotide metabolism	6/70	0.008055338225300687	0.552889123645638	0	0	3.4285714285714284	16.530583795713788	GPX1;GUK1;IMPDH1;NME2;AMPD2;TK1
ABCA transporters in lipid homeostasis	3/17	0.00813412351983557	0.5340228919544223	0	0	7.0588235294117645	33.96485143053246	ABCA2;ABCA3;ABCA7
Post-chaperonin tubulin folding pathway	3/17	0.00813412351983557	0.511771938122988	0	0	7.0588235294117645	33.96485143053246	TBCD;TUBB4B;TUBA4A
Purine metabolism	10/164	0.008359541630999804	0.5049163145123882	0	0	2.4390243902439024	11.669150444430382	GPX1;GUCY2D;GUK1;IMPDH1;POLD1;NME2;POLR2E;NME3;PDE6C;AMPD2
eIF4E release	2/6	0.0087524127649488	0.508313202887411	0	0	13.333333333333332	63.17901162743442	EIF4EBP1;MLST8
Amyotrophic lateral sclerosis (ALS)	5/53	0.01024902420142917	0.5731861683021499	0	0	3.7735849056603774	17.285180293547484	GPX1;TOMM40;BAX;MAPK12;MAP3K5
Thrombin signaling through protease-activated receptors	5/53	0.01024902420142917	0.5527152337199303	0	0	3.7735849056603774	17.285180293547484	GNGT2;GNB2;GNB3;ARHGEF1;ARRB2
E2F transcription factor network	6/74	0.010475384097409076	0.5454424133478519	0	0	3.2432432432432434	14.78506101352144	CDKN2C;CDKN2A;E2F1;MYBL2;TK1;TP73
TP53 network	3/19	0.011170818168534696	0.5622645144829129	0	0	6.31578947368421	28.386002662889787	CDKN2A;BAX;TP73
Granule cell survival pathway	7/99	0.012108679485786067	0.5898098717269987	0	0	2.828282828282828	12.483567432142767	KCNV2;BAX;NPTX1;PLCH2;PLCD3;KCNK3;MAP3K5
ID regulation of gene expression	3/20	0.012902143644594305	0.6088199032292938	0	0	5.999999999999999	26.10217084452193	CDKN2A;GATA4;SEMA3F
Integration of energy metabolism	8/125	0.013327245294946983	0.6098224362233317	0	0	2.56	11.053938740966716	STK11;GNGT2;GNB2;FFAR4;GNB3;GATA4;ITPR3;AKAP5
Cyclin D-associated events in G1	4/38	0.014554726485956956	0.6464010880527942	0	0	4.2105263157894735	17.80985049987152	CDKN2C;CDKN2A;E2F1;PPP2R3B
PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase	3/21	0.014777987746011578	0.6375646141850709	0	0	5.7142857142857135	24.083522970404665	CAMK2B;ARHGEF1;PKN1
