Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Retrograde endocannabinoid signaling	12/148	3.5221606642726503E-4	0.10848254845959764	0	0	3.2432432432432434	25.78788890465603	NDUFA13;GNGT2;NDUFB7;NDUFA11;NDUFS7;GNB2;GNB3;ITPR3;SLC17A7;CACNA1F;NDUFV1;MAPK12
Dopaminergic synapse	10/131	0.0016952099297393042	0.26106232917985284	0	0	3.0534351145038165	19.48075936935945	CAMK2B;GNGT2;GNB2;GNB3;ITPR3;PPP2R3B;ARRB2;COMT;DRD4;MAPK12
Inositol phosphate metabolism	7/74	0.0024850933195517504	0.2551362474739797	0	0	3.7837837837837838	22.693035388645278	ISYNA1;IMPA2;ITPKA;INPP5J;PIP5K1C;PLCH2;PLCD3
Endocytosis	14/244	0.00347086860769644	0.2672568827926259	0	0	2.2950819672131146	12.997853370455688	PSD;IQSEC1;CLTB;ARRB2;ARAP1;DNM1;EPN1;RAB11B;GRK2;BIN1;PIP5K1C;GIT1;SH3GL2;SH3GL1
Cushing syndrome	10/155	0.00569184592820619	0.3506177091775013	0	0	2.5806451612903225	13.338633980001294	CAMK2B;CDKN2C;CDKN2A;DVL1;AIP;E2F1;ITPR3;CACNA1F;KCNK3;CACNA1G
Cholinergic synapse	8/112	0.007113721677586152	0.36517104611608914	0	0	2.8571428571428568	14.130656369762441	CAMK2B;KCNJ4;GNGT2;CHRM4;GNB2;GNB3;ITPR3;CACNA1F
MAPK signaling pathway	15/295	0.0076412776213441586	0.336216215339143	0	0	2.0338983050847457	9.913607719037513	VEGFB;HSPB1;TRAF2;CACNA2D4;ARRB2;CACNA1F;MAPK8IP3;MAPK12;GADD45G;CACNA1G;FGF17;PPP5C;TAOK2;MAP3K6;MAP3K5
Glutamatergic synapse	8/114	0.007888196865957714	0.30369557933937197	0	0	2.807017543859649	13.59266724025656	GRK2;GNGT2;GNB2;GRM8;GNB3;ITPR3;SLC17A7;SLC38A3
Amyotrophic lateral sclerosis (ALS)	5/51	0.008736127099488568	0.29896968296027543	0	0	3.9215686274509802	18.589365926083495	GPX1;TOMM40;BAX;MAPK12;MAP3K5
Apoptosis	9/143	0.009913942442876824	0.3053494272406062	0	0	2.5174825174825175	11.615194032272148	PIDD1;ENDOG;BAX;ITPR3;TRAF2;TUBA4A;LMNB2;MAP3K5;GADD45G
Tight junction	10/170	0.010611970250513365	0.2971351670143742	0	0	2.352941176470588	10.69593563786418	STK11;MICALL2;SCRIB;GATA4;ACTN4;TUBA4A;LLGL1;TJP3;MAP3K5;LLGL2
Human cytomegalovirus infection	12/225	0.011357643596417138	0.29151285230803986	0	0	2.1333333333333333	9.552777209810229	GNGT2;CDKN2A;GNB2;EIF4EBP1;E2F1;GNB3;BAX;ARHGEF1;ITPR3;TRAF2;MAPK12;BCAR1
Phosphatidylinositol signaling system	7/99	0.012108679485786067	0.2868825601247776	0	0	2.828282828282828	12.483567432142767	IMPA2;ITPKA;INPP5J;ITPR3;PIP5K1C;PLCD3;DGKZ
Huntington disease	10/193	0.023673957167953386	0.5208270576949745	0	0	2.0725388601036268	7.7582998729455905	NDUFA13;GPX1;NDUFB7;NDUFA11;NDUFS7;CLTB;POLR2E;BAX;ATP5F1D;NDUFV1
Small cell lung cancer	6/93	0.02914569343965597	0.5984582386276026	0	0	2.5806451612903225	9.123737071017121	LAMA5;LAMA3;E2F1;BAX;TRAF2;GADD45G
AMPK signaling pathway	7/120	0.03116876470754926	0.5999987206203232	0	0	2.333333333333333	8.092790572536876	STK11;PFKL;EEF2K;EIF4EBP1;PPP2R3B;EEF2;RAB11B
Notch signaling pathway	4/48	0.03161375502500175	0.5727668557470905	0	0	3.333333333333333	11.513876558324146	JAG2;NCOR2;CTBP1;DVL1
Non-alcoholic fatty liver disease (NAFLD)	8/149	0.033893948417248895	0.5799631173618144	0	0	2.1476510067114094	7.268765193657024	NDUFA13;NDUFB7;NDUFA11;NDUFS7;BAX;TRAF2;NDUFV1;MAP3K5
Melanoma	5/72	0.034121963499969904	0.5531349872626701	0	0	2.7777777777777777	9.38281669756106	FGF17;CDKN2A;E2F1;BAX;GADD45G
p53 signaling pathway	5/72	0.034121963499969904	0.5254782378995365	0	0	2.7777777777777777	9.38281669756106	PIDD1;CDKN2A;BAX;GADD45G;TP73
Circadian entrainment	6/97	0.034816933065960357	0.5106483516340853	0	0	2.4742268041237114	8.307591162530308	CAMK2B;GNGT2;GNB2;GNB3;ITPR3;CACNA1G
HIF-1 signaling pathway	6/100	0.03950679447142755	0.5530951225999856	0	0	2.4	7.755078263838103	CAMK2B;PFKL;EIF4EBP1;ELOB;ALDOA;ENO3
Glioma	5/75	0.03965117281127439	0.5309809228640223	0	0	2.6666666666666665	8.607026005972685	CAMK2B;CDKN2A;E2F1;BAX;GADD45G
Galactose metabolism	3/31	0.04160691113161275	0.5339553595223636	0	0	3.8709677419354835	12.307699325969082	PFKL;GAA;GALK1
Chronic myeloid leukemia	5/76	0.041608232853202386	0.5126134287514534	0	0	2.631578947368421	8.366992700448678	CTBP1;CDKN2A;E2F1;BAX;GADD45G
Purine metabolism	7/129	0.043436495928031345	0.5145554133012944	0	0	2.1705426356589146	6.807809891085676	GUCY2D;GUK1;IMPDH1;NME2;NME3;PDE6C;AMPD2
Pathways in cancer	20/530	0.0453858829696057	0.5177352575792058	0	0	1.5094339622641508	4.668006294483274	JAG2;CAMK2B;LAMA5;CTBP1;CDKN2A;GSTP1;DAPK3;LAMA3;VEGFB;TRAF2;GADD45G;FGF17;GNGT2;GNB2;DVL1;E2F1;BAX;GNB3;ELOB;ARHGEF1
Synaptic vesicle cycle	5/78	0.045694746631016706	0.5026422129411837	0	0	2.564102564102564	7.912235746305283	CLTB;SLC17A7;STX3;CPLX1;DNM1
Cellular senescence	8/160	0.048177542604078055	0.5116787283467601	0	0	2.0	6.065724575155505	CDKN2A;EIF4EBP1;E2F1;GATA4;ITPR3;MYBL2;MAPK12;GADD45G
Protein processing in endoplasmic reticulum	8/165	0.05579600838195077	0.5728390193880278	0	0	1.9393939393939392	5.597193593264909	PRKCSH;DNAJC5;LMAN2;BAX;TRAF2;RAD23A;STUB1;MAP3K5
DNA replication	3/36	0.06037988610364689	0.599903384513653	0	0	3.333333333333333	9.356997470103483	RNASEH2A;LIG1;POLD1
PI3K-Akt signaling pathway	14/354	0.06236577248494987	0.6002705601676425	0	0	1.5819209039548023	4.389417108196556	LAMA5;PKN3;LAMA3;VEGFB;PPP2R3B;THBS4;FGF17;STK11;GNGT2;GNB2;EIF4EBP1;MLST8;GNB3;PKN1
Serotonergic synapse	6/113	0.06431776483525216	0.6002991384623535	0	0	2.1238938053097343	5.82779342742149	HTR6;GNGT2;GNB2;GNB3;ITPR3;CACNA1F
Thermogenesis	10/231	0.06568264665663902	0.5950075050072005	0	0	1.7316017316017314	4.715013884703011	NDUFA13;NDUFB7;NDUFA11;NDUFS7;DPF1;MLST8;ATP5F1D;NDUFV1;MAPK12;MAP3K5
Alzheimer disease	8/171	0.06589882982298881	0.5799097024423014	0	0	1.871345029239766	5.089374679748074	NDUFA13;NDUFB7;NDUFA11;NDUFS7;ITPR3;CACNA1F;NDUFV1;ATP5F1D
GABAergic synapse	5/89	0.07230344457543814	0.6185961369231929	0	0	2.2471910112359548	5.903109007052798	GNGT2;GNB2;GNB3;CACNA1F;SLC38A3
Morphine addiction	5/91	0.07788799770256499	0.6483649538483789	0	0	2.1978021978021975	5.609853650799394	GNGT2;GRK2;GNB2;GNB3;ARRB2
