Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027	10/106	3.2517318752455074E-4	0.03641939700274968	0	0	3.7735849056603774	30.306236350476368	GPSM1;GNGT2;CHRM4;GNB2;GRM8;CLTB;ITPR3;ARHGEF1;RAP1GAP;DRD4
Angiotensin II-stimulated signaling through G proteins and beta-arrestin Homo sapiens P05911	5/34	0.0014630597586829306	0.08193134648624412	0	0	5.88235294117647	38.39544300650074	GNGT2;GNB2;GNB3;ITPR3;ARRB2
Dopamine receptor mediated signaling pathway Homo sapiens P05912	6/52	0.0018207189216583558	0.06797350640857862	0	0	4.615384615384615	29.116263895337994	GNB2;GNB3;STX3;COMT;DRD4;KCNK3
Endogenous cannabinoid signaling Homo sapiens P05730	4/23	0.0023425796244436227	0.06559222948442144	0	0	6.956521739130435	42.13219167446808	GNGT2;GNB2;GNB3;CACNA1G
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway Homo sapiens P00026	9/127	0.0046622874780446084	0.10443523950819925	0	0	2.8346456692913384	15.217083995435408	GPSM1;HTR6;GNGT2;CHRM4;GNB2;GRM8;CLTB;ARRB2;DRD4
Cortocotropin releasing factor receptor signaling pathway Homo sapiens P04380	4/30	0.006317508693985948	0.11792682895440436	0	0	5.333333333333333	27.01029516014832	GNGT2;GNB2;GNB3;STX3
p38 MAPK pathway Homo sapiens P05918	4/32	0.007971195406910945	0.1275391265105751	0	0	5.0	24.159604045535342	EIF4EBP1;HSPB1;MAPK12;MAP3K5
GABA-B receptor II signaling Homo sapiens P05731	4/35	0.010945733656667284	0.15324027119334196	0	0	4.571428571428571	20.639110944169403	GNGT2;GNB2;GNB3;CACNA1G
Alzheimer disease-amyloid secretase pathway Homo sapiens P00003	5/56	0.012840251859204538	0.15978980091454537	0	0	3.571428571428571	15.554179877535184	PKN3;CHRM4;PKN1;CACNA1F;MAPK12
p53 pathway by glucose deprivation Homo sapiens P04397	3/21	0.014777987746011578	0.1655134627553297	0	0	5.7142857142857135	24.083522970404665	STK11;EIF4EBP1;TP73
De novo pyrimidine ribonucleotides biosythesis Homo sapiens P02740	2/9	0.019987498286726836	0.20350907346485506	0	0	8.888888888888888	34.779095880349324	NME2;NME3
De novo pyrimidine deoxyribonucleotide biosynthesis Homo sapiens P02739	2/10	0.02457569018526242	0.2293731083957826	0	0	8.0	29.64798022792225	NME2;NME3
Salvage pyrimidine ribonucleotides Homo sapiens P02775	2/10	0.02457569018526242	0.21172902313456854	0	0	8.0	29.64798022792225	NME2;NME3
Fructose galactose metabolism Homo sapiens P02744	2/10	0.02457569018526242	0.19660552148209937	0	0	8.0	29.64798022792225	ALDOA;GALK1
De novo purine biosynthesis Homo sapiens P02738	3/26	0.026359322007969647	0.19681627099284002	0	0	4.615384615384615	16.781230569993895	GUK1;NME2;NME3
Nicotine pharmacodynamics pathway Homo sapiens P06587	3/28	0.03202293203002463	0.22416052421017243	0	0	4.285714285714286	14.748441458133852	DRD4;KCNK3;CACNA1G
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction Homo sapiens P00028	3/31	0.04160691113161275	0.27411612039650757	0	0	3.8709677419354835	12.307699325969082	RCVRN;GNGT2;GNB2
CCKR signaling map ST Homo sapiens P06959	8/165	0.05579600838195077	0.3471751632654715	0	0	1.9393939393939392	5.597193593264909	CHGA;GUCY2D;EIF4EBP1;HSPB1;BAX;ARRB2;DNM1;BCAR1
5HT3 type receptor mediated signaling pathway Homo sapiens P04375	2/16	0.05940541077305161	0.35017926350430423	0	0	5.0	14.116849831533036	STX3;KCNK3
5HT4 type receptor mediated signaling pathway Homo sapiens P04376	2/16	0.05940541077305161	0.332670300329089	0	0	5.0	14.116849831533036	STX3;KCNK3
Glycolysis Homo sapiens P00024	2/17	0.0662415915707929	0.35328848837756216	0	0	4.705882352941176	12.773867020503221	PFKL;ALDOA
Notch signaling pathway Homo sapiens P00045	3/38	0.06881998761828545	0.3503563006021805	0	0	3.157894736842105	8.451350711138838	JAG2;NCOR2;HES4
Opioid proenkephalin pathway Homo sapiens P05915	2/18	0.07332402120449992	0.3570561032566953	0	0	4.444444444444444	11.612742279715478	STX3;KCNK3
Opioid proopiomelanocortin pathway Homo sapiens P05917	2/18	0.07332402120449992	0.34217876562099964	0	0	4.444444444444444	11.612742279715478	STX3;KCNK3
PI3 kinase pathway Homo sapiens P00048	3/42	0.08718222910547488	0.39057638639252745	0	0	2.8571428571428568	6.970727895708977	GNGT2;GNB2;GNB3
Muscarinic acetylcholine receptor 1 and 3 signaling pathway Homo sapiens P00042	3/42	0.08718222910547488	0.37555421768512254	0	0	2.8571428571428568	6.970727895708977	PKN3;ITPR3;PKN1
p53 pathway Homo sapiens P00059	4/71	0.10190606046315834	0.42272143599532347	0	0	2.2535211267605635	5.14637490908864	BAX;TRAF2;GADD45G;TP73
FGF signaling pathway Homo sapiens P00021	5/99	0.10244796021859995	0.4097918408743998	0	0	2.02020202020202	4.602828918210063	FGF17;MAP3K6;FGF12;MAPK12;MAP3K5
5HT2 type receptor mediated signaling pathway Homo sapiens P04374	3/46	0.10736313441562158	0.41464382946722816	0	0	2.6086956521739126	5.821404549935052	STX3;CACNA1F;KCNK3
Serine glycine biosynthesis Homo sapiens P02776	1/6	0.14094786294456849	0.5262053549930557	0	0	6.666666666666666	13.062434822233206	SHMT2
Metabotropic glutamate receptor group III pathway Homo sapiens P00039	3/54	0.15236274042928305	0.5504718363896678	0	0	2.222222222222222	4.1810914466514895	GNGT2;GRM8;SLC17A7
Beta2 adrenergic receptor signaling pathway Homo sapiens P04378	2/28	0.15436955442437558	0.5402934404853146	0	0	2.8571428571428568	5.338302420588211	STX3;CACNA1F
