Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Inositol phosphate metabolism Homo sapiens R-HSA-1483249	6/44	7.468154346855457E-4	1.0	0	0	5.454545454545454	39.271049884075076	ISYNA1;IMPA2;ITPKA;INPP5J;PLCH2;PLCD3
Neuronal System Homo sapiens R-HSA-112316	17/301	0.0015981219126924736	1.0	0	0	2.259136212624585	14.54641122176477	CAMK2B;KCNJ4;KCNH3;AKAP5;COMT;CPLX1;PANX2;KCNV2;GNGT2;LRFN1;GNB2;DNAJC5;GNB3;SLC17A7;PPFIA4;KCNK3;HCN2
Post-chaperonin tubulin folding pathway Homo sapiens R-HSA-389977	4/22	0.00197375099729253	1.0	0	0	7.2727272727272725	45.293232633574625	TBCD;ARL2;TUBB4B;TUBA4A
Synthesis of IP2, IP, and Ins in the cytosol Homo sapiens R-HSA-1855183	3/11	0.002206288138266319	0.8439052128868669	0	0	10.909090909090908	66.72484091962643	ISYNA1;IMPA2;INPP5J
Activation of G protein gated Potassium channels Homo sapiens R-HSA-1296041	4/25	0.0032171757921806987	0.9844557924072938	0	0	6.3999999999999995	36.731208879756906	KCNJ4;GNGT2;GNB2;GNB3
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits Homo sapiens R-HSA-997272	4/25	0.0032171757921806987	0.8203798270060781	0	0	6.3999999999999995	36.731208879756906	KCNJ4;GNGT2;GNB2;GNB3
G protein gated Potassium channels Homo sapiens R-HSA-1296059	4/25	0.0032171757921806987	0.7031827088623527	0	0	6.3999999999999995	36.731208879756906	KCNJ4;GNGT2;GNB2;GNB3
Synthesis of IP3 and IP4 in the cytosol Homo sapiens R-HSA-1855204	4/25	0.0032171757921806987	0.6152848702545586	0	0	6.3999999999999995	36.731208879756906	ITPKA;INPP5J;PLCH2;PLCD3
Potassium Channels Homo sapiens R-HSA-1296071	8/99	0.0033865002825074135	0.5757050480262603	0	0	3.2323232323232323	18.38531961499045	KCNJ4;KCNH3;KCNV2;GNGT2;GNB2;GNB3;KCNK3;HCN2
Cytosolic iron-sulfur cluster assembly Homo sapiens R-HSA-2564830	3/13	0.003684485563252584	0.5637262911776453	0	0	9.23076923076923	51.72576337848703	NDOR1;POLD1;NUBP2
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion Homo sapiens R-HSA-381676	5/42	0.0037982815454921017	0.5283064331457196	0	0	4.761904761904761	26.539078759070478	GNGT2;GNB2;GNB3;ITPR3;AKAP5
Phase 0 - rapid depolarisation Homo sapiens R-HSA-5576892	5/44	0.004655563021474729	0.5935842852380279	0	0	4.545454545454545	24.407692844243154	CAMK2B;CACNA2D4;CACNA1F;FGF12;SCN1B
Cardiac conduction Homo sapiens R-HSA-5576891	9/135	0.0069124920881982466	0.8135471457648706	0	0	2.6666666666666665	13.2651334845301	CAMK2B;KCNJ4;GATA4;ITPR3;CACNA2D4;CACNA1F;FGF12;SCN1B;KCNK3
Inwardly rectifying K+ channels Homo sapiens R-HSA-1296065	4/31	0.007112686652484723	0.777315041307259	0	0	5.161290322580645	25.527097997387994	KCNJ4;GNGT2;GNB2;GNB3
Complex I biogenesis Homo sapiens R-HSA-6799198	5/49	0.0073850048718756625	0.7532704969313176	0	0	4.081632653061225	20.033892666531464	NDUFA13;NDUFB7;NDUFA11;NDUFS7;NDUFV1
Thrombin signalling through proteinase activated receptors (PARs) Homo sapiens R-HSA-456926	4/32	0.007971195406910945	0.762245560785859	0	0	5.0	24.159604045535342	GNGT2;GNB2;GNB3;ARRB2
ABC transporters in lipid homeostasis Homo sapiens R-HSA-1369062	3/17	0.00813412351983557	0.7320711167852013	0	0	7.0588235294117645	33.96485143053246	ABCA2;ABCA3;ABCA7
Synthesis of 5-eicosatetraenoic acids Homo sapiens R-HSA-2142688	2/6	0.0087524127649488	0.743955085020648	0	0	13.333333333333332	63.17901162743442	GPX1;GPX4
Synthesis of 15-eicosatetraenoic acid derivatives Homo sapiens R-HSA-2142770	2/6	0.0087524127649488	0.7047995542300876	0	0	13.333333333333332	63.17901162743442	GPX1;GPX4
Synthesis of 12-eicosatetraenoic acid derivatives Homo sapiens R-HSA-2142712	2/6	0.0087524127649488	0.6695595765185832	0	0	13.333333333333332	63.17901162743442	GPX1;GPX4
Beta-catenin independent WNT signaling Homo sapiens R-HSA-3858494	9/144	0.010348889192465793	0.7539904983082221	0	0	2.5	11.427190223574685	GNGT2;GNB2;DVL1;CLTB;GNB3;SCRIB;ITPR3;ROR2;ARRB2
Assembly of collagen fibrils and other multimeric structures Homo sapiens R-HSA-2022090	5/54	0.011068822496125156	0.7697862917759767	0	0	3.7037037037037033	16.680084840121786	COL5A1;COL7A1;LAMA3;LOXL4;PLEC
Prostacyclin signalling through prostacyclin receptor Homo sapiens R-HSA-392851	3/19	0.011170818168534696	0.7431022520807863	0	0	6.31578947368421	28.386002662889787	GNGT2;GNB2;GNB3
Anchoring fibril formation Homo sapiens R-HSA-2214320	2/7	0.012051662882171474	0.7682935087384314	0	0	11.428571428571427	50.49774434338215	COL7A1;LAMA3
G beta:gamma signalling through PLC beta Homo sapiens R-HSA-418217	3/20	0.012902143644594305	0.7896111910491714	0	0	5.999999999999999	26.10217084452193	GNGT2;GNB2;GNB3
Protein folding Homo sapiens R-HSA-391251	7/101	0.013413164283940805	0.7893131290165166	0	0	2.7722772277227725	11.952724956502475	GNGT2;GNB2;TBCD;ARL2;GNB3;TUBB4B;TUBA4A
G1 Phase Homo sapiens R-HSA-69236	4/38	0.014554726485956956	0.8247678342042275	0	0	4.2105263157894735	17.80985049987152	CDKN2C;CDKN2A;E2F1;PPP2R3B
Cyclin D associated events in G1 Homo sapiens R-HSA-69231	4/38	0.014554726485956956	0.795311840125505	0	0	4.2105263157894735	17.80985049987152	CDKN2C;CDKN2A;E2F1;PPP2R3B
Presynaptic function of Kainate receptors Homo sapiens R-HSA-500657	3/21	0.014777987746011578	0.779666250048197	0	0	5.7142857142857135	24.083522970404665	GNGT2;GNB2;GNB3
Regulation of insulin secretion Homo sapiens R-HSA-422356	6/80	0.015010081737718086	0.7655141686236224	0	0	2.9999999999999996	12.597099563402262	GNGT2;GNB2;ARL2;GNB3;ITPR3;AKAP5
Activation of PUMA and translocation to mitochondria Homo sapiens R-HSA-139915	2/8	0.01580491452517871	0.780049007210433	0	0	10.0	41.47434341416576	E2F1;TP73
mTOR signalling Homo sapiens R-HSA-165159	4/39	0.015905781183770465	0.7604951628490254	0	0	4.102564102564102	16.989015956420822	STK11;EEF2K;EIF4EBP1;MLST8
GABA B receptor activation Homo sapiens R-HSA-977444	4/39	0.015905781183770465	0.7374498548839035	0	0	4.102564102564102	16.989015956420822	KCNJ4;GNGT2;GNB2;GNB3
Activation of GABAB receptors Homo sapiens R-HSA-991365	4/39	0.015905781183770465	0.715760153269671	0	0	4.102564102564102	16.989015956420822	KCNJ4;GNGT2;GNB2;GNB3
mTORC1-mediated signalling Homo sapiens R-HSA-166208	3/22	0.01679971420817187	0.7343875068143703	0	0	5.454545454545454	22.289418568014327	EEF2K;EIF4EBP1;MLST8
ADP signalling through P2Y purinoceptor 12 Homo sapiens R-HSA-392170	3/22	0.01679971420817187	0.7139878538473045	0	0	5.454545454545454	22.289418568014327	GNGT2;GNB2;GNB3
PKB-mediated events Homo sapiens R-HSA-109703	4/40	0.017333054887491272	0.7167452426449094	0	0	4.0	16.220559653524184	STK11;EEF2K;EIF4EBP1;MLST8
Transmission across Chemical Synapses Homo sapiens R-HSA-112315	11/211	0.017464010568471352	0.703156214993715	0	0	2.0853080568720377	8.440520113810134	CAMK2B;KCNJ4;GNGT2;GNB2;DNAJC5;GNB3;SLC17A7;AKAP5;COMT;PPFIA4;CPLX1
Elastic fibre formation Homo sapiens R-HSA-1566948	4/41	0.01883771080535323	0.7390178854407805	0	0	3.902439024390244	15.500076192637533	FBN3;LTBP4;LOXL4;FBLN1
Incretin synthesis, secretion, and inactivation Homo sapiens R-HSA-400508	3/23	0.01896828932905573	0.7255370668363816	0	0	5.217391304347825	20.686887009392155	FFAR4;GNB3;GATA4
Thromboxane signalling through TP receptor Homo sapiens R-HSA-428930	3/23	0.01896828932905573	0.7078410408159821	0	0	5.217391304347825	20.686887009392155	GNGT2;GNB2;GNB3
Collagen formation Homo sapiens R-HSA-1474290	6/85	0.019707152975654504	0.7179034298274141	0	0	2.8235294117647056	11.087360792274126	COL5A1;COL7A1;LAMA3;LOXL4;COLGALT1;PLEC
Type I hemidesmosome assembly Homo sapiens R-HSA-446107	2/9	0.019987498286726836	0.7111830785742339	0	0	8.888888888888888	34.779095880349324	LAMA3;PLEC
Formation of annular gap junctions Homo sapiens R-HSA-196025	2/9	0.019987498286726836	0.6950198267884559	0	0	8.888888888888888	34.779095880349324	CLTB;DNM1
Integration of energy metabolism Homo sapiens R-HSA-163685	7/110	0.020545457840115355	0.6985455665639221	0	0	2.545454545454545	9.889384634560166	STK11;GNGT2;GNB2;ARL2;GNB3;ITPR3;AKAP5
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	3/24	0.021284306818544364	0.7079345528776713	0	0	5.0	19.248926234484543	SLC17A7;CPLX1;PPFIA4
Metabolism of nucleotides Homo sapiens R-HSA-15869	6/87	0.021837635299768118	0.7108847235881961	0	0	2.758620689655172	10.549297676655467	GPX1;GUK1;IMPDH1;NME2;AMPD2;TK1
ADP signalling through P2Y purinoceptor 1 Homo sapiens R-HSA-418592	3/25	0.02374801151107834	0.756967866915622	0	0	4.8	17.95323109370892	GNGT2;GNB2;GNB3
Gap junction degradation Homo sapiens R-HSA-190873	2/10	0.02457569018526242	0.7673633874173775	0	0	8.0	29.64798022792225	CLTB;DNM1
Ligand-independent caspase activation via DCC Homo sapiens R-HSA-418889	2/10	0.02457569018526242	0.75201611966903	0	0	8.0	29.64798022792225	UNC5A;DAPK3
Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	12/253	0.025925864410748317	0.7777759323224496	0	0	1.8972332015810274	6.929671176614997	GNGT2;GNB2;VEGFB;GNB3;ITPR3;ACTN4;ARRB2;ALDOA;GAS6;DGKZ;TUBA4A;BCAR1
Extracellular matrix organization Homo sapiens R-HSA-1474244	13/283	0.02638516602251433	0.7763327695085948	0	0	1.8374558303886925	6.679066170726194	FBN3;LAMA5;LAMA3;LTBP4;LOXL4;FBLN1;CAPN15;ADAM15;COL5A1;COL7A1;BSG;COLGALT1;PLEC
Caspase activation via extrinsic apoptotic signalig pathway Homo sapiens R-HSA-5357769	3/27	0.029117852235481113	0.8405719607601151	0	0	4.444444444444444	15.717350284548534	UNC5A;DAPK3;TRAF2
Processive synthesis on the C-strand of the telomere Homo sapiens R-HSA-174414	2/11	0.02954667996708659	0.8371559324007868	0	0	7.2727272727272725	25.612973778194785	LIG1;POLD1
DSCAM interactions Homo sapiens R-HSA-376172	2/11	0.02954667996708659	0.8219349154480452	0	0	7.2727272727272725	25.612973778194785	DSCAML1;MAPK12
G-protein activation Homo sapiens R-HSA-202040	3/28	0.03202293203002463	0.8749122501060301	0	0	4.285714285714286	14.748441458133852	GNGT2;GNB2;GNB3
Adrenaline,noradrenaline inhibits insulin secretion Homo sapiens R-HSA-400042	3/28	0.03202293203002463	0.8595629123848717	0	0	4.285714285714286	14.748441458133852	GNGT2;GNB2;GNB3
TP53 Regulates Transcription of Caspase Activators and Caspases Homo sapiens R-HSA-6803207	2/12	0.03487854042134841	0.9200718421493631	0	0	6.666666666666666	22.372556843567576	PIDD1;TP73
Inhibition of replication initiation of damaged DNA by RB1/E2F1 Homo sapiens R-HSA-113501	2/12	0.03487854042134841	0.9044774041468315	0	0	6.666666666666666	22.372556843567576	E2F1;PPP2R3B
Interaction between L1 and Ankyrins Homo sapiens R-HSA-445095	3/29	0.035073626746766035	0.8943774820425339	0	0	4.137931034482758	13.863334368288841	SPTBN4;SPTB;SCN1B
