Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
EGF/EGFR Signaling Pathway WP437	11/162	0.002582846263208178	1.0	0	0	2.716049382716049	16.184566947825523	NDUFA13;IQSEC1;TNK2;EIF4EBP1;E2F1;MYBL2;ARHGEF1;SH3GL2;EPN1;DNM1;BCAR1
MAPK Signaling Pathway WP382	14/246	0.0037322130572470967	0.8808022815103148	0	0	2.2764227642276422	12.726919466121773	HSPB1;TRAF2;CACNA2D4;ARRB2;CACNA1F;MAPK8IP3;MAPK12;CACNA1G;FGF17;PPP5C;TAOK2;MAP3K6;FGF12;MAP3K5
GPR40 Pathway WP3958	3/15	0.005648024777015824	0.8886225649171563	0	0	8.0	41.41159513548328	ITPR3;PLCD3;PKD1
Photodynamic therapy-induced AP-1 survival signaling. WP3611	5/50	0.008040893507605765	0.9488254338974803	0	0	4.0	19.292860276717064	CDKN2A;BAX;TRAF2;MAPK12;MAP3K5
One carbon metabolism and related pathways WP3940	5/52	0.009471810530852916	0.8941389141125153	0	0	3.8461538461538463	17.920904631222058	GPX1;GPX4;SHMT2;PEMT;DNM1
Nucleotide Metabolism WP404	3/19	0.011170818168534696	0.8787710292580627	0	0	6.31578947368421	28.386002662889787	IMPDH1;POLD1;NME2
TP53 Network WP1742	3/19	0.011170818168534696	0.7532323107926252	0	0	6.31578947368421	28.386002662889787	CDKN2A;BAX;TP73
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	5/55	0.011932232343427853	0.7040017082622433	0	0	3.6363636363636362	16.103679782632323	CDKN2A;HSF1;E2F1;BAX;TP73
Regulation of Actin Cytoskeleton WP51	9/150	0.013266308662009398	0.695744187607604	0	0	2.4	10.37406633839913	FGF17;CHRM4;RASSF7;ARHGEF1;PIP5K1C;FGF12;GIT1;BCAR1;PAK4
Amyotrophic lateral sclerosis (ALS) WP2447	4/38	0.014554726485956956	0.6869830901371683	0	0	4.2105263157894735	17.80985049987152	TOMM40;GPX1;BAX;MAP3K5
Oxidative phosphorylation WP623	5/60	0.016937312232839237	0.7267646703545564	0	0	3.333333333333333	13.594120887625653	NDUFB7;NDUFA11;NDUFS7;NDUFV1;ATP5F1D
DNA Mismatch Repair WP531	2/9	0.019987498286726836	0.7861749326112556	0	0	8.888888888888888	34.779095880349324	LIG1;POLD1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	14/303	0.020808961068013887	0.7555253557001966	0	0	1.848184818481848	7.156858336981304	LAMA5;LAMA3;VEGFB;THBS4;RAB11B;FGF17;STK11;GNGT2;COL5A1;GNB2;EIF4EBP1;MLST8;GNB3;FGF12
MTHFR deficiency WP4288	3/25	0.02374801151107834	0.8006472452306411	0	0	4.8	17.95323109370892	EHMT2;PEMT;COMT
Mammary gland development pathway - Involution (Stage 4 of 4) WP2815	2/10	0.02457569018526242	0.7733150511629242	0	0	8.0	29.64798022792225	E2F1;BAX
PI3K-Akt Signaling Pathway WP4172	15/340	0.024698879495613224	0.7286169451205902	0	0	1.7647058823529411	6.531171883989317	LAMA5;PKN3;LAMA3;VEGFB;PPP2R3B;THBS4;FGF17;STK11;GNGT2;GNB2;EIF4EBP1;MLST8;GNB3;PKN1;FGF12
ATM Signaling Network in Development and Disease  WP3878	4/45	0.02564991223851159	0.7121622692104393	0	0	3.5555555555555554	13.024764902655056	STK11;PPP5C;HSPB1;MAP3K5
Notch Signaling WP268	4/45	0.02564991223851159	0.6725976986987483	0	0	3.5555555555555554	13.024764902655056	JAG2;NCOR2;CTBP1;DVL1
AMP-activated Protein Kinase (AMPK) Signaling WP1403	5/69	0.029098928808491353	0.72287865250568	0	0	2.898550724637681	10.252330191846333	STK11;EEF2K;EIF4EBP1;EEF2;SLC2A4RG
Primary Focal Segmental Glomerulosclerosis FSGS WP2572	5/72	0.034121963499969904	0.8052783385992898	0	0	2.7777777777777777	9.38281669756106	CAMK2B;LAMA5;INF2;ACTN4;DNM1
Synaptic Vesicle Pathway WP2267	4/51	0.03832523471749994	0.8614052755552367	0	0	3.1372549019607843	10.232617191675	SLC17A7;STX3;CPLX1;DNM1
Translation Factors WP107	4/52	0.040729689807035306	0.8738369813145757	0	0	3.076923076923077	9.848609148264439	EEF2K;CLUH;EIF4EBP1;EEF2
Wnt Signaling Pathway WP363	4/52	0.040729689807035306	0.8358440690835072	0	0	3.076923076923077	9.848609148264439	CTBP1;DVL1;ARRB2;ROR2
Nonalcoholic fatty liver disease WP4396	8/155	0.04127099252559589	0.8116628530033859	0	0	2.064516129032258	6.580842087103301	NDUFA13;NDUFB7;NDUFA11;NDUFS7;BAX;TRAF2;NDUFV1;MAP3K5
